,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Sotiria Lampoudi. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,200,pub.1099419307,10.5220/0005207003310337,,,An Integer Linear Programming Solution to the Telescope Network Scheduling Problem,,Proceedings of the International Conference on Operations Research and Enterprise Systems,,2015,2015,,,331-337,"All OA; Green, Accepted & Submitted",Proceeding,"Lampoudi, Sotiria; Saunders, Eric; Eastman, Jason",,"Lampoudi, Sotiria (University of California System); Saunders, Eric (Las Cumbres Observatory Global Telescope Network); Eastman, Jason (Las Cumbres Observatory Global Telescope Network)",0,0,,,http://arxiv.org/pdf/1503.07170,https://app.dimensions.ai/details/publication/pub.1099419307,,,,,,
2,200,pub.1045130512,10.1117/12.2056642,,,Novel scheduling approaches in the era of multi-telescope networks,Proceedings of SPIE,"Observatory Operations: Strategies, Processes, and Systems V",,8/6/14,2014,9149,,91490e-91490e-7,Closed,Proceeding,"Saunders, E. S.; Lampoudi, S.; Lister, T. A.; Norbury, M.; Walker, Z.",,"Saunders, E. S. (Las Cumbres Observatory Global Telescope Network); Lampoudi, S. (Boeing (United States)); Lister, T. A. (Las Cumbres Observatory Global Telescope Network); Norbury, M. (Las Cumbres Observatory Global Telescope Network); Walker, Z. (Las Cumbres Observatory Global Telescope Network)",12,8,,,,https://app.dimensions.ai/details/publication/pub.1045130512,,,,,,
3,400,pub.1038577206,10.1016/j.metabol.2011.03.006,21550087,,Ghrelin levels in patients with juvenile idiopathic arthritis: relation to anti–tumor necrosis factor treatment and disease activity,Metabolism,,"Adolescent; Adult; Antibodies, Monoclonal; Arthritis, Juvenile; Case-Control Studies; Child; Child, Preschool; Disease Progression; Female; Ghrelin; Humans; Infusion Pumps; Male; Nutritional Status; Pilot Projects; Tumor Necrosis Factor-alpha; Young Adult",2011-10,2011,60,10,1359-1362,Closed,Article,"Karagiozoglou-Lampoudi, Thomais; Trachana, Maria; Agakidis, Charalampos; Pratsidou-Gertsi, Polyxeni; Taparkou, Anna; Lampoudi, Sotiria; Kanakoudi-Tsakalidou, Florentia","Karagiozoglou-Lampoudi, Thomais","Karagiozoglou-Lampoudi, Thomais (); Trachana, Maria (Aristotle University of Thessaloniki); Agakidis, Charalampos (); Pratsidou-Gertsi, Polyxeni (Aristotle University of Thessaloniki); Taparkou, Anna (Aristotle University of Thessaloniki); Lampoudi, Sotiria (University of California, Santa Barbara); Kanakoudi-Tsakalidou, Florentia (Aristotle University of Thessaloniki)",15,4,0.7,3.79,,https://app.dimensions.ai/details/publication/pub.1038577206,11 Medical and Health Sciences; 1103 Clinical Sciences,11 Medical and Health Sciences,1103 Clinical Sciences,,,
4,100,pub.1093190355,10.1109/cwit.2011.5872141,,,Combinatorial Properties as Predictors for the Performance of the Sum-Product Algorithm,,2011 12th Canadian Workshop on Information Theory,,2011-05,2011,,,134-138,Closed,Proceeding,"Lampoudi, Sotiria; Brevik, John; O'Sullivan, Michael E.",,"Lampoudi, Sotiria (University of California, Santa Barbara); Brevik, John (California State University, Long Beach); O'Sullivan, Michael E. (San Diego State University)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1093190355,0912 Materials Engineering; 09 Engineering,0912 Materials Engineering,09 Engineering,,,
5,100,pub.1014120556,10.1016/j.cpc.2009.06.005,,,TiReX: Replica-exchange molecular dynamics using Tinker,Computer Physics Communications,,,2009-10,2009,180,10,2013-2019,Closed,Article,"Penev, Evgeni S.; Lampoudi, Sotiria; Shea, Joan-Emma","Penev, Evgeni S.","Penev, Evgeni S. (University of California, Santa Barbara); Lampoudi, Sotiria (University of California, Santa Barbara); Shea, Joan-Emma (University of California, Santa Barbara)",12,0,,3.92,,https://app.dimensions.ai/details/publication/pub.1014120556,08 Information and Computing Sciences; 0803 Computer Software,08 Information and Computing Sciences,0803 Computer Software,,,
6,400,pub.1050739514,10.1016/j.jcp.2009.02.002,19360139,PMC2666880,Effect of excluded volume on 2D discrete stochastic chemical kinetics,Journal of Computational Physics,,,2009-06,2009,228,10,3656-3668,"All OA; Green, Accepted & Submitted",Article,"Lampoudi, Sotiria; Gillespie, Dan T.; Petzold, Linda R.","Lampoudi, Sotiria","Lampoudi, Sotiria (University of California, Santa Barbara); Gillespie, Dan T. (); Petzold, Linda R. (University of California, Santa Barbara)",6,0,0.23,,http://europepmc.org/articles/pmc2666880?pdf=render,https://app.dimensions.ai/details/publication/pub.1050739514,09 Engineering; 02 Physical Sciences; 01 Mathematical Sciences,09 Engineering,02 Physical Sciences,01 Mathematical Sciences,,
7,400,pub.1057909960,10.1063/1.3074302,19275393,PMC2671688,The multinomial simulation algorithm for discrete stochastic simulation of reaction-diffusion systems.,The Journal of Chemical Physics,,"Algorithms; Computer Simulation; Diffusion; Models, Chemical",3/7/09,2009,130,9,94104,"All OA; Green, Published",Article,"Lampoudi, Sotiria; Gillespie, Dan T; Petzold, Linda R",,"Lampoudi, Sotiria (University of California, Santa Barbara); Gillespie, Dan T (); Petzold, Linda R ()",56,11,1.16,,http://europepmc.org/articles/pmc2671688?pdf=render,https://app.dimensions.ai/details/publication/pub.1057909960,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
8,400,pub.1049101354,10.1007/978-1-59745-480-3_9,19031065,,Computational Methods in Nanostructure Design,Methods in Molecular Biology,Nanostructure Design,"Algorithms; Amyloid beta-Peptides; Animals; Computer Simulation; Humans; Models, Molecular; Nanostructures; Peptide Fragments",2008,2008,474,,133-151,Closed,Chapter,"Bellesia, Giovanni; Lampoudi, Sotiria; Shea, Joan-Emma",,"Bellesia, Giovanni (University of California, Santa Barbara); Lampoudi, Sotiria (University of California, Santa Barbara); Shea, Joan-Emma (University of California, Santa Barbara)",5,0,0.12,0.6,,https://app.dimensions.ai/details/publication/pub.1049101354,0307 Theoretical and Computational Chemistry; 03 Chemical Sciences; 0303 Macromolecular and Materials Chemistry,0307 Theoretical and Computational Chemistry,03 Chemical Sciences,0303 Macromolecular and Materials Chemistry,,
9,400,pub.1057856022,10.1063/1.2424461,17249866,,Effect of reactant size on discrete stochastic chemical kinetics.,The Journal of Chemical Physics,,"Algorithms; Chemistry, Physical; Computer Simulation; Kinetics; Models, Chemical; Models, Statistical; Probability; Stochastic Processes; Time Factors",1/21/07,2007,126,3,34302,"All OA; Green, Accepted & Submitted",Article,"Gillespie, Dan T; Lampoudi, Sotiria; Petzold, Linda R",,"Gillespie, Dan T (); Lampoudi, Sotiria (); Petzold, Linda R ()",15,0,0.36,1.85,http://www.engineering.ucsb.edu/~cse/Files/reactant_size06.pdf,https://app.dimensions.ai/details/publication/pub.1057856022,0307 Theoretical and Computational Chemistry; 03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),0307 Theoretical and Computational Chemistry,03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,
