,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Stacia M Gordon. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1113507641,10.1130/l1049.1,,,"A structural model for the South Tibetan detachment system in northwestern Bhutan from integration of temperature, fabric, strain, and kinematic data",Литосфера,,,8/1/19,2019,11,4,465-487,All OA; Gold,Article,"Long, Sean P.; Mullady, Connor L.; Starnes, Jesslyn K.; Gordon, Stacia M.; Larson, Kyle P.; Pianowski, Laura S.; Miller, Robert B.; Soignard, Emmanuel",,"Long, Sean P. (Washington State University); Mullady, Connor L. (Washington State University); Starnes, Jesslyn K. (Washington State University); Gordon, Stacia M. (University of Nevada Reno); Larson, Kyle P. (University of British Columbia); Pianowski, Laura S. (Washington State University); Miller, Robert B. (San Jose State University); Soignard, Emmanuel (Arizona State University)",0,0,,,https://pubs.geoscienceworld.org/gsa/lithosphere/article-pdf/doi/10.1130/L1049.1/4678960/l1049.pdf,https://app.dimensions.ai/details/publication/pub.1113507641,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
2,100,pub.1111154520,10.1130/g45554.1,,,Deep-crustal metasedimentary rocks support Late Cretaceous “Mojave-BC” translation,Geology,,,2/1/19,2019,47,2,99-102,Closed,Article,"Sauer, Kirsten B.; Gordon, Stacia M.; Miller, Robert B.; Jacobson, Carl E.; Grove, Marty; Vervoort, Jeffrey D.; Fisher, Christopher M.",,"Sauer, Kirsten B. (University of Nevada Reno); Gordon, Stacia M. (University of Nevada Reno); Miller, Robert B. (San Jose State University); Jacobson, Carl E. (Iowa State University; West Chester University); Grove, Marty (Stanford University); Vervoort, Jeffrey D. (Washington State University); Fisher, Christopher M. (Washington State University)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1111154520,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
3,200,pub.1122531238,10.1130/abs/2019am-338172,,,"TITANITE PETROCHRONOLOGY OF RETROGRESSED ECLOGITE AND GNEISS IN HIGH-STRAIN DOMAINS OF THE WESTERN GNEISS REGION, NORWAY",Abstracts with programs (Geological Society of America),,,2019,2019,,,,Closed,Proceeding,"Blatchford, Hannah J.; Whitney, Donna L.; Teyssier, Christian; Gordon, Stacia M.; Newville, Christine E.",,"Blatchford, Hannah J. (); Whitney, Donna L. (); Teyssier, Christian (); Gordon, Stacia M. (); Newville, Christine E. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1122531238,,,,,,
4,200,pub.1107064173,10.1093/petrology/egy088,,,Using eclogite retrogression to track the rapid exhumation of the Pliocene Papua New Guinea UHP Terrane,Journal of Petrology,,,9/18/18,2018,,,,Closed,Article,"DesOrmeau, Joel W; Gordon, Stacia M; Little, Timothy A; Bowring, Samuel A; Schoene, Blair; Samperton, Kyle M; Kylander-Clark, Andrew R C",,"DesOrmeau, Joel W (University of Nevada Reno); Gordon, Stacia M (University of Nevada Reno); Little, Timothy A (Victoria University of Wellington); Bowring, Samuel A (Massachusetts Institute of Technology); Schoene, Blair (Princeton University); Samperton, Kyle M (Princeton University; Lawrence Livermore National Laboratory); Kylander-Clark, Andrew R C (University of California, Santa Barbara)",3,3,,,,https://app.dimensions.ai/details/publication/pub.1107064173,0403 Geology; 04 Earth Sciences; 0404 Geophysics; 0402 Geochemistry,0403 Geology,04 Earth Sciences,0404 Geophysics,0402 Geochemistry,
5,100,pub.1103169309,10.1130/l712.1,,,"Provenance and metamorphism of the Swakane Gneiss: Implications for incorporation of sediment into the deep levels of the North Cascades continental magmatic arc, Washington",Литосфера,,,6/1/18,2018,10,3,460-477,All OA; Gold,Article,"Sauer, Kirsten B.; Gordon, Stacia M.; Miller, Robert B.; Vervoort, Jeffrey D.; Fisher, Christopher M.",,"Sauer, Kirsten B. (University of Nevada Reno); Gordon, Stacia M. (University of Nevada Reno); Miller, Robert B. (San Jose State University); Vervoort, Jeffrey D. (Washington State University); Fisher, Christopher M. (Washington State University)",2,2,,,https://doi.org/10.1130/l712.1,https://app.dimensions.ai/details/publication/pub.1103169309,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
6,200,pub.1110408219,10.1130/abs/2018am-322357,,,"THE RECORD OF GIANT UHP TERRANE EXHUMATION PRESERVED IN LITHOLOGICALLY DIVERSE, METERS-SCALE SHEAR ZONES: AN INTEGRATED TRACE ELEMENT THERMOBAROMETRY AND MICROSTRUCTURAL STUDY OF ECLOGITE AND GNEISS FROM THE WESTERN GNEISS REGION, NORWAY",Abstracts with programs (Geological Society of America),,,2018,2018,,,,Closed,Proceeding,"Blatchford, Hannah J.; Whitney, Donna L.; Teyssier, Christian; Gordon, Stacia M.; Hauge, Dina",,"Blatchford, Hannah J. (); Whitney, Donna L. (); Teyssier, Christian (); Gordon, Stacia M. (); Hauge, Dina ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1110408219,,,,,,
7,200,pub.1110406389,10.1130/abs/2018am-317162,,,DECIPHERING THE MULTI-STAGE EXHUMATION OF A UHP TERRANE FROM MANTLE DEPTHS TO THE SURFACE IN ~3 MYR: THE IMPORTANCE OF COMBINING DETAILED METAMORPHIC PETROLOGY WITH HIGH RESOLUTION ISOTOPIC ANALYSES,Abstracts with programs (Geological Society of America),,,2018,2018,,,,Closed,Proceeding,"Gordon, Stacia M.; DesOrmeau, Joel W.; Little, Tim A.",,"Gordon, Stacia M. (); DesOrmeau, Joel W. (); Little, Tim A. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1110406389,,,,,,
8,100,pub.1092073171,10.1130/ges01501.1,,,"Evolution of the Jura-Cretaceous North American Cordilleran margin: Insights from detrital-zircon U-Pb and Hf isotopes of sedimentary units of the North Cascades Range, Washington",Geosphere,,,12/1/17,2017,13,6,2094-2118,All OA; Gold,Article,"Sauer, Kirsten B.; Gordon, Stacia M.; Miller, Robert B.; Vervoort, Jeffrey D.; Fisher, Christopher M.",,"Sauer, Kirsten B. (University of Nevada Reno); Gordon, Stacia M. (University of Nevada Reno); Miller, Robert B. (San Jose State University); Vervoort, Jeffrey D. (Washington State University); Fisher, Christopher M. (Washington State University)",4,3,,1.46,https://pubs.geoscienceworld.org/gsa/geosphere/article-pdf/13/6/2094/3990859/2094.pdf,https://app.dimensions.ai/details/publication/pub.1092073171,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
9,100,pub.1093127344,10.1002/2017tc004728,,,"Transfer of Metasupracrustal Rocks to Midcrustal Depths in the North Cascades Continental Magmatic Arc, Skagit Gneiss Complex, Washington",Tectonics,,,2017-12,2017,36,12,3254-3276,All OA; Gold,Article,"Sauer, K. B.; Gordon, S. M.; Miller, R. B.; Vervoort, J. D.; Fisher, C. M.",,"Sauer, K. B. (University of Nevada Reno); Gordon, S. M. (University of Nevada Reno); Miller, R. B. (San Jose State University); Vervoort, J. D. (Washington State University); Fisher, C. M. (Washington State University)",4,4,,1.36,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2017TC004728,https://app.dimensions.ai/details/publication/pub.1093127344,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
10,100,pub.1092025028,10.1130/l655.1,,,"Distributed north-vergent shear and flattening through Greater and Tethyan Himalayan rocks: Insights from metamorphic and strain data from the Dang Chu region, central Bhutan",Литосфера,,,10/1/17,2017,9,5,774-795,All OA; Gold,Article,"Long, Sean P.; Gordon, Stacia M.; Soignard, Emmanuel",,"Long, Sean P. (Washington State University); Gordon, Stacia M. (University of Nevada Reno); Soignard, Emmanuel (Arizona State University)",5,5,,1.82,https://pubs.geoscienceworld.org/gsa/lithosphere/article-pdf/9/5/774/3712218/774.pdf,https://app.dimensions.ai/details/publication/pub.1092025028,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
11,100,pub.1091444598,10.1130/g39296.1,,,"Rapid time scale of Earth’s youngest known ultrahigh-pressure metamorphic event, Papua New Guinea",Geology,,,9/1/17,2017,45,9,795-798,Closed,Article,"DesOrmeau, Joel W.; Gordon, Stacia M.; Little, Timothy A.; Bowring, Samuel A.; Chatterjee, Nilanjan",,"DesOrmeau, Joel W. (University of Nevada Reno); Gordon, Stacia M. (University of Nevada Reno); Little, Timothy A. (Victoria University of Wellington); Bowring, Samuel A. (Massachusetts Institute of Technology); Chatterjee, Nilanjan (Massachusetts Institute of Technology)",6,6,,2.19,,https://app.dimensions.ai/details/publication/pub.1091444598,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
