,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Stuart H Sweeney. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1106132264,10.1016/j.ancene.2018.08.002,,,"Agricultural change and resilience: Agricultural policy, climate trends and market integration in the Mexican maize system",Anthropocene,,,2018-09,2018,23,J. Peasant Stud. 37 2010,43-52,Closed,Article,"Eakin, Hallie; Sweeney, Stuart; Lerner, Amy M.; Appendini, Kirsten; Perales, Hugo; Steigerwald, Doug; Dewes, Candida F.; Davenport, Frank; Bausch, Julia C.","Eakin, Hallie","Eakin, Hallie (Arizona State University); Sweeney, Stuart (University of California, Santa Barbara); Lerner, Amy M. (National Autonomous University of Mexico); Appendini, Kirsten (College of Mexico); Perales, Hugo (El Colegio de la Frontera Sur); Steigerwald, Doug (University of California, Berkeley); Dewes, Candida F. (); Davenport, Frank (University of California, Santa Barbara); Bausch, Julia C. (Arizona State University)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1106132264,0499 Other Earth Sciences; 04 Earth Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management; 0401 Atmospheric Sciences,0499 Other Earth Sciences,04 Earth Sciences,05 Environmental Sciences,0502 Environmental Science and Management,0401 Atmospheric Sciences
2,100,pub.1003004872,10.1111/pirs.12274,,,"Firm location, interaction, and local characteristics: A case study for Madrid's electronics sector",Papers in Regional Science,,,2018-08,2018,97,3,663-685,Closed,Article,"Gómez‐Antonio, Miguel; Sweeney, Stuart",,"Gómez‐Antonio, Miguel (Complutense University of Madrid); Sweeney, Stuart (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1003004872,12 Built Environment and Design; 14 Economics; 16 Studies in Human Society; 1604 Human Geography; 1402 Applied Economics; 1205 Urban and Regional Planning,12 Built Environment and Design,14 Economics,16 Studies in Human Society,1604 Human Geography,1402 Applied Economics
3,100,pub.1101560052,10.1016/j.rse.2018.02.073,,,A framework for detecting conifer mortality across an ecoregion using high spatial resolution spaceborne imaging spectroscopy,Remote Sensing of Environment,,,2018-05,2018,209,J. Geophys. Res. Solid Earth 91 1986,195-210,Closed,Article,"Tane, Zachary; Roberts, Dar; Koltunov, Alexander; Sweeney, Stuart; Ramirez, Carlos","Tane, Zachary","Tane, Zachary (University of California, Santa Barbara); Roberts, Dar (University of California, Santa Barbara); Koltunov, Alexander (University of California, Davis); Sweeney, Stuart (University of California, Santa Barbara); Ramirez, Carlos ()",3,3,,,,https://app.dimensions.ai/details/publication/pub.1101560052,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
4,100,pub.1013098078,10.1080/00130095.2015.1112731,,,"Open Trade, Price Supports, and Regional Price Behavior in Mexican Maize Markets",Economic Geography,,,2016-04-02,2016,92,2,201-225,Closed,Article,"Davenport, Frank; Steigerwald, Doug; Sweeney, Stuart",,"Davenport, Frank (); Steigerwald, Doug (); Sweeney, Stuart ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1013098078,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
5,100,pub.1031625290,10.1111/jors.12238,,,LOCALIZATION AND INDUSTRY CLUSTERING ECONOMETRICS: AN ASSESSMENT OF GIBBS MODELS FOR SPATIAL POINT PROCESSES,Journal of Regional Science,,,2016-03,2016,56,2,257-287,"All OA; Green, Published",Article,"Sweeney, Stuart; Gómez‐Antonio, Miguel",,"Sweeney, Stuart (); Gómez‐Antonio, Miguel (Complutense University of Madrid)",3,2,,1.57,https://onlinelibrary.wiley.com/doi/pdf/10.1111/jors.12221,https://app.dimensions.ai/details/publication/pub.1031625290,12 Built Environment and Design; 14 Economics; 16 Studies in Human Society; 1604 Human Geography; 1402 Applied Economics; 1205 Urban and Regional Planning,12 Built Environment and Design,14 Economics,16 Studies in Human Society,1604 Human Geography,1402 Applied Economics
6,400,pub.1020702076,10.1007/s13524-015-0452-8,26822764,,Ethnic Dimensions of Guatemala’s Stalled Transition: A Parity-Specific Analysis of Ladino and Indigenous Fertility Regimes,Demography,,"Adolescent; Adult; Ethnic Groups; Female; Fertility; Guatemala; Humans; Middle Aged; Models, Statistical; Parity; Pregnancy; Rural Population; Surveys and Questionnaires; Urban Population; Young Adult",2016-02,2016,53,1,117-137,Closed,Article,"Grace, Kathryn; Sweeney, Stuart","Sweeney, Stuart","Grace, Kathryn (University of Utah); Sweeney, Stuart (University of California, Santa Barbara)",1,1,0,0.64,,https://app.dimensions.ai/details/publication/pub.1020702076,16 Studies in Human Society; 1603 Demography,16 Studies in Human Society,1603 Demography,,,
7,100,pub.1026013496,10.1016/j.worlddev.2014.12.012,,,Correlates of Maize Land and Livelihood Change Among Maize Farming Households in Mexico,World Development,,,2015-06,2015,70,,78-91,Closed,Article,"Eakin, Hallie; Appendini, Kirsten; Sweeney, Stuart; Perales, Hugo",,"Eakin, Hallie (Arizona State University); Appendini, Kirsten (College of Mexico); Sweeney, Stuart (University of California, Santa Barbara); Perales, Hugo (El Colegio de la Frontera Sur)",10,9,,5.35,,https://app.dimensions.ai/details/publication/pub.1026013496,16 Studies in Human Society; 1604 Human Geography; 1402 Applied Economics; 14 Economics,16 Studies in Human Society,1604 Human Geography,1402 Applied Economics,14 Economics,
8,100,pub.1010786714,10.1177/0042098013506064,,,"Growing buildings in corn fields: Urban expansion and the persistence of maize in the Toluca Metropolitan Area, Mexico",Urban Studies,,,2014-08,2014,51,10,2185-2201,Closed,Article,"Lerner, Amy; Sweeney, Stuart; Eakin, Hallie",,"Lerner, Amy (Rutgers, The State University of New Jersey); Sweeney, Stuart (University of California, Santa Barbara); Eakin, Hallie (Arizona State University)",7,4,,3.47,,https://app.dimensions.ai/details/publication/pub.1010786714,1605 Policy and Administration; 16 Studies in Human Society,1605 Policy and Administration,16 Studies in Human Society,,,
9,200,pub.1007522739,10.1016/j.apgeog.2013.10.008,,,Corrigendum to “Mexican maize production: Evolving organizational and spatial structures since 1980” [Appl Geogr 39 (2012) 78–92],Applied Geography,,,2014-01,2014,46,,171,Closed,Article,"Sweeney, Stuart; Steigerwald, Douglas G.; Davenport, Frank; Eakin, Hallie","Sweeney, Stuart","Sweeney, Stuart (University of California, Santa Barbara); Steigerwald, Douglas G. (University of California, Santa Barbara); Davenport, Frank (University of California, Santa Barbara); Eakin, Hallie (Arizona State University)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1007522739,16 Studies in Human Society; 1604 Human Geography; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,16 Studies in Human Society,1604 Human Geography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,
