,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Susannah M Porter. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1112994152,10.1017/jpa.2019.6,,,Insights into vase-shaped microfossil diversity and Neoproterozoic biostratigraphy in light of recent Brazilian discoveries,Journal of Paleontology,,,2019-07,2019,93,4,612-627,Closed,Article,"Morais, L.; Lahr, D.J.G.; Rudnitzki, I.D.; Freitas, B.T.; Romero, G.R.; Porter, S.M.; Knoll, A.H.; Fairchild, T.R.",,"Morais, L. (University of Sao Paulo); Lahr, D.J.G. (University of Sao Paulo); Rudnitzki, I.D. (University of Sao Paulo; Federal University of Ouro Preto); Freitas, B.T. (State University of Campinas); Romero, G.R. (Federal University of Para); Porter, S.M. (University of California System); Knoll, A.H. (Harvard University); Fairchild, T.R. (University of Sao Paulo)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1112994152,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
2,300,pub.1112845156,10.1016/j.cub.2019.02.003,30889393,,Evolution: Ancient Fossilized Amoebae Find Their Home in the Tree,Current Biology,,,2019-03,2019,29,6,r212-r215,Closed,Article,"Porter, Susannah M.; Riedman, Leigh Anne","Porter, Susannah M.","Porter, Susannah M. (University of California, Santa Barbara); Riedman, Leigh Anne (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1112845156,17 Psychology and Cognitive Sciences; 11 Medical and Health Sciences; 06 Biological Sciences,17 Psychology and Cognitive Sciences,11 Medical and Health Sciences,06 Biological Sciences,,
3,100,pub.1106290944,10.1016/j.precamres.2018.08.015,,,Descent into the Cryogenian,Precambrian Research,,,2018-12,2018,319,Precambrian Res 2017,1-5,Closed,Article,"Shields, Graham A.; Halverson, Galen P.; Porter, Susannah M.","Shields, Graham A.","Shields, Graham A. (University College London); Halverson, Galen P. (McGill University); Porter, Susannah M. (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1106290944,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
4,100,pub.1091884974,10.1016/j.precamres.2017.09.019,,,"Vase-shaped microfossil biostratigraphy with new data from Tasmania, Svalbard, Greenland, Sweden and the Yukon",Precambrian Research,,,2018-12,2018,319,J. Eukaryot. Microbiol. 59 5 2012,19-36,Closed,Article,"Riedman, Leigh Anne; Porter, Susannah M.; Calver, Clive R.","Riedman, Leigh Anne","Riedman, Leigh Anne (Harvard University); Porter, Susannah M. (University of California System); Calver, Clive R. (University of Tasmania)",14,14,,,,https://app.dimensions.ai/details/publication/pub.1091884974,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
5,100,pub.1107297763,10.1042/etls20180093,,,Early Earth and the rise of complex life,Emerging Topics in Life Sciences,,,2018-09-28,2018,2,2,121-124,All OA; Gold,Article,"Lyons, Timothy W.; Droser, Mary L.; Lau, Kimberly V.; Porter, Susannah M.",,"Lyons, Timothy W. (); Droser, Mary L. (); Lau, Kimberly V. (); Porter, Susannah M. (University of California, Santa Barbara)",0,0,,,http://www.emergtoplifesci.org/content/ppetls/2/2/121.full.pdf,https://app.dimensions.ai/details/publication/pub.1107297763,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
6,100,pub.1105584653,10.1042/etls20170167,,,Dating the late Proterozoic stratigraphic record,Emerging Topics in Life Sciences,,,2018-09-28,2018,2,2,137-147,All OA; Gold,Article,"Halverson, Galen P.; Porter, Susannah M.; Gibson, Timothy M.",,"Halverson, Galen P. (McGill University; Curtin University); Porter, Susannah M. (University of California, Santa Barbara); Gibson, Timothy M. (McGill University)",5,5,,,http://www.emergtoplifesci.org/content/ppetls/2/2/137.full.pdf,https://app.dimensions.ai/details/publication/pub.1105584653,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
7,100,pub.1105584652,10.1042/etls20170162,,,Anoxic ecosystems and early eukaryotes,Emerging Topics in Life Sciences,,,2018-09-28,2018,2,2,299-309,All OA; Gold,Article,"Porter, Susannah M.; Agić, Heda; Riedman, Leigh Anne",,"Porter, Susannah M. (University of California, Santa Barbara); Agić, Heda (University of California, Santa Barbara); Riedman, Leigh Anne (University of California, Santa Barbara)",8,8,,,http://www.emergtoplifesci.org/content/ppetls/2/2/299.full.pdf,https://app.dimensions.ai/details/publication/pub.1105584652,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
8,100,pub.1101356357,10.1111/pala.12352,,,"Plywood‐like shell microstructures in hyoliths from the middle Cambrian (Drumian) Gowers Formation, Georgina Basin, Australia",Palaeontology,,,2018-05,2018,61,3,441-467,Closed,Article,"Moore, J. L.; Porter, Susannah M.",,"Moore, J. L. (University of California, Santa Barbara); Porter, Susannah M. (University of California, Santa Barbara)",5,5,,,,https://app.dimensions.ai/details/publication/pub.1101356357,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
9,200,pub.1110408307,10.1130/abs/2018am-322538,,,TOTAL ORGANIC CARBON AND THE PRESERVATION OF PRECAMBRIAN ORGANIC-WALLED MICROFOSSILS IN SHALES,Abstracts with programs (Geological Society of America),,,2018,2018,,,,Closed,Proceeding,"Woltz, Christina R.; Porter, Susannah M.; Dehler, Carol M.; Junium, Christopher K.; Hodgskiss, Malcolm S.W.; Wörndle, Sarah; Halverson, Galen P.",,"Woltz, Christina R. (); Porter, Susannah M. (); Dehler, Carol M. (); Junium, Christopher K. (); Hodgskiss, Malcolm S.W. (); Wörndle, Sarah (); Halverson, Galen P. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1110408307,,,,,,
