,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Thiago Sanna Freire Silva. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1121878288,10.1111/rec.13067,,,A new era in forest restoration monitoring,Restoration Ecology,,,2019-10-17,2019,,,,Closed,Article,"Almeida, Danilo Roberti Alves; Stark, Scott Christopher; Valbuena, Ruben; Broadbent, Eben North; Silva, Thiago Sanna Freire; Resende, Angelica Faria; Ferreira, Matheus Pinheiro; Cardil, Adrián; Silva, Carlos Alberto; Amazonas, Nino; Zambrano, Angelica Maria Almeyda; Brancalion, Pedro H. S.",,"Almeida, Danilo Roberti Alves (University of Sao Paulo); Stark, Scott Christopher (Michigan State University); Valbuena, Ruben (Bangor University); Broadbent, Eben North (University of Florida); Silva, Thiago Sanna Freire (University of Stirling); Resende, Angelica Faria (National Institute of Amazonian Research); Ferreira, Matheus Pinheiro (Military Institute of Engineering); Cardil, Adrián (University of Lleida); Silva, Carlos Alberto (Goddard Space Flight Center); Amazonas, Nino (University of Sao Paulo); Zambrano, Angelica Maria Almeyda (University of Florida); Brancalion, Pedro H. S. (University of Sao Paulo)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1121878288,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
2,100,pub.1117802854,10.1016/j.gecco.2019.e00706,,,Predicting the potential hybridization zones between native and invasive marmosets within Neotropical biodiversity hotspots,Global Ecology and Conservation,,,2019-10,2019,20,,e00706,All OA; Gold,Article,"Moraes, Andreia Magro; Vancine, Maurício Humberto; Moraes, Andreza Magro; de Oliveira Cordeiro, Carlos Leandro; Pinto, Míriam Plaza; Lima, Adriana Almeida; Culot, Laurence; Silva, Thiago Sanna Freire; Collevatti, Rosane Garcia; Ribeiro, Milton Cezar; Sobral-Souza, Thadeu","Moraes, Andreia Magro","Moraes, Andreia Magro (Sao Paulo State University); Vancine, Maurício Humberto (Sao Paulo State University); Moraes, Andreza Magro (Universidade Federal de Juiz de Fora); de Oliveira Cordeiro, Carlos Leandro (Sao Paulo State University); Pinto, Míriam Plaza (Federal University of Rio Grande do Norte); Lima, Adriana Almeida (Federal University of Rio Grande do Norte); Culot, Laurence (Sao Paulo State University); Silva, Thiago Sanna Freire (Sao Paulo State University); Collevatti, Rosane Garcia (Federal University of Goiás); Ribeiro, Milton Cezar (Sao Paulo State University); Sobral-Souza, Thadeu (Federal University of Mato Grosso)",0,0,,,https://doi.org/10.1016/j.gecco.2019.e00706,https://app.dimensions.ai/details/publication/pub.1117802854,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
3,100,pub.1113240679,10.1109/lgrs.2019.2903194,,,Spatio-Temporal Vegetation Pixel Classification by Using Convolutional Networks,IEEE Geoscience and Remote Sensing Letters,,,2019-10,2019,16,10,1665-1669,Closed,Article,"Nogueira, Keiller; dos Santos, Jefersson A.; Menini, Nathalia; Silva, Thiago S. F.; Morellato, Leonor Patricia C.; da S. Torres, Ricardo",,"Nogueira, Keiller (Federal University of Minas Gerais); dos Santos, Jefersson A. (Federal University of Minas Gerais); Menini, Nathalia (State University of Campinas); Silva, Thiago S. F. (Sao Paulo State University); Morellato, Leonor Patricia C. (Sao Paulo State University); da S. Torres, Ricardo (State University of Campinas)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1113240679,08 Information and Computing Sciences; 09 Engineering; 0909 Geomatic Engineering; 0906 Electrical and Electronic Engineering; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,09 Engineering,0909 Geomatic Engineering,0906 Electrical and Electronic Engineering,0801 Artificial Intelligence and Image Processing
4,100,pub.1121398489,10.3390/rs11192267,,,Leafing Patterns and Drivers across Seasonally Dry Tropical Communities,Remote Sensing,,,2019-09-28,2019,11,19,2267,All OA; Gold,Article,"Alberton, Bruna; da Silva Torres, Ricardo; Silva, Thiago Sanna Freire; da Rocha, Humberto R.; Moura, Magna S. B.; Morellato, Leonor Patricia Cerdeira",,"Alberton, Bruna (Sao Paulo State University); da Silva Torres, Ricardo (State University of Campinas); Silva, Thiago Sanna Freire (University of Stirling); da Rocha, Humberto R. (University of Sao Paulo); Moura, Magna S. B. (Brazilian Agricultural Research Corporation); Morellato, Leonor Patricia Cerdeira (Sao Paulo State University)",0,0,,,http://dx.doi.org/10.3390/rs11192267,https://app.dimensions.ai/details/publication/pub.1121398489,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 02 Physical Sciences; 0203 Classical Physics; 04 Earth Sciences,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,02 Physical Sciences,0203 Classical Physics
5,100,pub.1115218408,10.1016/j.landurbplan.2019.05.003,,,Beyond the park and city dichotomy: Land use and land cover change in the northern coast of São Paulo (Brazil),Landscape and Urban Planning,,,2019-09,2019,189,,352-361,Closed,Article,"Daunt, Ana Beatriz Pierri; Silva, Thiago Sanna Freire","Daunt, Ana Beatriz Pierri","Daunt, Ana Beatriz Pierri (Sao Paulo State University); Silva, Thiago Sanna Freire (Sao Paulo State University; University of Stirling)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1115218408,0501 Ecological Applications; 05 Environmental Sciences; 0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,0502 Environmental Science and Management,,
6,100,pub.1119787300,10.3390/rs11151746,,,Spatiotemporal Patterns and Phenology of Tropical Vegetation Solar-Induced Chlorophyll Fluorescence across Brazilian Biomes Using Satellite Observations,Remote Sensing,,,2019-07-24,2019,11,15,1746,All OA; Gold,Article,"Merrick, Trina; Pau, Stephanie; Jorge, Maria Luisa S.P.; Silva, Thiago S. F.; Bennartz, Ralf",,"Merrick, Trina (Vanderbilt University; Florida State University); Pau, Stephanie (Florida State University); Jorge, Maria Luisa S.P. (Vanderbilt University); Silva, Thiago S. F. (University of Stirling); Bennartz, Ralf (Vanderbilt University; University of Wisconsin–Madison)",0,0,,,https://www.mdpi.com/2072-4292/11/15/1746/pdf,https://app.dimensions.ai/details/publication/pub.1119787300,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 02 Physical Sciences; 0203 Classical Physics; 04 Earth Sciences,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,02 Physical Sciences,0203 Classical Physics
7,100,pub.1115225959,10.1111/btp.12668,,,Satellite image texture for the assessment of tropical anuran communities,Biotropica,,,2019-07,2019,51,4,581-590,Closed,Article,"Sugai, Larissa Sayuri Moreira; Sugai, José Luiz Massao Moreira; Ferreira, Vanda Lucia; Silva, Thiago Sanna Freire",,"Sugai, Larissa Sayuri Moreira (Sao Paulo State University; Federal University of Mato Grosso do Sul); Sugai, José Luiz Massao Moreira (Federal University of Mato Grosso do Sul); Ferreira, Vanda Lucia (Federal University of Mato Grosso do Sul); Silva, Thiago Sanna Freire (Sao Paulo State University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1115225959,05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,05 Environmental Sciences,06 Biological Sciences,07 Agricultural and Veterinary Sciences,,
8,100,pub.1117619559,10.3390/rs11131530,,,Phenology and Seasonal Ecosystem Productivity in an Amazonian Floodplain Forest,Remote Sensing,,,2019-06-28,2019,11,13,1530,All OA; Gold,Article,"Fonseca, Letícia D. M.; Dalagnol, Ricardo; Malhi, Yadvinder; Rifai, Sami W.; Costa, Gabriel B.; Silva, Thiago S. F.; Da Rocha, Humberto R.; Tavares, Iane B.; Borma, Laura S.",,"Fonseca, Letícia D. M. (National Institute for Space Research); Dalagnol, Ricardo (National Institute for Space Research); Malhi, Yadvinder (University of Oxford); Rifai, Sami W. (University of Oxford); Costa, Gabriel B. (Federal University of Western Pará); Silva, Thiago S. F. (University of Stirling); Da Rocha, Humberto R. (University of Sao Paulo); Tavares, Iane B. (National Institute for Space Research); Borma, Laura S. (National Institute for Space Research)",0,0,,,https://www.mdpi.com/2072-4292/11/13/1530/pdf,https://app.dimensions.ai/details/publication/pub.1117619559,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 02 Physical Sciences; 0203 Classical Physics; 04 Earth Sciences,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,02 Physical Sciences,0203 Classical Physics
9,500,pub.1110669612,10.1016/j.scitotenv.2018.12.208,31096388,,Massive tree mortality from flood pulse disturbances in Amazonian floodplain forests: The collateral effects of hydropower production,The Science of The Total Environment,,Brazil; Conservation of Natural Resources; Hydrology; Power Plants; Rivers; Trees,2019-04,2019,659,,587-598,Closed,Article,"de Resende, Angélica Faria; Schöngart, Jochen; Streher, Annia Susin; Ferreira-Ferreira, Jefferson; Piedade, Maria Teresa Fernandez; Silva, Thiago Sanna Freire","de Resende, Angélica Faria","de Resende, Angélica Faria (National Institute of Amazonian Research); Schöngart, Jochen (National Institute of Amazonian Research); Streher, Annia Susin (Sao Paulo State University); Ferreira-Ferreira, Jefferson (Sao Paulo State University; Instituto de Desenvolvimento Sustentável Mamirauá); Piedade, Maria Teresa Fernandez (National Institute of Amazonian Research); Silva, Thiago Sanna Freire (Sao Paulo State University)",6,6,,,,https://app.dimensions.ai/details/publication/pub.1110669612,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
