,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Thomas Dunne. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1113527404,10.1002/esp.4640,,,Fluvial incision and coarse gravel redistribution across the modern Dead Sea shelf as a result of base‐level fall,Earth Surface Processes and Landforms,,,2019-09-15,2019,44,11,2170-2185,Closed,Article,"Eyal, Haggai; Dente, Elad; Haviv, Itai; Enzel, Yehouda; Dunne, Thomas; Lensky, Nadav G.",,"Eyal, Haggai (Hebrew University of Jerusalem; Geological Survey of Israel); Dente, Elad (Hebrew University of Jerusalem; Geological Survey of Israel); Haviv, Itai (Ben-Gurion University of the Negev); Enzel, Yehouda (Hebrew University of Jerusalem); Dunne, Thomas (University of California, Santa Barbara); Lensky, Nadav G. (Geological Survey of Israel)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1113527404,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
2,100,pub.1117347175,10.1130/g46319.1,,,The role of sediment supply in the adjustment of channel sinuosity across the Amazon Basin,Geology,,,2019-09-01,2019,47,9,807-810,All OA; Gold,Article,"Ahmed, Joshua; Constantine, José Antonio; Dunne, Thomas",,"Ahmed, Joshua (University of Hull; Cardiff University); Constantine, José Antonio (Williams College); Dunne, Thomas (University of California, Santa Barbara)",1,1,,,https://pubs.geoscienceworld.org/gsa/geology/article-pdf/doi/10.1130/G46319.1/4754550/g46319.pdf,https://app.dimensions.ai/details/publication/pub.1117347175,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
3,100,pub.1119892042,10.1002/esp.4707,,,Thirty years of tephra erosion following the 1980 eruption of Mount St. Helens,Earth Surface Processes and Landforms,,,2019-08-27,2019,,,,Closed,Article,"Collins, Brian D.; Dunne, Thomas",,"Collins, Brian D. (University of Washington); Dunne, Thomas (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1119892042,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
4,100,pub.1107438410,10.1002/esp.4530,,,Sinuosity evolution along an incising channel: New insights from the Jordan River response to the Dead Sea level fall,Earth Surface Processes and Landforms,,,2019-03-15,2019,44,3,781-795,Closed,Article,"Dente, Elad; Lensky, Nadav G.; Morin, Efrat; Dunne, Thomas; Enzel, Yehouda",,"Dente, Elad (Hebrew University of Jerusalem; Geological Survey of Israel); Lensky, Nadav G. (Geological Survey of Israel); Morin, Efrat (Hebrew University of Jerusalem); Dunne, Thomas (University of California, Santa Barbara); Enzel, Yehouda (Hebrew University of Jerusalem)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1107438410,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
5,100,pub.1091502308,10.1002/esp.4247,,,Recent increase of river–floodplain suspended sediment exchange in a reach of the lower Amazon River,Earth Surface Processes and Landforms,,,2018-01,2018,43,1,322-332,All OA; Gold,Article,"Rudorff, Conrado M.; Dunne, Thomas; Melack, John M.",,"Rudorff, Conrado M. (University of California, Santa Barbara); Dunne, Thomas (University of California, Santa Barbara); Melack, John M. (University of California, Santa Barbara)",11,11,,,https://onlinelibrary.wiley.com/doi/pdf/10.1002/esp.4247,https://app.dimensions.ai/details/publication/pub.1091502308,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
6,200,pub.1110407516,10.1130/abs/2018am-320750,,,THE ROLE OF SEDIMENT SUPPLY IN THE ADJUSTMENT OF CHANNEL SINUOSITY ACROSS TROPICAL RIVER BASINS,Abstracts with programs (Geological Society of America),,,2018,2018,,,,Closed,Proceeding,"Constantine, José Antonio; Ahmed, Joshua; Thomas, Summer-Solstice; Dunne, Thomas; Hales, T.C.",,"Constantine, José Antonio (); Ahmed, Joshua (); Thomas, Summer-Solstice (); Dunne, Thomas (); Hales, T.C. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1110407516,,,,,,
7,100,pub.1085201574,10.1002/esp.4164,,,Observations of bedload transport in a gravel bed river during high flow using fiber‐optic DTS methods,Earth Surface Processes and Landforms,,,2017-10,2017,42,13,2184-2198,"All OA; Green, Published",Article,"Bray, Erin N.; Dunne, Thomas",,"Bray, Erin N. (University of California, Santa Barbara; University of California, Berkeley); Dunne, Thomas (University of California, Santa Barbara)",4,2,,1.42,https://escholarship.org/content/qt8hq2f7f2/qt8hq2f7f2.pdf?t=oz1znb,https://app.dimensions.ai/details/publication/pub.1085201574,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
8,100,pub.1091327068,10.1002/2017gl075317,,,"Mechanics of the energy balance in large lowland rivers, and why the bed matters",Geophysical Research Letters,,,2017-09-16,2017,44,17,8910-8918,"All OA; Green, Published",Article,"Bray, Erin N.; Dozier, Jeff; Dunne, Thomas",,"Bray, Erin N. (University of California, Santa Barbara; University of California, Berkeley); Dozier, Jeff (University of California, Santa Barbara); Dunne, Thomas (University of California, Santa Barbara)",0,0,,0,https://escholarship.org/content/qt8968c4rk/qt8968c4rk.pdf?t=oxzss5,https://app.dimensions.ai/details/publication/pub.1091327068,0915 Interdisciplinary Engineering; 09 Engineering; 0907 Environmental Engineering,0915 Interdisciplinary Engineering,09 Engineering,0907 Environmental Engineering,,
9,100,pub.1090934573,10.1002/2016wr019514,,,Subsurface flow in lowland river gravel bars,Water Resources Research,,,2017-09,2017,53,9,7773-7797,"All OA; Green, Published",Article,"Bray, E. N.; Dunne, T.",,"Bray, E. N. (University of California, Santa Barbara; University of California, Berkeley); Dunne, T. (University of California, Santa Barbara)",2,2,,1.07,https://escholarship.org/content/qt5052g8r9/qt5052g8r9.pdf?t=oz1zrh,https://app.dimensions.ai/details/publication/pub.1090934573,09 Engineering; 14 Economics; 0905 Civil Engineering; 1402 Applied Economics; 0907 Environmental Engineering,09 Engineering,14 Economics,0905 Civil Engineering,1402 Applied Economics,0907 Environmental Engineering
10,500,pub.1091328492,10.1371/journal.pone.0182254,28832638,PMC5568116,The potential impact of new Andean dams on Amazon fluvial ecosystems,PLoS ONE,,Ecosystem; South America,2017-08-23,2017,12,8,e0182254,All OA; Gold,Article,"Forsberg, Bruce R.; Melack, John M.; Dunne, Thomas; Barthem, Ronaldo B.; Goulding, Michael; Paiva, Rodrigo C. D.; Sorribas, Mino V.; Silva, Urbano L.; Weisser, Sabine",,"Forsberg, Bruce R. (National Institute of Amazonian Research); Melack, John M. (University of California, Santa Barbara); Dunne, Thomas (University of California, Santa Barbara); Barthem, Ronaldo B. (Museu Paraense Emílio Goeldi); Goulding, Michael (Wildlife Conservation Society); Paiva, Rodrigo C. D. (Federal University of Rio Grande do Sul); Sorribas, Mino V. (Federal University of Rio Grande do Sul); Silva, Urbano L. (Chico Mendes Institute for Biodiversity Conservation); Weisser, Sabine (University of Konstanz)",35,34,1.17,13.63,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0182254&type=printable,https://app.dimensions.ai/details/publication/pub.1091328492,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
11,500,pub.1086000659,10.1038/nature22333,28617466,,Damming the rivers of the Amazon basin,Nature,,Brazil; Conservation of Natural Resources; Decision Making; Ecology; Ecosystem; Geologic Sediments; International Cooperation; Power Plants; Rivers; Water Movements,2017-06,2017,546,7658,363-369,"All OA; Green, Published",Article,"Latrubesse, Edgardo M.; Arima, Eugenio Y.; Dunne, Thomas; Park, Edward; Baker, Victor R.; d’Horta, Fernando M.; Wight, Charles; Wittmann, Florian; Zuanon, Jansen; Baker, Paul A.; Ribas, Camila C.; Norgaard, Richard B.; Filizola, Naziano; Ansar, Atif; Flyvbjerg, Bent; Stevaux, Jose C.","Latrubesse, Edgardo M.","Latrubesse, Edgardo M. (The University of Texas at Austin); Arima, Eugenio Y. (The University of Texas at Austin); Dunne, Thomas (University of California, Santa Barbara); Park, Edward (The University of Texas at Austin); Baker, Victor R. (University of Arizona); d’Horta, Fernando M. (National Institute of Amazonian Research); Wight, Charles (The University of Texas at Austin); Wittmann, Florian (Karlsruhe Institute of Technology); Zuanon, Jansen (National Institute of Amazonian Research); Baker, Paul A. (Duke University); Ribas, Camila C. (National Institute of Amazonian Research); Norgaard, Richard B. (University of California, Berkeley); Filizola, Naziano (Federal University of Amazonas); Ansar, Atif (University of Oxford); Flyvbjerg, Bent (University of Oxford); Stevaux, Jose C. (Sao Paulo State University)",124,114,4.14,55.3,https://escholarship.org/content/qt3kz9q682/qt3kz9q682.pdf?t=p69f6x,https://app.dimensions.ai/details/publication/pub.1086000659,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
12,100,pub.1014971445,10.1002/9781118648551.ch16,,,Sediment budgets as an organizing framework in fluvial geomorphology,,Tools in Fluvial Geomorphology,,2016-04-06,2016,,,357-380,Closed,Chapter,"Reid, Leslie M.; Dunne, Thomas",,"Reid, Leslie M. (Pacific Southwest Research Station); Dunne, Thomas (University of California, Santa Barbara)",7,6,,1.73,,https://app.dimensions.ai/details/publication/pub.1014971445,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
13,100,pub.1013021149,10.1002/2015jf003737,,,Limits on the morphogenetic role of rain splash transport in hillslope evolution,Journal of Geophysical Research Earth Surface,,,2016-03,2016,121,3,609-622,All OA; Gold,Article,"Dunne, Thomas; Malmon, Daniel V.; Dunne, Kieran B. J.",,"Dunne, Thomas (); Malmon, Daniel V. (CH2M (United States)); Dunne, Kieran B. J. (University of Pennsylvania)",11,5,,2.95,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2015JF003737,https://app.dimensions.ai/details/publication/pub.1013021149,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
14,100,pub.1011886231,10.1002/hyp.10377,,,"Water's Way at Sleepers River watershed – revisiting flow generation in a post‐glacial landscape, Vermont USA",Hydrological Processes,,,2015-07-30,2015,29,16,3447-3459,"All OA; Green, Published",Article,"Shanley, James B.; Sebestyen, Stephen D.; McDonnell, Jeffrey J.; McGlynn, Brian L.; Dunne, Thomas",,"Shanley, James B. (United States Geological Survey); Sebestyen, Stephen D. (US Forest Service); McDonnell, Jeffrey J. (University of Saskatchewan; University of Aberdeen); McGlynn, Brian L. (Duke University); Dunne, Thomas (University of California, Santa Barbara)",16,7,,2.99,https://escholarship.org/content/qt0vk658z6/qt0vk658z6.pdf?t=nuu9wm,https://app.dimensions.ai/details/publication/pub.1011886231,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
15,100,pub.1053287387,10.1002/esp.3717,,,"Hydraulic and geomorphic processes in an overbank flood along a meandering, gravel‐bed river: implications for chute formation",Earth Surface Processes and Landforms,,,2015-07,2015,40,9,1239-1253,"All OA; Green, Published",Article,"Harrison, Lee R.; Dunne, Thomas; Fisher, G. Burch",,"Harrison, Lee R. (National Marine Fisheries Service; University of California, Santa Barbara); Dunne, Thomas (University of California, Santa Barbara); Fisher, G. Burch (The University of Texas at Austin)",18,11,,3.36,https://escholarship.org/content/qt5wq9b4f8/qt5wq9b4f8.pdf?t=orw8go,https://app.dimensions.ai/details/publication/pub.1053287387,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
16,100,pub.1018620347,10.1038/ngeo2282,,,Sediment supply as a driver of river meandering and floodplain evolution in the Amazon Basin,Nature Geoscience,,,2014-12,2014,7,12,899-903,"All OA; Green, Accepted & Submitted",Article,"Constantine, José Antonio; Dunne, Thomas; Ahmed, Joshua; Legleiter, Carl; Lazarus, Eli D.","Constantine, José Antonio","Constantine, José Antonio (Cardiff University); Dunne, Thomas (University of California, Santa Barbara); Ahmed, Joshua (Cardiff University); Legleiter, Carl (University of Wyoming); Lazarus, Eli D. (Cardiff University)",72,37,,11.64,https://escholarship.org/content/qt3dt8j507/qt3dt8j507.pdf?t=nuua6b,https://app.dimensions.ai/details/publication/pub.1018620347,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
17,100,pub.1017816970,10.1016/j.ecolmodel.2014.04.015,,,Quantifying the role of woody debris in providing bioenergetically favorable habitat for juvenile salmon,Ecological Modelling,,,2014-08,2014,285,River Res. Appl. 29 2013,30-38,"All OA; Green, Published",Article,"Hafs, Andrew W.; Harrison, Lee R.; Utz, Ryan M.; Dunne, Thomas","Hafs, Andrew W.","Hafs, Andrew W. (Bemidji State University; University of California, Santa Barbara); Harrison, Lee R. (National Marine Fisheries Service); Utz, Ryan M. (National Ecological Observatory Network); Dunne, Thomas (University of California, Santa Barbara)",30,14,,4.89,https://escholarship.org/content/qt5dg57499/qt5dg57499.pdf?t=nuu9r1,https://app.dimensions.ai/details/publication/pub.1017816970,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
