,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Timothy Devries. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1117018188,10.1029/2019gl082663,,,The Ocean's Global 39Ar Distribution Estimated With an Ocean Circulation Inverse Model,Geophysical Research Letters,,,2019-07-16,2019,46,13,7491-7499,Closed,Article,"Holzer, Mark; DeVries, Timothy; Smethie, William",,"Holzer, Mark (UNSW Sydney); DeVries, Timothy (University of California, Santa Barbara); Smethie, William (Lamont-Doherty Earth Observatory)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1117018188,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
2,100,pub.1117784406,10.5194/bg-16-2617-2019,,,Global trends in marine nitrate N isotopes from observations and a neural network-based climatology,Biogeosciences,,,2019-07-05,2019,16,13,2617-2633,All OA; Gold,Article,"Rafter, Patrick A.; Bagnell, Aaron; Marconi, Dario; DeVries, Timothy",,"Rafter, Patrick A. (University of California, Irvine); Bagnell, Aaron (University of California, Santa Barbara); Marconi, Dario (Princeton University); DeVries, Timothy (University of California, Santa Barbara)",0,0,,,https://www.biogeosciences.net/16/2617/2019/bg-16-2617-2019.pdf,https://app.dimensions.ai/details/publication/pub.1117784406,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
3,100,pub.1111314867,10.5194/bg-2018-525,,,Global trends in marine nitrate N isotopes from observations and a neural network-based climatology,Biogeosciences Discussions,,,2019-01-11,2019,,,1-31,All OA; Gold,Article,"Rafter, Patrick A.; Bagnell, Aaron; Marconi, Dario; DeVries, Timothy",,"Rafter, Patrick A. (University of California, Irvine); Bagnell, Aaron (University of California, Santa Barbara); Marconi, Dario (Princeton University); DeVries, Timothy (University of California, Santa Barbara)",2,2,,,https://www.biogeosciences-discuss.net/bg-2018-525/bg-2018-525.pdf,https://app.dimensions.ai/details/publication/pub.1111314867,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
4,500,pub.1099597564,10.1038/s41467-017-02227-3,29230041,PMC5725454,Efficient dissolved organic carbon production and export in the oligotrophic ocean,Nature Communications,,,2017-12,2017,8,1,2036,All OA; Gold,Article,"Roshan, Saeed; DeVries, Timothy","Roshan, Saeed","Roshan, Saeed (University of California, Santa Barbara); DeVries, Timothy (University of California, Santa Barbara)",17,17,0.36,5.28,https://www.nature.com/articles/s41467-017-02227-3.pdf,https://app.dimensions.ai/details/publication/pub.1099597564,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
5,100,pub.1092056390,10.1002/2016gb005556,,,Controls on the Cadmium‐Phosphate Relationship in the Tropical South Pacific,Global Biogeochemical Cycles,,,2017-10,2017,31,10,1516-1527,Closed,Article,"Roshan, Saeed; Wu, Jingfeng; DeVries, Timothy",,"Roshan, Saeed (University of Miami; University of California, Santa Barbara); Wu, Jingfeng (University of Miami; Shenzhen University); DeVries, Timothy (University of California, Santa Barbara)",5,5,,1.55,,https://app.dimensions.ai/details/publication/pub.1092056390,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
6,100,pub.1028329519,10.1016/j.epsl.2016.10.054,,,Objective estimates of mantle 3He in the ocean and implications for constraining the deep ocean circulation,Earth and Planetary Science Letters,,,2017-01,2017,458,,305-314,Closed,Article,"Holzer, Mark; DeVries, Timothy; Bianchi, Daniele; Newton, Robert; Schlosser, Peter; Winckler, Gisela","Holzer, Mark","Holzer, Mark (UNSW Sydney); DeVries, Timothy (University of California, Santa Barbara); Bianchi, Daniele (University of California Los Angeles); Newton, Robert (Lamont-Doherty Earth Observatory); Schlosser, Peter (Lamont-Doherty Earth Observatory); Winckler, Gisela (Lamont-Doherty Earth Observatory)",11,10,,3.42,,https://app.dimensions.ai/details/publication/pub.1028329519,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
7,400,pub.1017944018,10.1073/pnas.1604414113,27457946,PMC4978250,Deep ocean nutrients imply large latitudinal variation in particle transfer efficiency,Proceedings of the National Academy of Sciences,,,2016-08-02,2016,113,31,8606-8611,"All OA; Green, Published",Article,"Weber, Thomas; Cram, Jacob A.; Leung, Shirley W.; DeVries, Timothy; Deutsch, Curtis",,"Weber, Thomas (University of Washington); Cram, Jacob A. (University of Washington); Leung, Shirley W. (University of Washington); DeVries, Timothy (University of California, Santa Barbara); Deutsch, Curtis (University of Washington)",41,31,0.4,8.85,http://europepmc.org/articles/pmc4978250?pdf=render,https://app.dimensions.ai/details/publication/pub.1017944018,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
8,100,pub.1000027984,10.1002/2015jg003111,,,Constraints on the global marine iron cycle from a simple inverse model,Journal of Geophysical Research Biogeosciences,,,2016-01,2016,121,1,28-51,All OA; Gold,Article,"Frants, Marina; Holzer, Mark; DeVries, Timothy; Matear, Richard",,"Frants, Marina (UNSW Sydney); Holzer, Mark (UNSW Sydney); DeVries, Timothy (University of California, Santa Barbara); Matear, Richard (CSIRO Marine and Atmospheric Research)",10,6,,3.02,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2015JG003111,https://app.dimensions.ai/details/publication/pub.1000027984,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
9,100,pub.1025887788,10.1002/2014gl061574,,,Global estimate of submarine groundwater discharge based on an observationally constrained radium isotope model,Geophysical Research Letters,,,2014-12-16,2014,41,23,8438-8444,All OA; Gold,Article,"Kwon, Eun Young; Kim, Guebuem; Primeau, Francois; Moore, Willard S.; Cho, Hyung‐Mi; DeVries, Timothy; Sarmiento, Jorge L.; Charette, Matthew A.; Cho, Yang‐Ki",,"Kwon, Eun Young (Seoul National University); Kim, Guebuem (Seoul National University); Primeau, Francois (University of California, Irvine); Moore, Willard S. (University of South Carolina); Cho, Hyung‐Mi (Seoul National University); DeVries, Timothy (University of California, Santa Barbara); Sarmiento, Jorge L. (Princeton University); Charette, Matthew A. (Woods Hole Oceanographic Institution); Cho, Yang‐Ki (Seoul National University)",90,47,,13.25,https://doi.org/10.1002/2014gl061574,https://app.dimensions.ai/details/publication/pub.1025887788,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0405 Oceanography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0405 Oceanography,,
