,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Trevor W Hayton. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,500,pub.1122476255,10.1021/acs.inorgchem.9b02443,31710476,,"Synthesis and Characterization of a Linear, Two-Coordinate Pt(II) Ketimide Complex.",Inorganic Chemistry,,,11/11/19,2019,58,23,15927-15935,Closed,Article,"Cook, Andrew W; Hrobárik, Peter; Damon, Peter L; Najera, Daniel; Horváth, Branislav; Wu, Guang; Hayton, Trevor W",,"Cook, Andrew W (University of California, Santa Barbara); Hrobárik, Peter (Comenius University); Damon, Peter L (University of California, Santa Barbara); Najera, Daniel (University of California, Santa Barbara); Horváth, Branislav (Comenius University); Wu, Guang (University of California, Santa Barbara); Hayton, Trevor W (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1122476255,09 Engineering; 0302 Inorganic Chemistry; 0399 Other Chemical Sciences; 03 Chemical Sciences; 0904 Chemical Engineering,09 Engineering,0302 Inorganic Chemistry,0399 Other Chemical Sciences,03 Chemical Sciences,0904 Chemical Engineering
2,500,pub.1121192266,10.1021/acs.inorgchem.9b01428,31549824,,"Synthesis, Characterization, and Electrochemistry of the Homoleptic f Element Ketimide Complexes [Li]2[M(N═CtBuPh)6] (M = Ce, Th).",Inorganic Chemistry,,,10/7/19,2019,58,19,12654-12661,Closed,Article,"Assefa, Mikiyas K; Sergentu, Dumitru-Claudiu; Seaman, Lani A; Wu, Guang; Autschbach, Jochen; Hayton, Trevor W",,"Assefa, Mikiyas K (University of California, Santa Barbara; University at Buffalo, State University of New York); Sergentu, Dumitru-Claudiu (University of California, Santa Barbara; University at Buffalo, State University of New York); Seaman, Lani A (University of California, Santa Barbara; University at Buffalo, State University of New York); Wu, Guang (University of California, Santa Barbara; University at Buffalo, State University of New York); Autschbach, Jochen (University of California, Santa Barbara; University at Buffalo, State University of New York); Hayton, Trevor W (University of California, Santa Barbara; University at Buffalo, State University of New York)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1121192266,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
3,500,pub.1120631268,10.1021/jacs.9b08659,31460756,,Enantioselective Alkylation of 2-Alkylpyridines Controlled by Organolithium Aggregation.,Journal of the American Chemical Society,,,9/25/19,2019,141,38,15024-15028,Closed,Article,"Gladfelder, Joshua J; Ghosh, Santanu; Podunavac, Maša; Cook, Andrew W; Ma, Yun; Woltornist, Ryan A; Keresztes, Ivan; Hayton, Trevor W; Collum, David B; Zakarian, Armen",,"Gladfelder, Joshua J (University of California, Santa Barbara); Ghosh, Santanu (University of California, Santa Barbara); Podunavac, Maša (University of California, Santa Barbara); Cook, Andrew W (University of California, Santa Barbara); Ma, Yun (University of California, Santa Barbara); Woltornist, Ryan A (Cornell University); Keresztes, Ivan (Cornell University); Hayton, Trevor W (University of California, Santa Barbara); Collum, David B (Cornell University); Zakarian, Armen (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1120631268,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
4,500,pub.1116647126,10.1039/c9sc01960j,31367305,PMC6615217,Use of 15 N NMR spectroscopy to probe covalency in a thorium nitride,Chemical Science,,,7/3/19,2019,10,26,6431-6436,All OA; Gold,Article,"Staun, Selena L; Sergentu, Dumitru-Claudiu; Wu, Guang; Autschbach, Jochen; Hayton, Trevor W",,"Staun, Selena L (University of California, Santa Barbara); Sergentu, Dumitru-Claudiu (University at Buffalo, State University of New York); Wu, Guang (University of California, Santa Barbara); Autschbach, Jochen (University at Buffalo, State University of New York); Hayton, Trevor W (University of California, Santa Barbara)",2,2,,,https://pubs.rsc.org/en/content/articlepdf/2019/sc/c9sc01960j,https://app.dimensions.ai/details/publication/pub.1116647126,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
5,500,pub.1117155405,10.1021/acs.inorgchem.9b00736,31198040,,"Synthesis and Crystallographic Characterization of the Tetravalent Actinide-DOTA Complexes [AnIV(κ8-DOTA)(DMSO)] (An = Th, U).",Inorganic Chemistry,,,2019-07,2019,58,13,8253-8256,Closed,Article,"Kent, Greggory T; Wu, Guang; Hayton, Trevor W",,"Kent, Greggory T (University of California, Santa Barbara); Wu, Guang (University of California, Santa Barbara); Hayton, Trevor W (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1117155405,09 Engineering; 0302 Inorganic Chemistry; 0399 Other Chemical Sciences; 03 Chemical Sciences; 0904 Chemical Engineering,09 Engineering,0302 Inorganic Chemistry,0399 Other Chemical Sciences,03 Chemical Sciences,0904 Chemical Engineering
6,500,pub.1117155399,10.1021/acs.inorgchem.9b01140,31198031,,"Synthesis and Characterization of ""Atlas-Sphere"" Copper Nanoclusters: New Insights into the Reaction of Cu2+ with Thiols.",Inorganic Chemistry,,,2019-07,2019,58,13,8739-8749,Closed,Article,"Cook, Andrew W; Jones, Zachary R; Wu, Guang; Teat, Simon J; Scott, Susannah L; Hayton, Trevor W",,"Cook, Andrew W (); Jones, Zachary R (); Wu, Guang (); Teat, Simon J (Lawrence Berkeley National Laboratory); Scott, Susannah L (); Hayton, Trevor W ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1117155399,09 Engineering; 0302 Inorganic Chemistry; 0399 Other Chemical Sciences; 03 Chemical Sciences; 0904 Chemical Engineering,09 Engineering,0302 Inorganic Chemistry,0399 Other Chemical Sciences,03 Chemical Sciences,0904 Chemical Engineering
7,500,pub.1107122946,10.1021/acs.accounts.8b00329,30240192,,Case Studies in Nanocluster Synthesis and Characterization: Challenges and Opportunities.,Accounts of Chemical Research,,,10/16/18,2018,51,10,2456-2464,Closed,Article,"Cook, Andrew W; Hayton, Trevor W",,"Cook, Andrew W (University of California, Santa Barbara); Hayton, Trevor W (University of California, Santa Barbara)",14,14,,,,https://app.dimensions.ai/details/publication/pub.1107122946,03 Chemical Sciences; 0302 Inorganic Chemistry; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0302 Inorganic Chemistry,0306 Physical Chemistry (incl. Structural),,
8,100,pub.1106883395,10.1002/9781119477822.ch8,,,SYNTHESIS OF SELECTED TRANSITION METAL AND MAIN GROUP COMPOUNDS WITH SYNTHETIC APPLICATIONS,Inorganic Syntheses,Inorganic Syntheses,,7/27/18,2018,,,155-204,Closed,Chapter,"Abdou, Hanan E.; Mohamed, Ahmed A.; Fackler, John P.; Ghimire, Mukunda M.; Omary, Mohammad A.; Schilter, David; Rauchfuss, Thomas B.; Denny, Jason A.; Darensbourg, Marcetta Y.; Morshedi, Mahbod; Simpson, Peter V.; Babgi, Bandar; Green, Katy A.; Moxey, Graeme J.; Jennaway, Mark S.; Cifuentes, Marie P.; Humphrey, Mark G.; Eaves, Samantha G.; Low, Paul J.; Nelson, Kendric J.; Miller, Joel S.; Woods, Toby J.; Dunbar, Kim R.; Johnstone, Timothy C.; Starha, Pavel; Habtemariam, Abraha; Zalesskiy, Sergey S.; Ananikov, Valentine P.; Reay, Alan J.; Fairlamb, Ian J. S.; Geiger, William E.; Zink, Jeremy R.; Shaw, Michael J.; Silvia, Jared S.; Cummins, Christopher C.; Mindiola, Daniel J.; Damon, Peter L.; Hayton, Trevor W.; Mindiola, Daniel J.; Reiners, Matthias; Ehrlich, Nico; Walter, Marc D.; Herve, Alexandre; Sofield, Chadwick D.; Andersen, Richard A.",,"Abdou, Hanan E. (Texas A&M University); Mohamed, Ahmed A. (Texas A&M University); Fackler, John P. (Texas A&M University); Ghimire, Mukunda M. (University of North Texas); Omary, Mohammad A. (University of North Texas); Schilter, David (University of Illinois at Urbana Champaign); Rauchfuss, Thomas B. (University of Illinois at Urbana Champaign); Denny, Jason A. (Texas A&M University); Darensbourg, Marcetta Y. (Texas A&M University); Morshedi, Mahbod (Australian National University); Simpson, Peter V. (Australian National University); Babgi, Bandar (Australian National University); Green, Katy A. (Australian National University); Moxey, Graeme J. (Australian National University); Jennaway, Mark S. (Australian National University); Cifuentes, Marie P. (Australian National University); Humphrey, Mark G. (Australian National University); Eaves, Samantha G. (Durham University; University of Western Australia); Low, Paul J. (University of Western Australia); Nelson, Kendric J. (University of Wisconsin–La Crosse); Miller, Joel S. (University of Utah); Woods, Toby J. (Texas A&M University); Dunbar, Kim R. (Texas A&M University); Johnstone, Timothy C. (Massachusetts Institute of Technology); Starha, Pavel (University of Warwick; Palacký University, Olomouc); Habtemariam, Abraha (University of Warwick); Zalesskiy, Sergey S. (Russian Academy of Sciences); Ananikov, Valentine P. (Russian Academy of Sciences); Reay, Alan J. (University of York); Fairlamb, Ian J. S. (University of York); Geiger, William E. (University of Vermont); Zink, Jeremy R. (Southern Illinois University Edwardsville); Shaw, Michael J. (Southern Illinois University Edwardsville); Silvia, Jared S. (Massachusetts Institute of Technology); Cummins, Christopher C. (Massachusetts Institute of Technology); Mindiola, Daniel J. (University of Pennsylvania); Damon, Peter L. (University of California, Santa Barbara); Hayton, Trevor W. (University of California, Santa Barbara); Reiners, Matthias (Braunschweig University of Technology); Ehrlich, Nico (Braunschweig University of Technology); Walter, Marc D. (Braunschweig University of Technology); Herve, Alexandre (University of California, Berkeley); Sofield, Chadwick D. (University of California, Berkeley); Andersen, Richard A. (University of California, Berkeley)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1106883395,0305 Organic Chemistry; 03 Chemical Sciences; 0399 Other Chemical Sciences; 0302 Inorganic Chemistry,0305 Organic Chemistry,03 Chemical Sciences,0399 Other Chemical Sciences,0302 Inorganic Chemistry,
9,500,pub.1105134217,10.1021/acs.inorgchem.8b00672,29943571,,A Re-examination of the Synthesis of Monolayer-Protected Co x(SCH2CH2Ph) m Nanoclusters: Unexpected Formation of a Thiolate-Protected Co(II) T3 Supertetrahedron.,Inorganic Chemistry,,,7/16/18,2018,57,14,8189-8194,Closed,Article,"Cook, Andrew W; Wu, Guang; Hayton, Trevor W",,"Cook, Andrew W (University of California, Santa Barbara); Wu, Guang (University of California, Santa Barbara); Hayton, Trevor W (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1105134217,09 Engineering; 0302 Inorganic Chemistry; 0399 Other Chemical Sciences; 03 Chemical Sciences; 0904 Chemical Engineering,09 Engineering,0302 Inorganic Chemistry,0399 Other Chemical Sciences,03 Chemical Sciences,0904 Chemical Engineering
