,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is William R Freudenburg. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1032970841,10.1108/s0196-1152(2013)0000021017,,,"Development, Inequality, and Environmental Quality: an Analysis of Competing Hypotheses Using Local Areas in the United States Abstract Notes",Research in Social Problems and Public Policy,"William R. Freudenburg, A Life in Social Research",,12/20/13,2013,Volume 21,Issue rsppp/2013/s0196-1152(2013)21/s0196-1152(2013)21/20140912-01,277-298,Closed,Chapter,"Howell, Frank M.; Freudenburg, William R.; Works, Gregory A.",,"Howell, Frank M. (); Freudenburg, William R. (); Works, Gregory A. ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1032970841,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
2,100,pub.1063545677,10.1177/0002764212458274,,,Reexamining Climate Change Debates,American Behavioral Scientist,,,2013-06,2013,57,6,777-795,Closed,Article,"Freudenburg, William R.; Muselli, Violetta",,"Freudenburg, William R. (University of California, Santa Barbara); Muselli, Violetta (University of California, Santa Barbara)",25,8,,6.37,,https://app.dimensions.ai/details/publication/pub.1063545677,1701 Psychology; 17 Psychology and Cognitive Sciences; 1702 Cognitive Sciences,1701 Psychology,17 Psychology and Cognitive Sciences,1702 Cognitive Sciences,,
3,100,pub.1001196263,10.1080/08941920.2013.779205,,,The Growth Machine and the Everglades: Expanding a Useful Theoretical Perspective,Society & Natural Resources,,,2013-06,2013,26,6,642-654,Closed,Article,"Gramling, Robert; Freudenburg, William R.",,"Gramling, Robert (); Freudenburg, William R. ()",3,1,,1.26,,https://app.dimensions.ai/details/publication/pub.1001196263,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
4,100,pub.1063545632,10.1177/0002764211413115,,,A Century of Macondo,American Behavioral Scientist,,,2012-01,2012,56,1,48-75,Closed,Article,"Gramling, Robert; Freudenburg, William R.",,"Gramling, Robert (University of Louisiana at Lafayette); Freudenburg, William R. (University of California, Santa Barbara)",6,0,,1.72,,https://app.dimensions.ai/details/publication/pub.1063545632,1701 Psychology; 17 Psychology and Cognitive Sciences; 1702 Cognitive Sciences,1701 Psychology,17 Psychology and Cognitive Sciences,1702 Cognitive Sciences,,
5,200,pub.1108381092,10.5822/978-1-61091-156-6,,,"Catastrophe in the Making, The Engineering of Katrina and the Disasters of Tomorrow",,,,2012,2012,,,,All OA; Gold,Monograph,"Freudenburg, William R.; Gramling, Robert; Laska, Shirley; Erikson, Kai T.",,"Freudenburg, William R. (University of California, Santa Barbara); Gramling, Robert (University of Louisiana at Lafayette); Laska, Shirley (University of New Orleans); Erikson, Kai T. (Yale University)",4,1,,,https://link.springer.com/content/pdf/bfm%3A978-1-61091-156-6%2F1.pdf,https://app.dimensions.ai/details/publication/pub.1108381092,,,,,,
6,200,pub.1007349763,10.1111/j.1523-1739.2011.01659.x,21453362,,Evidence and Assertions in Assessing Human Factors,Conservation Biology,,Conservation of Natural Resources; Humans; Montana; Recreation; Sex Offenses; Social Environment,2011-06,2011,25,3,635-636,Closed,Article,"Freudenburg, William R",,"Freudenburg, William R (University of California, Santa Barbara)",5,0,0.11,,,https://app.dimensions.ai/details/publication/pub.1007349763,05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,05 Environmental Sciences,06 Biological Sciences,07 Agricultural and Veterinary Sciences,,
7,100,pub.1044147920,10.1080/08941920903311417,,,"Obsolete and Irreversible: Technology, Local Economic Development, and the Environment",Society & Natural Resources,,,4/22/11,2011,24,6,521-534,Closed,Article,"Gramling, Robert; Freudenburg, William R.; Laska, Shirley; Erikson, Kai T.",,"Gramling, Robert (); Freudenburg, William R. (); Laska, Shirley (); Erikson, Kai T. ()",6,1,,2.86,,https://app.dimensions.ai/details/publication/pub.1044147920,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
8,200,pub.1062605555,10.1126/science.330.6003.448-b,,,Nuclear Waste: Progress with Public Engagement—Response,Science,,,10/22/10,2010,330,6003,448-449,Closed,Article,"Rosa, Eugene A.; Tuler, Seth P.; Fischhoff, Baruch; Webler, Thomas; Friedman, Sharon M.; Sclove, Richard E.; Shrader-Frechette, Kristin; English, Mary R.; Kasperson, Roger E.; Goble, Robert L.; Leschine, Thomas M.; Freudenburg, William; Chess, Caron; Perrow, Charles; Erikson, Kai; Short, James F.",,"Rosa, Eugene A. (Washington State University; Stanford University); Tuler, Seth P. (Social and Environmental Research Institute); Fischhoff, Baruch (Carnegie Mellon University); Webler, Thomas (Social and Environmental Research Institute); Friedman, Sharon M. (Lehigh University); Sclove, Richard E. (The Loka Institute); Shrader-Frechette, Kristin (University of Notre Dame); English, Mary R. (University of Tennessee at Knoxville); Kasperson, Roger E. (Clark University); Goble, Robert L. (Clark University); Leschine, Thomas M. (University of Washington); Freudenburg, William (University of California, Santa Barbara); Chess, Caron (Rutgers, The State University of New Jersey); Perrow, Charles (Yale University); Erikson, Kai (Yale University); Short, James F. (Washington State University)",1,0,,,,https://app.dimensions.ai/details/publication/pub.1062605555,,,,,,
9,200,pub.1062462630,10.1126/science.1193205,20705835,,Nuclear Waste: Knowledge Waste?,Science,,,8/13/10,2010,329,5993,762-763,Closed,Article,"Rosa, Eugene A.; Tuler, Seth P.; Fischhoff, Baruch; Webler, Thomas; Friedman, Sharon M.; Sclove, Richard E.; Shrader-Frechette, Kristin; English, Mary R.; Kasperson, Roger E.; Goble, Robert L.; Leschine, Thomas M.; Freudenburg, William; Chess, Caron; Perrow, Charles; Erikson, Kai; Short, James F.",,"Rosa, Eugene A. (Washington State University; Stanford University); Tuler, Seth P. (Social and Environmental Research Institute); Fischhoff, Baruch (Carnegie Mellon University); Webler, Thomas (Social and Environmental Research Institute); Friedman, Sharon M. (Lehigh University); Sclove, Richard E. (The Loka Institute); Shrader-Frechette, Kristin (University of Notre Dame); English, Mary R. (University of Tennessee at Knoxville); Kasperson, Roger E. (Clark University); Goble, Robert L. (Clark University); Leschine, Thomas M. (University of Washington); Freudenburg, William (University of California, Santa Barbara); Chess, Caron (Rutgers, The State University of New Jersey); Perrow, Charles (Yale University); Erikson, Kai (Yale University); Short, James F. (Washington State University)",26,7,0.17,,,https://app.dimensions.ai/details/publication/pub.1062462630,,,,,,
10,400,pub.1046394940,10.1111/j.1475-682x.2010.00344.x,20827858,,"Environmental Risks and Environmental Justice, Or How Titanic Risks Are Not So Titanic After All*",Sociological Inquiry,,"Climate; Conservation of Energy Resources; Conservation of Natural Resources; Environment; Environmental Health; Environmental Monitoring; History, 20th Century; History, 21st Century; Public Health; Risk Assessment; Risk Management; Risk-Taking; Social Change; Social Conditions; Social Sciences; Socioeconomic Factors; Technology",2010-08,2010,80,3,500-512,Closed,Article,"Alario, Margarita V.; Freudenburg, William R.",,"Alario, Margarita V. (University of Wisconsin–Whitewater); Freudenburg, William R. (University of California, Santa Barbara)",10,2,0,3.48,,https://app.dimensions.ai/details/publication/pub.1046394940,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
11,100,pub.1018555339,10.1016/j.gloenvcha.2010.04.003,,,"Global warming estimates, media expectations, and the asymmetry of scientific challenge",Global Environmental Change,,,2010-08,2010,20,3,483-491,Closed,Article,"Freudenburg, William R.; Muselli, Violetta","Freudenburg, William R.","Freudenburg, William R. (University of California, Santa Barbara); Muselli, Violetta (University of California, Santa Barbara)",57,15,,10.07,,https://app.dimensions.ai/details/publication/pub.1018555339,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
12,100,pub.1004199455,10.1111/j.1540-6237.2009.00628.x,,,Disproportionality and Disaster: Hurricane Katrina and the Mississippi River‐Gulf Outlet*,Social Science Quarterly,,,2009-09,2009,90,3,497-515,Closed,Article,"Freudenburg, William R.; Gramling, Robert; Laska, Shirley; Erikson, Kai T.",,"Freudenburg, William R. (University of California, Santa Barbara); Gramling, Robert (University of Louisiana at Lafayette); Laska, Shirley (University of New Orleans); Erikson, Kai T. (Yale University)",18,4,,7.02,,https://app.dimensions.ai/details/publication/pub.1004199455,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
13,200,pub.1065049202,10.1353/sof.0.0126,,,"Organizing Hazards, Engineering Disasters? Improving the Recognition of Political-Economic Factors in the Creation of Disasters",Social Forces,,,12/1/08,2008,87,2,1015-1038,Closed,Article,"Freudenburg, W. R.; Gramling, R.; Laska, S.; Erikson, K. T.",,"Freudenburg, W. R. (); Gramling, R. (); Laska, S. (); Erikson, K. T. ()",37,8,,11.62,,https://app.dimensions.ai/details/publication/pub.1065049202,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
14,100,pub.1053875036,10.1177/1086026608328868,,,Thirty Years of Scholarship and Science on Environment— Society Relationships,Organization & Environment,,,2008-12,2008,21,4,449-459,Closed,Article,"Freudenburg, William R.",,"Freudenburg, William R. (University of California, Santa Barbara)",10,1,,3.76,,https://app.dimensions.ai/details/publication/pub.1053875036,"2203 Philosophy; 15 Commerce, Management, Tourism and Services; 16 Studies in Human Society; 22 Philosophy and Religious Studies; 1503 Business and Management; 1608 Sociology",2203 Philosophy,"15 Commerce, Management, Tourism and Services",16 Studies in Human Society,22 Philosophy and Religious Studies,1503 Business and Management
15,100,pub.1000048903,10.1111/j.1475-682x.2008.00219.x,,,Scientific Certainty Argumentation Methods (SCAMs): Science and the Politics of Doubt*,Sociological Inquiry,,,2008-02,2008,78,1,Feb-38,All OA; Gold,Article,"Freudenburg, William R.; Gramling, Robert; Davidson, Debra J.",,"Freudenburg, William R. (University of California, Santa Barbara); Gramling, Robert (); Davidson, Debra J. (University of Alberta)",71,15,,22.3,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1475-682X.2008.00219.x,https://app.dimensions.ai/details/publication/pub.1000048903,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
16,400,pub.1020569541,10.1289/ehp.9988,18197314,PMC2199307,Rethinking the Threats to Scientific Balance in Contexts of Litigation and Regulation,Environmental Health Perspectives,,"Conflict of Interest; Financial Support; Prejudice; Science; Social Control, Formal",2008-01,2008,116,1,142-147,All OA; Gold,Article,"Freudenburg, William R.",,"Freudenburg, William R. (University of California, Santa Barbara)",4,0,0.09,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2199307/pdf/ehp0116-000142.pdf,https://app.dimensions.ai/details/publication/pub.1020569541,11 Medical and Health Sciences; 05 Environmental Sciences,11 Medical and Health Sciences,05 Environmental Sciences,,,
17,100,pub.1035882565,10.1526/003601107781170017,,,"Nuclear Families and Nuclear Risks: The Effects of Gender, Geography, and Progeny on Attitudes toward a Nuclear Waste Facility*",Rural Sociology,,,6/1/07,2007,72,2,215-243,Closed,Article,"Freudenburg, William R.; Davidson, Debra J.",,"Freudenburg, William R. (University of California, Santa Barbara); Davidson, Debra J. (University of Alberta)",47,12,,18.47,,https://app.dimensions.ai/details/publication/pub.1035882565,16 Studies in Human Society; 1699 Other Studies In Human Society,16 Studies in Human Society,1699 Other Studies In Human Society,,,
18,100,pub.1006809493,10.1111/j.1573-7861.2007.00011.x,,,"Weapons of Mass Distraction: Magicianship, Misdirection, and the Dark Side of Legitimation1",Sociological Forum,,,2007-06,2007,22,2,146-173,All OA; Gold,Article,"Freudenburg, William R.; Alario, Margarita",,"Freudenburg, William R. (University of California, Santa Barbara; University of Wisconsin–Whitewater); Alario, Margarita (University of California, Santa Barbara; University of Wisconsin–Whitewater)",36,5,,10.95,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1573-7861.2007.00011.x,https://app.dimensions.ai/details/publication/pub.1006809493,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
19,100,pub.1016245670,10.1111/j.1475-682x.2007.00188.x,,,"Atoms for Peace, Atoms for War: Probing the Paradoxes of Modernity*",Sociological Inquiry,,,2007-05,2007,77,2,219-240,Closed,Article,"Alario, Margarita V.; Freudenburg, William R.",,"Alario, Margarita V. (University of Wisconsin–Whitewater); Freudenburg, William R. (University of California, Santa Barbara)",6,0,,1.82,,https://app.dimensions.ai/details/publication/pub.1016245670,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
20,100,pub.1050107858,10.1526/003601106777789792,,,"Environmental Degradation, Disproportionality, and the Double Diversion: Reaching Out, Reaching Ahead, and Reaching Beyond",Rural Sociology,,,3/1/06,2006,71,1,Mar-32,Closed,Article,"Freudenburg, William R.",,"Freudenburg, William R. (University of California, Santa Barbara)",41,9,,10.94,,https://app.dimensions.ai/details/publication/pub.1050107858,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
21,100,pub.1024636718,10.1016/j.ocecoaman.2006.03.010,,,Attitudes toward offshore oil development: A summary of current evidence,Ocean & Coastal Management,,,2006-01,2006,49,8-Jul,442-461,"All OA; Green, Accepted & Submitted",Article,"Gramling, Robert; Freudenburg, William R.","Gramling, Robert","Gramling, Robert (University of Louisiana at Lafayette); Freudenburg, William R. (University of California, Santa Barbara)",18,3,,5.27,https://escholarship.org/content/qt0cc719tj/qt0cc719tj.pdf?t=lnq33g,https://app.dimensions.ai/details/publication/pub.1024636718,1605 Policy and Administration; 16 Studies in Human Society,1605 Policy and Administration,16 Studies in Human Society,,,
22,100,pub.1051050145,10.1007/s11206-005-1896-1,,,"Seeding Science, Courting Conclusions: Reexamining the Intersection of Science, Corporate Cash, and the Law",Sociological Forum,,,2005-03,2005,20,1,Mar-33,"All OA; Green, Accepted & Submitted",Article,"Freudenburg, William R.","Freudenburg, William R.","Freudenburg, William R. ()",13,0,,3.18,https://escholarship.org/content/qt2p73n2dv/qt2p73n2dv.pdf?t=lnpwt3,https://app.dimensions.ai/details/publication/pub.1051050145,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
23,100,pub.1013910301,10.1080/1366987042000171285,,,Can we learn from failure? Examining US experiences with nuclear repository siting,Journal of Risk Research,,,2004-03,2004,7,2,153-169,"All OA; Green, Published",Article,"Freudenburg, William R.",,"Freudenburg, William R. (University of Wisconsin–Madison)",21,2,,5.28,https://escholarship.org/content/qt3pz3j5q5/qt3pz3j5q5.pdf?t=lnpzeb,https://app.dimensions.ai/details/publication/pub.1013910301,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
