,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Zhengming Wan. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1015709661,10.1016/j.rse.2013.08.027,,,New refinements and validation of the collection-6 MODIS land-surface temperature/emissivity product,Remote Sensing of Environment,,,2014-01,2014,140,,36-45,Closed,Article,"Wan, Zhengming","Wan, Zhengming","Wan, Zhengming (University of California, Santa Barbara)",238,150,,46.07,,https://app.dimensions.ai/details/publication/pub.1015709661,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0404 Geophysics
2,100,pub.1023832881,10.1080/01431161.2012.716540,,,Land surface emissivity retrieval from satellite data,International Journal of Remote Sensing,,,2013-05,2013,34,10-Sep,3084-3127,All OA; Gold,Article,"Li, Zhao-Liang; Wu, Hua; Wang, Ning; Qiu, Shi; Sobrino, José A.; Wan, Zhengming; Tang, Bo-Hui; Yan, Guangjian",,"Li, Zhao-Liang (Institute of Geographic Sciences and Natural Resources Research); Wu, Hua (Institute of Geographic Sciences and Natural Resources Research); Wang, Ning (Institute of Geographic Sciences and Natural Resources Research; University of Chinese Academy of Sciences); Qiu, Shi (); Sobrino, José A. (University of Valencia); Wan, Zhengming (University of California, Santa Barbara); Tang, Bo-Hui (Institute of Geographic Sciences and Natural Resources Research); Yan, Guangjian (Beijing Normal University)",213,62,,50.07,http://www.tandfonline.com/doi/pdf/10.1080/01431161.2012.716540?needAccess=true,https://app.dimensions.ai/details/publication/pub.1023832881,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
3,100,pub.1024971543,10.1016/j.rse.2012.12.008,,,Satellite-derived land surface temperature: Current status and perspectives,Remote Sensing of Environment,,,2013-04,2013,131,,14-37,All OA; Gold,Article,"Li, Zhao-Liang; Tang, Bo-Hui; Wu, Hua; Ren, Huazhong; Yan, Guangjian; Wan, Zhengming; Trigo, Isabel F.; Sobrino, José A.","Li, Zhao-Liang","Li, Zhao-Liang (Institute of Geographic Sciences and Natural Resources Research; French National Centre for Scientific Research); Tang, Bo-Hui (Institute of Geographic Sciences and Natural Resources Research); Wu, Hua (Institute of Geographic Sciences and Natural Resources Research); Ren, Huazhong (Beijing Normal University); Yan, Guangjian (Beijing Normal University); Wan, Zhengming (University of California, Santa Barbara); Trigo, Isabel F. (Portuguese Sea and Atmosphere Institute; University of Lisbon); Sobrino, José A. (University of Valencia)",677,304,,159.14,https://doi.org/10.1016/j.rse.2012.12.008,https://app.dimensions.ai/details/publication/pub.1024971543,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
4,100,pub.1034655012,10.1080/01431161.2012.718467,,,FraRI: an algorithm to account for the discontinuity at 60° N in MODIS temperature products,International Journal of Remote Sensing,,,2/20/13,2013,34,4,1220-1233,Closed,Article,"Sedda, Luigi; Morley, David W.; Benz, David; William Wint, G. R.; Wan, Zhengming; Rogers, David J.",,"Sedda, Luigi (University of Oxford); Morley, David W. (University of Oxford); Benz, David (University of Oxford); William Wint, G. R. (University of Oxford); Wan, Zhengming (University of California, Santa Barbara); Rogers, David J. (University of Oxford)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1034655012,09 Engineering; 0909 Geomatic Engineering; 04 Earth Sciences; 0406 Physical Geography and Environmental Geoscience,09 Engineering,0909 Geomatic Engineering,04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,
5,100,pub.1011840334,10.1007/978-1-4419-6749-7_25,,,MODIS Land Surface Temperature and Emissivity,Remote Sensing and Digital Image Processing,Land Remote Sensing and Global Environmental Change,,2010,2010,11,,563-577,Closed,Chapter,"Wan, Zhengming; Li, Zhao-Liang","Wan, Zhengming","Wan, Zhengming (University of California, Santa Barbara); Li, Zhao-Liang ()",12,2,,1.1,,https://app.dimensions.ai/details/publication/pub.1011840334,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
6,400,pub.1038596706,10.3390/s90503801,22412339,PMC3297132,A Review of Current Methodologies for Regional Evapotranspiration Estimation from Remotely Sensed Data,Sensors,,,5/19/09,2009,9,5,3801-3853,All OA; Gold,Article,"Li, Zhao-Liang; Tang, Ronglin; Wan, Zhengming; Bi, Yuyun; Zhou, Chenghu; Tang, Bohui; Yan, Guangjian; Zhang, Xiaoyu",,"Li, Zhao-Liang (Institute of Geographic Sciences and Natural Resources Research); Tang, Ronglin (Institute of Geographic Sciences and Natural Resources Research; University of Chinese Academy of Sciences); Wan, Zhengming (University of California, Santa Barbara); Bi, Yuyun (Institute of Agricultural Resources and Regional Planning); Zhou, Chenghu (Institute of Geographic Sciences and Natural Resources Research); Tang, Bohui (Institute of Geographic Sciences and Natural Resources Research); Yan, Guangjian (Beijing Normal University); Zhang, Xiaoyu (Shanxi University)",364,85,0.49,65.36,https://www.mdpi.com/1424-8220/9/5/3801/pdf,https://app.dimensions.ai/details/publication/pub.1038596706,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
7,100,pub.1048702473,10.1029/2009jd012038,,,Temperature‐based and radiance‐based validations of the V5 MODIS land surface temperature product,Journal of Geophysical Research,,,2009,2009,114,D20,,All OA; Gold,Article,"Coll, César; Wan, Zhengming; Galve, Joan M.",,"Coll, César (University of Valencia); Wan, Zhengming (University of California, Santa Barbara); Galve, Joan M. (University of Valencia)",114,26,,20.47,http://onlinelibrary.wiley.com/doi/10.1029/2009JD012038/pdf,https://app.dimensions.ai/details/publication/pub.1048702473,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
8,100,pub.1006600614,10.1080/01431160802036565,,,Radiance‐based validation of the V5 MODIS land‐surface temperature product,International Journal of Remote Sensing,,,2008-09,2008,29,17-18,5373-5395,Closed,Article,"Wan, Z.; Li, Z.‐L.",,"Wan, Z. (University of California, Santa Barbara); Li, Z.‐L. (Institute of Geographic Sciences and Natural Resources Research)",175,45,,21.89,,https://app.dimensions.ai/details/publication/pub.1006600614,09 Engineering; 0909 Geomatic Engineering; 04 Earth Sciences; 0406 Physical Geography and Environmental Geoscience,09 Engineering,0909 Geomatic Engineering,04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,
9,100,pub.1030863431,10.1016/j.rse.2006.06.026,,,New refinements and validation of the MODIS Land-Surface Temperature/Emissivity products,Remote Sensing of Environment,,,1/15/08,2008,112,1,59-74,Closed,Article,"Wan, Zhengming",,"Wan, Zhengming (University of California, Santa Barbara)",671,146,,108.27,,https://app.dimensions.ai/details/publication/pub.1030863431,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
