,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Adrian C Stier. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1116883980,10.1101/655977,,,Predator-induced selection on urchin activity level depends on urchin body size,bioRxiv,,,2019-06-06,2019,,,655977,"All OA; Green, Published",Preprint,"Preorius, Justin D.; Lichtenstein, James L. L.; Eliason, Erika J.; Stier, Adrian C.; Pruitt, Jonathan N.",,"Preorius, Justin D. (University of California, Santa Barbara); Lichtenstein, James L. L. (University of California, Santa Barbara); Eliason, Erika J. (University of California, Santa Barbara); Stier, Adrian C. (University of California, Santa Barbara); Pruitt, Jonathan N. (McMaster University)",0,0,,,https://www.biorxiv.org/content/biorxiv/early/2019/06/06/655977.full.pdf,https://app.dimensions.ai/details/publication/pub.1116883980,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
2,500,pub.1111649604,10.1126/science.aav1004,30679339,,Ocean recoveries for tomorrow’s Earth: Hitting a moving target,Science,,Conservation of Natural Resources; Ecosystem; Environmental Policy; Environmental Restoration and Remediation; Humans; Oceans and Seas,2019-01-25,2019,363,6425,eaav1004,All OA; Gold,Article,"Ingeman, Kurt E.; Samhouri, Jameal F.; Stier, Adrian C.",,"Ingeman, Kurt E. (University of California, Santa Barbara); Samhouri, Jameal F. (Northwest Fisheries Science Center); Stier, Adrian C. (University of California, Santa Barbara)",2,2,,,https://science.sciencemag.org/content/sci/363/6425/eaav1004.full.pdf,https://app.dimensions.ai/details/publication/pub.1111649604,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
3,100,pub.1103829864,10.1101/315481,,,Spatial variation in exploited metapopulations obscures risk of collapse,bioRxiv,,,2018-05-05,2018,,,315481,"All OA; Green, Published",Preprint,"Okamoto, Daniel K; Hessing-Lewis, Margot; Samhouri, Jameal F; Shelton, Andrew O; Stier, Adrian; Levin, Philip S; Salomon, Anne K",,"Okamoto, Daniel K (Florida State University; Simon Fraser University); Hessing-Lewis, Margot (); Samhouri, Jameal F (); Shelton, Andrew O (); Stier, Adrian (); Levin, Philip S (The Nature Conservancy); Salomon, Anne K (Simon Fraser University)",0,0,,,https://www.biorxiv.org/content/biorxiv/early/2018/05/05/315481.full.pdf,https://app.dimensions.ai/details/publication/pub.1103829864,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
4,100,pub.1092727532,10.1007/s12080-017-0352-1,,,Landscape configuration drives persistent spatial patterns of occupant distributions,Theoretical Ecology,,,2018-03,2018,11,1,111-127,"All OA; Green, Published",Article,"Hamman, Elizabeth A.; McKinley, Scott A.; Stier, Adrian C.; Osenberg, Craig W.","Hamman, Elizabeth A.","Hamman, Elizabeth A. (University of Georgia); McKinley, Scott A. (Tulane University); Stier, Adrian C. (University of California, Santa Barbara); Osenberg, Craig W. (University of Georgia)",1,1,,,https://escholarship.org/content/qt5840115f/qt5840115f.pdf?t=pn67i1,https://app.dimensions.ai/details/publication/pub.1092727532,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
5,100,pub.1086126222,10.1002/ecs2.1860,,,Defining ecosystem thresholds for human activities and environmental pressures in the California Current,Ecosphere,,,2017-06,2017,8,6,e01860,All OA; Gold,Article,"Samhouri, Jameal F.; Andrews, Kelly S.; Fay, Gavin; Harvey, Chris J.; Hazen, Elliott L.; Hennessey, Shannon M.; Holsman, Kirstin; Hunsicker, Mary E.; Large, Scott I.; Marshall, Kristin N.; Stier, Adrian C.; Tam, Jamie C.; Zador, Stephani G.",,"Samhouri, Jameal F. (); Andrews, Kelly S. (); Fay, Gavin (University of Massachusetts Dartmouth); Harvey, Chris J. (); Hazen, Elliott L. (); Hennessey, Shannon M. (Oregon State University); Holsman, Kirstin (); Hunsicker, Mary E. (); Large, Scott I. (International Council for the Exploration of the Sea); Marshall, Kristin N. (); Stier, Adrian C. (University of California, Santa Barbara); Tam, Jamie C. (); Zador, Stephani G. ()",18,16,,7.5,https://doi.org/10.1002/ecs2.1860,https://app.dimensions.ai/details/publication/pub.1086126222,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
6,100,pub.1053881910,10.1007/s00338-017-1544-2,,,Biodiversity effects of the predation gauntlet,Coral Reefs,,,2017-06,2017,36,2,601-606,"All OA; Green, Published",Article,"Stier, Adrian C.; Stallings, Christopher D.; Samhouri, Jameal F.; Albins, Mark A.; Almany, Glenn R.","Stier, Adrian C.","Stier, Adrian C. (University of California, Santa Barbara); Stallings, Christopher D. (University of South Florida); Samhouri, Jameal F. (Northwest Fisheries Science Center); Albins, Mark A. (Dauphin Island Sea Lab); Almany, Glenn R. (PSL Research University; Labex Corail)",4,3,,1.67,https://escholarship.org/content/qt3cv064ck/qt3cv064ck.pdf?t=ouq0ab,https://app.dimensions.ai/details/publication/pub.1053881910,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
7,500,pub.1084130150,10.1038/s41559-016-0068,28812672,,Rapid and direct recoveries of predators and prey through synchronized ecosystem management,Nature Ecology & Evolution,,,2017-04,2017,1,4,0068,Closed,Article,"Samhouri, Jameal F.; Stier, Adrian C.; Hennessey, Shannon M.; Novak, Mark; Halpern, Benjamin S.; Levin, Phillip S.","Samhouri, Jameal F.","Samhouri, Jameal F. (Northwest Fisheries Science Center); Stier, Adrian C. (University of California, Santa Barbara); Hennessey, Shannon M. (); Novak, Mark (Oregon State University); Halpern, Benjamin S. (Imperial College London; University of California, Santa Barbara); Levin, Phillip S. (Northwest Fisheries Science Center)",14,13,1.52,5.83,,https://app.dimensions.ai/details/publication/pub.1084130150,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
8,100,pub.1001170981,10.1007/s00338-016-1503-3,,,The relative influence of abundance and priority effects on colonization success in a coral-reef fish,Coral Reefs,,,2017-03,2017,36,1,151-155,"All OA; Green, Published",Article,"Geange, Shane W.; Poulos, Davina E.; Stier, Adrian C.; McCormick, Mark I.","Geange, Shane W.","Geange, Shane W. (Victoria University of Wellington; Department of Conservation); Poulos, Davina E. (James Cook University); Stier, Adrian C. (University of California, Santa Barbara); McCormick, Mark I. (James Cook University)",4,4,,1.67,https://escholarship.org/content/qt7zg1c32v/qt7zg1c32v.pdf?t=ooc8yj,https://app.dimensions.ai/details/publication/pub.1001170981,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
9,100,pub.1023615207,10.1016/j.marpol.2016.11.011,,,Costly stakeholder participation creates inertia in marine ecosystems,Marine Policy,,,2017-02,2017,76,,122-129,Closed,Article,"Lynham, J.; Halpern, B.S.; Blenckner, T.; Essington, T.; Estes, J.; Hunsicker, M.; Kappel, C.; Salomon, A.K.; Scarborough, C.; Selkoe, K.A.; Stier, A.","Lynham, J.","Lynham, J. (University of Hawaii at Manoa); Halpern, B.S. (University of California, Santa Barbara; Imperial College London); Blenckner, T. (Stockholm University); Essington, T. (); Estes, J. (University of California, Santa Cruz); Hunsicker, M. (University of California, Santa Barbara); Kappel, C. (University of California, Santa Barbara); Salomon, A.K. (Simon Fraser University); Scarborough, C. (University of California, Santa Barbara); Selkoe, K.A. (University of California, Santa Barbara; University of Hawaii at Manoa); Stier, A. (University of California, Santa Barbara)",8,7,,8.4,,https://app.dimensions.ai/details/publication/pub.1023615207,1801 Law; 1606 Political Science; 16 Studies in Human Society; 18 Law and Legal Studies; 05 Environmental Sciences; 0502 Environmental Science and Management,1801 Law,1606 Political Science,16 Studies in Human Society,18 Law and Legal Studies,05 Environmental Sciences
