,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Arturo A Keller. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1120632337,10.1039/c9en00599d,,,"Proteomic, gene and metabolite characterization reveal the uptake and toxicity mechanisms of cadmium sulfide quantum dots in soybean plants",Environmental Science Nano,,,2019-10-10,2019,6,10,3010-3026,Closed,Article,"Majumdar, Sanghamitra; Pagano, Luca; Wohlschlegel, James A.; Villani, Marco; Zappettini, Andrea; White, Jason C.; Keller, Arturo A.",,"Majumdar, Sanghamitra (University of California System); Pagano, Luca (University of Parma); Wohlschlegel, James A. (University of California System); Villani, Marco (); Zappettini, Andrea (); White, Jason C. (); Keller, Arturo A. (University of California System)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1120632337,0607 Plant Biology; 0601 Biochemistry and Cell Biology; 06 Biological Sciences,0607 Plant Biology,0601 Biochemistry and Cell Biology,06 Biological Sciences,,
2,100,pub.1117612329,10.1016/j.colsurfa.2019.123598,,,Successive removal of E. coli and a mixture of Pb2+ and malachite green from water via magnetic iron oxide/phosphate nanocomposites,Colloids and Surfaces A Physicochemical and Engineering Aspects,,,2019-10,2019,578,,123598,Closed,Article,"Zhang, Fan; Wu, Zhaozhao; Huang, Yuxiong; Keller, Arturo A.","Zhang, Fan","Zhang, Fan (); Wu, Zhaozhao (); Huang, Yuxiong (Tsinghua–Berkeley Shenzhen Institute; University of California, Santa Barbara); Keller, Arturo A. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1117612329,0912 Materials Engineering; 09 Engineering; 0907 Environmental Engineering,0912 Materials Engineering,09 Engineering,0907 Environmental Engineering,,
3,500,pub.1116653557,10.1371/journal.pone.0217756,31163057,PMC6548385,Giving credit to reforestation for water quality benefits,PLoS ONE,,,2019-06-04,2019,14,6,e0217756,All OA; Gold,Article,"Keller, Arturo A.; Fox, Jessica",,"Keller, Arturo A. (University of California, Santa Barbara); Fox, Jessica (Electric Power Research Institute)",0,0,,,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0217756&type=printable,https://app.dimensions.ai/details/publication/pub.1116653557,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
4,500,pub.1112874520,10.1016/j.watres.2019.03.031,30913422,,Incidence and persistence of silver nanoparticles throughout the wastewater treatment process,Water Research,,,2019-06,2019,156,Stand. Methods 541 2005,188-198,Closed,Article,"Cervantes-Avilés, Pabel; Huang, Yuxiong; Keller, Arturo A.","Keller, Arturo A.","Cervantes-Avilés, Pabel (University of California, Santa Barbara); Huang, Yuxiong (University of California, Santa Barbara; Tsinghua–Berkeley Shenzhen Institute); Keller, Arturo A. (University of California, Santa Barbara)",3,3,,,,https://app.dimensions.ai/details/publication/pub.1112874520,09 Engineering; 0904 Chemical Engineering; 0907 Environmental Engineering,09 Engineering,0904 Chemical Engineering,0907 Environmental Engineering,,
5,100,pub.1111778097,10.1016/j.jclepro.2019.01.232,,,Effective water disinfection using magnetic barium phosphate nanoflakes loaded with Ag nanoparticles,Journal of Cleaner Production,,,2019-05,2019,218,J. Catal. 172 1997,173-182,Closed,Article,"Zhang, Fan; Lee, Meng Hao; Huang, Yuxiong; Keller, Arturo A.; Majumdar, Sanghamitra; Cervantes-Avilés, Pabel; Tang, Xiaoxiu; Yin, Siqiao","Zhang, Fan","Zhang, Fan (); Lee, Meng Hao (University of California, Santa Barbara); Huang, Yuxiong (Tsinghua–Berkeley Shenzhen Institute; University of California, Santa Barbara); Keller, Arturo A. (University of California, Santa Barbara); Majumdar, Sanghamitra (University of California, Santa Barbara); Cervantes-Avilés, Pabel (University of California, Santa Barbara); Tang, Xiaoxiu (); Yin, Siqiao (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1111778097,0915 Interdisciplinary Engineering; 09 Engineering; 0910 Manufacturing Engineering; 0907 Environmental Engineering,0915 Interdisciplinary Engineering,09 Engineering,0910 Manufacturing Engineering,0907 Environmental Engineering,
6,500,pub.1110254497,10.1016/j.watres.2018.11.057,30557830,,Competitive removal of Pb2+ and malachite green from water by magnetic phosphate nanocomposites,Water Research,,"Adsorption; Hydrogen-Ion Concentration; Kinetics; Lead; Nanocomposites; Phosphates; Rosaniline Dyes; Water; Water Pollutants, Chemical; Water Purification",2019-03,2019,150,Appl. Nanosci. 2015,442-451,Closed,Article,"Tang, Xiaoxiu; Zhang, Fan; Huang, Yuxiong; Keller, Arturo A.; Lan, Jing","Zhang, Fan","Tang, Xiaoxiu (); Zhang, Fan (); Huang, Yuxiong (University of California, Santa Barbara); Keller, Arturo A. (University of California, Santa Barbara); Lan, Jing (Qingdao Agricultural University)",7,7,,,,https://app.dimensions.ai/details/publication/pub.1110254497,0912 Materials Engineering; 09 Engineering,0912 Materials Engineering,09 Engineering,,,
7,100,pub.1111750479,10.1039/c8nj06291a,,,Single particle ICP-MS and GC-MS provide a new insight into the formation mechanisms during the green synthesis of AgNPs,New Journal of Chemistry,,,2019-02-25,2019,43,9,3946-3955,Closed,Article,"Zhang, Huiling; Huang, Yuxiong; Gu, Jianqiang; Keller, Arturo; Qin, Yuwei; Bian, Yue; Tang, Kun; Qu, Xiaolei; Ji, Rong; Zhao, Lijuan",,"Zhang, Huiling (Nanjing University); Huang, Yuxiong (University of California System); Gu, Jianqiang (Nanjing University); Keller, Arturo (University of California System); Qin, Yuwei (University of California System); Bian, Yue (Nanjing University); Tang, Kun (Nanjing University); Qu, Xiaolei (Nanjing University); Ji, Rong (Nanjing University); Zhao, Lijuan (Nanjing University)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1111750479,03 Chemical Sciences; 0301 Analytical Chemistry,03 Chemical Sciences,0301 Analytical Chemistry,,,
8,500,pub.1111499987,10.1021/acs.est.8b06758,30657311,,C60 Fullerols Enhance Copper Toxicity and Alter the Leaf Metabolite and Protein Profile in Cucumber.,Environmental Science & Technology,,Copper; Cucumis sativus; Electron Transport; Plant Leaves; Water,2019-02-19,2019,53,4,2171-2180,Closed,Article,"Zhao, Lijuan; Zhang, Huiling; Wang, Jingjing; Tian, Liyan; Li, Fangfang; Liu, Sijin; Peralta-Videa, Jose R; Gardea-Torresdey, Jorge L; White, Jason C; Huang, Yuxiong; Keller, Arturo; Ji, Rong",,"Zhao, Lijuan (Nanjing University); Zhang, Huiling (Nanjing University); Wang, Jingjing (Huazhong University of Science and Technology); Tian, Liyan (Nanjing University); Li, Fangfang (Huazhong University of Science and Technology); Liu, Sijin (Research Center for Eco-Environmental Sciences); Peralta-Videa, Jose R (The University of Texas at El Paso); Gardea-Torresdey, Jorge L (The University of Texas at El Paso); White, Jason C (Connecticut Agricultural Experiment Station); Huang, Yuxiong (University of California, Santa Barbara); Keller, Arturo (University of California, Santa Barbara); Ji, Rong (Nanjing University)",3,3,,,,https://app.dimensions.ai/details/publication/pub.1111499987,0607 Plant Biology; 0601 Biochemistry and Cell Biology; 06 Biological Sciences,0607 Plant Biology,0601 Biochemistry and Cell Biology,06 Biological Sciences,,
9,100,pub.1111140422,10.1039/c8en01079j,,,Variation in regional risk of engineered nanoparticles: nanoTiO 2 as a case study,Environmental Science Nano,,,2019-02-14,2019,6,2,444-455,Closed,Article,"Parker, Nicol; Keller, Arturo A.",,"Parker, Nicol (University of California System); Keller, Arturo A. (University of California System)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1111140422,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
10,200,pub.1111490076,10.1111/gwmr.12313,,,Comments in Response to “DyeLIF™: A New Direct‐Push Laser‐Induced Fluorescence Sensor System for Chlorinated Solvent DNAPL and Other Non‐Naturally Fluorescing NAPLs”,Groundwater Monitoring & Remediation,,,2019-02,2019,39,1,73-74,All OA; Gold,Article,"Kram, Mark; Keller, Arturo A.; Everett, Lorne",,"Kram, Mark (); Keller, Arturo A. (); Everett, Lorne ()",0,0,,,https://ngwa.onlinelibrary.wiley.com/doi/pdf/10.1111/gwmr.12313,https://app.dimensions.ai/details/publication/pub.1111490076,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0799 Other Agricultural and Veterinary Sciences; 07 Agricultural and Veterinary Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0799 Other Agricultural and Veterinary Sciences,07 Agricultural and Veterinary Sciences,
11,100,pub.1112732994,10.1016/j.impact.2019.100151,,,Surface coating determines the response of soybean plants to cadmium sulfide quantum dots,NanoImpact,,,2019-02,2019,14,Artif. Cells Nanomed. Biotechnol. 44 3 2016,100151,Closed,Article,"Majumdar, Sanghamitra; Ma, Chuanxin; Villani, Marco; Zuverza-Mena, Nubia; Pagano, Luca; Huang, Yuxiong; Zappettini, Andrea; Keller, Arturo A.; Marmiroli, Nelson; Dhankher, Om Parkash; White, Jason C.","White, Jason C.","Majumdar, Sanghamitra (Connecticut Agricultural Experiment Station; University of California, Santa Barbara); Ma, Chuanxin (Connecticut Agricultural Experiment Station); Villani, Marco (Institute of Materials for Electronics and Magnetism); Zuverza-Mena, Nubia (Connecticut Agricultural Experiment Station); Pagano, Luca (University of Parma); Huang, Yuxiong (University of California, Santa Barbara); Zappettini, Andrea (Institute of Materials for Electronics and Magnetism); Keller, Arturo A. (University of California, Santa Barbara); Marmiroli, Nelson (University of Parma); Dhankher, Om Parkash (); White, Jason C. (Connecticut Agricultural Experiment Station)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1112732994,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
12,500,pub.1105644087,10.1016/j.foodchem.2018.07.069,30174074,,Antioxidant response of cucumber (Cucumis sativus) exposed to nano copper pesticide: Quantitative determination via LC-MS/MS,Food Chemistry,,"Chromatography, Liquid; Copper; Cucumis sativus; Pesticides; Reproducibility of Results; Tandem Mass Spectrometry",2019-01,2019,270,Environmental Science Technology 48 21 2014,47-52,Closed,Article,"Huang, Yuxiong; Adeleye, Adeyemi S.; Zhao, Lijuan; Minakova, Anastasiia S.; Anumol, Tarun; Keller, Arturo A.","Keller, Arturo A.","Huang, Yuxiong (University of California, Santa Barbara); Adeleye, Adeyemi S. (University of California, Santa Barbara); Zhao, Lijuan (University of California, Santa Barbara); Minakova, Anastasiia S. (University of California, Santa Barbara); Anumol, Tarun (Agilent Technologies (United States)); Keller, Arturo A. (University of California, Santa Barbara)",6,6,,,,https://app.dimensions.ai/details/publication/pub.1105644087,0607 Plant Biology; 03 Chemical Sciences; 0301 Analytical Chemistry; 06 Biological Sciences,0607 Plant Biology,03 Chemical Sciences,0301 Analytical Chemistry,06 Biological Sciences,
13,100,pub.1115997920,10.1016/b978-0-12-814835-8.00007-8,,,Chapter 7 Innovation in procedures for human and ecological health risk assessment of engineered nanomaterials,,Exposure to Engineered Nanomaterials in the Environment,,2019,2019,,,185-208,Closed,Chapter,"Keller, Arturo A.; Parker, Nicol",,"Keller, Arturo A. (University of California, Santa Barbara); Parker, Nicol (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1115997920,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
14,200,pub.1110340999,10.1021/acssuschemeng.8b05842,,,Nanotechnology Research with Sustainability Considerations,ACS Sustainable Chemistry & Engineering,,,2018-12-03,2018,6,12,15876-15876,Closed,Article,"Karn, Barbara; Sadik, Omowunmi; Gardea-Torresdey, Jorge; Keller, Arturo",,"Karn, Barbara (); Sadik, Omowunmi (); Gardea-Torresdey, Jorge (); Keller, Arturo ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1110340999,03 Chemical Sciences; 0301 Analytical Chemistry; 0399 Other Chemical Sciences,03 Chemical Sciences,0301 Analytical Chemistry,0399 Other Chemical Sciences,,
15,500,pub.1106884453,10.1016/j.watres.2018.09.019,30236469,,Interactions between polybrominated diphenyl ethers (PBDEs) and TiO2 nanoparticle in artificial and natural waters,Water Research,,"Environmental Monitoring; Flame Retardants; Geologic Sediments; Halogenated Diphenyl Ethers; Nanoparticles; Water Pollutants, Chemical",2018-12,2018,146,Water Res. 49 2013,98-108,Closed,Article,"Wang, Xinzhe; Adeleye, Adeyemi S.; Wang, Huihui; Zhang, Min; Liu, Mengmeng; Wang, Yingying; Li, Yao; Keller, Arturo A.","Li, Yao","Wang, Xinzhe (Nankai University); Adeleye, Adeyemi S. (University of California, Santa Barbara); Wang, Huihui (Nankai University); Zhang, Min (Nankai University); Liu, Mengmeng (Nankai University); Wang, Yingying (Nankai University); Li, Yao (Nankai University); Keller, Arturo A. (University of California, Santa Barbara)",3,3,,,,https://app.dimensions.ai/details/publication/pub.1106884453,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
16,100,pub.1106909014,10.1039/c8en00593a,,,"Influence of light wavelength on the photoactivity, physicochemical transformation, and fate of graphene oxide in aqueous media",Environmental Science Nano,,,2018-11-09,2018,5,11,2590-2603,"All OA; Green, Published",Article,"Du, Tingting; Adeleye, Adeyemi S.; Zhang, Tong; Jiang, Chuanjia; Zhang, Min; Wang, Huihui; Li, Yao; Keller, Arturo A.; Chen, Wei",,"Du, Tingting (Nankai University); Adeleye, Adeyemi S. (University of California System); Zhang, Tong (Nankai University); Jiang, Chuanjia (Nankai University); Zhang, Min (Nankai University); Wang, Huihui (Nankai University); Li, Yao (Nankai University); Keller, Arturo A. (University of California System); Chen, Wei (Nankai University)",4,4,,,https://escholarship.org/content/qt9qj8k728/qt9qj8k728.pdf?t=pj7l4m,https://app.dimensions.ai/details/publication/pub.1106909014,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
17,200,pub.1106826656,10.1021/acssuschemeng.8b01691,,,Linking Exposure and Kinetic Bioaccumulation Models for Metallic Engineered Nanomaterials in Freshwater Ecosystems,ACS Sustainable Chemistry & Engineering,,,2018-10,2018,6,10,12684-12694,"All OA; Green, Published",Article,"Garner, Kendra L.; Qin, Yuwei; Cucurachi, Stefano; Suh, Sangwon; Keller, Arturo A.",,"Garner, Kendra L. (University of California, Santa Barbara); Qin, Yuwei (University of California, Santa Barbara); Cucurachi, Stefano (University of California, Santa Barbara); Suh, Sangwon (University of California, Santa Barbara); Keller, Arturo A. (University of California, Santa Barbara)",0,0,,,https://escholarship.org/content/qt34q789qt/qt34q789qt.pdf?t=ph1ska,https://app.dimensions.ai/details/publication/pub.1106826656,03 Chemical Sciences; 0301 Analytical Chemistry; 0399 Other Chemical Sciences,03 Chemical Sciences,0301 Analytical Chemistry,0399 Other Chemical Sciences,,
18,100,pub.1106543735,10.1016/j.impact.2018.08.008,,,Quantitative analysis of changes in amino acids levels for cucumber (Cucumis sativus) exposed to nano copper,NanoImpact,,,2018-10,2018,12,Environ. Sci. Technol. 48 21 2014,9-17,Closed,Article,"Huang, Yuxiong; Li, Weiwei; Minakova, Anastasiia S.; Anumol, Tarun; Keller, Arturo A.","Keller, Arturo A.","Huang, Yuxiong (University of California, Santa Barbara); Li, Weiwei (University of California, Santa Barbara); Minakova, Anastasiia S. (University of California, Santa Barbara); Anumol, Tarun (Agilent Technologies (United States)); Keller, Arturo A. (University of California, Santa Barbara)",3,3,,,,https://app.dimensions.ai/details/publication/pub.1106543735,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
19,500,pub.1104551707,10.1021/acs.est.8b02440,29898596,,Metabolomics Reveals How Cucumber ( Cucumis sativus) Reprograms Metabolites To Cope with Silver Ions and Silver Nanoparticle-Induced Oxidative Stress.,Environmental Science & Technology,,Cucumis sativus; Ions; Metabolomics; Metal Nanoparticles; Oxidative Stress; Silver,2018-07-17,2018,52,14,8016-8026,Closed,Article,"Zhang, Huiling; Du, Wenchao; Peralta-Videa, Jose R; Gardea-Torresdey, Jorge L; White, Jason C; Keller, Arturo; Guo, Hongyan; Ji, Rong; Zhao, Lijuan",,"Zhang, Huiling (Nanjing University); Du, Wenchao (Nanjing University); Peralta-Videa, Jose R (The University of Texas at El Paso); Gardea-Torresdey, Jorge L (The University of Texas at El Paso); White, Jason C (Connecticut Agricultural Experiment Station); Keller, Arturo (University of California, Santa Barbara); Guo, Hongyan (Nanjing University); Ji, Rong (Nanjing University); Zhao, Lijuan (Nanjing University)",9,9,,,,https://app.dimensions.ai/details/publication/pub.1104551707,0703 Crop and Pasture Production; 0601 Biochemistry and Cell Biology; 0607 Plant Biology; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0703 Crop and Pasture Production,0601 Biochemistry and Cell Biology,0607 Plant Biology,06 Biological Sciences,07 Agricultural and Veterinary Sciences
20,500,pub.1085469013,10.1021/acs.jafc.7b01306,28493687,,Comparative Metabolic Response between Cucumber ( Cucumis sativus) and Corn ( Zea mays) to a Cu(OH)2 Nanopesticide.,Journal of Agricultural and Food Chemistry,,Antioxidants; Copper; Cucumis sativus; Gas Chromatography-Mass Spectrometry; Hydroxides; Metabolomics; Nanoparticles; Pesticides; Plant Leaves; Zea mays,2018-07-05,2018,66,26,6628-6636,"All OA; Green, Accepted & Submitted",Article,"Zhao, Lijuan; Huang, Yuxiong; Keller, Arturo A",,"Zhao, Lijuan (University of California, Santa Barbara); Huang, Yuxiong (University of California, Santa Barbara); Keller, Arturo A (University of California, Santa Barbara)",13,13,,,https://escholarship.org/content/qt8h47w6m9/qt8h47w6m9.pdf?t=or4hwz,https://app.dimensions.ai/details/publication/pub.1085469013,09 Engineering; 03 Chemical Sciences; 07 Agricultural and Veterinary Sciences,09 Engineering,03 Chemical Sciences,07 Agricultural and Veterinary Sciences,,
