,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Ashley E Larsen. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1113308461,10.1111/2041-210x.13190,,,Causal analysis in control–impact ecological studies with observational data,Methods in Ecology and Evolution,,,2019-07,2019,10,7,924-934,Closed,Article,"Larsen, Ashley E.; Meng, Kyle; Kendall, Bruce E.",,"Larsen, Ashley E. (University of California, Santa Barbara); Meng, Kyle (University of California, Santa Barbara); Kendall, Bruce E. (University of California, Santa Barbara)",3,3,,,,https://app.dimensions.ai/details/publication/pub.1113308461,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
2,500,pub.1107057348,10.1016/j.scitotenv.2018.09.206,30253365,,High highs and low lows: Elucidating striking seasonal variability in pesticide use and its environmental implications,The Science of The Total Environment,,"Agriculture; California; Environmental Exposure; Environmental Monitoring; Pest Control; Pesticides; Water Pollutants, Chemical",2019-02,2019,651,Pt 1,828-837,Closed,Article,"Larsen, Ashley E.; Patton, Michael; Martin, Emily A.","Larsen, Ashley E.","Larsen, Ashley E. (University of California, Santa Barbara); Patton, Michael (University of California, Santa Barbara); Martin, Emily A. (University of Würzburg)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1107057348,1117 Public Health and Health Services; 0703 Crop and Pasture Production; 11 Medical and Health Sciences; 07 Agricultural and Veterinary Sciences,1117 Public Health and Health Services,0703 Crop and Pasture Production,11 Medical and Health Sciences,07 Agricultural and Veterinary Sciences,
3,100,pub.1107722219,10.1111/1365-2664.13289,,,Missing the people for the trees: Identifying coupled natural–human system feedbacks driving the ecology of Lyme disease,Journal of Applied Ecology,,,2019-02,2019,56,2,354-364,Closed,Article,"MacDonald, Andrew J.; Larsen, Ashley E.; Plantinga, Andrew J.",,"MacDonald, Andrew J. (Stanford University; University of California, Santa Barbara); Larsen, Ashley E. (University of California, Santa Barbara); Plantinga, Andrew J. (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1107722219,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
4,300,pub.1111316238,10.1371/journal.pone.0210844,30629723,PMC6328112,Correction: Eco-Label Conveys Reliable Information on Fish Stock Health to Seafood Consumers,PLoS ONE,,,2019-01-10,2019,14,1,e0210844,All OA; Gold,Article,"Gutiérrez, Nicolás L; Valencia, Sarah R; Branch, Trevor A; Agnew, David J; Baum, Julia K; Bianchi, Patricia L; Cornejo-Donoso, Jorge; Costello, Christopher; Defeo, Omar; Essington, Timothy E; Hilborn, Ray; Hoggarth, Daniel D; Larsen, Ashley E; Ninnes, Chris; Sainsbury, Keith; Selden, Rebecca L; Sistla, Seeta; Smith, Anthony D M; Stern-Pirlot, Amanda; Teck, Sarah J; Thorson, James T; Williams, Nicholas E",,"Gutiérrez, Nicolás L (); Valencia, Sarah R (); Branch, Trevor A (); Agnew, David J (); Baum, Julia K (); Bianchi, Patricia L (); Cornejo-Donoso, Jorge (); Costello, Christopher (); Defeo, Omar (); Essington, Timothy E (); Hilborn, Ray (); Hoggarth, Daniel D (); Larsen, Ashley E (); Ninnes, Chris (); Sainsbury, Keith (); Selden, Rebecca L (); Sistla, Seeta (); Smith, Anthony D M (); Stern-Pirlot, Amanda (); Teck, Sarah J (); Thorson, James T (); Williams, Nicholas E ()",0,0,,,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0210844&type=printable,https://app.dimensions.ai/details/publication/pub.1111316238,,,,,,
5,500,pub.1111314091,10.1371/journal.pone.0209619,30625183,PMC6326495,Single species conservation as an umbrella for management of landscape threats,PLoS ONE,,Animals; Artemisia; Conservation of Natural Resources; Ecosystem; Galliformes; Grassland,2019-01-09,2019,14,1,e0209619,All OA; Gold,Article,"Runge, Claire A.; Withey, John C.; Naugle, David E.; Fargione, Joseph E.; Helmstedt, Kate J.; Larsen, Ashley E.; Martinuzzi, Sebastian; Tack, Jason D.",,"Runge, Claire A. (University of California, Santa Barbara; The Arctic University of Norway); Withey, John C. (The Evergreen State College); Naugle, David E. (University of Montana); Fargione, Joseph E. (The Nature Conservancy); Helmstedt, Kate J. (University of California, Berkeley; Queensland University of Technology); Larsen, Ashley E. (University of California, Santa Barbara); Martinuzzi, Sebastian (University of Wisconsin–Madison); Tack, Jason D. (United States Fish and Wildlife Service)",3,3,,,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0209619&type=printable,https://app.dimensions.ai/details/publication/pub.1111314091,0501 Ecological Applications; 05 Environmental Sciences; 0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,0502 Environmental Science and Management,,
6,100,pub.1107255846,10.1111/1365-2664.13271,,,Unintended habitat loss on private land from grazing restrictions on public rangelands,Journal of Applied Ecology,,,2019-01,2019,56,1,52-62,All OA; Gold,Article,"Runge, Claire A.; Plantinga, Andrew J.; Larsen, Ashley E.; Naugle, David E.; Helmstedt, Kate J.; Polasky, Stephen; Donnelly, J. Patrick; Smith, Joseph T.; Lark, Tyler J.; Lawler, Joshua J.; Martinuzzi, Sebastian; Fargione, Joe",,"Runge, Claire A. (University of California, Santa Barbara); Plantinga, Andrew J. (University of California, Santa Barbara); Larsen, Ashley E. (University of California, Santa Barbara); Naugle, David E. (University of Montana); Helmstedt, Kate J. (Queensland University of Technology); Polasky, Stephen (University of Minnesota); Donnelly, J. Patrick (); Smith, Joseph T. (University of Montana); Lark, Tyler J. (University of Wisconsin–Madison); Lawler, Joshua J. (University of Washington); Martinuzzi, Sebastian (University of Wisconsin–Madison); Fargione, Joe (The Nature Conservancy)",0,0,,,https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/1365-2664.13271,https://app.dimensions.ai/details/publication/pub.1107255846,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
7,500,pub.1100165756,10.1016/j.jenvman.2017.12.026,29275281,,"Innovating at the food, water, and energy interface",Journal of Environmental Management,,Conservation of Natural Resources; Ecology; Food; Food Supply; Water,2018-03,2018,209,Sci. Total Environ. 574 2017,17-22,"All OA; Green, Published",Article,"Helmstedt, K.J.; Stokes-Draut, J.R.; Larsen, A.E.; Potts, M.D.","Helmstedt, K.J.","Helmstedt, K.J. (Queensland University of Technology; University of California, Berkeley); Stokes-Draut, J.R. (University of California, Berkeley); Larsen, A.E. (University of California, Santa Barbara); Potts, M.D. (University of California, Berkeley)",7,7,,,https://escholarship.org/content/qt7k96k7wf/qt7k96k7wf.pdf?t=p5k4fa,https://app.dimensions.ai/details/publication/pub.1100165756,0501 Ecological Applications; 05 Environmental Sciences; 0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,0502 Environmental Science and Management,,
8,500,pub.1100265479,10.3390/insects9010002,29304005,PMC5872267,Investigating the (Mis)Match between Natural Pest Control Knowledge and the Intensity of Pesticide Use,Insects,,,2018-01-05,2018,9,1,2,All OA; Gold,Article,"Mall, David; Larsen, Ashley E; Martin, Emily A",,"Mall, David (University of Würzburg); Larsen, Ashley E (University of California, Santa Barbara); Martin, Emily A (University of Würzburg)",3,3,,,https://www.mdpi.com/2075-4450/9/1/2/pdf,https://app.dimensions.ai/details/publication/pub.1100265479,06 Biological Sciences; 0608 Zoology,06 Biological Sciences,0608 Zoology,,,
9,500,pub.1091161779,10.1038/s41467-017-00349-2,28851866,PMC5575123,Agricultural pesticide use and adverse birth outcomes in the San Joaquin Valley of California,Nature Communications,,"Agriculture; Birth Weight; California; Dose-Response Relationship, Drug; Environmental Exposure; Female; Fetal Development; Fetal Weight; Humans; Infant, Newborn; Maternal Exposure; Pesticides; Pregnancy; Prenatal Exposure Delayed Effects",2017-12,2017,8,1,302,All OA; Gold,Article,"Larsen, Ashley E.; Gaines, Steven D.; Deschênes, Olivier","Larsen, Ashley E.","Larsen, Ashley E. (University of California, Santa Barbara); Gaines, Steven D. (University of California, Santa Barbara); Deschênes, Olivier (University of California, Santa Barbara)",13,13,0.39,7.23,https://www.nature.com/articles/s41467-017-00349-2.pdf,https://app.dimensions.ai/details/publication/pub.1091161779,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
