,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Benjamin S Halpern. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,500,pub.1120282443,10.1038/s41598-019-47201-9,31406130,PMC6691109,Recent pace of change in human impact on the world’s ocean,Scientific Reports,,,2019-12,2019,9,1,11609,All OA; Gold,Article,"Halpern, Benjamin S.; Frazier, Melanie; Afflerbach, Jamie; Lowndes, Julia S.; Micheli, Fiorenza; O’Hara, Casey; Scarborough, Courtney; Selkoe, Kimberly A.","Halpern, Benjamin S.","Halpern, Benjamin S. (University of California, Santa Barbara); Frazier, Melanie (University of California, Santa Barbara); Afflerbach, Jamie (University of California, Santa Barbara); Lowndes, Julia S. (University of California, Santa Barbara); Micheli, Fiorenza (Stanford University); O’Hara, Casey (University of California, Santa Barbara); Scarborough, Courtney (University of California, Santa Barbara); Selkoe, Kimberly A. (University of California, Santa Barbara)",1,1,,,http://dx.doi.org/10.1038/s41598-019-47201-9,https://app.dimensions.ai/details/publication/pub.1120282443,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
2,500,pub.1115975933,10.1038/s41598-019-44406-w,31142773,PMC6541654,Designing MPAs for food security in open-access fisheries,Scientific Reports,,,2019-12,2019,9,1,8033,All OA; Gold,Article,"Cabral, Reniel B.; Halpern, Benjamin S.; Lester, Sarah E.; White, Crow; Gaines, Steven D.; Costello, Christopher","Cabral, Reniel B.","Cabral, Reniel B. (University of California, Santa Barbara); Halpern, Benjamin S. (University of California, Santa Barbara); Lester, Sarah E. (Florida State University); White, Crow (California Polytechnic State University); Gaines, Steven D. (University of California, Santa Barbara); Costello, Christopher (University of California, Santa Barbara)",2,2,,,https://www.nature.com/articles/s41598-019-44406-w.pdf,https://app.dimensions.ai/details/publication/pub.1115975933,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
3,100,pub.1121882477,10.1101/808790,,,Area requirements to safeguard Earth's marine species,bioRxiv,,,2019-10-17,2019,,,808790,"All OA; Green, Accepted & Submitted",Preprint,"Jones, Kendall R; Klein, Carissa J; Grantham, Hedley S; Possingham, Hugh P; Halpern, Benjamin S; Burgess, Neil D; Butchart, Stuart H.M.; Robinson, John G; Kingston, Naomi; Watson, James E.M.",,"Jones, Kendall R (Wildlife Conservation Society); Klein, Carissa J (University of Queensland); Grantham, Hedley S (Wildlife Conservation Society); Possingham, Hugh P (The Nature Conservancy); Halpern, Benjamin S (University of California, Santa Barbara); Burgess, Neil D (World Conservation Monitoring Centre); Butchart, Stuart H.M. (); Robinson, John G (Wildlife Conservation Society); Kingston, Naomi (World Conservation Monitoring Centre); Watson, James E.M. (Wildlife Conservation Society)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1121882477,0602 Ecology; 0405 Oceanography; 06 Biological Sciences; 04 Earth Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management,0602 Ecology,0405 Oceanography,06 Biological Sciences,04 Earth Sciences,05 Environmental Sciences
4,100,pub.1117919954,10.1101/698365,,,Mapping Cumulative Impacts to Coastal Ecosystem Services in British Columbia,bioRxiv,,,2019-07-10,2019,,,698365,"All OA; Green, Published",Preprint,"Singh, Gerald G.; Eddy, Ian M.S.; Halpern, Benjamin S.; Neslo, Rabin; Satterfield, Terre; Chan, Kai M.A.",,"Singh, Gerald G. (University of British Columbia); Eddy, Ian M.S. (University of British Columbia); Halpern, Benjamin S. (University of California, Santa Barbara; Imperial College London); Neslo, Rabin (); Satterfield, Terre (University of British Columbia); Chan, Kai M.A. (University of British Columbia)",0,0,,,https://www.biorxiv.org/content/biorxiv/early/2019/07/10/698365.full.pdf,https://app.dimensions.ai/details/publication/pub.1117919954,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
5,100,pub.1117059295,10.3389/fevo.2019.00211,,,Moving Beyond Silos in Cumulative Effects Assessment,Frontiers in Ecology and Evolution,,,2019-06-11,2019,7,,211,All OA; Gold,Article,"Hodgson, Emma E.; Halpern, Benjamin S.; Essington, Timothy E.",,"Hodgson, Emma E. (Simon Fraser University); Halpern, Benjamin S. (University of California, Santa Barbara; Imperial College London); Essington, Timothy E. (University of Washington)",0,0,,,https://www.frontiersin.org/articles/10.3389/fevo.2019.00211/pdf,https://app.dimensions.ai/details/publication/pub.1117059295,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
6,100,pub.1117973277,10.1007/s42532-019-00018-2,,,Ten tips for developing interdisciplinary socio-ecological researchers,Socio-Ecological Practice Research,,,2019-06,2019,1,2,149-161,All OA; Gold,Article,"Kelly, Rachel; Mackay, Mary; Nash, Kirsty L.; Cvitanovic, Christopher; Allison, Edward H.; Armitage, Derek; Bonn, Aletta; Cooke, Steven J.; Frusher, Stewart; Fulton, Elizabeth A.; Halpern, Benjamin S.; Lopes, Priscila F. M.; Milner-Gulland, E. J.; Peck, Myron A.; Pecl, Gretta T.; Stephenson, Robert L.; Werner, Francisco","Kelly, Rachel","Kelly, Rachel (University of Tasmania); Mackay, Mary (University of Tasmania); Nash, Kirsty L. (University of Tasmania); Cvitanovic, Christopher (University of Tasmania; Australian National University); Allison, Edward H. (University of Washington); Armitage, Derek (University of Waterloo); Bonn, Aletta (Helmholtz Centre for Environmental Research; Friedrich Schiller University Jena; Leipzig University); Cooke, Steven J. (Carleton University); Frusher, Stewart (University of Tasmania); Fulton, Elizabeth A. (University of Tasmania); Halpern, Benjamin S. (University of California, Santa Barbara); Lopes, Priscila F. M. (Federal University of Rio Grande do Norte); Milner-Gulland, E. J. (University of Oxford); Peck, Myron A. (University of Hamburg); Pecl, Gretta T. (University of Tasmania); Stephenson, Robert L. (Fisheries and Oceans Canada; University of New Brunswick); Werner, Francisco (National Marine Fisheries Service)",0,0,,,https://link.springer.com/content/pdf/10.1007%2Fs42532-019-00018-2.pdf,https://app.dimensions.ai/details/publication/pub.1117973277,"2004 Linguistics; 20 Language, Communication and Culture",2004 Linguistics,"20 Language, Communication and Culture",,,
7,100,pub.1112602617,10.1016/j.marpol.2019.02.054,,,"Governance of marine aquaculture: Pitfalls, potential, and pathways forward",Marine Policy,,,2019-06,2019,104,Science 327 80- 2010,29-36,Closed,Article,"Davies, Ian P.; Carranza, Valerie; Froehlich, Halley E.; Gentry, Rebecca R.; Kareiva, Peter; Halpern, Benjamin S.","Davies, Ian P.","Davies, Ian P. (University of Washington); Carranza, Valerie (University of California, Riverside); Froehlich, Halley E. (University of California, Santa Barbara); Gentry, Rebecca R. (Florida State University); Kareiva, Peter (University of California Los Angeles); Halpern, Benjamin S. (University of California, Santa Barbara)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1112602617,1801 Law; 1606 Political Science; 16 Studies in Human Society; 18 Law and Legal Studies; 05 Environmental Sciences; 0502 Environmental Science and Management,1801 Law,1606 Political Science,16 Studies in Human Society,18 Law and Legal Studies,05 Environmental Sciences
8,100,pub.1113932456,10.1111/conl.12651,,,Mapping status and conservation of global at‐risk marine biodiversity,Conservation Letters,,,2019-05-06,2019,12,4,e12651,All OA; Gold,Article,"O'Hara, Casey C.; Villaseñor‐Derbez, Juan Carlos; Ralph, Gina M.; Halpern, Benjamin S.",,"O'Hara, Casey C. (University of California, Santa Barbara); Villaseñor‐Derbez, Juan Carlos (University of California, Santa Barbara); Ralph, Gina M. (); Halpern, Benjamin S. (University of California, Santa Barbara)",1,1,,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/conl.12651,https://app.dimensions.ai/details/publication/pub.1113932456,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
9,100,pub.1110933159,10.1111/1365-2664.13331,,,A guide to modelling priorities for managing land‐based impacts on coastal ecosystems,Journal of Applied Ecology,,,2019-05,2019,56,5,1106-1116,All OA; Gold,Article,"Brown, Christopher J.; Jupiter, Stacy D.; Albert, Simon; Anthony, Kenneth R. N.; Hamilton, Richard J.; Fredston‐Hermann, Alexa; Halpern, Benjamin S.; Lin, Hsien‐Yung; Maina, Joseph; Mangubhai, Sangeeta; Mumby, Peter J.; Possingham, Hugh P.; Saunders, Megan I.; Tulloch, Vivitskaia J. D.; Wenger, Amelia; Klein, Carissa J.",,"Brown, Christopher J. (Griffith University); Jupiter, Stacy D. (); Albert, Simon (University of Queensland); Anthony, Kenneth R. N. (Australian Institute of Marine Science; University of Queensland); Hamilton, Richard J. (ARC Centre of Excellence For Coral Reef Studies); Fredston‐Hermann, Alexa (University of California, Santa Barbara); Halpern, Benjamin S. (Imperial College London; University of California, Santa Barbara); Lin, Hsien‐Yung (Michigan State University); Maina, Joseph (Macquarie University); Mangubhai, Sangeeta (); Mumby, Peter J. (University of Queensland); Possingham, Hugh P. (University of Queensland; Imperial College London); Saunders, Megan I. (University of Queensland); Tulloch, Vivitskaia J. D. (University of Queensland; Macquarie University); Wenger, Amelia (University of Queensland); Klein, Carissa J. (University of Queensland)",1,1,,,https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/1365-2664.13331,https://app.dimensions.ai/details/publication/pub.1110933159,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
