,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Bradley R Hacker. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1113308557,10.1111/ter.12395,,,A borehole investigation of zircon radiation damage annealing,Terra Nova,,,2019-06,2019,31,3,263-270,Closed,Article,"Jonckheere, Raymond; Heinz, Daniel; Hacker, Bradley R.; Rafaja, David; Ratschbacher, Lothar",,"Jonckheere, Raymond (Freiberg University Of Mining And Technology); Heinz, Daniel (Freiberg University Of Mining And Technology); Hacker, Bradley R. (); Rafaja, David (Freiberg University Of Mining And Technology); Ratschbacher, Lothar (Freiberg University Of Mining And Technology)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1113308557,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
2,100,pub.1112688791,10.1130/g45727.1,,,Reactivation history of the North Anatolian fault zone based on calcite age-strain analyses,Geology,,,2019-05-01,2019,47,5,465-469,Closed,Article,"Nuriel, Perach; Craddock, John; Kylander-Clark, Andrew R.C.; Uysal, Tonguç; Karabacak, Volkan; Dirik, Ramazan Kadir; Hacker, Bradley R.; Weinberger, Ram",,"Nuriel, Perach (Geological Survey of Israel); Craddock, John (Macalester College); Kylander-Clark, Andrew R.C. (University of California, Santa Barbara); Uysal, Tonguç (); Karabacak, Volkan (Eskişehir Osmangazi University); Dirik, Ramazan Kadir (Hacettepe University); Hacker, Bradley R. (University of California, Santa Barbara); Weinberger, Ram (Geological Survey of Israel; Ben-Gurion University of the Negev)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1112688791,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
3,100,pub.1114199602,10.1007/s00410-019-1578-2,,,"Interpreting titanite U–Pb dates and Zr thermobarometry in high-grade rocks: empirical constraints on elemental diffusivities of Pb, Al, Fe, Zr, Nb, and Ce",Contributions to Mineralogy and Petrology,,,2019-05,2019,174,5,42,Closed,Article,"Holder, Robert M.; Hacker, Bradley R.; Seward, Gareth G. E.; Kylander-Clark, Andrew R. C.","Holder, Robert M.","Holder, Robert M. (Johns Hopkins University); Hacker, Bradley R. (University of California, Santa Barbara); Seward, Gareth G. E. (University of California, Santa Barbara); Kylander-Clark, Andrew R. C. (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1114199602,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
4,200,pub.1113157795,10.2138/am-2019-ap10444,,,Presentation of the Dana Medal of the Mineralogical Society of America for 2018 to Jörg Hermann,American Mineralogist,,,2019-04-01,2019,104,4,623-623,All OA; Gold,Article,"Hacker, Bradley R.",,"Hacker, Bradley R. (University of California, Santa Barbara)",0,0,,,https://pubs.geoscienceworld.org/msa/ammin/article-pdf/104/4/623/4669623/am-2019-ap10444.pdf,https://app.dimensions.ai/details/publication/pub.1113157795,0914 Resources Engineering and Extractive Metallurgy; 09 Engineering; 0402 Geochemistry; 0403 Geology; 04 Earth Sciences,0914 Resources Engineering and Extractive Metallurgy,09 Engineering,0402 Geochemistry,0403 Geology,04 Earth Sciences
5,100,pub.1111979154,10.1016/j.epsl.2019.01.040,,,Extreme enriched and heterogeneous 87Sr/86Sr ratios recorded in magmatic plagioclase from the Samoan hotspot,Earth and Planetary Science Letters,,,2019-04,2019,511,Nature 336 1988,190-201,Closed,Article,"Edwards, M.A.; Jackson, M.G.; Kylander-Clark, A.R.C.; Harvey, J.; Hagen-Peter, G.A.; Seward, G.G.E.; Till, C.B.; Adams, J.V.; Cottle, J.M.; Hacker, B.R.; Spera, F.J.","Edwards, M.A.","Edwards, M.A. (University of California, Santa Barbara); Jackson, M.G. (University of California, Santa Barbara); Kylander-Clark, A.R.C. (University of California, Santa Barbara); Harvey, J. (University of Leeds); Hagen-Peter, G.A. (Aarhus University); Seward, G.G.E. (University of California, Santa Barbara); Till, C.B. (Arizona State University); Adams, J.V. (University of California, Santa Barbara); Cottle, J.M. (University of California, Santa Barbara); Hacker, B.R. (University of California, Santa Barbara); Spera, F.J. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1111979154,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
6,100,pub.1107571389,10.1111/jmg.12458,,,REE partitioning between monazite and garnet: Implications for petrochronology,Journal of Metamorphic Geology,,,2019-02,2019,37,2,227-237,Closed,Article,"Hacker, Bradley; Kylander‐Clark, Andrew; Holder, Robert",,"Hacker, Bradley (University of California, Santa Barbara); Kylander‐Clark, Andrew (University of California, Santa Barbara); Holder, Robert (University of California, Santa Barbara)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1107571389,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
7,100,pub.1110481510,10.1016/j.chemgeo.2018.11.017,,,Fluid-driven resetting of titanite following ultrahigh-temperature metamorphism in southern Madagascar,Chemical Geology,,,2019-01,2019,504,Am. J. Sci. 307 2007,38-52,Closed,Article,"Holder, Robert M.; Hacker, Bradley R.","Holder, Robert M.","Holder, Robert M. (University of California, Santa Barbara; Johns Hopkins University); Hacker, Bradley R. (University of California, Santa Barbara)",3,3,,,,https://app.dimensions.ai/details/publication/pub.1110481510,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
8,100,pub.1106959622,10.1144/sp483.6,,,Structural and metamorphic evolution of the Karakoram and Pamir following India–Kohistan–Asia collision,Geological Society London Special Publications,,,2019,2019,483,1,555-582,Closed,Article,"Searle, M. P.; Hacker, B. R.",,"Searle, M. P. (University of Oxford); Hacker, B. R. (University of California, Santa Barbara)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1106959622,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
9,100,pub.1104408399,10.1111/jmg.12430,,,"Prolonged (>100 Ma) ultrahigh temperature metamorphism in the Napier Complex, East Antarctica: A petrochronological investigation of Earth's hottest crust",Journal of Metamorphic Geology,,,2018-12,2018,36,9,1117-1139,Closed,Article,"Clark, Chris; Taylor, Richard J. M.; Kylander‐Clark, Andrew R. C.; Hacker, Bradley R.",,"Clark, Chris (Curtin University); Taylor, Richard J. M. (Curtin University; University of Cambridge); Kylander‐Clark, Andrew R. C. (University of California, Santa Barbara); Hacker, Bradley R. (University of California, Santa Barbara)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1104408399,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
10,200,pub.1106475604,10.1016/j.precamres.2018.08.016,,,"Corrigendum to “U-Pb zircon and titanite ages from granulites of the Koraput area – Evidence for Columbia, Rodinia and Gondwana from the Eastern Ghats Province, India” [Precambrian Res. 314 (2018) 394–413]",Precambrian Research,,,2018-10,2018,316,,328,Closed,Article,"Nanda, Jagatbikas; Gupta, Saibal; Hacker, Bradley","Gupta, Saibal","Nanda, Jagatbikas (Indian Institute of Technology Kharagpur); Gupta, Saibal (Indian Institute of Technology Kharagpur); Hacker, Bradley ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1106475604,04 Earth Sciences,04 Earth Sciences,,,,
