,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Bruce E Mahall. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1111761074,10.1002/ecs2.2570,,,Demography of evergreen and deciduous oaks in a mixed oak savanna: insights from a long‐term experiment,Ecosphere,,,2019-01,2019,10,1,e02570,All OA; Gold,Article,"Davis, Frank W.; Tyler, Claudia M.; Mahall, Bruce E.",,"Davis, Frank W. (University of California, Santa Barbara); Tyler, Claudia M. (University of California, Santa Barbara); Mahall, Bruce E. (University of California, Santa Barbara)",2,2,,,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1002/ecs2.2570,https://app.dimensions.ai/details/publication/pub.1111761074,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
2,100,pub.1092590118,10.1111/1365-2745.12904,,,"A 37‐year experimental study of the effects of structural alterations on a shrub community in the Mojave Desert, California",Journal of Ecology,,,2018-05,2018,106,3,1057-1072,Closed,Article,"Mahall, Bruce E.; Fonteyn, Paul J.; Callaway, Ragan M.; Schlesinger, William H.",,"Mahall, Bruce E. (University of California, Santa Barbara); Fonteyn, Paul J. (Green Mountain College); Callaway, Ragan M. (University of Montana); Schlesinger, William H. (Cary Institute of Ecosystem Studies)",4,4,,,,https://app.dimensions.ai/details/publication/pub.1092590118,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
3,100,pub.1030218838,10.1890/es11-00187.1,,,Consumer control of oak demography in a Mediterranean‐climate savanna,Ecosphere,,,2011-10,2011,2,10,1-21,All OA; Gold,Article,"Davis, Frank W.; Tyler, Claudia M.; Mahall, Bruce E.",,"Davis, Frank W. (University of California, Santa Barbara); Tyler, Claudia M. (University of California, Santa Barbara); Mahall, Bruce E. (University of California, Santa Barbara)",15,4,,1.58,https://doi.org/10.1890/es11-00187.1,https://app.dimensions.ai/details/publication/pub.1030218838,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
4,200,pub.1058840614,10.1086/650232,,,"Root Feeders: An Ecosystem Perspective
                    .
                    Edited by
                    Scott N. Johnson and Philip J. Murray. Wallingford (United Kingdom) and Cambridge (Massachusetts): CABI Publishing. $150.00. xvii + 226 p.; ill.; species and subject indexes. ISBN: 978‐1‐84593‐461‐3. 2008.",The Quarterly Review of Biology,,,2010-03,2010,85,1,93-94,Closed,Article,"Mahall, Bruce E.",,"Mahall, Bruce E. ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1058840614,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
5,100,pub.1011698823,10.1016/j.flora.2009.12.011,,,A quantitative comparison of two extremes in chaparral shrub phenology,Flora,,,2010-01,2010,205,8,513-526,Closed,Article,"Mahall, Bruce E.; Thwing, Lisa K.; Tyler, Claudia M.","Mahall, Bruce E.","Mahall, Bruce E. (University of California, Santa Barbara); Thwing, Lisa K. (University of California, Santa Barbara); Tyler, Claudia M. (University of California, Santa Barbara)",10,4,,1.54,,https://app.dimensions.ai/details/publication/pub.1011698823,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
6,400,pub.1049155523,10.3732/ajb.0800247,21628230,,"A comparative study of oak (Quercus, Fagaceae) seedling physiology during summer drought in southern California",American Journal of Botany,,,2009-04,2009,96,4,751-761,All OA; Gold,Article,"Mahall, Bruce E.; Tyler, Claudia M.; Cole, E. Shelly; Mata, Catarina",,"Mahall, Bruce E. (University of California, Santa Barbara); Tyler, Claudia M. (University of California, Santa Barbara); Cole, E. Shelly (University of California, Berkeley); Mata, Catarina (Borough of Manhattan Community College)",26,3,0.26,3.86,https://onlinelibrary.wiley.com/doi/pdf/10.3732/ajb.0800247,https://app.dimensions.ai/details/publication/pub.1049155523,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
7,100,pub.1036642164,10.1016/j.foreco.2008.01.073,,,The relative importance of factors affecting age-specific seedling survival of two co-occurring oak species in southern California,Forest Ecology and Management,,,2008-04,2008,255,7,3063-3074,Closed,Article,"Tyler, Claudia M.; Davis, Frank W.; Mahall, Bruce E.","Tyler, Claudia M.","Tyler, Claudia M. (University of California, Santa Barbara); Davis, Frank W. (University of California, Santa Barbara); Mahall, Bruce E. (University of California, Santa Barbara)",34,7,,2.93,,https://app.dimensions.ai/details/publication/pub.1036642164,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
8,300,pub.1043994073,10.1038/448145a,17625553,,Family roots,Nature,,Biological Evolution; Ecosystem; Ferns; Plant Roots,2007-07,2007,448,7150,145-146,Closed,Article,"Callaway, Ragan M.; Mahall, Bruce E.",,"Callaway, Ragan M. (University of Montana); Mahall, Bruce E. (University of California, Santa Barbara)",36,5,0.63,,,https://app.dimensions.ai/details/publication/pub.1043994073,,,,,,
9,400,pub.1043526777,10.1111/j.1469-8137.2006.01822.x,16995922,,A test for hydrotropic behavior by roots of two coastal dune shrubs,New Phytologist,,Artemisia; California; Eriogonum; Gravitation; Nitrogen; Plant Roots; Soil; Water,2006-10,2006,172,2,358-368,All OA; Gold,Article,"Cole, E. Shelly; Mahall, Bruce E.",,"Cole, E. Shelly (University of California, Santa Barbara); Mahall, Bruce E. (University of California, Santa Barbara)",11,0,0.08,1.08,http://onlinelibrary.wiley.com/doi/10.1111/j.1469-8137.2006.01822.x/pdf,https://app.dimensions.ai/details/publication/pub.1043526777,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0602 Ecology,06 Biological Sciences,,
