,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Cathy Jeanne Busby. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1106050000,10.1130/ges01398.1,,,"A tale of two Walker Lane pull-apart basins in the ancestral Cascades arc, central Sierra Nevada, California",Geosphere,,,2018-10-01,2018,14,5,2068-2117,All OA; Gold,Article,"Busby, Cathy J.; Putirka, K.; Melosh, Benjamin; Renne, Paul R.; Hagan, Jeanette C.; Gambs, Megan; Wesoloski, Catherine",,"Busby, Cathy J. (University of California, Davis); Putirka, K. (California State University, Fresno); Melosh, Benjamin (United States Geological Survey); Renne, Paul R. (Berkeley Geochronology Center; University of California, Berkeley); Hagan, Jeanette C. (); Gambs, Megan (University of Washington); Wesoloski, Catherine (University of California, Davis)",0,0,,,https://pubs.geoscienceworld.org/gsa/geosphere/article-pdf/14/5/2068/4347053/2068.pdf,https://app.dimensions.ai/details/publication/pub.1106050000,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
2,100,pub.1091628697,10.1080/00206814.2017.1363675,,,40Ar/39Ar ages and zircon petrochronology for the rear arc of the Izu-Bonin-Marianas intra-oceanic subduction zone,International Geology Review,,,2018-06-11,2018,60,8,1-21,Closed,Article,"Schmitt, Axel K.; Konrad, Kevin; Andrews, Graham D. M.; Horie, Kenji; Brown, Sarah R.; Koppers, Anthony A. P.; Pecha, Mark; Busby, Cathy J.; Tamura, Yoshihiko",,"Schmitt, Axel K. (Heidelberg University); Konrad, Kevin (Oregon State University); Andrews, Graham D. M. (West Virginia University); Horie, Kenji (Graduate University For Advanced Studies); Brown, Sarah R. (West Virginia University); Koppers, Anthony A. P. (Oregon State University); Pecha, Mark (University of Arizona); Busby, Cathy J. (University of California, Davis); Tamura, Yoshihiko (Japan Agency for Marine-Earth Science and Technology)",9,8,,,,https://app.dimensions.ai/details/publication/pub.1091628697,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
3,200,pub.1104690107,10.1130/abs/2018rm-314017,,,NEWLY-DISCOVERED DIAMOND VALLEY VOLCANIC CENTER IN THE HANGINGWALL OF AN ACCOMMODATION ZONE BETWEEN THE GENOA AND GROVER HOT SPRINGS FAULTS,Abstracts with programs (Geological Society of America),,,2018,2018,,,,Closed,Proceeding,"Wesoloski, Catherine; Busby, Cathy J.",,"Wesoloski, Catherine (); Busby, Cathy J. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1104690107,,,,,,
4,100,pub.1084153918,10.1080/00206814.2017.1292469,,,"The missing half of the subduction factory: shipboard results from the Izu rear arc, IODP Expedition 350",International Geology Review,,,2017-10-03,2017,59,13,1-32,"All OA; Green, Accepted & Submitted",Article,"Busby, Cathy J.; Tamura, Yoshihiko; Blum, Peter; Guèrin, Gilles; Andrews, Graham D. M.; Barker, Abigail K.; Berger, Julien L. R.; Bongiolo, Everton M.; Bordiga, Manuela; DeBari, Susan M.; Gill, James B.; Hamelin, Cedric; Jia, Jihui; John, Eleanor H.; Jonas, Ann-Sophie; Jutzeler, Martin; Kars, Myriam A. C.; Kita, Zachary A.; Konrad, Kevin; Mahony, Susan H.; Martini, Michelangelo; Miyazaki, Takashi; Musgrave, Robert J.; Nascimento, Debora B.; Nichols, Alexander R. L.; Ribeiro, Julia M.; Sato, Tomoki; Schindlbeck, Julie C.; Schmitt, Axel K.; Straub, Susanne M.; Mleneck-Vautravers, Maryline J.; Yang, Alexandra Yang",,"Busby, Cathy J. (University of California, Davis); Tamura, Yoshihiko (Japan Agency for Marine-Earth Science and Technology); Blum, Peter (Texas A&M University); Guèrin, Gilles (Lamont-Doherty Earth Observatory); Andrews, Graham D. M. (West Virginia University); Barker, Abigail K. (Uppsala University); Berger, Julien L. R. (Géosciences Environnement Toulouse); Bongiolo, Everton M. (Federal University of Rio de Janeiro); Bordiga, Manuela (Uppsala University); DeBari, Susan M. (Western Washington University); Gill, James B. (University of California, Santa Cruz); Hamelin, Cedric (University of Bergen); Jia, Jihui (Kyoto University); John, Eleanor H. (University of the South Pacific); Jonas, Ann-Sophie (Kiel University); Jutzeler, Martin (University of Tasmania); Kars, Myriam A. C. (Kōchi University); Kita, Zachary A. (University of Nebraska–Lincoln); Konrad, Kevin (Oregon State University); Mahony, Susan H. (University of Bristol); Martini, Michelangelo (National Autonomous University of Mexico); Miyazaki, Takashi (Japan Agency for Marine-Earth Science and Technology); Musgrave, Robert J. (University of Sydney); Nascimento, Debora B. (Federal University of Rio de Janeiro); Nichols, Alexander R. L. (University of Canterbury); Ribeiro, Julia M. (Rice University); Sato, Tomoki (Japan Agency for Marine-Earth Science and Technology); Schindlbeck, Julie C. (); Schmitt, Axel K. (Heidelberg University); Straub, Susanne M. (Lamont-Doherty Earth Observatory); Mleneck-Vautravers, Maryline J. (University of Cambridge); Yang, Alexandra Yang (Guangzhou Institute of Geochemistry)",12,11,,4.61,https://research-information.bristol.ac.uk/files/143724573/IGR_2017_Exp_350_accepted.pdf,https://app.dimensions.ai/details/publication/pub.1084153918,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
5,200,pub.1095875120,10.1130/abs/2017cd-292820,,,"NEW
                    40
                    AR/
                    39
                    AR AGES FROM THE CEROCAHUI BASIN REGION OF THE NORTHERN SIERRA MADRE OCCIDENTAL, CHIHUAHUA, MEXICO: IMPLICATIONS FOR IGNIMBRITE CORRELATION AND THE TIMING OF SYNEXTENSIONAL DEPOSITION",Abstracts with programs (Geological Society of America),,,2017,2017,,,,Closed,Proceeding,"Murray, Bryan P.; Hames, Willis E.; Andrews, Graham D.M.; Busby, Cathy J.",,"Murray, Bryan P. (); Hames, Willis E. (); Andrews, Graham D.M. (); Busby, Cathy J. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1095875120,,,,,,
6,100,pub.1052554502,10.1002/2016gc006397,,,Age and compositional data of zircon from sepiolite drilling mud to identify contamination of ocean drilling samples,Geochemistry Geophysics Geosystems,,,2016-08,2016,17,8,3512-3526,All OA; Gold,Article,"Andrews, Graham D. M.; Schmitt, Axel K.; Busby, Cathy J.; Brown, Sarah R.; Blum, Peter; Harvey, Janet. C.",,"Andrews, Graham D. M. (West Virginia University; California State University, Bakersfield); Schmitt, Axel K. (Heidelberg University); Busby, Cathy J. (University of California, Davis); Brown, Sarah R. (California State University, Bakersfield); Blum, Peter (Texas A&M University); Harvey, Janet. C. (Heidelberg University)",11,8,,2.71,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2016GC006397,https://app.dimensions.ai/details/publication/pub.1052554502,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
7,100,pub.1049923935,10.1016/j.sedgeo.2015.11.008,,,"Petrography of volcaniclastic rocks in intra-arc volcano-bounded to fault-bounded basins of the Rosario segment of the Lower Cretaceous Alisitos oceanic arc, Baja California, Mexico",Sedimentary Geology,,,2016-05,2016,336,,138-146,All OA; Gold,Article,"Marsaglia, K.M.; Barone, M.; Critelli, S.; Busby, C.; Fackler-Adams, B.","Marsaglia, K.M.","Marsaglia, K.M. (California State University, Northridge); Barone, M. (University of Calabria); Critelli, S. (University of Calabria); Busby, C. (University of California, Davis); Fackler-Adams, B. (Skagit Valley College)",4,3,,1.07,https://manuscript.elsevier.com/S0037073815002481/pdf/S0037073815002481.pdf,https://app.dimensions.ai/details/publication/pub.1049923935,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
8,100,pub.1062735579,10.1130/ges01182.1,,,"Progressive derangement of ancient (Mesozoic) east-west Nevadaplano paleochannels into modern (Miocene–Holocene) north-northwest trends in the Walker Lane Belt, central Sierra Nevada",Geosphere,,,2016-02,2016,12,1,135-175,All OA; Gold,Article,"Busby, C.J.; Andrews, G.D.M.; Koerner, A.K.; Brown, S.R.; Melosh, B.L.; Hagan, J.C.",,"Busby, C.J. (University of California, Davis); Andrews, G.D.M. (California State University, Bakersfield); Koerner, A.K. (); Brown, S.R. (California State University, Bakersfield); Melosh, B.L. (McGill University); Hagan, J.C. ()",4,3,,1.07,https://pubs.geoscienceworld.org/gsa/geosphere/article-pdf/12/1/135/4091780/135.pdf,https://app.dimensions.ai/details/publication/pub.1062735579,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
9,100,pub.1028852132,10.1080/00206814.2014.941022,,,"Extension and magmatism in the Cerocahui basin, northern Sierra Madre Occidental, western Chihuahua, Mexico",International Geology Review,,,2015-06-11,2015,57,5-8,893-918,Closed,Article,"Murray, Bryan P.; Busby, Cathy J.; Verde Ramírez, María de los Angeles",,"Murray, Bryan P. (University of California, Santa Barbara); Busby, Cathy J. (University of California, Santa Barbara); Verde Ramírez, María de los Angeles (National Autonomous University of Mexico)",3,2,,0.62,,https://app.dimensions.ai/details/publication/pub.1028852132,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
