,"""About the data: Exported on Oct 31, 2019. Criteria: Researcher is Chandra J Krintz. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,200,pub.1117328361,10.1145/3328905.3329511,,,"Data Repair for Distributed, Event-based IoT Applications",,Proceedings of the 13th ACM International Conference on Distributed and Event-based Systems - DEBS '19,,2019,2019,,,139-150,Closed,Proceeding,"Lin, Wei-Tsung; Bakir, Fatih; Krintz, Chandra; Wolski, Rich; Mock, Markus",,"Lin, Wei-Tsung (University of California, Santa Barbara); Bakir, Fatih (University of California, Santa Barbara); Krintz, Chandra (University of California, Santa Barbara); Wolski, Rich (University of California, Santa Barbara); Mock, Markus ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1117328361,,,,,,
2,200,pub.1114208133,10.1504/ijbdi.2019.10021277,,,A Scalable System for Executing and Scoring K-Means Clustering Techniques and Its Impact on Applications in Agriculture,International Journal of Big Data Intelligence,,,2019,2019,6,1,1,All OA; Gold,Article,"Sethuramasamyraja, Balaji; Liu, Bo; Wolski, Rich; Golubovic, Nevena; Krintz, Chandra",,"Sethuramasamyraja, Balaji (); Liu, Bo (); Wolski, Rich (); Golubovic, Nevena (); Krintz, Chandra ()",0,0,,,https://www.inderscience.com/www/leaflet.php?filename=IJBDI_leaflet.pdf,https://app.dimensions.ai/details/publication/pub.1114208133,,,,,,
3,100,pub.1107026922,10.1109/cloud.2018.00039,,,Tracing Function Dependencies Across Clouds,,2018 IEEE 11th International Conference on Cloud Computing (CLOUD),,2018-07,2018,,,253-260,Closed,Proceeding,"Lin, Wei-Tsung; Krintz, Chandra; Wolski, Rich",,"Lin, Wei-Tsung (); Krintz, Chandra (); Wolski, Rich ()",1,1,,,,https://app.dimensions.ai/details/publication/pub.1107026922,08 Information and Computing Sciences; 0803 Computer Software,08 Information and Computing Sciences,0803 Computer Software,,,
4,100,pub.1104047426,10.1109/ic2e.2018.00027,,,Tracking Causal Order in AWS Lambda Applications,,2018 IEEE International Conference on Cloud Engineering (IC2E),,2018-04,2018,,,50-60,Closed,Proceeding,"Lin, Wei-Tsung; Krintz, Chandra; Wolski, Rich; Zhang, Michael; Cai, Xiaogang; Li, Tongjun; Xu, Weijin",,"Lin, Wei-Tsung (); Krintz, Chandra (); Wolski, Rich (); Zhang, Michael (); Cai, Xiaogang (); Li, Tongjun (); Xu, Weijin ()",3,3,,,,https://app.dimensions.ai/details/publication/pub.1104047426,08 Information and Computing Sciences; 0803 Computer Software,08 Information and Computing Sciences,0803 Computer Software,,,
5,200,pub.1110419673,10.1007/978-1-4614-8265-9_80637,,,Infrastructure-as-a-Service (IaaS),,Encyclopedia of Database Systems,,2018,2018,,,1984-1985,Closed,Chapter,"Krintz, Chandra",,"Krintz, Chandra ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1110419673,,,,,,
6,200,pub.1110419672,10.1007/978-1-4614-8265-9_80636,,,Platform-as-a-Service (PaaS),,Encyclopedia of Database Systems,,2018,2018,,,2769-2769,Closed,Chapter,"Krintz, Chandra",,"Krintz, Chandra ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1110419672,,,,,,
7,200,pub.1110419671,10.1007/978-1-4614-8265-9_80635,,,Software-as-a-Service (SaaS),,Encyclopedia of Database Systems,,2018,2018,,,3544-3545,Closed,Chapter,"Krintz, Chandra",,"Krintz, Chandra ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1110419671,,,,,,
8,200,pub.1110419069,10.1007/978-1-4614-8265-9_2206,,,Cloud Computing,,Encyclopedia of Database Systems,,2018,2018,,,475-481,Closed,Chapter,"Krintz, Chandra",,"Krintz, Chandra ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1110419069,,,,,,
9,200,pub.1105920080,10.13031/aim.201800580,,,"<i>Development and evaluation of using a mobile application as a demonstration tool for outreach to inform and educate farmers, academia, and the community of agricultural stewardship using the SmartFarm Decision Support System.</i>",,"2018 Detroit, Michigan July 29 - August 1, 2018",,2018,2018,,,,Closed,Proceeding,"Fink, Caleb; Liu, Bo; Easton, Fletcher; Krintz, Chandra; Wolski, Rich; Sethuramasamyraja, Balaji",,"Fink, Caleb (); Liu, Bo (); Easton, Fletcher (); Krintz, Chandra (); Wolski, Rich (); Sethuramasamyraja, Balaji ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1105920080,,,,,,
10,200,pub.1105920040,10.13031/aim.201800465,,,"<i>Design, Development and Evaluation of an Open Source Gateway for the SmartFarm Decision Support System.</i>",,"2018 Detroit, Michigan July 29 - August 1, 2018",,2018,2018,,,,Closed,Proceeding,"Fink, Caleb; Liu, Bo; Easton, Fletcher; Krintz, Chandra; Wolski, Rich; Sethuramasamyraja, Balaji",,"Fink, Caleb (); Liu, Bo (); Easton, Fletcher (); Krintz, Chandra (); Wolski, Rich (); Sethuramasamyraja, Balaji ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1105920040,,,,,,
11,100,pub.1107560748,10.1145/3277593.3277607,,,Estimating outdoor temperature from CPU temperature for IoT applications in agriculture,,Proceedings of the 8th International Conference on the Internet of Things - IOT '18,,2018,2018,,,11,Closed,Proceeding,"Krintz, Chandra; Wolski, Rich; Golubovic, Nevena; Bakir, Fatih",,"Krintz, Chandra (University of California System); Wolski, Rich (University of California System); Golubovic, Nevena (University of California System); Bakir, Fatih (University of California System)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1107560748,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
12,100,pub.1101132875,10.1109/tcc.2018.2808289,,,Detecting Performance Anomalies in Cloud Platform Applications,IEEE Transactions on Cloud Computing,,,2018,2018,PP,99,1-1,Closed,Article,"Jayathilaka, Hiranya; Krintz, Chandra; Wolski, Richard M.",,"Jayathilaka, Hiranya (University of California, Santa Barbara); Krintz, Chandra (University of California, Santa Barbara); Wolski, Richard M. (University of California, Santa Barbara)",3,3,,,,https://app.dimensions.ai/details/publication/pub.1101132875,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
13,100,pub.1101908895,10.1109/dasc-picom-datacom-cyberscitec.2017.183,,,Centaurus: A Cloud Service for K-Means Clustering,,"2017 IEEE 15th Intl Conf on Dependable, Autonomic and Secure Computing, 15th Intl Conf on Pervasive Intelligence and Computing, 3rd Intl Conf on Big Data Intelligence and Computing and Cyber Science and Technology Congress(DASC/PiCom/DataCom/CyberSciTech)",,2017-11,2017,,,1135-1142,Closed,Proceeding,"Golubovic, Nevena; Gill, Angad; Krintz, Chandra; Wolski, Rich",,"Golubovic, Nevena (University of California, Santa Barbara); Gill, Angad (University of California, Santa Barbara); Krintz, Chandra (University of California, Santa Barbara); Wolski, Rich (University of California, Santa Barbara)",1,1,,0.83,,https://app.dimensions.ai/details/publication/pub.1101908895,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
14,100,pub.1095385550,10.1109/cluster.2017.52,,,"Justice: A Deadline-Aware, Fair-Share Resource Allocator for Implementing Multi-Analytics",,2017 IEEE International Conference on Cluster Computing (CLUSTER),,2017-09,2017,,,233-244,Closed,Proceeding,"Dimopoulos, Stratos; Krintz, Chandra; Wolski, Rich",,"Dimopoulos, Stratos (University of California, Santa Barbara); Krintz, Chandra (University of California, Santa Barbara); Wolski, Rich (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1095385550,18 Law and Legal Studies; 1801 Law,18 Law and Legal Studies,1801 Law,,,
15,100,pub.1095524997,10.1109/cloud.2017.69,,,"PYTHIA: Admission Control for Multi-Framework, Deadline-Driven, Big Data Workloads",,2017 IEEE 10th International Conference on Cloud Computing (CLOUD),,2017-06,2017,,,488-495,Closed,Proceeding,"Dimopoulos, Stratos; Krintz, Chandra; Wolski, Rich",,"Dimopoulos, Stratos (University of California, Santa Barbara); Krintz, Chandra (University of California, Santa Barbara); Wolski, Rich (University of California, Santa Barbara)",4,2,,3.19,,https://app.dimensions.ai/details/publication/pub.1095524997,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
