,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Cheryl J Briggs. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,500,pub.1121958256,10.1111/ele.13414,31637835,,"Fungal infection alters the selection, dispersal and drift processes structuring the amphibian skin microbiome",Ecology Letters,,,2019-10-21,2019,,,,Closed,Article,"Wilber, Mark Q.; Jani, Andrea J.; Mihaljevic, Joseph R.; Briggs, Cheryl J.",,"Wilber, Mark Q. (University of California, Santa Barbara); Jani, Andrea J. (University of Hawaii at Manoa); Mihaljevic, Joseph R. (Northern Arizona University); Briggs, Cheryl J. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1121958256,0605 Microbiology; 06 Biological Sciences,0605 Microbiology,06 Biological Sciences,,,
2,500,pub.1121122092,10.1371/journal.pone.0219981,31536501,PMC6752790,Pathogen invasion history elucidates contemporary host pathogen dynamics,PLoS ONE,,,2019-09-19,2019,14,9,e0219981,All OA; Gold,Article,"Vredenburg, Vance T.; McNally, Samuel V. G.; Sulaeman, Hasan; Butler, Helen M.; Yap, Tiffany; Koo, Michelle S.; Schmeller, Dirk S.; Dodge, Celeste; Cheng, Tina; Lau, Gordon; Briggs, Cheryl J.",,"Vredenburg, Vance T. (San Francisco State University; University of California, Berkeley); McNally, Samuel V. G. (San Francisco State University); Sulaeman, Hasan (San Francisco State University); Butler, Helen M. (San Francisco State University); Yap, Tiffany (San Francisco State University; University of California, Berkeley); Koo, Michelle S. (University of California, Berkeley); Schmeller, Dirk S. (University of Toulouse); Dodge, Celeste (San Francisco State University); Cheng, Tina (San Francisco State University); Lau, Gordon (San Francisco State University); Briggs, Cheryl J. (University of California, Santa Barbara)",0,0,,,http://dx.doi.org/10.1371/journal.pone.0219981,https://app.dimensions.ai/details/publication/pub.1121122092,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
3,500,pub.1114346759,10.1007/s00248-019-01385-9,31093727,,Probiotics Modulate a Novel Amphibian Skin Defense Peptide That Is Antifungal and Facilitates Growth of Antifungal Bacteria,Microbial Ecology,,,2019-05-16,2019,,,1-11,Closed,Article,"Woodhams, Douglas C.; Rollins-Smith, Louise A.; Reinert, Laura K.; Lam, Briana A.; Harris, Reid N.; Briggs, Cheryl J.; Vredenburg, Vance T.; Patel, Bhumi T.; Caprioli, Richard M.; Chaurand, Pierre; Hunziker, Peter; Bigler, Laurent","Woodhams, Douglas C.","Woodhams, Douglas C. (University of Massachusetts Boston); Rollins-Smith, Louise A. (Vanderbilt University); Reinert, Laura K. (Vanderbilt University); Lam, Briana A. (James Madison University); Harris, Reid N. (James Madison University); Briggs, Cheryl J. (University of California, Santa Barbara); Vredenburg, Vance T. (San Francisco State University); Patel, Bhumi T. (University of Massachusetts Boston); Caprioli, Richard M. (Vanderbilt University); Chaurand, Pierre (University of Montreal); Hunziker, Peter (University of Zurich); Bigler, Laurent (University of Zurich)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1114346759,0605 Microbiology; 06 Biological Sciences,0605 Microbiology,06 Biological Sciences,,,
4,500,pub.1103798205,10.1038/s41598-018-25414-8,29743539,PMC5943288,Recruitment Drives Spatial Variation in Recovery Rates of Resilient Coral Reefs,Scientific Reports,,,2018-12,2018,8,1,7338,All OA; Gold,Article,"Holbrook, Sally J.; Adam, Thomas C.; Edmunds, Peter J.; Schmitt, Russell J.; Carpenter, Robert C.; Brooks, Andrew J.; Lenihan, Hunter S.; Briggs, Cheryl J.","Holbrook, Sally J.","Holbrook, Sally J. (University of California, Santa Barbara); Adam, Thomas C. (University of California, Santa Barbara); Edmunds, Peter J. (California State University, Northridge); Schmitt, Russell J. (University of California, Santa Barbara); Carpenter, Robert C. (California State University, Northridge); Brooks, Andrew J. (University of California, Santa Barbara); Lenihan, Hunter S. (University of California, Santa Barbara); Briggs, Cheryl J. (University of California, Santa Barbara)",17,17,,,https://doi.org/10.1038/s41598-018-25414-8,https://app.dimensions.ai/details/publication/pub.1103798205,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
5,500,pub.1107089661,10.1371/journal.pone.0202273,30226879,PMC6143192,Macroalgae size refuge from herbivory promotes alternative stable states on coral reefs,PLoS ONE,,"Animals; Anthozoa; Coral Reefs; Herbivory; Models, Biological; Seaweed",2018-09-18,2018,13,9,e0202273,All OA; Gold,Article,"Briggs, Cheryl J.; Adam, Thomas C.; Holbrook, Sally J.; Schmitt, Russell J.",,"Briggs, Cheryl J. (University of California, Santa Barbara); Adam, Thomas C. (University of California, Santa Barbara); Holbrook, Sally J. (University of California, Santa Barbara); Schmitt, Russell J. (University of California, Santa Barbara)",6,6,,,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0202273&type=printable,https://app.dimensions.ai/details/publication/pub.1107089661,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
6,500,pub.1101729119,10.1111/fwb.13100,30127540,PMC6097636,The influence of landscape and environmental factors on ranavirus epidemiology in a California amphibian assemblage,Freshwater Biology,,,2018-07,2018,63,7,639-651,All OA; Gold,Article,"Tornabene, Brian J.; Blaustein, Andrew R.; Briggs, Cheryl J.; Calhoun, Dana M.; Johnson, Pieter T. J.; McDevitt‐Galles, Travis; Rohr, Jason R.; Hoverman, Jason T.",,"Tornabene, Brian J. (Purdue University West Lafayette); Blaustein, Andrew R. (Oregon State University); Briggs, Cheryl J. (University of California, Santa Barbara); Calhoun, Dana M. (University of Colorado Boulder); Johnson, Pieter T. J. (University of Colorado Boulder); McDevitt‐Galles, Travis (University of Colorado Boulder); Rohr, Jason R. (University of South Florida); Hoverman, Jason T. (Purdue University West Lafayette)",3,3,,,https://doi.org/10.1111/fwb.13100,https://app.dimensions.ai/details/publication/pub.1101729119,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
7,500,pub.1101208927,10.1111/1365-2656.12816,29476541,,Of poisons and parasites—the defensive role of tetrodotoxin against infections in newts,Journal of Animal Ecology,,Animals; Biodiversity; California; Chytridiomycota; Female; Host-Parasite Interactions; Male; Microbiota; Mycoses; Parasite Load; Parasites; Phenotype; Salamandridae; Tetrodotoxin,2018-07,2018,87,4,1192-1204,Closed,Article,"Johnson, Pieter T. J.; Calhoun, Dana M.; Stokes, Amber N.; Susbilla, Calvin B.; McDevitt‐Galles, Travis; Briggs, Cheryl J.; Hoverman, Jason T.; Tkach, Vasyl V.; Roode, Jacobus C.",,"Johnson, Pieter T. J. (University of Colorado Boulder); Calhoun, Dana M. (University of Colorado Boulder); Stokes, Amber N. (California State University, Bakersfield); Susbilla, Calvin B. (California State University, Bakersfield); McDevitt‐Galles, Travis (University of Colorado Boulder); Briggs, Cheryl J. (University of California, Santa Barbara); Hoverman, Jason T. (Purdue University West Lafayette); Tkach, Vasyl V. (University of North Dakota); Roode, Jacobus C. (Emory University)",7,7,,,,https://app.dimensions.ai/details/publication/pub.1101208927,05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,05 Environmental Sciences,06 Biological Sciences,07 Agricultural and Veterinary Sciences,,
8,100,pub.1104145805,10.1002/ecs2.2227,,,"Risk of vector tick exposure initially increases, then declines through time in response to wildfire in California",Ecosphere,,,2018-05,2018,9,5,e02227,All OA; Gold,Article,"MacDonald, Andrew J.; Hyon, David W.; McDaniels, Akira; O'Connor, Kerry E.; Swei, Andrea; Briggs, Cheryl J.",,"MacDonald, Andrew J. (Stanford University; University of California, Santa Barbara); Hyon, David W. (University of California, Santa Barbara); McDaniels, Akira (University of California, Santa Barbara); O'Connor, Kerry E. (San Francisco State University); Swei, Andrea (San Francisco State University); Briggs, Cheryl J. (University of California, Santa Barbara)",3,3,,,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1002/ecs2.2227,https://app.dimensions.ai/details/publication/pub.1104145805,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
9,500,pub.1092674629,10.1111/2041-210x.12938,29861885,PMC5978769,Using multi‐response models to investigate pathogen coinfections across scales: Insights from emerging diseases of amphibians,Methods in Ecology and Evolution,,,2018-04,2018,9,4,1109-1120,Closed,Article,"Stutz, William E.; Blaustein, Andrew R.; Briggs, Cheryl J.; Hoverman, Jason T.; Rohr, Jason R.; Johnson, Pieter T. J.",,"Stutz, William E. (University of Arizona); Blaustein, Andrew R. (Oregon State University); Briggs, Cheryl J. (University of California, Santa Barbara); Hoverman, Jason T. (Purdue University West Lafayette); Rohr, Jason R. (University of South Florida); Johnson, Pieter T. J. (University of Arizona)",8,8,,,,https://app.dimensions.ai/details/publication/pub.1092674629,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
