,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Craig A Carlson. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,500,pub.1113380230,10.1038/s41467-019-09419-z,30979882,PMC6461649,Diel population and functional synchrony of microbial communities on coral reefs,Nature Communications,,"Alteromonas; Coral Reefs; Ecosystem; Environmental Monitoring; Halomonas; Microbiota; Organic Chemicals; Pacific Ocean; Photoperiod; Psychrobacter; RNA, Ribosomal; Roseobacter",2019-12,2019,10,1,1691,All OA; Gold,Article,"Kelly, Linda Wegley; Nelson, Craig E.; Haas, Andreas F.; Naliboff, Douglas S.; Calhoun, Sandi; Carlson, Craig A.; Edwards, Robert A.; Fox, Michael D.; Hatay, Mark; Johnson, Maggie D.; Kelly, Emily L. A.; Lim, Yan Wei; Macherla, Saichetana; Quinlan, Zachary A.; Silva, Genivaldo Gueiros Z.; Vermeij, Mark J. A.; Zgliczynski, Brian; Sandin, Stuart A.; Smith, Jennifer E.; Rohwer, Forest","Kelly, Linda Wegley","Kelly, Linda Wegley (San Diego State University); Nelson, Craig E. (University of Hawaii at Manoa); Haas, Andreas F. (Utrecht University); Naliboff, Douglas S. (San Diego State University); Calhoun, Sandi (San Diego State University); Carlson, Craig A. (University of California, Santa Barbara); Edwards, Robert A. (San Diego State University); Fox, Michael D. (Scripps Institution of Oceanography); Hatay, Mark (San Diego State University); Johnson, Maggie D. (Scripps Institution of Oceanography; Smithsonian Marine Station); Kelly, Emily L. A. (Scripps Institution of Oceanography); Lim, Yan Wei (San Diego State University); Macherla, Saichetana (San Diego State University); Quinlan, Zachary A. (University of Hawaii at Manoa); Silva, Genivaldo Gueiros Z. (San Diego State University); Vermeij, Mark J. A. (Caribbean Research and Management of Biodiversity Foundation; University of Amsterdam); Zgliczynski, Brian (Scripps Institution of Oceanography); Sandin, Stuart A. (Scripps Institution of Oceanography); Smith, Jennifer E. (Scripps Institution of Oceanography); Rohwer, Forest (San Diego State University)",0,0,,,https://www.nature.com/articles/s41467-019-09419-z.pdf,https://app.dimensions.ai/details/publication/pub.1113380230,0602 Ecology; 0502 Environmental Science and Management; 0605 Microbiology; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0605 Microbiology,05 Environmental Sciences,06 Biological Sciences
2,100,pub.1117767344,10.1101/692848,,,Pangenomics reveal diversification of enzyme families and niche specialization in globally abundant SAR202 bacteria,bioRxiv,,,2019-07-04,2019,,,692848,"All OA; Green, Published",Preprint,"Saw, Jimmy H.W.; Nunoura, Takuro; Hirai, Miho; Takaki, Yoshihiro; Parsons, Rachel; Michelsen, Michelle; Longnecker, Krista; Kujawinski, Elizabeth B.; Stepanauskas, Ramunas; Landry, Zachary; Carlson, Craig A.; Giovannoni, Stephen J.",,"Saw, Jimmy H.W. (Oregon State University); Nunoura, Takuro (); Hirai, Miho (); Takaki, Yoshihiro (); Parsons, Rachel (); Michelsen, Michelle (Oregon State University); Longnecker, Krista (Woods Hole Oceanographic Institution); Kujawinski, Elizabeth B. (Woods Hole Oceanographic Institution); Stepanauskas, Ramunas (Bigelow Laboratory For Ocean Sciences); Landry, Zachary (); Carlson, Craig A. (University of California, Santa Barbara); Giovannoni, Stephen J. (Oregon State University)",0,0,,,https://www.biorxiv.org/content/biorxiv/early/2019/07/04/692848.full.pdf,https://app.dimensions.ai/details/publication/pub.1117767344,0605 Microbiology; 0601 Biochemistry and Cell Biology; 06 Biological Sciences,0605 Microbiology,0601 Biochemistry and Cell Biology,06 Biological Sciences,,
3,500,pub.1116609095,10.1007/s00248-019-01393-9,31161232,,Regulation of Low and High Nucleic Acid Fluorescent Heterotrophic Prokaryote Subpopulations and Links to Viral-Induced Mortality Within Natural Prokaryote-Virus Communities,Microbial Ecology,,,2019-06-03,2019,,,1-18,Closed,Article,"Mojica, Kristina D. A.; Carlson, Craig A.; Behrenfeld, Mike J.","Mojica, Kristina D. A.","Mojica, Kristina D. A. (Oregon State University); Carlson, Craig A. (University of California, Santa Barbara); Behrenfeld, Mike J. (Oregon State University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1116609095,0605 Microbiology; 06 Biological Sciences,0605 Microbiology,06 Biological Sciences,,,
4,100,pub.1112702195,10.1002/lom3.10312,,,Improved ultraviolet photo‐oxidation system yields estimates for deep‐sea dissolved organic nitrogen and phosphorus,Limnology and Oceanography Methods,,,2019-04,2019,17,4,277-291,Closed,Article,"Foreman, Rhea K.; Björkman, Karin M.; Carlson, Craig A.; Opalk, Keri; Karl, David M.",,"Foreman, Rhea K. (University of Hawaii at Manoa); Björkman, Karin M. (University of Hawaii at Manoa); Carlson, Craig A. (University of California, Santa Barbara); Opalk, Keri (University of California, Santa Barbara); Karl, David M. (University of Hawaii at Manoa)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1112702195,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
5,100,pub.1112019715,10.1002/lol2.10103,,,Elemental content and stoichiometry of SAR11 chemoheterotrophic marine bacteria,Limnology and Oceanography Letters,,,2019-02-09,2019,4,2,44-51,All OA; Gold,Article,"White, Angelicque E.; Giovannoni, Stephen J.; Zhao, Yanlin; Vergin, Kevin; Carlson, Craig A.",,"White, Angelicque E. (University of Hawaii at Manoa); Giovannoni, Stephen J. (Oregon State University); Zhao, Yanlin (Oregon State University); Vergin, Kevin (Oregon State University); Carlson, Craig A. (University of California, Santa Barbara)",4,4,,,https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.1002/lol2.10103,https://app.dimensions.ai/details/publication/pub.1112019715,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
6,500,pub.1110063694,10.1111/1462-2920.14484,30461157,,Elevated pCO2 alters marine heterotrophic bacterial community composition and metabolic potential in response to a pulse of phytoplankton organic matter,Environmental Microbiology,,,2019-02,2019,21,2,541-556,Closed,Article,"James, Anna K.; Kelly, Linda W.; Nelson, Craig E.; Wilbanks, Elizabeth G.; Carlson, Craig A.",,"James, Anna K. (University of California, Santa Barbara); Kelly, Linda W. (San Diego State University); Nelson, Craig E. (University of Hawaii at Manoa); Wilbanks, Elizabeth G. (University of California, Santa Barbara); Carlson, Craig A. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1110063694,0605 Microbiology; 06 Biological Sciences,0605 Microbiology,06 Biological Sciences,,,
7,500,pub.1101381314,10.1111/1462-2920.14091,29521439,PMC6175402,Primer selection impacts specific population abundances but not community dynamics in a monthly time‐series 16S rRNA gene amplicon analysis of coastal marine bacterioplankton,Environmental Microbiology,,"Archaea; Bacteria; DNA Primers; Ecosystem; Plankton; RNA, Ribosomal, 16S; Sequence Analysis, DNA",2018-08,2018,20,8,2709-2726,All OA; Gold,Article,"Wear, Emma K.; Wilbanks, Elizabeth G.; Nelson, Craig E.; Carlson, Craig A.",,"Wear, Emma K. (University of California, Santa Barbara); Wilbanks, Elizabeth G. (University of California, Santa Barbara); Nelson, Craig E. (University of Hawaii at Manoa); Carlson, Craig A. (University of California, Santa Barbara)",10,10,,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/1462-2920.14091,https://app.dimensions.ai/details/publication/pub.1101381314,0604 Genetics; 0602 Ecology; 06 Biological Sciences,0604 Genetics,0602 Ecology,06 Biological Sciences,,
8,100,pub.1101528679,10.1002/lol2.10074,,,Fluorescent organic exudates of corals and algae in tropical reefs are compositionally distinct and increase with nutrient enrichment,Limnology and Oceanography Letters,,,2018-08,2018,3,4,331-340,All OA; Gold,Article,"Quinlan, Zachary A.; Remple, Kristina; Fox, Michael D.; Silbiger, Nyssa J.; Oliver, Thomas A.; Putnam, Hollie M.; Kelly, Linda Wegley; Carlson, Craig A.; Donahue, Megan J.; Nelson, Craig E.",,"Quinlan, Zachary A. (University of Hawaii at Manoa); Remple, Kristina (University of Hawaii at Manoa); Fox, Michael D. (University of California, San Diego); Silbiger, Nyssa J. (California State University, Northridge); Oliver, Thomas A. (University of Hawaii at Manoa); Putnam, Hollie M. (University of Rhode Island); Kelly, Linda Wegley (San Diego State University); Carlson, Craig A. (University of California, Santa Barbara); Donahue, Megan J. (University of Hawaii at Manoa); Nelson, Craig E. (University of Hawaii at Manoa)",2,2,,,https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.1002/lol2.10074,https://app.dimensions.ai/details/publication/pub.1101528679,0602 Ecology; 0502 Environmental Science and Management; 0607 Plant Biology; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0607 Plant Biology,05 Environmental Sciences,06 Biological Sciences
9,500,pub.1104467922,10.3389/fmicb.2018.01152,29937754,PMC6003095,Optofluidic Single-Cell Genome Amplification of Sub-micron Bacteria in the Ocean Subsurface,Frontiers in Microbiology,,,2018-06-08,2018,9,,1152,All OA; Gold,Article,"Landry, Zachary C.; Vergin, Kevin; Mannenbach, Christopher; Block, Stephen; Yang, Qiao; Blainey, Paul; Carlson, Craig; Giovannoni, Stephen",,"Landry, Zachary C. (Oregon State University; Swiss Federal Institute of Technology in Zurich); Vergin, Kevin (Oregon State University); Mannenbach, Christopher (Oregon State University); Block, Stephen (Oregon State University); Yang, Qiao (Oregon State University; Chinese Academy of Fishery Sciences); Blainey, Paul (Broad Institute); Carlson, Craig (University of California, Santa Barbara); Giovannoni, Stephen (Oregon State University)",0,0,,,https://www.frontiersin.org/articles/10.3389/fmicb.2018.01152/pdf,https://app.dimensions.ai/details/publication/pub.1104467922,0605 Microbiology; 0604 Genetics; 06 Biological Sciences,0605 Microbiology,0604 Genetics,06 Biological Sciences,,
