,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is David A Cleveland. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1113704423,10.1007/s10584-019-02407-8,,,Reduction of the carbon footprint of college freshman diets after a food-based environmental science course,Climatic Change,,,2019-06,2019,154,3-4,547-564,Closed,Article,"Jay, Jennifer A.; D’Auria, Raffaella; Nordby, J. Cully; Rice, David Andy; Cleveland, David A.; Friscia, Anthony; Kissinger, Sophie; Levis, Marc; Malan, Hannah; Rajagopal, Deepak; Reynolds, Joel R.; Slusser, Wendelin; Wang, May; Wesel, Emily","Jay, Jennifer A.","Jay, Jennifer A. (University of California Los Angeles); D’Auria, Raffaella (University of California Los Angeles); Nordby, J. Cully (University of California Los Angeles); Rice, David Andy (University of California Los Angeles; Miami University); Cleveland, David A. (University of California, Santa Barbara); Friscia, Anthony (University of California Los Angeles); Kissinger, Sophie (); Levis, Marc (University of California Los Angeles); Malan, Hannah (University of California Los Angeles); Rajagopal, Deepak (University of California Los Angeles); Reynolds, Joel R. (); Slusser, Wendelin (University of California Los Angeles); Wang, May (University of California Los Angeles); Wesel, Emily (University of California Los Angeles)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1113704423,1111 Nutrition and Dietetics; 11 Medical and Health Sciences,1111 Nutrition and Dietetics,11 Medical and Health Sciences,,,
2,100,pub.1112132025,10.5304/jafscd.2019.084.016,,,Why Do People Eat (So Much) Meat?—And How Can We Eat (Much) Less?,Journal of Agriculture Food Systems and Community Development,,,2019-02-13,2019,8,4,1-4,All OA; Gold,Article,"Cleveland, David",,"Cleveland, David (University of California, Santa Barbara)",0,0,,,https://www.foodsystemsjournal.org/index.php/fsj/article/download/670/656,https://app.dimensions.ai/details/publication/pub.1112132025,,,,,,
3,500,pub.1100164145,10.1016/j.jenvman.2017.12.025,29287178,,The socioeconomic factors that facilitate or constrain restoration management: Watershed rehabilitation and wet meadow (bofedal) restoration in the Bolivian Andes,Journal of Environmental Management,,Conservation of Natural Resources; Grassland; Humans; Investments; Rural Population; Social Planning; Socioeconomic Factors,2018-03,2018,209,World Dev. 27 4 1999,93-104,Closed,Article,"Hartman, Brett D.; Cleveland, David A.","Hartman, Brett D.","Hartman, Brett D. (University of California, Santa Barbara); Cleveland, David A. (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1100164145,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
4,100,pub.1092016717,10.1088/1748-9326/aa8f7b,,,"Ancillary health effects of climate mitigation scenarios as drivers of policy uptake: a review of air quality, transportation and diet co-benefits modeling studies",Environmental Research Letters,,,2017-11-01,2017,12,11,113001,All OA; Gold,Article,"Chang, Kelly M; Hess, Jeremy J; Balbus, John M; Buonocore, Jonathan J; Cleveland, David A; Grabow, Maggie L; Neff, Roni; Saari, Rebecca K; Tessum, Christopher W; Wilkinson, Paul; Woodward, Alistair; Ebi, Kristie L",,"Chang, Kelly M (University of Washington); Hess, Jeremy J (University of Washington); Balbus, John M (National Institute of Environmental Health Sciences); Buonocore, Jonathan J (); Cleveland, David A (University of California, Santa Barbara); Grabow, Maggie L (University of Wisconsin–Madison); Neff, Roni (); Saari, Rebecca K (); Tessum, Christopher W (University of Washington); Wilkinson, Paul (London School of Hygiene & Tropical Medicine); Woodward, Alistair (University of Auckland); Ebi, Kristie L ()",11,11,,8.27,https://doi.org/10.1088/1748-9326/aa8f7b,https://app.dimensions.ai/details/publication/pub.1092016717,1117 Public Health and Health Services; 11 Medical and Health Sciences; 1402 Applied Economics; 14 Economics,1117 Public Health and Health Services,11 Medical and Health Sciences,1402 Applied Economics,14 Economics,
5,100,pub.1084025639,10.1007/s10584-017-1912-5,,,A healthier US diet could reduce greenhouse gas emissions from both the food and health care systems,Climatic Change,,,2017-05,2017,142,1-2,199-212,Closed,Article,"Hallström, Elinor; Gee, Quentin; Scarborough, Peter; Cleveland, David A.","Cleveland, David A.","Hallström, Elinor (University of California, Santa Barbara; Lund University); Gee, Quentin (University of California, Santa Barbara); Scarborough, Peter (University of Oxford); Cleveland, David A. (University of California, Santa Barbara)",13,10,,7.23,,https://app.dimensions.ai/details/publication/pub.1084025639,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
6,100,pub.1008389576,10.1016/j.landurbplan.2016.07.008,,,The potential for urban household vegetable gardens to reduce greenhouse gas emissions,Landscape and Urban Planning,,,2017-01,2017,157,Journal of Nutrition Education and Behavior 40 2008,365-374,Closed,Article,"Cleveland, David A.; Phares, Noelle; Nightingale, Krista D.; Weatherby, Robyn L.; Radis, William; Ballard, Jane; Campagna, Madia; Kurtz, Devin; Livingston, Krystyna; Riechers, Gloria; Wilkins, Kate","Cleveland, David A.","Cleveland, David A. (University of California, Santa Barbara); Phares, Noelle (University of California, Santa Barbara); Nightingale, Krista D. (University of California, Santa Barbara); Weatherby, Robyn L. (University of California, Santa Barbara); Radis, William (University of California, Santa Barbara); Ballard, Jane (University of California, Santa Barbara); Campagna, Madia (University of California, Santa Barbara); Kurtz, Devin (University of California, Santa Barbara); Livingston, Krystyna (University of California, Santa Barbara); Riechers, Gloria (University of California, Santa Barbara); Wilkins, Kate (University of California, Santa Barbara)",14,12,,4.58,,https://app.dimensions.ai/details/publication/pub.1008389576,09 Engineering; 0907 Environmental Engineering,09 Engineering,0907 Environmental Engineering,,,
7,100,pub.1085756212,10.1016/b978-0-12-803968-7.00009-5,,,9 Plant-Based Diets for Mitigating Climate Change,,Vegetarian and Plant-Based Diets in Health and Disease Prevention,,2017,2017,,,135-156,Closed,Chapter,"Cleveland, David A.; Gee, Quentin",,"Cleveland, David A. (University of California, Santa Barbara); Gee, Quentin (University of California, Santa Barbara)",4,3,,1.56,,https://app.dimensions.ai/details/publication/pub.1085756212,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
8,200,pub.1062668761,10.1126/science.aak9923,27980178,,Prioritizing good diets,Science,,Diet; Healthy Diet; Humans,2016-12-16,2016,354,6318,1385-1385,Closed,Article,"Cleveland, David A.",,"Cleveland, David A. (University of California, Santa Barbara)",1,0,0,,,https://app.dimensions.ai/details/publication/pub.1062668761,,,,,,
9,100,pub.1029307540,10.1111/rec.12347,,,Linking changes in knowledge and attitudes with successful land restoration in indigenous communities,Restoration Ecology,,,2016-11,2016,24,6,749-760,"All OA; Green, Published",Article,"Hartman, Brett D.; Cleveland, David A.; Chadwick, Oliver A.",,"Hartman, Brett D. (University of California, Santa Barbara); Cleveland, David A. (University of California, Santa Barbara); Chadwick, Oliver A. (University of California, Santa Barbara)",3,3,,0.98,https://escholarship.org/content/qt4fd674vb/qt4fd674vb.pdf?t=ooykwt,https://app.dimensions.ai/details/publication/pub.1029307540,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
