,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Debra Perrone. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1118146955,10.1038/s41893-019-0325-z,,,Deeper well drilling an unsustainable stopgap to groundwater depletion,Nature Sustainability,,,2019-08,2019,2,8,773-782,Closed,Article,"Perrone, Debra; Jasechko, Scott","Perrone, Debra","Perrone, Debra (University of California, Santa Barbara); Jasechko, Scott (University of California, Santa Barbara)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1118146955,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
2,100,pub.1107515395,10.1088/1748-9326/aae6d8,,,Competition for shrinking window of low salinity groundwater,Environmental Research Letters,,,2018-11-13,2018,13,11,114013,All OA; Gold,Article,"Ferguson, Grant; McIntosh, Jennifer C; Perrone, Debra; Jasechko, Scott",,"Ferguson, Grant (); McIntosh, Jennifer C (University of Arizona); Perrone, Debra (University of California, Santa Barbara); Jasechko, Scott (University of California, Santa Barbara)",5,5,,,https://iopscience.iop.org/article/10.1088/1748-9326/aae6d8/pdf,https://app.dimensions.ai/details/publication/pub.1107515395,09 Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0907 Environmental Engineering,09 Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0907 Environmental Engineering,
3,200,pub.1105982067,10.1126/science.aat6041,30072527,,"Indigenous communities, groundwater opportunities",Science,,,2018-08-03,2018,361,6401,453-455,Closed,Article,"Womble, Philip; Perrone, Debra; Jasechko, Scott; Nelson, Rebecca L.; Szeptycki, Leon F.; Anderson, Robert T.; Gorelick, Steven M.",,"Womble, Philip (Stanford University); Perrone, Debra (University of California, Santa Barbara; Stanford University); Jasechko, Scott (University of California, Santa Barbara); Nelson, Rebecca L. (Stanford University; University of Melbourne); Szeptycki, Leon F. (Stanford University); Anderson, Robert T. (University of Washington; Harvard University); Gorelick, Steven M. (Stanford University)",5,5,,,,https://app.dimensions.ai/details/publication/pub.1105982067,,,,,,
4,100,pub.1084162615,10.1080/09640568.2017.1289900,,,Using triple bottom line metrics and multi-criteria methodology in corporate settings,Journal of Environmental Planning and Management,,,2018-01-02,2018,61,1,1-15,Closed,Article,"Thabrew, Lanka; Perrone, Debra; Ewing, Alexandra; Abkowitz, Mark; Hornberger, George",,"Thabrew, Lanka (); Perrone, Debra (Stanford University); Ewing, Alexandra (); Abkowitz, Mark (Vanderbilt University); Hornberger, George (Vanderbilt University)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1084162615,"1402 Applied Economics; 14 Economics; 1503 Business and Management; 15 Commerce, Management, Tourism and Services",1402 Applied Economics,14 Economics,1503 Business and Management,"15 Commerce, Management, Tourism and Services",
5,500,pub.1093032333,10.1073/pnas.1701682114,29180405,PMC5740626,Hydraulic fracturing near domestic groundwater wells,Proceedings of the National Academy of Sciences,,,2017-12-12,2017,114,50,13138-13143,All OA; Gold,Article,"Jasechko, Scott; Perrone, Debra",,"Jasechko, Scott (University of California, Santa Barbara; University of Calgary); Perrone, Debra (University of California, Santa Barbara; Stanford University)",11,11,0.2,5.46,https://www.pnas.org/content/pnas/114/50/13138.full.pdf,https://app.dimensions.ai/details/publication/pub.1093032333,0905 Civil Engineering; 09 Engineering,0905 Civil Engineering,09 Engineering,,,
6,100,pub.1091972594,10.1088/1748-9326/aa8ac0,,,Dry groundwater wells in the western United States,Environmental Research Letters,,,2017-10-01,2017,12,10,104002,All OA; Gold,Article,"Perrone, D; Jasechko, S",,"Perrone, D (); Jasechko, S ()",19,18,,6.25,https://iopscience.iop.org/article/10.1088/1748-9326/aa8ac0/pdf,https://app.dimensions.ai/details/publication/pub.1091972594,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
7,100,pub.1085054864,10.1038/ngeo2943,,,Global aquifers dominated by fossil groundwaters but wells vulnerable to modern contamination,Nature Geoscience,,,2017-06,2017,10,6,425-429,"All OA; Green, Accepted & Submitted",Article,"Jasechko, Scott; Perrone, Debra; Befus, Kevin M.; Bayani Cardenas, M.; Ferguson, Grant; Gleeson, Tom; Luijendijk, Elco; McDonnell, Jeffrey J.; Taylor, Richard G.; Wada, Yoshihide; Kirchner, James W.","Jasechko, Scott","Jasechko, Scott (University of Calgary); Perrone, Debra (Stanford University); Befus, Kevin M. (University of Wyoming); Bayani Cardenas, M. (The University of Texas at Austin); Ferguson, Grant (University of Saskatchewan); Gleeson, Tom (University of Victoria); Luijendijk, Elco (University of Göttingen); McDonnell, Jeffrey J. (University of Saskatchewan; University of Aberdeen; Oregon State University); Taylor, Richard G. (University College London); Wada, Yoshihide (International Institute for Applied Systems Analysis; Utrecht University); Kirchner, James W. (Swiss Federal Institute of Technology in Zurich; Swiss Federal Institute for Forest, Snow and Landscape Research; University of California, Berkeley)",60,54,,19.74,http://pure.iiasa.ac.at/id/eprint/14544/1/ngeo2943-s1.pdf,https://app.dimensions.ai/details/publication/pub.1085054864,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
8,200,pub.1099585957,10.1130/abs/2017am-296561,,,FRESH WATER AGES IN GLOBAL ARID AND MOUNTAINOUS REGIONS,Abstracts with programs (Geological Society of America),,,2017,2017,,,,Closed,Proceeding,"Kirchner, James W.; Jasechko, Scott; Perrone, Debra; Befus, Kevin M.; Cardenas, M. Bayani; Ferguson, Grant; Luijendijk, Elco; Gleeson, Tom; McDonnell, Jeffrey J.; Taylor, Richard; Wada, Yoshihide; Welker, Jeff",,"Kirchner, James W. (); Jasechko, Scott (); Perrone, Debra (); Befus, Kevin M. (); Cardenas, M. Bayani (); Ferguson, Grant (); Luijendijk, Elco (); Gleeson, Tom (); McDonnell, Jeffrey J. (); Taylor, Richard (); Wada, Yoshihide (); Welker, Jeff ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1099585957,,,,,,
9,400,pub.1052235251,10.1111/gwat.12469,27861814,,Local Groundwater Withdrawal Permitting Laws in the South‐Western U.S.: California in Comparative Context,Ground Water,,California; Groundwater; Water Supply,2016-11,2016,54,6,747-753,Closed,Article,"Nelson, Rebecca Louise; Perrone, Debra",,"Nelson, Rebecca Louise (); Perrone, Debra ()",10,8,0.96,2.48,,https://app.dimensions.ai/details/publication/pub.1052235251,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0799 Other Agricultural and Veterinary Sciences; 07 Agricultural and Veterinary Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0799 Other Agricultural and Veterinary Sciences,07 Agricultural and Veterinary Sciences,
