,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Derek B Booth. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1092099911,10.1002/hyp.11369,,,Hydrologic metrics for status‐and‐trends monitoring in urban and urbanizing watersheds,Hydrological Processes,,,2017-12-15,2017,31,25,4507-4519,Closed,Article,"Booth, Derek B.; Konrad, Christopher P.",,"Booth, Derek B. (University of California, Santa Barbara); Konrad, Christopher P. (United States Geological Survey)",2,2,,0.66,,https://app.dimensions.ai/details/publication/pub.1092099911,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
2,100,pub.1018494686,10.1080/15715124.2016.1247362,,,Analyses of the erosion of fine sediment deposit for a large dam-removal project: an empirical approach,International Journal of River Basin Management,,,2017-01-02,2017,15,1,1-44,Closed,Article,"Cui, Yantao; Booth, Derek B.; Monschke, Joel; Gentzler, Seth; Roadifer, John; Greimann, Blair; Cluer, Brian",,"Cui, Yantao (); Booth, Derek B. (University of California, Santa Barbara); Monschke, Joel (); Gentzler, Seth (Albert Einstein College of Medicine); Roadifer, John (Albert Einstein College of Medicine); Greimann, Blair (Denver Federal Center); Cluer, Brian ()",5,4,,1.57,,https://app.dimensions.ai/details/publication/pub.1018494686,0799 Other Agricultural and Veterinary Sciences; 07 Agricultural and Veterinary Sciences,0799 Other Agricultural and Veterinary Sciences,07 Agricultural and Veterinary Sciences,,,
3,200,pub.1099589153,10.1130/abs/2017am-306534,,,"MIS 4 AND OLDER PLEISTOCENE DEPOSITS IN THE PUGET LOWLAND, WASHINGTON STATE",Abstracts with programs (Geological Society of America),,,2017,2017,,,,Closed,Proceeding,"Troost, Kathy Goetz; Booth, Derek B.",,"Troost, Kathy Goetz (); Booth, Derek B. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1099589153,,,,,,
4,100,pub.1001447802,10.3390/w8050174,,,"Integrating Limiting-Factors Analysis with Process-Based Restoration to Improve Recovery of Endangered Salmonids in the Pacific Northwest, USA",Water,,,2016-04-28,2016,8,5,174,All OA; Gold,Article,"Booth, Derek B.; Scholz, Jenna G.; Beechie, Timothy J.; Ralph, Stephen C.",,"Booth, Derek B. (University of California, Santa Barbara); Scholz, Jenna G. (); Beechie, Timothy J. (); Ralph, Stephen C. ()",10,6,,2.91,http://www.mdpi.com/2073-4441/8/5/174/pdf,https://app.dimensions.ai/details/publication/pub.1001447802,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
5,200,pub.1058866599,10.1086/685284,,,Principles for urban stormwater management to protect stream ecosystems,Freshwater Science,,,2016-03,2016,35,1,398-411,Closed,Article,"Walsh, Christopher J.; Booth, Derek B.; Burns, Matthew J.; Fletcher, Tim D.; Hale, Rebecca L.; Hoang, Lan N.; Livingston, Grant; Rippy, Megan A.; Roy, Allison H.; Scoggins, Mateo; Wallace, Angela",,"Walsh, Christopher J. (); Booth, Derek B. (); Burns, Matthew J. (); Fletcher, Tim D. (); Hale, Rebecca L. (); Hoang, Lan N. (); Livingston, Grant (); Rippy, Megan A. (); Roy, Allison H. (); Scoggins, Mateo (); Wallace, Angela ()",49,32,,,,https://app.dimensions.ai/details/publication/pub.1058866599,,,,,,
6,200,pub.1058866263,10.1086/684940,,,Global perspectives on the urban stream syndrome,Freshwater Science,,,2016-03,2016,35,1,412-420,Closed,Article,"Booth, Derek B.; Roy, Allison H.; Smith, Benjamin; Capps, Krista A.",,"Booth, Derek B. (); Roy, Allison H. (); Smith, Benjamin (); Capps, Krista A. ()",39,34,,,,https://app.dimensions.ai/details/publication/pub.1058866263,,,,,,
7,200,pub.1058866170,10.1086/684839,,,Ecological resistance in urban streams: the role of natural and legacy attributes,Freshwater Science,,,2016-03,2016,35,1,380-397,Closed,Article,"Utz, Ryan M.; Hopkins, Kristina G.; Beesley, Leah; Booth, Derek B.; Hawley, Robert J.; Baker, Matthew E.; Freeman, Mary C.; L. Jones, Krista",,"Utz, Ryan M. (); Hopkins, Kristina G. (); Beesley, Leah (); Booth, Derek B. (); Hawley, Robert J. (); Baker, Matthew E. (); Freeman, Mary C. (); L. Jones, Krista ()",20,15,,,,https://app.dimensions.ai/details/publication/pub.1058866170,,,,,,
8,200,pub.1108093251,10.1130/abs/2016am-278809,,,"INTEGRATING RESTORATION APPROACHES TO IMPROVE RECOVERY OF ENDANGERED SALMONIDS IN THE PACIFIC NORTHWEST, USA",Abstracts with programs (Geological Society of America),,,2016,2016,,,,Closed,Proceeding,"Booth, Derek B.; Scholz, Jenna G.; Beechie, Timothy J.; Ralph, Stephen C.",,"Booth, Derek B. (); Scholz, Jenna G. (); Beechie, Timothy J. (); Ralph, Stephen C. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1108093251,,,,,,
9,100,pub.1039362863,10.1111/area.12180,,,A channel evolution model to guide sustainable urban stream restoration,Area,,,2015-12,2015,47,4,408-421,Closed,Article,"Booth, Derek B; Fischenich, Craig J",,"Booth, Derek B (University of California, Santa Barbara); Fischenich, Craig J (United States Army Corps of Engineers)",15,9,,2.8,,https://app.dimensions.ai/details/publication/pub.1039362863,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
10,400,pub.1053517753,10.1007/s00267-014-0251-9,24567071,,"A Method for Spatially Explicit Representation of Sub-watershed Sediment Yield, Southern California, USA",Environmental Management,,"California; Conservation of Natural Resources; Environmental Monitoring; Geographic Information Systems; Geologic Sediments; Geological Phenomena; Models, Theoretical",2014-05,2014,53,5,968-984,Closed,Article,"Booth, Derek B.; Leverich, Glen; Downs, Peter W.; Dusterhoff, Scott; Araya, Sebastian","Booth, Derek B.","Booth, Derek B. (University of California, Santa Barbara); Leverich, Glen (); Downs, Peter W. (Plymouth University); Dusterhoff, Scott (); Araya, Sebastian ()",5,1,0,0.77,,https://app.dimensions.ai/details/publication/pub.1053517753,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
11,100,pub.1050615435,10.1002/eco.1396,,,"Determining appropriate instream flows for anadromous fish passage on an intermittent mainstem river, coastal southern California, USA",Ecohydrology,,,2014-04,2014,7,2,745-759,All OA; Gold,Article,"Booth, Derek B.; Cui, Yantao; Diggory, Zooey; Pedersen, Dirk; Kear, Jordan; Bowen, Michael",,"Booth, Derek B. (University of California, Santa Barbara); Cui, Yantao (); Diggory, Zooey (); Pedersen, Dirk (); Kear, Jordan (); Bowen, Michael (California State Coastal Conservancy)",2,0,,0.33,http://dx.doi.org/10.1002/eco.1396,https://app.dimensions.ai/details/publication/pub.1050615435,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
12,100,pub.1038442236,10.1002/hyp.9810,,,Local‐scale and watershed‐scale determinants of summertime urban stream temperatures,Hydrological Processes,,,2014-02-15,2014,28,4,2427-2438,Closed,Article,"Booth, Derek B.; Kraseski, Kristin A.; Jackson, C. Rhett",,"Booth, Derek B. (University of California, Santa Barbara; University of Washington); Kraseski, Kristin A. (University of Georgia); Jackson, C. Rhett (University of Georgia)",11,5,,1.7,,https://app.dimensions.ai/details/publication/pub.1038442236,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
13,100,pub.1028220717,10.1111/j.1752-1688.2012.00653.x,,,Framework and Tool for Rapid Assessment of Stream Susceptibility to Hydromodification1,JAWRA Journal of the American Water Resources Association,,,2012-08,2012,48,4,788-808,Closed,Article,"Bledsoe, Brian P.; Stein, Eric D.; Hawley, Robert J.; Booth, Derek",,"Bledsoe, Brian P. (Colorado State University); Stein, Eric D. (Southern California Coastal Water Research Project); Hawley, Robert J. (Colorado State University); Booth, Derek (University of California, Santa Barbara)",23,9,,4.15,,https://app.dimensions.ai/details/publication/pub.1028220717,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
14,200,pub.1088040337,10.4135/9781446201053.n5,,,Geomorphology in Environmental Management,,The SAGE Handbook of Geomorphology,,2011,2011,,,78-104,Closed,Chapter,"Downs, Peter W.; Booth, Derek B.",,"Downs, Peter W. (); Booth, Derek B. ()",9,0,,,,https://app.dimensions.ai/details/publication/pub.1088040337,,,,,,
15,100,pub.1039236509,10.1111/j.1752-1688.2010.00470.x,,,"Effects of Geomorphic Setting and Urbanization on Wood, Pools, Sediment Storage, and Bank Erosion in Puget Sound Streams1",JAWRA Journal of the American Water Resources Association,,,2010-10,2010,46,5,972-986,Closed,Article,"Segura, Catalina; Booth, Derek B.",,"Segura, Catalina (); Booth, Derek B. (North Carolina State University)",13,3,,1.48,,https://app.dimensions.ai/details/publication/pub.1039236509,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
16,100,pub.1018383029,10.1007/s10584-010-9847-0,,,Precipitation extremes and the impacts of climate change on stormwater infrastructure in Washington State,Climatic Change,,,2010-09,2010,102,1-2,319-349,"All OA; Green, Accepted & Submitted",Article,"Rosenberg, Eric A.; Keys, Patrick W.; Booth, Derek B.; Hartley, David; Burkey, Jeff; Steinemann, Anne C.; Lettenmaier, Dennis P.","Rosenberg, Eric A.","Rosenberg, Eric A. (); Keys, Patrick W. (); Booth, Derek B. (); Hartley, David (); Burkey, Jeff (); Steinemann, Anne C. (); Lettenmaier, Dennis P. ()",90,27,,9.24,https://digital.lib.washington.edu:443/researchworks/bitstream/1773/34601/1/11.pdf,https://app.dimensions.ai/details/publication/pub.1018383029,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0401 Atmospheric Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0401 Atmospheric Sciences,,
17,100,pub.1016536896,10.1007/s10584-010-9850-5,,,Preparing for climate change in Washington State,Climatic Change,,,2010-09,2010,102,1-2,351-376,"All OA; Green, Accepted & Submitted",Article,"Binder, Lara C. Whitely; Barcelos, Jennifer Krencicki; Booth, Derek B.; Darzen, Meriel; Elsner, Marketa McGuire; Fenske, Richard; Graham, Thomas F.; Hamlet, Alan F.; Hodges-Howell, John; Jackson, J. Elizabeth; Karr, Catherine; Keys, Patrick W.; Littell, Jeremy S.; Mantua, Nathan; Marlow, Jennifer; McKenzie, Don; Robinson-Dorn, Michael; Rosenberg, Eric A.; Stöckle, Claudio O.; Vano, Julie A.","Binder, Lara C. Whitely","Binder, Lara C. Whitely (University of Washington); Barcelos, Jennifer Krencicki (University of Washington); Booth, Derek B. (); Darzen, Meriel (University of Washington); Elsner, Marketa McGuire (University of Washington); Fenske, Richard (University of Washington); Graham, Thomas F. (University of Washington); Hamlet, Alan F. (University of Washington); Hodges-Howell, John (University of Washington); Jackson, J. Elizabeth (University of Washington); Karr, Catherine (University of Washington); Keys, Patrick W. (University of Washington); Littell, Jeremy S. (University of Washington); Mantua, Nathan (University of Washington); Marlow, Jennifer (University of Washington); McKenzie, Don (University of Washington); Robinson-Dorn, Michael (University of Washington); Rosenberg, Eric A. (University of Washington); Stöckle, Claudio O. (Washington State University); Vano, Julie A. (University of Washington)",17,2,,1.47,https://digital.lib.washington.edu:443/researchworks/bitstream/1773/34603/1/13.pdf,https://app.dimensions.ai/details/publication/pub.1016536896,0699 Other Biological Sciences; 06 Biological Sciences,0699 Other Biological Sciences,06 Biological Sciences,,,
18,200,pub.1057604807,10.1061/(asce)0733-9488(2009)135:4(150),,,Costs and Benefits of Storm-Water Management: Case Study of the Puget Sound Region,Journal of Urban Planning and Development,,,2009-12,2009,135,4,150-158,Closed,Article,"Visitacion, Bernadette J.; Booth, Derek B.; Steinemann, Anne C.",,"Visitacion, Bernadette J. (University of Washington); Booth, Derek B. (University of Washington); Steinemann, Anne C. (University of Washington)",13,7,,2.01,,https://app.dimensions.ai/details/publication/pub.1057604807,"12 Built Environment and Design; 1507 Transportation and Freight Services; 1205 Urban and Regional Planning; 15 Commerce, Management, Tourism and Services",12 Built Environment and Design,1507 Transportation and Freight Services,1205 Urban and Regional Planning,"15 Commerce, Management, Tourism and Services",
19,100,pub.1014595457,10.1080/15715124.2009.9635401,,,Managing reservoir sediment release in dam removal projects: An approach informed by physical and numerical modelling of non‐cohesive sediment,International Journal of River Basin Management,,,2009-12,2009,7,4,433-452,All OA; Gold,Article,"Downs, Peter W.; Cui, Yantao; Wooster, John K.; Dusterhoff, Scott R.; Booth, Derek B.; Dietrich, William E.; Sklar, Leonard S.",,"Downs, Peter W. (); Cui, Yantao (); Wooster, John K. (); Dusterhoff, Scott R. (); Booth, Derek B. (); Dietrich, William E. (); Sklar, Leonard S. ()",30,7,,,https://www.tandfonline.com/doi/pdf/10.1080/15715124.2009.9635401?needAccess=true,https://app.dimensions.ai/details/publication/pub.1014595457,0799 Other Agricultural and Veterinary Sciences; 07 Agricultural and Veterinary Sciences,0799 Other Agricultural and Veterinary Sciences,07 Agricultural and Veterinary Sciences,,,
20,100,pub.1028017866,10.1007/978-0-387-84891-4_6,,,Streams and Urbanization,,The Water Environment of Cities,,2009,2009,,,93-123,Closed,Chapter,"Booth, Derek B.; Bledsoe, Brian P.","Booth, Derek B.","Booth, Derek B. (University of Washington); Bledsoe, Brian P. (University of Washington)",12,2,,1.36,,https://app.dimensions.ai/details/publication/pub.1028017866,09 Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0907 Environmental Engineering,09 Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0907 Environmental Engineering,
21,200,pub.1062700960,10.1127/1863-9135/2008/0171-0145,,,Hydraulic dispersion and reach-averaged velocity as indicators of enhanced organic matter transport in small Puget Lowland streams across an urban gradient,Fundamental and Applied Limnology / Archiv für Hydrobiologie,,,2008-03-01,2008,171,2,145-159,Closed,Article,"Roberts, Mindy L.; Bilby, Robert E.; Booth, Derek B.",,"Roberts, Mindy L. (); Bilby, Robert E. (); Booth, Derek B. ()",5,1,,,,https://app.dimensions.ai/details/publication/pub.1062700960,09 Engineering; 04 Earth Sciences; 06 Biological Sciences,09 Engineering,04 Earth Sciences,06 Biological Sciences,,
22,200,pub.1062733524,10.1130/2008.4020(01),,,"Geology of Seattle and the Seattle area, Washington",,"Landslides and Engineering Geology of the Seattle, Washington, Area",,2008,2008,,,,Closed,Chapter,"Troost, Kathy Goetz; Booth, Derek B.",,"Troost, Kathy Goetz (); Booth, Derek B. ()",7,1,,,,https://app.dimensions.ai/details/publication/pub.1062733524,,,,,,
23,200,pub.1027238245,10.1016/j.yqres.2007.06.001,,,Commentary on duplicative publications,Quaternary Research,,,2007-07,2007,68,1,1-1,All OA; Gold,Article,"Booth, Derek B.; Steig, Eric J.",,"Booth, Derek B. (); Steig, Eric J. ()",1,0,,0.15,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/824130C1C1789EDCCD69112EBFAA5FC5/S0033589400040047a.pdf/div-class-title-commentary-on-duplicative-publications-div.pdf,https://app.dimensions.ai/details/publication/pub.1027238245,2101 Archaeology; 0406 Physical Geography and Environmental Geoscience; 0403 Geology; 21 History and Archaeology; 04 Earth Sciences,2101 Archaeology,0406 Physical Geography and Environmental Geoscience,0403 Geology,21 History and Archaeology,04 Earth Sciences
24,100,pub.1018790012,10.1016/j.landurbplan.2006.08.001,,,The impact of urban patterns on aquatic ecosystems: An empirical analysis in Puget lowland sub-basins,Landscape and Urban Planning,,,2007-05,2007,80,4,345-361,Closed,Article,"Alberti, Marina; Booth, Derek; Hill, Kristina; Coburn, Bekkah; Avolio, Christina; Coe, Stefan; Spirandelli, Daniele","Alberti, Marina","Alberti, Marina (); Booth, Derek (); Hill, Kristina (); Coburn, Bekkah (); Avolio, Christina (); Coe, Stefan (); Spirandelli, Daniele ()",210,39,,26.03,,https://app.dimensions.ai/details/publication/pub.1018790012,0501 Ecological Applications; 05 Environmental Sciences; 0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,0502 Environmental Science and Management,,
