,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Deron E Burkepile. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,500,pub.1113875074,10.1038/s41598-019-43274-8,31048787,PMC6497639,Multiple stressors interact primarily through antagonism to drive changes in the coral microbiome,Scientific Reports,,,2019-12,2019,9,1,6834,All OA; Gold,Article,"Maher, Rebecca L.; Rice, Mallory M.; McMinds, Ryan; Burkepile, Deron E.; Vega Thurber, Rebecca","Maher, Rebecca L.","Maher, Rebecca L. (Oregon State University); Rice, Mallory M. (University of California, Santa Barbara); McMinds, Ryan (Oregon State University; Université Côte d'Azur); Burkepile, Deron E. (University of California, Santa Barbara); Vega Thurber, Rebecca (Oregon State University)",0,0,,,https://www.nature.com/articles/s41598-019-43274-8.pdf,https://app.dimensions.ai/details/publication/pub.1113875074,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
2,500,pub.1112872157,10.1038/s41467-019-09238-2,30894534,PMC6427037,A global analysis of coral bleaching over the past two decades,Nature Communications,,"Adaptation, Physiological; Analysis of Variance; Animals; Anthozoa; Climate Change; Coral Reefs; Hot Temperature; Indian Ocean; Pacific Ocean",2019-12,2019,10,1,1264,All OA; Gold,Article,"Sully, S.; Burkepile, D. E.; Donovan, M. K.; Hodgson, G.; van Woesik, R.","van Woesik, R.","Sully, S. (Florida Institute of Technology); Burkepile, D. E. (University of California, Santa Barbara); Donovan, M. K. (University of California, Santa Barbara); Hodgson, G. (Reef Check Foundation); van Woesik, R. (Florida Institute of Technology)",7,7,,,https://www.nature.com/articles/s41467-019-09238-2.pdf,https://app.dimensions.ai/details/publication/pub.1112872157,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
3,300,pub.1121201123,10.1038/s41396-019-0509-6,31551528,,"Correction: Phylogenetic, genomic, and biogeographic characterization of a novel and ubiquitous marine invertebrate-associated Rickettsiales parasite, Candidatus Aquarickettsia rohweri, gen. nov., sp. nov",The ISME Journal,,,2019-09-24,2019,,,1-1,Closed,Article,"Klinges, J. Grace; Rosales, Stephanie M.; McMinds, Ryan; Shaver, Elizabeth C.; Shantz, Andrew A.; Peters, Esther C.; Eitel, Michael; Wörheide, Gert; Sharp, Koty H.; Burkepile, Deron E.; Silliman, Brian R.; Thurber, Rebecca L. Vega","Thurber, Rebecca L. Vega","Klinges, J. Grace (Oregon State University); Rosales, Stephanie M. (Oregon State University; University of Miami; Atlantic Oceanographic and Meteorological Laboratory); McMinds, Ryan (Oregon State University; Université Côte d'Azur); Shaver, Elizabeth C. (Duke University); Shantz, Andrew A. (University of California, Santa Barbara; Pennsylvania State University); Peters, Esther C. (George Mason University); Eitel, Michael (Ludwig Maximilian University of Munich); Wörheide, Gert (Ludwig Maximilian University of Munich; Bavarian Natural History Collections); Sharp, Koty H. (Roger Williams University); Burkepile, Deron E. (University of California, Santa Barbara); Silliman, Brian R. (Duke University); Thurber, Rebecca L. Vega (Oregon State University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1121201123,06 Biological Sciences; 0603 Evolutionary Biology,06 Biological Sciences,0603 Evolutionary Biology,,,
4,100,pub.1120970407,10.1007/s10021-019-00433-2,,,Nitrogen Identity Drives Differential Impacts of Nutrients on Coral Bleaching and Mortality,Ecosystems,,,2019-09-11,2019,,,1-14,Closed,Article,"Burkepile, Deron E.; Shantz, Andrew A.; Adam, Thomas C.; Munsterman, Katrina S.; Speare, Kelly E.; Ladd, Mark C.; Rice, Mallory M.; Ezzat, Leïla; McIlroy, Shelby; Wong, Jane C. Y.; Baker, David M.; Brooks, Andrew J.; Schmitt, Russell J.; Holbrook, Sally J.","Burkepile, Deron E.","Burkepile, Deron E. (University of California, Santa Barbara); Shantz, Andrew A. (University of California, Santa Barbara); Adam, Thomas C. (University of California, Santa Barbara); Munsterman, Katrina S. (University of California, Santa Barbara); Speare, Kelly E. (University of California, Santa Barbara); Ladd, Mark C. (University of California, Santa Barbara); Rice, Mallory M. (University of California, Santa Barbara); Ezzat, Leïla (University of California, Santa Barbara); McIlroy, Shelby (University of Hong Kong); Wong, Jane C. Y. (University of Hong Kong); Baker, David M. (University of Hong Kong); Brooks, Andrew J. (University of California, Santa Barbara); Schmitt, Russell J. (University of California, Santa Barbara); Holbrook, Sally J. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1120970407,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
5,500,pub.1115171191,10.1111/gcb.14706,31119829,,Climate and fishing drive regime shifts in consumer‐mediated nutrient cycling in kelp forests,Global Change Biology,,Animals; California; Ecosystem; Food Chain; Forests; Humans; Kelp; Nutrients,2019-09,2019,25,9,3179-3192,Closed,Article,"Peters, Joseph R.; Reed, Daniel C.; Burkepile, Deron E.",,"Peters, Joseph R. (University of California, Santa Barbara); Reed, Daniel C. (University of California, Santa Barbara); Burkepile, Deron E. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1115171191,0602 Ecology; 0502 Environmental Science and Management; 0699 Other Biological Sciences; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0699 Other Biological Sciences,0501 Ecological Applications,05 Environmental Sciences
6,100,pub.1114642048,10.1111/1365-2435.13376,,,"Synthesizing the effects of large, wild herbivore exclusion on ecosystem function",Functional Ecology,,,2019-09,2019,33,9,1597-1610,All OA; Gold,Article,"Forbes, Elizabeth S.; Cushman, J. Hall; Burkepile, Deron E.; Young, Truman P.; Klope, Maggie; Young, Hillary S.",,"Forbes, Elizabeth S. (University of California, Santa Barbara); Cushman, J. Hall (University of Nevada Reno); Burkepile, Deron E. (University of California, Santa Barbara); Young, Truman P. (University of California, Davis); Klope, Maggie (University of California, Santa Barbara); Young, Hillary S. (University of California, Santa Barbara)",1,1,,,https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/1365-2435.13376,https://app.dimensions.ai/details/publication/pub.1114642048,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
7,100,pub.1112395779,10.1111/rec.12939,,,"Near‐term impacts of coral restoration on target species, coral reef community structure, and ecological processes",Restoration Ecology,,,2019-09,2019,27,5,1166-1176,Closed,Article,"Ladd, Mark C.; Burkepile, Deron E.; Shantz, Andrew A.",,"Ladd, Mark C. (University of California, Santa Barbara); Burkepile, Deron E. (University of California, Santa Barbara); Shantz, Andrew A. (Pennsylvania State University)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1112395779,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
8,500,pub.1120127773,10.1038/s41396-019-0482-0,31384012,,"Phylogenetic, genomic, and biogeographic characterization of a novel and ubiquitous marine invertebrate-associated Rickettsiales parasite, Candidatus Aquarickettsia rohweri, gen. nov., sp. nov",The ISME Journal,,,2019-08-05,2019,,,1-16,Closed,Article,"Klinges, J. Grace; Rosales, Stephanie M.; McMinds, Ryan; Shaver, Elizabeth C.; Shantz, Andrew A.; Peters, Esther C.; Eitel, Michael; Wörheide, Gert; Sharp, Koty H.; Burkepile, Deron E.; Silliman, Brian R.; Vega Thurber, Rebecca L.","Vega Thurber, Rebecca L.","Klinges, J. Grace (Oregon State University); Rosales, Stephanie M. (Oregon State University; University of Miami; Atlantic Oceanographic and Meteorological Laboratory); McMinds, Ryan (Oregon State University; Université Côte d'Azur); Shaver, Elizabeth C. (Duke University); Shantz, Andrew A. (University of California, Santa Barbara; Pennsylvania State University); Peters, Esther C. (George Mason University); Eitel, Michael (Ludwig Maximilian University of Munich); Wörheide, Gert (Ludwig Maximilian University of Munich; Bayerische Staatssammlung für Paläontologie und Geologie); Sharp, Koty H. (Roger Williams University); Burkepile, Deron E. (University of California, Santa Barbara); Silliman, Brian R. (Duke University); Vega Thurber, Rebecca L. (Oregon State University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1120127773,0605 Microbiology; 0604 Genetics; 06 Biological Sciences,0605 Microbiology,0604 Genetics,06 Biological Sciences,,
9,100,pub.1117919160,10.1111/maec.12561,,,"Feeding behavior in Caribbean surgeonfishes varies across fish size, algal abundance, and habitat characteristics",Marine Ecology,,,2019-08,2019,40,4,,Closed,Article,"Duran, Alain; Adam, Thomas C.; Palma, Laura; Moreno, Shalimar; Collado‐Vides, Ligia; Burkepile, Deron E.",,"Duran, Alain (Florida International University); Adam, Thomas C. (University of California, Santa Barbara); Palma, Laura (Florida International University); Moreno, Shalimar (Florida International University); Collado‐Vides, Ligia (Florida International University); Burkepile, Deron E. (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1117919160,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
