,"""About the data: Exported on Oct 31, 2019. Criteria: Researcher is Erica Fleishman. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1117841684,10.1111/geb.12965,,,Use of macroecology to integrate social justice and conservation,Global Ecology and Biogeography,,,2019-10,2019,28,10,1512-1518,Closed,Article,"Fleishman, Erica; Brown, Holly",,"Fleishman, Erica (Colorado State University); Brown, Holly (United States Army Medical Research and Materiel Command)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1117841684,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
2,500,pub.1113461582,10.1007/s00267-019-01163-w,30982122,PMC6598959,Quantifying Ecological Integrity of Terrestrial Systems to Inform Management of Multiple-Use Public Lands in the United States,Environmental Management,,,2019-07,2019,64,1,1-19,All OA; Gold,Article,"Carter, Sarah K.; Fleishman, Erica; Leinwand, Ian I. F.; Flather, Curtis H.; Carr, Natasha B.; Fogarty, Frank A.; Leu, Matthias; Noon, Barry R.; Wohlfeil, Martha E.; Wood, David J. A.","Carter, Sarah K.","Carter, Sarah K. (United States Geological Survey); Fleishman, Erica (Colorado State University); Leinwand, Ian I. F. (Conservation Science Partners); Flather, Curtis H. (Rocky Mountain Research Station); Carr, Natasha B. (United States Geological Survey); Fogarty, Frank A. (University of California, Davis); Leu, Matthias (William & Mary); Noon, Barry R. (Colorado State University); Wohlfeil, Martha E. (University of California, Davis); Wood, David J. A. (Bureau of Land Management)",0,0,,,https://link.springer.com/content/pdf/10.1007%2Fs00267-019-01163-w.pdf,https://app.dimensions.ai/details/publication/pub.1113461582,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
3,100,pub.1110371440,10.1111/geb.12852,,,"Relating beta diversity of birds and butterflies in the Great Basin to spatial resolution, environmental variables and trait‐based groups",Global Ecology and Biogeography,,,2019-03,2019,28,3,328-340,Closed,Article,"Yen, Jian D. L.; Fleishman, Erica; Fogarty, Frank; Dobkin, David S.",,"Yen, Jian D. L. (University of Melbourne); Fleishman, Erica (Colorado State University; University of California, Davis); Fogarty, Frank (University of California, Davis); Dobkin, David S. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1110371440,0602 Ecology; 0502 Environmental Science and Management; 0603 Evolutionary Biology; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0603 Evolutionary Biology,05 Environmental Sciences,06 Biological Sciences
4,500,pub.1111032626,10.1016/j.tree.2018.12.003,30611398,,Ten Years On: A Review of the First Global Conservation Horizon Scan,Trends in Ecology & Evolution,,Biodiversity; Conservation of Natural Resources,2019-02,2019,34,Sci. Public Policy 39 2012,139-153,"All OA; Green, Accepted & Submitted",Article,"Sutherland, William J.; Fleishman, Erica; Clout, Mick; Gibbons, David W.; Lickorish, Fiona; Peck, Lloyd S.; Pretty, Jules; Spalding, Mark; Ockendon, Nancy","Sutherland, William J.","Sutherland, William J. (University of Cambridge); Fleishman, Erica (Colorado State University); Clout, Mick (University of Auckland); Gibbons, David W. (Royal Society for the Protection of Birds); Lickorish, Fiona (); Peck, Lloyd S. (British Antarctic Survey); Pretty, Jules (University of Essex); Spalding, Mark (University of Siena); Ockendon, Nancy (University of Cambridge)",2,2,,,https://www.repository.cam.ac.uk/handle/1810/288778,https://app.dimensions.ai/details/publication/pub.1111032626,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
5,500,pub.1110583224,10.1016/j.tree.2018.11.001,30554808,,A Horizon Scan of Emerging Issues for Global Conservation in 2019,Trends in Ecology & Evolution,,Biodiversity; Conservation of Natural Resources; Forecasting,2019-01,2019,34,Trends Ecol. Evol. 32 2017,83-94,"All OA; Green, Accepted & Submitted",Article,"Sutherland, William J.; Broad, Steven; Butchart, Stuart H.M.; Clarke, Stewart J.; Collins, Alexandra M.; Dicks, Lynn V.; Doran, Helen; Esmail, Nafeesa; Fleishman, Erica; Frost, Nicola; Gaston, Kevin J.; Gibbons, David W.; Hughes, Alice C.; Jiang, Zhigang; Kelman, Ruth; LeAnstey, Becky; le Roux, Xavier; Lickorish, Fiona A.; Monk, Kathryn A.; Mortimer, Diana; Pearce-Higgins, James W.; Peck, Lloyd S.; Pettorelli, Nathalie; Pretty, Jules; Seymour, Colleen L.; Spalding, Mark D.; Wentworth, Jonathan; Ockendon, Nancy","Sutherland, William J.","Sutherland, William J. (University of Cambridge); Broad, Steven (); Butchart, Stuart H.M. (University of Cambridge; BirdLife international); Clarke, Stewart J. (National Trust); Collins, Alexandra M. (Imperial College London); Dicks, Lynn V. (University of East Anglia); Doran, Helen (Natural England); Esmail, Nafeesa (); Fleishman, Erica (Colorado State University); Frost, Nicola (); Gaston, Kevin J. (University of Exeter); Gibbons, David W. (Royal Society for the Protection of Birds); Hughes, Alice C. (Xishuangbanna Tropical Botanical Garden); Jiang, Zhigang (Institute of Zoology; University of Chinese Academy of Sciences); Kelman, Ruth (Natural Environment Research Council); LeAnstey, Becky (Environment Agency); le Roux, Xavier (Claude Bernard University Lyon 1; Foundation for Research on Biodiversity); Lickorish, Fiona A. (); Monk, Kathryn A. (Natural Resources Wales); Mortimer, Diana (Joint Nature Conservation Committee); Pearce-Higgins, James W. (University of Cambridge; British Trust for Ornithology); Peck, Lloyd S. (British Antarctic Survey); Pettorelli, Nathalie (Zoological Society of London); Pretty, Jules (University of Essex); Seymour, Colleen L. (South African National Biodiversity Institute); Spalding, Mark D. (); Wentworth, Jonathan (Parliamentary Office of Science and Technology); Ockendon, Nancy (University of Cambridge)",2,2,,,https://www.repository.cam.ac.uk/handle/1810/287373,https://app.dimensions.ai/details/publication/pub.1110583224,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
6,100,pub.1101320973,10.1111/ecog.03582,,,Linking species richness and size diversity in birds and fishes,Ecography,,,2018-12,2018,41,12,1979-1991,All OA; Gold,Article,"Yen, Jian D. L.; Thomson, James R.; Keith, Jonathan M.; Paganin, David M.; Fleishman, Erica; Bennett, Andrew F.; Nimmo, Dale G.; Bennett, Joanne M.; Dobkin, David S.; Nally, Ralph Mac",,"Yen, Jian D. L. (University of Melbourne); Thomson, James R. (Department of Environment, Land, Water and Planning); Keith, Jonathan M. (Monash University); Paganin, David M. (Monash University); Fleishman, Erica (University of California, Davis; Colorado State University); Bennett, Andrew F. (Department of Environment, Land, Water and Planning; La Trobe University); Nimmo, Dale G. (Charles Sturt University); Bennett, Joanne M. (German Center for Integrative Biodiversity Research; Martin Luther University Halle-Wittenberg); Dobkin, David S. (); Nally, Ralph Mac (La Trobe University; University of Canberra)",1,1,,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/ecog.03582,https://app.dimensions.ai/details/publication/pub.1101320973,0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,,
7,500,pub.1106948484,10.1002/ece3.4458,30386587,PMC6202709,Understanding the population consequences of disturbance,Ecology and Evolution,,,2018-10,2018,8,19,9934-9946,All OA; Gold,Article,"Pirotta, Enrico; Booth, Cormac G.; Costa, Daniel P.; Fleishman, Erica; Kraus, Scott D.; Lusseau, David; Moretti, David; New, Leslie F.; Schick, Robert S.; Schwarz, Lisa K.; Simmons, Samantha E.; Thomas, Len; Tyack, Peter L.; Weise, Michael J.; Wells, Randall S.; Harwood, John",,"Pirotta, Enrico (Washington State University; University College Cork); Booth, Cormac G. (); Costa, Daniel P. (University of California, Santa Cruz); Fleishman, Erica (University of California, Davis; Colorado State University); Kraus, Scott D. (New England Aquarium); Lusseau, David (University of Aberdeen); Moretti, David (Naval Undersea Warfare Center); New, Leslie F. (Washington State University); Schick, Robert S. (Duke University; University of St Andrews); Schwarz, Lisa K. (University of California, Santa Cruz); Simmons, Samantha E. (Marine Mammal Commission); Thomas, Len (University of St Andrews); Tyack, Peter L. (University of St Andrews); Weise, Michael J. (Office of Naval Research); Wells, Randall S. (Mote Marine Laboratory); Harwood, John (University of St Andrews)",15,15,,,https://onlinelibrary.wiley.com/doi/pdf/10.1002/ece3.4458,https://app.dimensions.ai/details/publication/pub.1106948484,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
8,200,pub.1106225281,10.1016/j.biocon.2018.08.005,,,"Response to Horns et al. 2018: ‘Using opportunistic citizen science data to estimate avian population trends’ Biological Conservation 221, 151–159",Biological Conservation,,,2018-10,2018,226,Biol. Conserv. 221 2018,329-330,Closed,Article,"Fogarty, Frank A.; Wohlfeil, Martha E.; Fleishman, Erica","Fogarty, Frank A.","Fogarty, Frank A. (University of California, Davis); Wohlfeil, Martha E. (University of California, Davis); Fleishman, Erica (University of California, Davis; Colorado State University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1106225281,05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,05 Environmental Sciences,06 Biological Sciences,07 Agricultural and Veterinary Sciences,,
9,200,pub.1103855238,10.1002/ecy.2359,,,Disconnects between science and its marketing,Ecology,,,2018-08,2018,99,8,1903-1904,Closed,Article,"Fleishman, Erica",,"Fleishman, Erica (Colorado State University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1103855238,0602 Ecology; 0603 Evolutionary Biology; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0603 Evolutionary Biology,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
