,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Erika J Eliason. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,500,pub.1113529741,10.1016/j.cbpa.2019.04.012,31004808,,Exploring relationships between cardiovascular activity and parental care behavior in nesting smallmouth bass: A field study using heart rate biologgers,Comparative Biochemistry and Physiology Part A Molecular & Integrative Physiology,,,2019-08,2019,234,,18-27,Closed,Article,"Prystay, Tanya S.; Lawrence, Michael J.; Zolderdo, Aaron J.; Brownscombe, Jacob W.; de Bruijn, Robert; Eliason, Erika J.; Cooke, Steven J.","Prystay, Tanya S.","Prystay, Tanya S. (Carleton University); Lawrence, Michael J. (Carleton University); Zolderdo, Aaron J. (Carleton University); Brownscombe, Jacob W. (Carleton University); de Bruijn, Robert (Carleton University); Eliason, Erika J. (University of California, Santa Barbara); Cooke, Steven J. (Carleton University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1113529741,0606 Physiology; 0601 Biochemistry and Cell Biology; 06 Biological Sciences; 0608 Zoology,0606 Physiology,0601 Biochemistry and Cell Biology,06 Biological Sciences,0608 Zoology,
2,500,pub.1117979361,10.1007/s10695-019-00680-z,31300974,,Cortisol modulates metabolism and energy mobilization in wild-caught pumpkinseed (Lepomis gibbosus),Fish Physiology and Biochemistry,,,2019-07-12,2019,,,1-16,Closed,Article,"Lawrence, Michael J.; Eliason, Erika J.; Zolderdo, Aaron J.; Lapointe, Dominique; Best, Carol; Gilmour, Kathleen M.; Cooke, Steven J.","Lawrence, Michael J.","Lawrence, Michael J. (Carleton University); Eliason, Erika J. (University of California, Santa Barbara); Zolderdo, Aaron J. (Carleton University; Queen's University); Lapointe, Dominique (St. Lawrence River Institute of Environmental Sciences); Best, Carol (University of Ottawa); Gilmour, Kathleen M. (University of Ottawa); Cooke, Steven J. (Carleton University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1117979361,0704 Fisheries Sciences; 0602 Ecology; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0704 Fisheries Sciences,0602 Ecology,06 Biological Sciences,07 Agricultural and Veterinary Sciences,
3,100,pub.1116883980,10.1101/655977,,,Predator-induced selection on urchin activity level depends on urchin body size,bioRxiv,,,2019-06-06,2019,,,655977,"All OA; Green, Published",Preprint,"Preorius, Justin D.; Lichtenstein, James L. L.; Eliason, Erika J.; Stier, Adrian C.; Pruitt, Jonathan N.",,"Preorius, Justin D. (University of California, Santa Barbara); Lichtenstein, James L. L. (University of California, Santa Barbara); Eliason, Erika J. (University of California, Santa Barbara); Stier, Adrian C. (University of California, Santa Barbara); Pruitt, Jonathan N. (McMaster University)",0,0,,,https://www.biorxiv.org/content/biorxiv/early/2019/06/06/655977.full.pdf,https://app.dimensions.ai/details/publication/pub.1116883980,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
4,500,pub.1110129926,10.1111/brv.12480,30467930,,Emerging threats and persistent conservation challenges for freshwater biodiversity,Biological Reviews,,,2019-06,2019,94,3,849-873,All OA; Gold,Article,"Reid, Andrea J.; Carlson, Andrew K.; Creed, Irena F.; Eliason, Erika J.; Gell, Peter A.; Johnson, Pieter T. J.; Kidd, Karen A.; MacCormack, Tyson J.; Olden, Julian D.; Ormerod, Steve J.; Smol, John P.; Taylor, William W.; Tockner, Klement; Vermaire, Jesse C.; Dudgeon, David; Cooke, Steven J.",,"Reid, Andrea J. (Carleton University); Carlson, Andrew K. (Michigan State University); Creed, Irena F. (University of Saskatchewan); Eliason, Erika J. (University of California, Santa Barbara); Gell, Peter A. (Federation University); Johnson, Pieter T. J. (University of Colorado Boulder); Kidd, Karen A. (McMaster University); MacCormack, Tyson J. (Mount Allison University); Olden, Julian D. (University of Washington); Ormerod, Steve J. (Cardiff University); Smol, John P. (Queen's University); Taylor, William W. (Michigan State University); Tockner, Klement (Leibniz Institute of Freshwater Ecology and Inland Fisheries); Vermaire, Jesse C. (Carleton University); Dudgeon, David (University of Hong Kong); Cooke, Steven J. (Carleton University)",44,44,,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/brv.12480,https://app.dimensions.ai/details/publication/pub.1110129926,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
5,100,pub.1107672342,10.1139/cjfas-2018-0334,,,Cardiac SERCA activity in sockeye salmon populations: an adaptive response to migration conditions,Canadian Journal of Fisheries and Aquatic Sciences,,,2019-01,2019,76,1,1-5,"All OA; Green, Accepted & Submitted",Article,"Anttila, Katja; Farrell, Anthony P.; Patterson, David A.; Hinch, Scott G.; Eliason, Erika J.",,"Anttila, Katja (University of Turku); Farrell, Anthony P. (University of British Columbia); Patterson, David A. (Simon Fraser University); Hinch, Scott G. (University of British Columbia); Eliason, Erika J. (University of California, Santa Barbara)",0,0,,,https://tspace.library.utoronto.ca/bitstream/1807/91128/1/cjfas-2018-0334.pdf,https://app.dimensions.ai/details/publication/pub.1107672342,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
6,100,pub.1106280060,10.1111/fwb.13166,,,Bioenergetic consequences of warming rivers to adult Atlantic salmon Salmo salar during their spawning migration,Freshwater Biology,,,2018-11,2018,63,11,1381-1393,Closed,Article,"Lennox, Robert J.; Eliason, Erika J.; Havn, Torgeir B.; Johansen, Martin R.; Thorstad, Eva B.; Cooke, Steven J.; Diserud, Ola H.; Whoriskey, Frederick G.; Farrell, Anthony P.; Uglem, Ingebrigt",,"Lennox, Robert J. (Carleton University; Norwegian Institute for Nature Research); Eliason, Erika J. (University of California, Santa Barbara); Havn, Torgeir B. (Norwegian Institute for Nature Research); Johansen, Martin R. (Norwegian Institute for Nature Research); Thorstad, Eva B. (Norwegian Institute for Nature Research); Cooke, Steven J. (Carleton University); Diserud, Ola H. (Norwegian Institute for Nature Research); Whoriskey, Frederick G. (Ocean Tracking Network); Farrell, Anthony P. (University of British Columbia); Uglem, Ingebrigt (Norwegian Institute for Nature Research)",4,4,,,,https://app.dimensions.ai/details/publication/pub.1106280060,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
7,100,pub.1101475775,10.1139/cjfas-2017-0424,,,Transcriptome profiles relate to migration fate in hatchery steelhead (Oncorhynchus mykiss) smolts1,Canadian Journal of Fisheries and Aquatic Sciences,,,2018-11,2018,75,11,2053-2068,Closed,Article,"Healy, Stephen J.; Hinch, Scott G.; Bass, Arthur L.; Furey, Nathan B.; Welch, David W.; Rechisky, Erin L.; Eliason, Erika J.; Lotto, Andrew G.; Miller, Kristina M.",,"Healy, Stephen J. (University of British Columbia); Hinch, Scott G. (University of British Columbia); Bass, Arthur L. (University of British Columbia); Furey, Nathan B. (University of British Columbia; University of New Hampshire); Welch, David W. (Kintama (Canada)); Rechisky, Erin L. (Kintama (Canada)); Eliason, Erika J. (University of California, Santa Barbara); Lotto, Andrew G. (University of British Columbia); Miller, Kristina M. (Fisheries and Oceans Canada)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1101475775,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
8,500,pub.1092406209,10.1111/1749-4877.12282,29078038,,Influence of supraphysiological cortisol manipulation on predator avoidance behaviors and physiological responses to a predation threat in a wild marine teleost fish,Integrative Zoology,,"Animals; Anti-Inflammatory Agents; Aquatic Organisms; Avoidance Learning; Behavior, Animal; Fishes; Hydrocortisone; Stress, Physiological",2018-03,2018,13,2,206-218,Closed,Article,"LAWRENCE, Michael J.; ELIASON, Erika J.; BROWNSCOMBE, Jacob W.; GILMOUR, Kathleen M.; MANDELMAN, John W.; GUTOWSKY, Lee F.G.; COOKE, Steven J.",,"LAWRENCE, Michael J. (Carleton University); ELIASON, Erika J. (Carleton University); BROWNSCOMBE, Jacob W. (University of Ottawa); GILMOUR, Kathleen M. (University of New England); MANDELMAN, John W. (University of New England; New England Aquarium); GUTOWSKY, Lee F.G. (Carleton University); COOKE, Steven J. (Carleton University)",5,5,,,,https://app.dimensions.ai/details/publication/pub.1092406209,06 Biological Sciences; 0608 Zoology,06 Biological Sciences,0608 Zoology,,,
9,100,pub.1101508272,10.1002/tafs.10027,,,Short‐term Physiological Response Profiles of Tagged Migrating Adult Sockeye Salmon: A Comparison of Gastric Insertion and External Tagging Methods,Transactions of the American Fisheries Society,,,2018-03,2018,147,2,300-315,Closed,Article,"Dick, M.; Eliason, E. J.; Patterson, D. A.; Robinson, K. A.; Hinch, S. G.; Cooke, S. J.",,"Dick, M. (Carleton University); Eliason, E. J. (Carleton University; University of British Columbia; University of California, Santa Barbara); Patterson, D. A. (Simon Fraser University); Robinson, K. A. (Simon Fraser University); Hinch, S. G. (University of British Columbia); Cooke, S. J. (Carleton University)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1101508272,0704 Fisheries Sciences; 07 Agricultural and Veterinary Sciences,0704 Fisheries Sciences,07 Agricultural and Veterinary Sciences,,,
