,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Frank J Spera. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1121889538,10.1016/b978-0-12-816454-9.00015-8,,,15 Ground movement (bradyseism) in the Campi Flegrei volcanic area a review,,"Vesuvius, Campi Flegrei, and Campanian Volcanism",,2020,2020,,,407-433,Closed,Chapter,"Cannatelli, Claudia; Spera, Frank J.; Bodnar, Robert J.; Lima, Annamaria; De Vivo, Benedetto",,"Cannatelli, Claudia (University of Chile); Spera, Frank J. (University of California, Santa Barbara); Bodnar, Robert J. (Virginia Tech); Lima, Annamaria (University of Naples Federico II); De Vivo, Benedetto (Virginia Tech; Nanjing University; Hubei Polytechnic University)",3,3,,,,https://app.dimensions.ai/details/publication/pub.1121889538,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
2,100,pub.1121646124,10.1007/s00410-019-1624-0,,,Deep open storage and shallow closed transport system for a continental flood basalt sequence revealed with Magma Chamber Simulator,Contributions to Mineralogy and Petrology,,,2019-11,2019,174,11,87,Closed,Article,"Heinonen, Jussi S.; Luttinen, Arto V.; Spera, Frank J.; Bohrson, Wendy A.","Heinonen, Jussi S.","Heinonen, Jussi S. (University of Helsinki; Central Washington University); Luttinen, Arto V. (University of Helsinki); Spera, Frank J. (University of California, Santa Barbara); Bohrson, Wendy A. (Central Washington University; Colorado School of Mines)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1121646124,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
3,100,pub.1111979154,10.1016/j.epsl.2019.01.040,,,Extreme enriched and heterogeneous 87Sr/86Sr ratios recorded in magmatic plagioclase from the Samoan hotspot,Earth and Planetary Science Letters,,,2019-04,2019,511,Nature 336 1988,190-201,Closed,Article,"Edwards, M.A.; Jackson, M.G.; Kylander-Clark, A.R.C.; Harvey, J.; Hagen-Peter, G.A.; Seward, G.G.E.; Till, C.B.; Adams, J.V.; Cottle, J.M.; Hacker, B.R.; Spera, F.J.","Edwards, M.A.","Edwards, M.A. (University of California, Santa Barbara); Jackson, M.G. (University of California, Santa Barbara); Kylander-Clark, A.R.C. (University of California, Santa Barbara); Harvey, J. (University of Leeds); Hagen-Peter, G.A. (Aarhus University); Seward, G.G.E. (University of California, Santa Barbara); Till, C.B. (Arizona State University); Adams, J.V. (University of California, Santa Barbara); Cottle, J.M. (University of California, Santa Barbara); Hacker, B.R. (University of California, Santa Barbara); Spera, F.J. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1111979154,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
4,200,pub.1116649824,10.1130/abs/2019cd-329453,,,"ORIGIN OF THE LOWER ZONE OF THE KIGLAPAIT LAYERED MAFIC INTRUSION, LABRADOR, CANADA: COMPUTATIONAL CONSTRAINTS ON CRYSTALLIZATION AND MAGMA RECHARGE",Abstracts with programs (Geological Society of America),,,2019,2019,,,,Closed,Proceeding,"Melone, Alec; Bohrson, Wendy A.; Spera, Frank J.",,"Melone, Alec (); Bohrson, Wendy A. (); Spera, Frank J. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1116649824,,,,,,
5,200,pub.1101285312,10.2475/01.2018.05,,,Rejuvenation of crustal magma mush: A tale of multiply nested processes and timescales,American Journal of Science,,,2018-01,2018,318,1,90-140,Closed,Article,"Spera, Frank J.; Bohrson, Wendy A.",,"Spera, Frank J. (); Bohrson, Wendy A. ()",5,5,,,,https://app.dimensions.ai/details/publication/pub.1101285312,0403 Geology; 04 Earth Sciences; 0404 Geophysics; 0402 Geochemistry,0403 Geology,04 Earth Sciences,0404 Geophysics,0402 Geochemistry,
6,200,pub.1105607813,10.1007/978-3-319-39312-4_285,,,Fractional Crystallization and Assimilation,Encyclopedia of Earth Sciences Series,Encyclopedia of Geochemistry,,2018,2018,,,513-518,Closed,Chapter,"Spera, Frank; Scruggs, Melissa",,"Spera, Frank (University of California, Santa Barbara); Scruggs, Melissa (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1105607813,,,,,,
7,200,pub.1099589464,10.1130/abs/2017am-302987,,,"TWO GABBROIC DIKES FROM THE KAROO LIP EXHIBIT INCREASING ε
                    ND
                    TOWARDS THE CONTACT WITH THE WALLROCK AND RECORD TWO DISTINCT STORIES OF DIFFERENTIATION",Abstracts with programs (Geological Society of America),,,2017,2017,,,,Closed,Proceeding,"Heinonen, Jussi S.; Luttinen, Arto V.; Vuori, Saku K.; Bohrson, Wendy A.; Spera, Frank J.; Scruggs, Melissa A.",,"Heinonen, Jussi S. (); Luttinen, Arto V. (); Vuori, Saku K. (); Bohrson, Wendy A. (); Spera, Frank J. (); Scruggs, Melissa A. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1099589464,,,,,,
8,100,pub.1069057099,10.2138/am-2016-5486,,,"Thermodynamics, self-diffusion, and structure of liquid NaAlSi3O8 to 30 GPa by classical molecular dynamics simulations",American Mineralogist,,,2016-09,2016,101,9,2029-2040,Closed,Article,"Neilson, Ryan T.; Spera, Frank J.; Ghiorso, Mark S.",,"Neilson, Ryan T. (University of California, Santa Barbara); Spera, Frank J. (University of California, Santa Barbara); Ghiorso, Mark S. (OFM Research (United States))",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1069057099,0914 Resources Engineering and Extractive Metallurgy; 09 Engineering; 0402 Geochemistry; 0403 Geology; 04 Earth Sciences,0914 Resources Engineering and Extractive Metallurgy,09 Engineering,0402 Geochemistry,0403 Geology,04 Earth Sciences
9,100,pub.1069057038,10.2138/am-2016-5305,,,Dynamics and thermodynamics of magma mixing: Insights from a simple exploratory model,American Mineralogist,,,2016-03,2016,101,3,627-643,Closed,Article,"Spera, Frank J.; Schmidt, Jason S.; Bohrson, Wendy A.; Brown, Guy A.",,"Spera, Frank J. (University of California, Santa Barbara); Schmidt, Jason S. (University of California, Santa Barbara); Bohrson, Wendy A. (Central Washington University); Brown, Guy A. ()",5,3,,1.34,,https://app.dimensions.ai/details/publication/pub.1069057038,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
10,200,pub.1108097352,10.1130/abs/2016am-287631,,,"PETROLOGIC EVOLUTION OF MAGMA ERUPTED AT PU'U O'O, KILAUEA VOLCANO: ARE DECADAL CHANGES IN MAGMA COMPOSITION PRIMARILY DRIVEN BY SHALLOW OR DEEP PETROGENETIC PHENOMENA?",Abstracts with programs (Geological Society of America),,,2016,2016,,,,Closed,Proceeding,"Bohrson, Wendy A.; Spera, Frank J.",,"Bohrson, Wendy A. (); Spera, Frank J. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1108097352,,,,,,
11,200,pub.1019524184,10.1007/978-3-319-39193-9_285-1,,,Fractional Crystallization and Assimilation,Encyclopedia of Earth Sciences Series,Encyclopedia of Engineering Geology,,2016,2016,,,1-6,Closed,Chapter,"Spera, Frank; Scruggs, Melissa",,"Spera, Frank (University of California, Santa Barbara); Scruggs, Melissa (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1019524184,,,,,,
12,400,pub.1055874512,10.1021/jacs.5b08162,26488848,,"Anionic chemistry of noble gases: formation of Mg-NG (NG = Xe, Kr, Ar) compounds under pressure.",Journal of the American Chemical Society,,,2015-11-11,2015,137,44,14122-8,Closed,Article,"Miao, Mao-Sheng; Wang, Xiao-Li; Brgoch, Jakoah; Spera, Frank; Jackson, Matthew G; Kresse, Georg; Lin, Hai-Qing",,"Miao, Mao-Sheng (California State University, Northridge; Beijing Computational Science Research Center); Wang, Xiao-Li (Linyi University; University of California, Santa Barbara); Brgoch, Jakoah (University of Houston); Spera, Frank (University of California, Santa Barbara); Jackson, Matthew G (University of California, Santa Barbara); Kresse, Georg (University of Vienna); Lin, Hai-Qing (Beijing Computational Science Research Center)",28,14,1.31,5.49,,https://app.dimensions.ai/details/publication/pub.1055874512,0307 Theoretical and Computational Chemistry; 03 Chemical Sciences; 0302 Inorganic Chemistry; 0306 Physical Chemistry (incl. Structural),0307 Theoretical and Computational Chemistry,03 Chemical Sciences,0302 Inorganic Chemistry,0306 Physical Chemistry (incl. Structural),
13,100,pub.1011473304,10.1016/b978-0-12-385938-9.00005-5,,,Chapter 5 Thermodynamic and Transport Properties of Silicate Melts and Magma,,The Encyclopedia of Volcanoes,,2015,2015,,Phys. Earth Planet. Int1071998,113-141,Closed,Chapter,"Lesher, Charles E.; Spera, Frank J.",,"Lesher, Charles E. (University of California, Davis; Aarhus University); Spera, Frank J. (University of California, Santa Barbara)",30,22,,6.16,,https://app.dimensions.ai/details/publication/pub.1011473304,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
14,100,pub.1011857254,10.2138/am-2014-4918,,,"Thermal conductivity of molten and glassy NaAlSi3O8, CaMgSi2O6, and Mg2SiO4 by non-equilibrium molecular dynamics at elevated temperature and pressure",American Mineralogist,,,2014-11-01,2014,99,11-12,2328-2336,Closed,Article,"Tikunoff, Dane; Spera, Frank J.",,"Tikunoff, Dane (University of California, Santa Barbara); Spera, Frank J. (University of California, Santa Barbara)",5,2,,0.94,,https://app.dimensions.ai/details/publication/pub.1011857254,0914 Resources Engineering and Extractive Metallurgy; 09 Engineering; 0402 Geochemistry; 0403 Geology; 04 Earth Sciences,0914 Resources Engineering and Extractive Metallurgy,09 Engineering,0402 Geochemistry,0403 Geology,04 Earth Sciences
15,100,pub.1016323331,10.1093/petrology/egu036,,,"Thermodynamic Model for Energy-Constrained Open-System Evolution of Crustal Magma Bodies Undergoing Simultaneous Recharge, Assimilation and Crystallization: the Magma Chamber Simulator",Journal of Petrology,,,2014-09-01,2014,55,9,1685-1717,All OA; Gold,Article,"Bohrson, Wendy A.; Spera, Frank J.; Ghiorso, Mark S.; Brown, Guy A.; Creamer, Jeffrey B.; Mayfield, Aaron",,"Bohrson, Wendy A. (Central Washington University); Spera, Frank J. (University of California, Santa Barbara); Ghiorso, Mark S. (); Brown, Guy A. (); Creamer, Jeffrey B. (University of California, Santa Barbara); Mayfield, Aaron (Central Washington University)",24,16,,3.74,https://academic.oup.com/petrology/article-pdf/55/9/1685/16676800/egu036.pdf,https://app.dimensions.ai/details/publication/pub.1016323331,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
16,100,pub.1024657038,10.1130/g35376.1,,,Volcanic ash provenance from zircon dust with an application to Maya pottery,Geology,,,2014-07-01,2014,42,7,595-598,Closed,Article,"Coffey, Kevin T.; Schmitt, Axel K.; Ford, Anabel; Spera, Frank J.; Christensen, Constance; Garrison, Jennifer",,"Coffey, Kevin T. (University of California Los Angeles); Schmitt, Axel K. (University of California Los Angeles); Ford, Anabel (University of California, Santa Barbara); Spera, Frank J. (University of California, Santa Barbara); Christensen, Constance (); Garrison, Jennifer (California State University Los Angeles)",5,0,,0.84,,https://app.dimensions.ai/details/publication/pub.1024657038,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
17,100,pub.1014871364,10.2138/am.2012.3863,,,Transport properties and equation of state of 1-bar eutectic melt in the system CaAl2Si2O8-CaMgSi2O6 by molecular dynamics simulation,American Mineralogist,,,2012-07-01,2012,97,7,1155-1164,Closed,Article,"Martin, G. Ben; Ghiorso, Mark; Spera, Frank J.",,"Martin, G. Ben (Geophysical Laboratory); Ghiorso, Mark (OFM Research (United States)); Spera, Frank J. (Geophysical Laboratory)",11,3,,1.84,,https://app.dimensions.ai/details/publication/pub.1014871364,0914 Resources Engineering and Extractive Metallurgy; 09 Engineering; 0402 Geochemistry; 0403 Geology; 04 Earth Sciences,0914 Resources Engineering and Extractive Metallurgy,09 Engineering,0402 Geochemistry,0403 Geology,04 Earth Sciences
18,200,pub.1004737690,10.2138/am.2011.577,,,"DIFFUSION IN MINERALS AND MELTSYouxue Zhang and Daniele J. Cherniak, Editors. (2010) Reviews in Mineralogy and Geochemistry, vol. 72, 1038 pages. ISBN: 978-0-939950-86-7. $50.00 (U.S.) (25% discount for MSA, CMS, and GS members) (http://www.minsocam.org/MSA/Rim/).",American Mineralogist,,,2011-08-01,2011,96,8-9,1422-1422,Closed,Article,"Spera, Frank J.",,"Spera, Frank J. (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1004737690,0914 Resources Engineering and Extractive Metallurgy; 09 Engineering; 0402 Geochemistry; 0403 Geology; 04 Earth Sciences,0914 Resources Engineering and Extractive Metallurgy,09 Engineering,0402 Geochemistry,0403 Geology,04 Earth Sciences
19,200,pub.1028374114,10.1093/petrology/egq096,,,Reply to Gualda & Ghiorso Comment on ‘A Metamodel for Crustal Magmatism: Phase Equilibria of Giant Ignimbrites’,Journal of Petrology,,,2011-03-01,2011,52,3,435-438,All OA; Gold,Article,"Fowler, Sarah J.; Spera, Frank J.",,"Fowler, Sarah J. (Swiss Federal Institute of Technology in Zurich); Spera, Frank J. (Swiss Federal Institute of Technology in Zurich)",1,0,,0.13,https://academic.oup.com/petrology/article-pdf/52/3/435/4324861/egq096.pdf,https://app.dimensions.ai/details/publication/pub.1028374114,0403 Geology; 04 Earth Sciences; 0404 Geophysics; 0402 Geochemistry,0403 Geology,04 Earth Sciences,0404 Geophysics,0402 Geochemistry,
20,100,pub.1011053387,10.1016/j.gca.2010.12.004,,,"Structure, thermodynamic and transport properties of liquid MgSiO3: Comparison of molecular models and laboratory results",Geochimica et Cosmochimica Acta,,,2011-03,2011,75,5,1272-1296,Closed,Article,"Spera, Frank J.; Ghiorso, Mark S.; Nevins, Dean","Spera, Frank J.","Spera, Frank J. (University of California, Santa Barbara); Ghiorso, Mark S. (OFM Research (United States)); Nevins, Dean (University of California, Santa Barbara)",34,14,,4.02,,https://app.dimensions.ai/details/publication/pub.1011053387,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology; 0402 Geochemistry,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,0402 Geochemistry,
21,200,pub.1109792715,10.1515/9781501508448-022,,,20. Large Scale Simulations,,Theoretical and Computational Methods in Mineral Physics,,2010-12-31,2010,,,437-464,Closed,Chapter,"Ghiorso, Mark S.; Spera, Frank J.",,"Ghiorso, Mark S. (); Spera, Frank J. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1109792715,,,,,,
22,100,pub.1013168721,10.1093/petrology/egq039,,,A Metamodel for Crustal Magmatism: Phase Equilibria of Giant Ignimbrites,Journal of Petrology,,,2010-09,2010,51,9,1783-1830,All OA; Gold,Article,"Fowler, Sarah J.; Spera, Frank J.",,"Fowler, Sarah J. (Swiss Federal Institute of Technology in Zurich); Spera, Frank J. (University of California, Santa Barbara)",25,2,,2.6,https://academic.oup.com/petrology/article-pdf/51/9/1783/16671824/egq039.pdf,https://app.dimensions.ai/details/publication/pub.1013168721,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
23,200,pub.1051127090,10.2138/rmg.2010.71.20,,,Large Scale Simulations,Reviews in Mineralogy and Geochemistry,,,2010-01-01,2010,71,1,437-463,Closed,Article,"Ghiorso, Mark S.; Spera, Frank J.",,"Ghiorso, Mark S. (OFM Research (United States)); Spera, Frank J. (University of California, Santa Barbara)",6,1,,0.6,,https://app.dimensions.ai/details/publication/pub.1051127090,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
