,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Galen D Stucky. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1112306965,10.1016/j.jcat.2019.02.009,,,Changes in the structure of electrodeposited manganese oxide water oxidation catalysts revealed by in-operando Raman spectroscopy,Journal of Catalysis,,,2019-03,2019,371,Acc. Chem. Res. 28 3 1995,287-290,Closed,Article,"Elliott, William; Salemmilani, Reza; Mubeen, Syed; Meinhart, Carl D.; Stucky, Galen D.; Moskovits, Martin","Moskovits, Martin","Elliott, William (University of California, Santa Barbara); Salemmilani, Reza (University of California, Santa Barbara); Mubeen, Syed (University of Iowa); Meinhart, Carl D. (University of California, Santa Barbara); Stucky, Galen D. (University of California, Santa Barbara); Moskovits, Martin (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1112306965,03 Chemical Sciences; 0302 Inorganic Chemistry; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0302 Inorganic Chemistry,0306 Physical Chemistry (incl. Structural),,
2,100,pub.1110978747,10.1016/j.apmt.2018.12.012,,,Size and dimension dependent surface-enhanced Raman scattering properties of well-defined Ag nanocubes,Applied Materials Today,,,2019-03,2019,14,J. Electroanal. Chem. Interfacial Electrochem. 84 1977,224-232,Closed,Article,"Lin, Ying; Zhang, Yue-Jiao; Yang, Wei-Min; Dong, Jin-Chao; Fan, Feng-Ru; Zhao, Yang; Zhang, Hua; Bodappa, Nataraju; Tian, Xiang-Dong; Yang, Zhi-Lin; Stucky, Galen D.; Tian, Zhong-Qun; Li, Jian-Feng","Fan, Feng-Ru","Lin, Ying (Xiamen University); Zhang, Yue-Jiao (Xiamen University); Yang, Wei-Min (Xiamen University); Dong, Jin-Chao (Xiamen University); Fan, Feng-Ru (University of California, Santa Barbara); Zhao, Yang (Xiamen University; University of California, Santa Barbara); Zhang, Hua (Xiamen University); Bodappa, Nataraju (Xiamen University); Tian, Xiang-Dong (Xiamen Institute of Rare-earth Materials); Yang, Zhi-Lin (Xiamen University); Stucky, Galen D. (University of California, Santa Barbara); Tian, Zhong-Qun (Xiamen University); Li, Jian-Feng (Xiamen University)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1110978747,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
3,100,pub.1110266668,10.1016/j.nanoen.2018.11.081,,,Nitrogen-rich hierarchically porous carbon as a high-rate anode material with ultra-stable cyclability and high capacity for capacitive sodium-ion batteries,Nano Energy,,,2019-02,2019,56,Nat Chem. 2 2010,828-839,Closed,Article,"Hu, Xudong; Sun, Xiaohong; Yoo, Seung Joon; Evanko, Brian; Fan, Fengru; Cai, Shu; Zheng, Chunming; Hu, Wenbin; Stucky, Galen D.",,"Hu, Xudong (Tianjin University; University of California, Santa Barbara); Sun, Xiaohong (Tianjin University; University of California, Santa Barbara); Yoo, Seung Joon (University of California, Santa Barbara); Evanko, Brian (University of California, Santa Barbara); Fan, Fengru (University of California, Santa Barbara); Cai, Shu (Tianjin University); Zheng, Chunming (University of California, Santa Barbara; Tianjin Polytechnic University); Hu, Wenbin (Tianjin University); Stucky, Galen D. (University of California, Santa Barbara)",20,20,,,,https://app.dimensions.ai/details/publication/pub.1110266668,0912 Materials Engineering; 09 Engineering; 03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),0912 Materials Engineering,09 Engineering,03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),
4,100,pub.1104565470,10.1039/c8ee00546j,,,Stackable bipolar pouch cells with corrosion-resistant current collectors enable high-power aqueous electrochemical energy storage,Energy & Environmental Science,,,2018-10-10,2018,11,10,2865-2875,All OA; Gold,Article,"Evanko, Brian; Yoo, Seung Joon; Lipton, Jason; Chun, Sang-Eun; Moskovits, Martin; Ji, Xiulei; Boettcher, Shannon W.; Stucky, Galen D.",,"Evanko, Brian (University of California System); Yoo, Seung Joon (University of California System); Lipton, Jason (University of California System); Chun, Sang-Eun (Kyungpook National University); Moskovits, Martin (University of California System); Ji, Xiulei (Oregon State University); Boettcher, Shannon W. (University of Oregon); Stucky, Galen D. (University of California System)",6,6,,,https://doi.org/10.1039/c8ee00546j,https://app.dimensions.ai/details/publication/pub.1104565470,0912 Materials Engineering; 09 Engineering; 03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),0912 Materials Engineering,09 Engineering,03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),
5,100,pub.1105098706,10.1002/cnma.201800210,,,Microwave‐Assisted Synthesis of Ultrastable Cu@TiO2 Core‐Shell Nanowires with Tunable Diameters via a Redox‐Hydrolysis Synergetic Process,ChemNanoMat,,,2018-09,2018,4,9,914-918,All OA; Gold,Article,"Liu, Deyu; Wu, Binghui; Mubeen, Syed; Ding, Kunlun; Zeng, Hongmei; Chuong, Tracy T; Moskovits, Martin; Stucky, Galen D.",,"Liu, Deyu (University of California, Santa Barbara; Xiamen University); Wu, Binghui (University of California, Santa Barbara; Xiamen University); Mubeen, Syed (University of California, Santa Barbara); Ding, Kunlun (University of California, Santa Barbara); Zeng, Hongmei (University of California, Santa Barbara; Sichuan University); Chuong, Tracy T (University of California, Santa Barbara); Moskovits, Martin (University of California, Santa Barbara); Stucky, Galen D. (University of California, Santa Barbara; Xiamen University)",1,1,,,https://doi.org/10.1002/cnma.201800210,https://app.dimensions.ai/details/publication/pub.1105098706,03 Chemical Sciences; 0302 Inorganic Chemistry,03 Chemical Sciences,0302 Inorganic Chemistry,,,
6,100,pub.1100745336,10.1016/j.nanoen.2018.01.039,,,"High-rate FeS2/CNT neural network nanostructure composite anodes for stable, high-capacity sodium-ion batteries",Nano Energy,,,2018-04,2018,46,Chem. Mater. 22 2010,117-127,Closed,Article,"Chen, Yuanyuan; Hu, Xudong; Evanko, Brian; Sun, Xiaohong; Li, Xin; Hou, Tianyi; Cai, Shu; Zheng, Chunming; Hu, Wenbin; Stucky, Galen D.","Sun, Xiaohong","Chen, Yuanyuan (Tianjin University); Hu, Xudong (Tianjin University; University of California, Santa Barbara); Evanko, Brian (University of California, Santa Barbara); Sun, Xiaohong (Tianjin University; University of California, Santa Barbara); Li, Xin (Tianjin University); Hou, Tianyi (Tianjin University); Cai, Shu (Tianjin University); Zheng, Chunming (University of California, Santa Barbara; Tianjin Polytechnic University); Hu, Wenbin (Tianjin University); Stucky, Galen D. (University of California, Santa Barbara)",45,45,,,,https://app.dimensions.ai/details/publication/pub.1100745336,0912 Materials Engineering; 09 Engineering; 03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),0912 Materials Engineering,09 Engineering,03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),
7,500,pub.1100456661,10.1021/acs.nanolett.7b02592,29341615,,Merely Measuring the UV-Visible Spectrum of Gold Nanoparticles Can Change Their Charge State.,Nano Letters,,,2018-02-14,2018,18,2,669-674,Closed,Article,"Navarrete, Jose; Siefe, Chris; Alcantar, Samuel; Belt, Michael; Stucky, Galen D; Moskovits, Martin",,"Navarrete, Jose (University of California, Santa Barbara); Siefe, Chris (Stanford University); Alcantar, Samuel (University of California, Santa Barbara); Belt, Michael (University of California, Santa Barbara); Stucky, Galen D (University of California, Santa Barbara); Moskovits, Martin (University of California, Santa Barbara)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1100456661,0912 Materials Engineering; 09 Engineering; 03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),0912 Materials Engineering,09 Engineering,03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),
8,200,pub.1092142030,10.1021/acsenergylett.7b00828,,,"Redox-Enhanced Electrochemical Capacitors: Status, Opportunity, and Best Practices for Performance Evaluation",ACS Energy Letters,,,2017-11-10,2017,2,11,2581-2590,Closed,Article,"Evanko, Brian; Boettcher, Shannon W.; Yoo, Seung Joon; Stucky, Galen D.",,"Evanko, Brian (University of California, Santa Barbara); Boettcher, Shannon W. (University of Oregon); Yoo, Seung Joon (University of California, Santa Barbara); Stucky, Galen D. (University of California, Santa Barbara)",21,21,,,,https://app.dimensions.ai/details/publication/pub.1092142030,,,,,,
9,500,pub.1091089393,10.1073/pnas.1700317114,28784766,PMC5576782,Dual-reporter SERS-based biomolecular assay with reduced false-positive signals,Proceedings of the National Academy of Sciences,,"Aptamers, Nucleotide; Base Sequence; Gold; Humans; Metal Nanoparticles; Protein Binding; Proteins; Reproducibility of Results; Spectrum Analysis, Raman; Thrombin; Tumor Necrosis Factor-alpha",2017-08-22,2017,114,34,9056-9061,All OA; Gold,Article,"Chuong, Tracy T; Pallaoro, Alessia; Chaves, Chelsea A.; Li, Zhe; Lee, Joun; Eisenstein, Michael; Stucky, Galen D.; Moskovits, Martin; Soh, H. Tom",,"Chuong, Tracy T (University of California, Santa Barbara); Pallaoro, Alessia (University of California, Santa Barbara); Chaves, Chelsea A. (Jackson State University); Li, Zhe (Xiamen University); Lee, Joun (University of Iowa); Eisenstein, Michael (Stanford University); Stucky, Galen D. (University of California, Santa Barbara); Moskovits, Martin (University of California, Santa Barbara); Soh, H. Tom (Stanford University)",16,15,1.75,4.61,https://www.pnas.org/content/pnas/114/34/9056.full.pdf,https://app.dimensions.ai/details/publication/pub.1091089393,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
