,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Gary D Libecap. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,200,pub.1107831277,10.1093/reep/rey014,,,Expanding Water Markets in the Western United States: Barriers and Lessons from Other Natural Resource Markets,Review of Environmental Economics and Policy,,,2019-02-01,2019,13,1,43-61,Closed,Article,"Leonard, Bryan; Costello, Christopher; Libecap, Gary D",,"Leonard, Bryan (Arizona State University); Costello, Christopher (University of California, Santa Barbara); Libecap, Gary D (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1107831277,1402 Applied Economics; 05 Environmental Sciences; 0502 Environmental Science and Management; 14 Economics,1402 Applied Economics,05 Environmental Sciences,0502 Environmental Science and Management,14 Economics,
2,100,pub.1108063160,10.1142/s2010007819500039,,,THE CRITICAL ROLE OF MARKETS IN CLIMATE CHANGE ADAPTATION,Climate Change Economics,,,2019-02,2019,10,01,1950003,Closed,Article,"ANDERSON, SARAH E.; ANDERSON, TERRY L.; HILL, ALICE C.; KAHN, MATTHEW E.; KUNREUTHER, HOWARD; LIBECAP, GARY D.; MANTRIPRAGADA, HARI; MÉREL, PIERRE; PLANTINGA, ANDREW J.; KERRY SMITH, V.",,"ANDERSON, SARAH E. (University of California, Santa Barbara); ANDERSON, TERRY L. (Stanford University); HILL, ALICE C. (Hoover Institution); KAHN, MATTHEW E. (); KUNREUTHER, HOWARD (University of Pennsylvania); LIBECAP, GARY D. (Stanford University; University of California, Santa Barbara); MANTRIPRAGADA, HARI (University of Pittsburgh); MÉREL, PIERRE (University of California, Davis); PLANTINGA, ANDREW J. (University of California, Santa Barbara); KERRY SMITH, V. (Arizona State University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1108063160,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
3,100,pub.1105033050,10.1017/s1355770x18000220,,,An illiquid market in the desert: estimating the cost of water trade restrictions in northern Chile,Environment and Development Economics,,,2018-12,2018,23,6,615-634,Closed,Article,"Edwards, Eric C.; Cristi, Oscar; Edwards, Gonzalo; Libecap, Gary D.",,"Edwards, Eric C. (North Carolina State University); Cristi, Oscar (San Sebastián University); Edwards, Gonzalo (Pontifical Catholic University of Chile); Libecap, Gary D. (University of California, Santa Barbara; National Bureau of Economic Research)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1105033050,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
4,100,pub.1105738793,10.1016/j.jeem.2018.07.001,,,How transaction costs obstruct collective action: The case of California's groundwater,Journal of Environmental Economics and Management,,,2018-09,2018,91,,46-65,Closed,Article,"Ayres, Andrew B.; Edwards, Eric C.; Libecap, Gary D.","Edwards, Eric C.","Ayres, Andrew B. (University of California, Santa Barbara); Edwards, Eric C. (North Carolina State University); Libecap, Gary D. (University of California, Santa Barbara; National Bureau of Economic Research)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1105738793,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
5,100,pub.1106008483,10.1007/978-3-642-40458-0_46-1,,,Property Rights to Frontier Land and Minerals: US Exceptionalism,,Handbook of Cliometrics,,2018,2018,,,1-21,Closed,Chapter,"Libecap, Gary D.",,"Libecap, Gary D. (University of California, Santa Barbara; Stanford University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1106008483,18 Law and Legal Studies; 1402 Applied Economics; 1801 Law; 14 Economics,18 Law and Legal Studies,1402 Applied Economics,1801 Law,14 Economics,
6,100,pub.1000446715,10.1007/978-3-319-47828-9_2,,,Public Choice Issues in International Collective Action: Global Warming Regulation,,Explorations in Public Sector Economics,,2017,2017,,,13-34,"All OA; Green, Accepted & Submitted",Chapter,"Houser, Daniel; Libecap, Gary D.","Houser, Daniel","Houser, Daniel (George Mason University); Libecap, Gary D. (University of California, Santa Barbara)",0,0,,0,http://w3.arizona.edu/~econ/working_papers/JEEMglobal2.pdf,https://app.dimensions.ai/details/publication/pub.1000446715,1606 Political Science; 16 Studies in Human Society,1606 Political Science,16 Studies in Human Society,,,
7,200,pub.1053792649,10.1017/s0022050716000735,,,"The Dilemma of the Commoners: Understanding the Use of Common-Pool Resources in Long-Term Perspective. By Tine De Moor. Political Economy of Institutions and Decisions Series. New York: Cambridge University Press, 2015. Pp. ix–xv, 1–204. $95.63, hardcover.",The Journal of Economic History,,,2016-09,2016,76,3,955-958,Closed,Article,"Libecap, Gary D.",,"Libecap, Gary D. (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1053792649,1402 Applied Economics; 14 Economics; 2202 History and Philosophy of Specific Fields; 22 Philosophy and Religious Studies,1402 Applied Economics,14 Economics,2202 History and Philosophy of Specific Fields,22 Philosophy and Religious Studies,
8,200,pub.1063029973,10.1142/s2382624x15800053,,,Water Markets for the 21st Century: What Have We Learned?,Water Economics and Policy,,,2015-12,2015,01,04,1580005,Closed,Article,"Libecap, Gary D.",,"Libecap, Gary D. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1063029973,,,,,,
9,200,pub.1029784152,10.1017/s0022050715001473,,,"The River Pollution Dilemma in Victorian England: Nuisance Law versus Economic Efficiency. By Leslie Rosenthal. Farnham, U.K.: Ashgate Publishing, 2014. Pp. i–xiv, 1–253. $135 .00, hardcover.",The Journal of Economic History,,,2015-12,2015,75,4,1265-1266,Closed,Article,"Libecap, Gary D.",,"Libecap, Gary D. (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1029784152,1402 Applied Economics; 14 Economics; 2202 History and Philosophy of Specific Fields; 22 Philosophy and Religious Studies,1402 Applied Economics,14 Economics,2202 History and Philosophy of Specific Fields,22 Philosophy and Religious Studies,
