,"""About the data: Exported on Oct 31, 2019. Criteria: Researcher is Greg Janée. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,200,pub.1083746525,10.1007/978-1-4899-7993-3_879-3,,,Digital Curation,,Encyclopedia of Database Systems,,2017,2017,,,1-2,Closed,Chapter,"Janée, Greg",,"Janée, Greg (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1083746525,,,,,,
2,100,pub.1042140444,10.1007/978-3-642-22351-8_14,,,Provenance-Enabled Automatic Data Publishing,Lecture Notes in Computer Science,Scientific and Statistical Database Management,,2011,2011,6809,,244-252,Closed,Chapter,"Frew, James; Janée, Greg; Slaughter, Peter",,"Frew, James (University of California, Santa Barbara); Janée, Greg (University of California, Santa Barbara); Slaughter, Peter (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1042140444,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
3,100,pub.1050858208,10.1007/978-3-642-17819-1_4,,,Automatic Provenance Collection and Publishing in a Science Data Production Environment—Early Results,Lecture Notes in Computer Science,Provenance and Annotation of Data and Processes,,2010,2010,6378,,27-33,All OA; Gold,Chapter,"Frew, James; Janée, Greg; Slaughter, Peter",,"Frew, James (University of California, Santa Barbara); Janée, Greg (University of California, Santa Barbara); Slaughter, Peter (University of California, Santa Barbara)",4,0,,1.5,https://link.springer.com/content/pdf/10.1007%2F978-3-642-17819-1_4.pdf,https://app.dimensions.ai/details/publication/pub.1050858208,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
4,100,pub.1008005573,10.1145/1378889.1378912,,,A data model and architecture for long-term preservation,,Proceedings of the 8th ACM/IEEE-CS joint conference on Digital libraries - JCDL '08,,2008,2008,,,134-144,"All OA; Green, Accepted & Submitted",Proceeding,"Janée, Greg; Mathena, Justin; Frew, James",,"Janée, Greg (University of California, Santa Barbara); Mathena, Justin (University of California, Santa Barbara); Frew, James (University of California, Santa Barbara)",14,0,,4.39,http://alexandria.sdc.ucsb.edu/~gjanee/archive/2008/jcdl-paper.pdf,https://app.dimensions.ai/details/publication/pub.1008005573,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
5,100,pub.1024636900,10.1007/s00799-004-0112-x,,,Linking learning goals and educational resources through interactive concept map visualizations,International Journal on Digital Libraries,,,2005-03,2005,5,1,18-24,"All OA; Green, Accepted & Submitted",Article,"Sumner, Tamara; Ahmad, Faisal; Bhushan, Sonal; Gu, Qianyi; Molina, Francis; Willard, Stedman; Wright, Michael; Davis, Lynne; Janée, Greg","Sumner, Tamara","Sumner, Tamara (University of Colorado Boulder); Ahmad, Faisal (University of Colorado Boulder); Bhushan, Sonal (University of Colorado Boulder); Gu, Qianyi (University of Colorado Boulder); Molina, Francis (American Association For The Advancement of Science); Willard, Stedman (American Association For The Advancement of Science); Wright, Michael (University Corporation for Atmospheric Research); Davis, Lynne (University Corporation for Atmospheric Research); Janée, Greg (University of California, Santa Barbara)",20,2,,5.25,http://alexandria.sdc.ucsb.edu/~gjanee/archive/2004/strand-map-service.pdf,https://app.dimensions.ai/details/publication/pub.1024636900,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
6,100,pub.1038207390,10.1007/11551362_27,,,A Hybrid Declarative/Procedural Metadata Mapping Language Based on Python,Lecture Notes in Computer Science,Research and Advanced Technology for Digital Libraries,,2005,2005,3652,,302-313,"All OA; Green, Accepted & Submitted",Chapter,"Janée, Greg; Frew, James",,"Janée, Greg (University of California, Santa Barbara); Frew, James (University of California, Santa Barbara)",2,0,,0.87,http://fiesta.bren.ucsb.edu/~dozier/REASoN-pubs/Janee-Frew-2005.pdf,https://app.dimensions.ai/details/publication/pub.1038207390,"2004 Linguistics; 20 Language, Communication and Culture",2004 Linguistics,"20 Language, Communication and Culture",,,
7,100,pub.1013515612,10.1145/996350.996369,,,Accessing the alexandria digital library from geographic information systems,,Proceedings of the 2004 joint ACM/IEEE conference on Digital libraries  - JCDL '04,,2004,2004,,,74-75,"All OA; Green, Accepted & Submitted",Proceeding,"Ancona, D.; Frew, J.; Janée, G.; Valentine, D.",,"Ancona, D. (University of California, Santa Barbara); Frew, J. (University of California, Santa Barbara); Janée, G. (University of California, Santa Barbara); Valentine, D. (University of California, Santa Barbara)",2,0,,0.51,http://alexandria.sdc.ucsb.edu/~gjanee/archive/2004/gis-access.pdf,https://app.dimensions.ai/details/publication/pub.1013515612,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing; 0806 Information Systems,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,0806 Information Systems,,
8,100,pub.1095831605,10.1109/jcdl.2003.1204874,,,Content Access Characterization in Digital Libraries,,"2003 Joint Conference on Digital Libraries, 2003. Proceedings.",,2003,2003,,,261-262,"All OA; Green, Accepted & Submitted",Proceeding,"Janée, Greg; Frew, James; Valentine, David",,"Janée, Greg (); Frew, James (); Valentine, David ()",1,0,,0.24,http://alexandria.sdc.ucsb.edu/~gjanee/archive/2003/jcdl-access-paper.pdf,https://app.dimensions.ai/details/publication/pub.1095831605,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing; 0806 Information Systems,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,0806 Information Systems,,
9,100,pub.1045113908,10.1145/544220.544306,,,The ADEPT digital library architecture,,Proceedings of the second ACM/IEEE-CS joint conference on Digital libraries  - JCDL '02,,2002,2002,,,342-350,"All OA; Green, Accepted & Submitted",Proceeding,"Janée, Greg; Frew, James",,"Janée, Greg (University of California, Santa Barbara); Frew, James (University of California, Santa Barbara)",26,0,,6.43,http://alexandria.sdc.ucsb.edu/~gjanee/archive/2002/jcdl-adept.pdf,https://app.dimensions.ai/details/publication/pub.1045113908,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
10,100,pub.1022540244,10.1145/379437.379463,,,The Alexandria digital earth prototype,,Proceedings of the first ACM/IEEE-CS joint conference on Digital libraries  - JCDL '01,,2001,2001,,,118-119,Closed,Proceeding,"Smith, Terence R.; Janee, Greg; Frew, James; Coleman, Anita",,"Smith, Terence R. (University of California, Santa Barbara); Janee, Greg (University of California, Santa Barbara); Frew, James (University of California, Santa Barbara); Coleman, Anita (University of California, Santa Barbara)",16,0,,4.08,,https://app.dimensions.ai/details/publication/pub.1022540244,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
11,100,pub.1085145118,10.1007/pl00021470,,,The Alexandria Digital Library architecture,International Journal on Digital Libraries,,,2000-05,2000,2,4,259-268,Closed,Article,"Frew, J.; Freeston, M.; Freitas, N.; Hill, L.; Janée, G.; Lovette, K.; Nideffer, R.; Smith, T.; Zheng, Q.",,"Frew, J. (University of California, Santa Barbara); Freeston, M. (University of Aberdeen); Freitas, N. (University of California, Santa Barbara); Hill, L. (University of California, Santa Barbara); Janée, G. (University of California, Santa Barbara); Lovette, K. (University of California, Santa Barbara); Nideffer, R. (University of California, Irvine); Smith, T. (University of California, Santa Barbara); Zheng, Q. (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1085145118,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing; 0806 Information Systems,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,0806 Information Systems,,
12,100,pub.1015554295,10.1002/(sici)1097-4571(1999)50:13<1169::aid-asi3>3.0.co;2-3,,,Collection metadata solutions for digital library applications,Journal of the Association for Information Science and Technology,,,1999,1999,50,13,1169-1181,"All OA; Green, Accepted & Submitted",Article,"Hill, Linda L.; Janée, Greg; Dolin, Ron; Frew, James; Larsgaard, Mary",,"Hill, Linda L. (University of California, Santa Barbara); Janée, Greg (University of California, Santa Barbara); Dolin, Ron (University of California, Santa Barbara); Frew, James (University of California, Santa Barbara); Larsgaard, Mary (University of California, Santa Barbara)",36,0,,,http://dewey.yonsei.ac.kr/diglib/hill1999.pdf,https://app.dimensions.ai/details/publication/pub.1015554295,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
13,100,pub.1031846318,10.1007/3-540-49653-x_5,,,The Alexandria Digital Library Architecture,Lecture Notes in Computer Science,Research and Advanced Technology for Digital Libraries,,1998,1998,1513,,61-73,Closed,Chapter,"Frew, James; Freeston, Michael; Freitas, Nathan; Hill, Linda; Janee, Greg; Lovette, Kevin; Nideffer, Robert; Smith, Terence; Zheng, Qi",,"Frew, James (University of California, Santa Barbara); Freeston, Michael (University of California, Santa Barbara); Freitas, Nathan (University of California, Santa Barbara); Hill, Linda (University of California, Santa Barbara); Janee, Greg (University of California, Santa Barbara); Lovette, Kevin (University of California, Santa Barbara); Nideffer, Robert (University of California, Irvine); Smith, Terence (University of California, Santa Barbara); Zheng, Qi (University of California, Santa Barbara)",12,1,,,,https://app.dimensions.ai/details/publication/pub.1031846318,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing; 0806 Information Systems,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,0806 Information Systems,,
