,"""About the data: Exported on Oct 31, 2019. Criteria: Researcher is Gretchen E Hofmann. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,200,pub.1113447624,10.1525/9780520961807-007,,,CHAPTER 5. Shifts in Marine Biogeographic Ranges,,Biodiversity in a Changing Climate,,2019-12-31,2019,,,61-74,Closed,Chapter,"Osovitz, Christopher J.; Hofmann, Gretchen E.",,"Osovitz, Christopher J. (); Hofmann, Gretchen E. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1113447624,,,,,,
2,100,pub.1116185788,10.1016/j.jembe.2019.03.002,,,"Parental environments alter DNA methylation in offspring of the purple sea urchin, Strongylocentrotus purpuratus",Journal of Experimental Marine Biology and Ecology,,,2019-08,2019,517,,54-64,Closed,Article,"Strader, M.E.; Wong, J.M.; Kozal, L.C.; Leach, T.S.; Hofmann, G.E.","Strader, M.E.","Strader, M.E. (University of California, Santa Barbara); Wong, J.M. (University of California, Santa Barbara); Kozal, L.C. (University of California, Santa Barbara); Leach, T.S. (University of California, Santa Barbara); Hofmann, G.E. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1116185788,0604 Genetics; 0602 Ecology; 06 Biological Sciences,0604 Genetics,0602 Ecology,06 Biological Sciences,,
3,100,pub.1113835711,10.1016/j.jembe.2019.04.006,,,Transgenerational effects in an ecological context: Conditioning of adult sea urchins to upwelling conditions alters maternal provisioning and progeny phenotype,Journal of Experimental Marine Biology and Ecology,,,2019-08,2019,517,,65-77,Closed,Article,"Wong, Juliet M.; Kozal, Logan C.; Leach, Terence S.; Hoshijima, Umihiko; Hofmann, Gretchen E.","Wong, Juliet M.","Wong, Juliet M. (University of California, Santa Barbara); Kozal, Logan C. (University of California, Santa Barbara); Leach, Terence S. (University of California, Santa Barbara); Hoshijima, Umihiko (University of California, Santa Barbara; University of California, Santa Cruz); Hofmann, Gretchen E. (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1113835711,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
4,500,pub.1117299156,10.1016/j.margen.2019.05.007,31227413,,Transcriptional profiles of early stage red sea urchins (Mesocentrotus franciscanus) reveal differential regulation of gene expression across development,Marine Genomics,,,2019-06,2019,,,,Closed,Article,"Wong, Juliet M.; Gaitán-Espitia, Juan D.; Hofmann, Gretchen E.","Wong, Juliet M.","Wong, Juliet M. (University of California, Santa Barbara); Gaitán-Espitia, Juan D. (University of Hong Kong); Hofmann, Gretchen E. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1117299156,0604 Genetics; 0602 Ecology; 06 Biological Sciences,0604 Genetics,0602 Ecology,06 Biological Sciences,,
5,100,pub.1112756009,10.3389/fmars.2019.00062,,,"Variability of Seawater Chemistry in a Kelp Forest Environment Is Linked to in situ Transgenerational Effects in the Purple Sea Urchin, Strongylocentrotus purpuratus",Frontiers in Marine Science,,,2019-03-14,2019,6,,62,All OA; Gold,Article,"Hoshijima, Umihiko; Hofmann, Gretchen E.",,"Hoshijima, Umihiko (); Hofmann, Gretchen E. ()",4,4,,,https://www.frontiersin.org/articles/10.3389/fmars.2019.00062/pdf,https://app.dimensions.ai/details/publication/pub.1112756009,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
6,500,pub.1107708094,10.1016/j.marenvres.2018.10.006,30448238,,"Seasonal transcriptomes of the Antarctic pteropod, Limacina helicina antarctica",Marine Environmental Research,,,2019-01,2019,143,Comp. Biochem. Physiol. Mol. Integr. Physiol. 138 4 2004,49-59,Closed,Article,"Johnson, Kevin M.; Wong, Juliet M.; Hoshijima, Umihiko; Sugano, Cailan S.; Hofmann, Gretchen E.","Johnson, Kevin M.","Johnson, Kevin M. (University of California, Santa Barbara; Louisiana State University); Wong, Juliet M. (University of California, Santa Barbara); Hoshijima, Umihiko (University of California, Santa Barbara); Sugano, Cailan S. (University of California, Santa Barbara; University of California, San Diego); Hofmann, Gretchen E. (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1107708094,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
7,100,pub.1104281639,10.3389/fmars.2018.00186,,,Host and Symbionts in Pocillopora damicornis Larvae Display Different Transcriptomic Responses to Ocean Acidification and Warming,Frontiers in Marine Science,,,2018-05-30,2018,5,,186,All OA; Gold,Article,"Rivest, Emily B.; Kelly, Morgan W.; DeBiasse, Melissa B.; Hofmann, Gretchen E.",,"Rivest, Emily B. (William & Mary; University of California, Santa Barbara); Kelly, Morgan W. (Louisiana State University); DeBiasse, Melissa B. (University of Florida); Hofmann, Gretchen E. (University of California, Santa Barbara)",2,2,,,https://www.frontiersin.org/articles/10.3389/fmars.2018.00186/pdf,https://app.dimensions.ai/details/publication/pub.1104281639,0604 Genetics; 0602 Ecology; 06 Biological Sciences; 0608 Zoology,0604 Genetics,0602 Ecology,06 Biological Sciences,0608 Zoology,
8,500,pub.1100861582,10.1111/mec.14503,29411447,,Transcriptomics reveal transgenerational effects in purple sea urchin embryos: Adult acclimation to upwelling conditions alters the response of their progeny to differential pCO2 levels,Molecular Ecology,,"Acclimatization; Animals; Carbon Dioxide; Climate Change; Cold Temperature; Female; Gene Expression Profiling; Gene Expression Regulation, Developmental; Maternal Exposure; Strongylocentrotus purpuratus",2018-03,2018,27,5,1120-1137,Closed,Article,"Wong, Juliet M.; Johnson, Kevin M.; Kelly, Morgan W.; Hofmann, Gretchen E.",,"Wong, Juliet M. (); Johnson, Kevin M. (Louisiana State University); Kelly, Morgan W. (Louisiana State University); Hofmann, Gretchen E. ()",10,10,,,,https://app.dimensions.ai/details/publication/pub.1100861582,06 Biological Sciences,06 Biological Sciences,,,,
9,500,pub.1092310828,10.1186/s12864-017-4161-0,29061120,PMC5653985,Transcriptomic response of the Antarctic pteropod Limacina helicina antarctica to ocean acidification,BMC Genomics,,Acids; Animals; Antarctic Regions; Carbon Dioxide; Gastropoda; Gene Expression Profiling; Hydrogen-Ion Concentration; Oceans and Seas; Oxygen; Transcriptome,2017-12,2017,18,1,812,All OA; Gold,Article,"Johnson, Kevin M.; Hofmann, Gretchen E.","Hofmann, Gretchen E.","Johnson, Kevin M. (University of California, Santa Barbara; Louisiana State University); Hofmann, Gretchen E. (University of California, Santa Barbara)",7,6,0.89,2.1,https://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-017-4161-0,https://app.dimensions.ai/details/publication/pub.1092310828,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
