,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Halley E Froehlich. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1112602617,10.1016/j.marpol.2019.02.054,,,"Governance of marine aquaculture: Pitfalls, potential, and pathways forward",Marine Policy,,,2019-06,2019,104,Science 327 80- 2010,29-36,Closed,Article,"Davies, Ian P.; Carranza, Valerie; Froehlich, Halley E.; Gentry, Rebecca R.; Kareiva, Peter; Halpern, Benjamin S.","Davies, Ian P.","Davies, Ian P. (University of Washington); Carranza, Valerie (University of California, Riverside); Froehlich, Halley E. (University of California, Santa Barbara); Gentry, Rebecca R. (Florida State University); Kareiva, Peter (University of California Los Angeles); Halpern, Benjamin S. (University of California, Santa Barbara)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1112602617,1801 Law; 1606 Political Science; 16 Studies in Human Society; 18 Law and Legal Studies; 05 Environmental Sciences; 0502 Environmental Science and Management,1801 Law,1606 Political Science,16 Studies in Human Society,18 Law and Legal Studies,05 Environmental Sciences
2,200,pub.1114055588,10.1073/pnas.1905650116,31068476,PMC6511020,"Opinion: To create sustainable seafood industries, the United States needs a better accounting of imports and exports",Proceedings of the National Academy of Sciences,,,2019-05-07,2019,116,19,9142-9146,All OA; Gold,Article,"Gephart, Jessica A.; Froehlich, Halley E.; Branch, Trevor A.",,"Gephart, Jessica A. (National Socio-Environmental Synthesis Center); Froehlich, Halley E. (University of California System); Branch, Trevor A. (University of Washington)",4,4,,,https://www.pnas.org/content/pnas/116/19/9142.full.pdf,https://app.dimensions.ai/details/publication/pub.1114055588,,,,,,
3,100,pub.1111953187,10.1111/faf.12351,,,Interactions and management for the future of marine aquaculture and capture fisheries,Fish and Fisheries,,,2019-03,2019,20,2,368-388,Closed,Article,"Clavelle, Tyler; Lester, Sarah E.; Gentry, Rebecca; Froehlich, Halley E.",,"Clavelle, Tyler (University of California, Santa Barbara); Lester, Sarah E. (Florida State University); Gentry, Rebecca (Florida State University); Froehlich, Halley E. (University of California, Santa Barbara)",3,3,,,,https://app.dimensions.ai/details/publication/pub.1111953187,0704 Fisheries Sciences; 0602 Ecology; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0704 Fisheries Sciences,0602 Ecology,06 Biological Sciences,07 Agricultural and Veterinary Sciences,
4,100,pub.1111410516,10.1111/faf.12346,,,Quantifying uncertainty in the wild‐caught fisheries goal of the Ocean Health Index,Fish and Fisheries,,,2019-03,2019,20,2,343-354,Closed,Article,"Afflerbach, Jamie C.; Frazier, Melanie; Froehlich, Halley E.; Anderson, Sean C.; Halpern, Benjamin S.",,"Afflerbach, Jamie C. (University of California, Santa Barbara); Frazier, Melanie (University of California, Santa Barbara); Froehlich, Halley E. (University of California, Santa Barbara); Anderson, Sean C. (Fisheries and Oceans Canada); Halpern, Benjamin S. (University of California, Santa Barbara; Imperial College London)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1111410516,0704 Fisheries Sciences; 0602 Ecology; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0704 Fisheries Sciences,0602 Ecology,06 Biological Sciences,07 Agricultural and Veterinary Sciences,
5,500,pub.1106905206,10.1038/s41559-018-0669-1,30201967,,Global change in marine aquaculture production potential under climate change,Nature Ecology & Evolution,,"Animals; Aquaculture; Bivalvia; Climate Change; Fishes; Global Warming; Models, Biological; Oceans and Seas; Seawater",2018-11,2018,2,11,1745-1750,Closed,Article,"Froehlich, Halley E.; Gentry, Rebecca R.; Halpern, Benjamin S.","Froehlich, Halley E.","Froehlich, Halley E. (University of California, Santa Barbara); Gentry, Rebecca R. (University of California, Santa Barbara); Halpern, Benjamin S. (University of California, Santa Barbara; Imperial College London)",7,7,,,,https://app.dimensions.ai/details/publication/pub.1106905206,0602 Ecology; 0405 Oceanography; 0699 Other Biological Sciences; 0704 Fisheries Sciences; 04 Earth Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0602 Ecology,0405 Oceanography,0699 Other Biological Sciences,0704 Fisheries Sciences,04 Earth Sciences
6,100,pub.1104438495,10.1038/s41893-018-0077-1,,,Avoiding the ecological limits of forage fish for fed aquaculture,Nature Sustainability,,,2018-06,2018,1,6,298-303,Closed,Article,"Froehlich, Halley E.; Jacobsen, Nis Sand; Essington, Timothy E.; Clavelle, Tyler; Halpern, Benjamin S.","Froehlich, Halley E.","Froehlich, Halley E. (University of California, Santa Barbara); Jacobsen, Nis Sand (University of Washington); Essington, Timothy E. (University of Washington); Clavelle, Tyler (University of California, Santa Barbara); Halpern, Benjamin S. (University of California, Santa Barbara; Imperial College London)",15,15,,,,https://app.dimensions.ai/details/publication/pub.1104438495,0602 Ecology; 0502 Environmental Science and Management; 0704 Fisheries Sciences; 05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0602 Ecology,0502 Environmental Science and Management,0704 Fisheries Sciences,05 Environmental Sciences,06 Biological Sciences
7,500,pub.1103687448,10.1073/pnas.1801692115,29712823,PMC5960322,Comparative terrestrial feed and land use of an aquaculture-dominant world,Proceedings of the National Academy of Sciences,,"Animal Feed; Animals; Aquaculture; Conservation of Natural Resources; Crops, Agricultural; Diet; Farms; Food Supply; Global Health; Humans; Seafood",2018-05-15,2018,115,20,201801692,All OA; Gold,Article,"Froehlich, Halley E.; Runge, Claire A.; Gentry, Rebecca R.; Gaines, Steven D.; Halpern, Benjamin S.",,"Froehlich, Halley E. (University of California, Santa Barbara); Runge, Claire A. (University of California, Santa Barbara; The Arctic University of Norway); Gentry, Rebecca R. (University of California, Santa Barbara); Gaines, Steven D. (University of California, Santa Barbara); Halpern, Benjamin S. (University of California, Santa Barbara)",21,21,,,https://www.pnas.org/content/pnas/115/20/5295.full.pdf,https://app.dimensions.ai/details/publication/pub.1103687448,0704 Fisheries Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management; 07 Agricultural and Veterinary Sciences,0704 Fisheries Sciences,05 Environmental Sciences,0502 Environmental Science and Management,07 Agricultural and Veterinary Sciences,
8,100,pub.1101838279,10.3389/fmars.2018.00106,,,Predator in the Pool? A Quantitative Evaluation of Non-indexed Open Access Journals in Aquaculture Research,Frontiers in Marine Science,,,2018-03-29,2018,5,,106,All OA; Gold,Article,"Clements, Jeff C.; Daigle, Rémi M.; Froehlich, Halley E.",,"Clements, Jeff C. (Fisheries and Oceans Canada); Daigle, Rémi M. (Laval University); Froehlich, Halley E. (University of California, Santa Barbara)",0,0,,,https://www.frontiersin.org/articles/10.3389/fmars.2018.00106/pdf,https://app.dimensions.ai/details/publication/pub.1101838279,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
9,100,pub.1091888334,10.1016/j.ecolind.2017.09.028,,,The need for validation of ecological indices,Ecological Indicators,,,2018-01,2018,84,Clinical infectious diseases 47 2008,546-552,Closed,Article,"Moriarty, P.E.; Hodgson, E.E.; Froehlich, H.E.; Hennessey, S.M.; Marshall, K.N.; Oken, K.L.; Siple, M.C.; Ko, S.; Koehn, L.E.; Pierce, B.D.; Stawitz, C.C.","Moriarty, P.E.","Moriarty, P.E. (); Hodgson, E.E. (); Froehlich, H.E. (University of California, Santa Barbara); Hennessey, S.M. (Oregon State University); Marshall, K.N. (); Oken, K.L. (Rutgers, The State University of New Jersey); Siple, M.C. (); Ko, S. (Rutgers, The State University of New Jersey); Koehn, L.E. (); Pierce, B.D. (); Stawitz, C.C. ()",3,3,,,,https://app.dimensions.ai/details/publication/pub.1091888334,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
