,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Helen Couclelis. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1116643391,10.1007/978-3-030-16829-2_1,,,"Unpacking the “I” in GIS: Information, Ontology, and the Geographic World",Springer Geography,The Philosophy of GIS,,2019,2019,,,3-24,Closed,Chapter,"Couclelis, Helen","Couclelis, Helen","Couclelis, Helen (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1116643391,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
2,100,pub.1086139469,10.1111/tgis.12289,,,Extracting urban functional regions from points of interest and human activities on location‐based social networks,Transactions in GIS,,,2017-06,2017,21,3,446-467,Closed,Article,"Gao, Song; Janowicz, Krzysztof; Couclelis, Helen",,"Gao, Song (); Janowicz, Krzysztof (); Couclelis, Helen ()",42,41,,33.44,,https://app.dimensions.ai/details/publication/pub.1086139469,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
3,100,pub.1002968903,10.1111/gean.12117,,,Prioritizing Disaster Mapping Tasks for Online Volunteers Based on Information Value Theory,Geographical Analysis,,,2017-04,2017,49,2,175-198,Closed,Article,"Hu, Yingjie; Janowicz, Krzysztof; Couclelis, Helen",,"Hu, Yingjie (University of Tennessee at Knoxville); Janowicz, Krzysztof (University of California, Santa Barbara); Couclelis, Helen (University of California, Santa Barbara)",7,6,,3.08,,https://app.dimensions.ai/details/publication/pub.1002968903,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
4,100,pub.1087290962,10.1002/9781118786352.wbieg0680,,,Ontology: Theoretical Perspectives,,"International Encyclopedia of Geography: People, the Earth, Environment and Technology",,2017-03-06,2017,,,1-11,Closed,Chapter,"Couclelis, Helen",,"Couclelis, Helen (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1087290962,2203 Philosophy; 22 Philosophy and Religious Studies,2203 Philosophy,22 Philosophy and Religious Studies,,,
5,100,pub.1029035618,10.1007/978-3-319-08299-8_18,,,Geodesigning ‘From the Inside Out’,The GeoJournal Library,Geodesign by Integrating Design and Geospatial Sciences,,2014,2014,111,,287-298,Closed,Chapter,"Currier, Kitty; Couclelis, Helen","Currier, Kitty","Currier, Kitty (University of California, Santa Barbara); Couclelis, Helen (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1029035618,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
6,200,pub.1041732274,10.1111/j.1467-9787.2011.00757_1.x,,,"Triumph of the City: How Our Greatest Invention Makes Us Richer, Smarter, Greener, Healthier, and Happier, by Edward Glaeser",Journal of Regional Science,,,2012-02,2012,52,1,153-154,Closed,Article,"Couclelis, Helen",,"Couclelis, Helen (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1041732274,12 Built Environment and Design; 14 Economics; 16 Studies in Human Society; 1604 Human Geography; 1402 Applied Economics; 1205 Urban and Regional Planning,12 Built Environment and Design,14 Economics,16 Studies in Human Society,1604 Human Geography,1402 Applied Economics
7,100,pub.1034139059,10.1007/978-94-007-1822-7_2,,,Lumos Models from an International Perspective,The GeoJournal Library,Land-Use Modelling in Planning Practice,,2011,2011,101,,23-34,Closed,Chapter,"Timmermans, Harry; Batty, Michael; Couclelis, Helen; Wegener, Michael","Timmermans, Harry","Timmermans, Harry (Eindhoven University of Technology); Batty, Michael (University College London); Couclelis, Helen (University of California, Santa Barbara); Wegener, Michael (Spiekermann and Wegener)",1,0,,0.41,,https://app.dimensions.ai/details/publication/pub.1034139059,"1501 Accounting, Auditing and Accountability; 15 Commerce, Management, Tourism and Services","1501 Accounting, Auditing and Accountability","15 Commerce, Management, Tourism and Services",,,
8,100,pub.1058155012,10.1068/a4151,,,Rethinking Time Geography in the Information Age,Environment and Planning A Economy and Space,,,2009-07,2009,41,7,1556-1575,Closed,Article,"Couclelis, Helen",,"Couclelis, Helen (University of California, Santa Barbara)",62,16,,17.63,,https://app.dimensions.ai/details/publication/pub.1058155012,16 Studies in Human Society; 1604 Human Geography,16 Studies in Human Society,1604 Human Geography,,,
9,100,pub.1009766248,10.1016/j.jtrangeo.2008.11.011,,,"Throwing space back in: a tale of Indian fishermen, ICT and travel behavior",Journal of Transport Geography,,,2009-03,2009,17,2,134-140,Closed,Article,"Foss, Suzanne; Couclelis, Helen","Foss, Suzanne","Foss, Suzanne (University of California, Santa Barbara); Couclelis, Helen (University of California, Santa Barbara)",12,2,,2.26,,https://app.dimensions.ai/details/publication/pub.1009766248,"12 Built Environment and Design; 15 Commerce, Management, Tourism and Services; 16 Studies in Human Society; 1604 Human Geography; 1507 Transportation and Freight Services; 1205 Urban and Regional Planning",12 Built Environment and Design,"15 Commerce, Management, Tourism and Services",16 Studies in Human Society,1604 Human Geography,1507 Transportation and Freight Services
10,100,pub.1051250505,10.1007/978-3-642-01554-0_6,,,Polyplexity,Advances in Spatial Science,Complexity and Spatial Networks,,2009,2009,,,75-88,Closed,Chapter,"Couclelis, Helen","Couclelis, Helen","Couclelis, Helen (University of California, Santa Barbara)",1,0,,0.73,,https://app.dimensions.ai/details/publication/pub.1051250505,2203 Philosophy; 22 Philosophy and Religious Studies,2203 Philosophy,22 Philosophy and Religious Studies,,,
11,100,pub.1025728772,10.1016/b978-008044910-4.00669-6,,,Computational Human Geography,,International Encyclopedia of Human Geography,,2009,2009,,Social Science Computer Review202002,245-250,Closed,Chapter,"Couclelis, H.",,"Couclelis, H. (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1025728772,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing; 0806 Information Systems; 0802 Computation Theory and Mathematics,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,0806 Information Systems,0802 Computation Theory and Mathematics,
12,100,pub.1022872124,10.1007/978-3-642-03832-7_21,,,The Abduction of Geographic Information Science: Transporting Spatial Reasoning to the Realm of Purpose and Design,Lecture Notes in Computer Science,Spatial Information Theory,,2009,2009,5756,,342-356,Closed,Chapter,"Couclelis, Helen",,"Couclelis, Helen (University of California, Santa Barbara)",13,1,,2.36,,https://app.dimensions.ai/details/publication/pub.1022872124,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
13,100,pub.1016771435,10.1007/978-3-540-88244-2_1,,,"Ontology, Epistemology, Teleology: Triangulating Geographic Information Science",Lecture Notes in Geoinformation and Cartography,Research Trends in Geographic Information Science,,2009,2009,,,3-15,Closed,Chapter,"Couclelis, Helen","Couclelis, Helen","Couclelis, Helen (University of California, Santa Barbara)",9,4,,6.6,,https://app.dimensions.ai/details/publication/pub.1016771435,2203 Philosophy; 22 Philosophy and Religious Studies,2203 Philosophy,22 Philosophy and Religious Studies,,,
14,200,pub.1024260408,10.1111/j.1435-5957.2006.00077_1.x,,,"Cities and Complexity: Understanding Cities with Cellular Automata, Agent‐Based Models, and Fractals – Michael Batty",Papers in Regional Science,,,2006-08,2006,85,3,471-473,Closed,Article,"Couclelis, Helen",,"Couclelis, Helen (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1024260408,12 Built Environment and Design; 14 Economics; 16 Studies in Human Society; 1604 Human Geography; 1402 Applied Economics; 1205 Urban and Regional Planning,12 Built Environment and Design,14 Economics,16 Studies in Human Society,1604 Human Geography,1402 Applied Economics
15,100,pub.1058154682,10.1068/a3785,,,“Where has the Future Gone?” Rethinking the Role of Integrated Land-Use Models in Spatial Planning,Environment and Planning A Economy and Space,,,2005-08,2005,37,8,1353-1371,Closed,Article,"Couclelis, Helen",,"Couclelis, Helen (University of California, Santa Barbara)",124,16,,32.48,,https://app.dimensions.ai/details/publication/pub.1058154682,12 Built Environment and Design; 14 Economics; 16 Studies in Human Society; 1604 Human Geography; 1402 Applied Economics; 1205 Urban and Regional Planning,12 Built Environment and Design,14 Economics,16 Studies in Human Society,1604 Human Geography,1402 Applied Economics
16,100,pub.1038539019,10.1016/j.compenvurbsys.2003.12.001,,,The role of spatial metrics in the analysis and modeling of urban land use change,Computers Environment and Urban Systems,,,2005-07,2005,29,4,369-399,Closed,Article,"Herold, Martin; Couclelis, Helen; Clarke, Keith C.","Herold, Martin","Herold, Martin (University of California, Santa Barbara); Couclelis, Helen (University of California, Santa Barbara); Clarke, Keith C. (University of California, Santa Barbara)",310,60,,50.17,,https://app.dimensions.ai/details/publication/pub.1038539019,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
17,100,pub.1036974381,10.1007/11556114_20,,,A Linguistics-Based Framework for Modeling Spatio-temporal Occurrences and Purposive Change,Lecture Notes in Computer Science,Spatial Information Theory,,2005,2005,3693,,316-329,Closed,Chapter,"Howarth, Jeff T.; Couclelis, Helen",,"Howarth, Jeff T. (University of California, Santa Barbara); Couclelis, Helen (University of California, Santa Barbara)",4,1,,1.73,,https://app.dimensions.ai/details/publication/pub.1036974381,"2004 Linguistics; 20 Language, Communication and Culture",2004 Linguistics,"20 Language, Communication and Culture",,,
18,100,pub.1002486447,10.1068/b1299,,,The Construction of the Digital City,Environment and Planning B Urban Analytics and City Science,,,2004-02,2004,31,1,5-19,Closed,Article,"Couclelis, Helen",,"Couclelis, Helen (University of California, Santa Barbara)",34,10,,8.82,,https://app.dimensions.ai/details/publication/pub.1002486447,1201 Architecture; 1203 Design Practice and Management; 12 Built Environment and Design; 1205 Urban and Regional Planning,1201 Architecture,1203 Design Practice and Management,12 Built Environment and Design,1205 Urban and Regional Planning,
19,100,pub.1036075188,10.1007/978-3-662-04027-0_20,,,From Sustainable Transportation to Sustainable Accessibility: Can We Avoid a New Tragedy of the Commons?,Advances in Spatial Science,"Information, Place, and Cyberspace",,2000,2000,,,341-356,Closed,Chapter,"Couclelis, Helen",,"Couclelis, Helen (University of California, Santa Barbara)",80,11,,24.66,,https://app.dimensions.ai/details/publication/pub.1036075188,16 Studies in Human Society; 1604 Human Geography,16 Studies in Human Society,1604 Human Geography,,,
20,100,pub.1023842272,10.1007/978-3-662-04027-0_2,,,Conceptualizing and Measuring Accessibility within Physical and Virtual Spaces,Advances in Spatial Science,"Information, Place, and Cyberspace",,2000,2000,,,15-20,Closed,Chapter,"Couclelis, Helen; Getis, Arthur",,"Couclelis, Helen (University of California, Santa Barbara); Getis, Arthur (San Diego State University)",19,1,,5.86,,https://app.dimensions.ai/details/publication/pub.1023842272,16 Studies in Human Society; 1604 Human Geography,16 Studies in Human Society,1604 Human Geography,,,
21,200,pub.1091358503,10.1177/239980839802500708,,,Geocomputation and Space,Environment and Planning B Urban Analytics and City Science,,,1998-12,1998,25,7,41-47,Closed,Article,"Couclelis, H",,"Couclelis, H (University of California, Santa Barbara)",15,1,,,,https://app.dimensions.ai/details/publication/pub.1091358503,1201 Architecture; 1203 Design Practice and Management; 12 Built Environment and Design; 1205 Urban and Regional Planning,1201 Architecture,1203 Design Practice and Management,12 Built Environment and Design,1205 Urban and Regional Planning,
22,200,pub.1053817356,10.1177/030913259802200327,,,Book Review: Artificial intelligence in geography,Progress in Human Geography,,,1998-06,1998,22,3,467-468,Closed,Article,"Couclelis, Helen",,"Couclelis, Helen (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1053817356,"16 Studies in Human Society; 2002 Cultural Studies; 1604 Human Geography; 20 Language, Communication and Culture",16 Studies in Human Society,2002 Cultural Studies,1604 Human Geography,"20 Language, Communication and Culture",
23,200,pub.1058156722,10.1068/b240159,,,Urban Systems as Cellular Automata,Environment and Planning B Urban Analytics and City Science,,,1997-04,1997,24,2,159-164,Closed,Article,"Batty, M; Couclelis, H; Eichen, M",,"Batty, M (University College London); Couclelis, H (University of California, Santa Barbara); Eichen, M (City University of New York)",110,21,,,,https://app.dimensions.ai/details/publication/pub.1058156722,1201 Architecture; 1203 Design Practice and Management; 12 Built Environment and Design; 1205 Urban and Regional Planning,1201 Architecture,1203 Design Practice and Management,12 Built Environment and Design,1205 Urban and Regional Planning,
