,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Hillary S Young. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,500,pub.1117979518,10.1016/j.scitotenv.2019.07.147,31325863,,Tropical seabirds sample broadscale patterns of marine contaminants,The Science of The Total Environment,,Animals; Birds; Environmental Monitoring; Environmental Pollutants; Environmental Pollution; Mercury,2019-11,2019,691,,631-643,Closed,Article,"Gilmour, M.E.; Hudson, S.A. Trefry; Lamborg, C.; Fleishman, A.B.; Young, H.S.; Shaffer, S.A.","Gilmour, M.E.","Gilmour, M.E. (University of California, Santa Cruz); Hudson, S.A. Trefry (University of New Brunswick); Lamborg, C. (University of California, Santa Cruz); Fleishman, A.B. (San Jose State University); Young, H.S. (University of California, Santa Barbara); Shaffer, S.A. (San Jose State University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1117979518,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
2,500,pub.1118006773,10.1002/eap.1973,31306541,,Effects of land‐use change on community diversity and composition are highly variable among functional groups,Ecological Applications,,Agriculture; Animals; Biodiversity; Ecosystem; Phylogeny; Plants,2019-10,2019,29,7,e01973,Closed,Article,"Graham, Stuart I.; Kinnaird, Margaret F.; O'Brien, Timothy G.; Vågen, Tor‐G; Winowiecki, Leigh A.; Young, Truman P.; Young, Hillary S.",,"Graham, Stuart I. (University of California, Santa Barbara); Kinnaird, Margaret F. (); O'Brien, Timothy G. (Wildlife Conservation Society); Vågen, Tor‐G (World Agroforestry Centre); Winowiecki, Leigh A. (World Agroforestry Centre); Young, Truman P. (University of California, Davis); Young, Hillary S. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1118006773,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
3,500,pub.1112872021,10.1007/s00248-019-01352-4,30891612,,Microbial Ecology of the Western Gull (Larus occidentalis),Microbial Ecology,,,2019-10,2019,78,3,665-676,Closed,Article,"Cockerham, Susan; Lee, Becky; Orben, Rachael A.; Suryan, Robert M.; Torres, Leigh G.; Warzybok, Pete; Bradley, Russell; Jahncke, Jaime; Young, Hillary S.; Ouverney, Cleber; Shaffer, Scott A.","Cockerham, Susan","Cockerham, Susan (San Jose State University); Lee, Becky (San Jose State University); Orben, Rachael A. (Oregon State University); Suryan, Robert M. (Oregon State University); Torres, Leigh G. (Oregon State University); Warzybok, Pete (Point Blue Conservation Science); Bradley, Russell (Point Blue Conservation Science); Jahncke, Jaime (Point Blue Conservation Science); Young, Hillary S. (University of California, Santa Barbara); Ouverney, Cleber (San Jose State University); Shaffer, Scott A. (San Jose State University; University of California, Santa Cruz)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1112872021,0605 Microbiology; 0604 Genetics; 06 Biological Sciences,0605 Microbiology,0604 Genetics,06 Biological Sciences,,
4,100,pub.1114642048,10.1111/1365-2435.13376,,,"Synthesizing the effects of large, wild herbivore exclusion on ecosystem function",Functional Ecology,,,2019-09,2019,33,9,1597-1610,All OA; Gold,Article,"Forbes, Elizabeth S.; Cushman, J. Hall; Burkepile, Deron E.; Young, Truman P.; Klope, Maggie; Young, Hillary S.",,"Forbes, Elizabeth S. (University of California, Santa Barbara); Cushman, J. Hall (University of Nevada Reno); Burkepile, Deron E. (University of California, Santa Barbara); Young, Truman P. (University of California, Davis); Klope, Maggie (University of California, Santa Barbara); Young, Hillary S. (University of California, Santa Barbara)",1,1,,,https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/1365-2435.13376,https://app.dimensions.ai/details/publication/pub.1114642048,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
5,100,pub.1113483864,10.3389/fevo.2019.00126,,,High-Throughput Sequencing for Understanding the Ecology of Emerging Infectious Diseases at the Wildlife-Human Interface,Frontiers in Ecology and Evolution,,,2019-04-16,2019,7,,126,All OA; Gold,Article,"Titcomb, Georgia C.; Jerde, Christopher L.; Young, Hillary S.",,"Titcomb, Georgia C. (University of California, Santa Barbara); Jerde, Christopher L. (University of California, Santa Barbara); Young, Hillary S. (University of California, Santa Barbara)",1,1,,,https://www.frontiersin.org/articles/10.3389/fevo.2019.00126/pdf,https://app.dimensions.ai/details/publication/pub.1113483864,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
6,100,pub.1112519652,10.1007/s00338-019-01781-0,,,"Chemistry of the consumption and excretion of the bumphead parrotfish (Bolbometopon muricatum), a coral reef mega-consumer",Coral Reefs,,,2019-04,2019,38,2,347-357,Closed,Article,"Goldberg, E. Grace; Raab, Ted K.; Desalles, Paul; Briggs, Amy A.; Dunbar, Robert B.; Millero, Frank J.; Woosley, Ryan J.; Young, Hillary S.; Micheli, Fiorenza; Mccauley, Douglas J.","Goldberg, E. Grace","Goldberg, E. Grace (Stanford University); Raab, Ted K. (Department of Plant Biology); Desalles, Paul (University of California, Santa Barbara); Briggs, Amy A. (University of Georgia); Dunbar, Robert B. (Stanford University); Millero, Frank J. (University of Miami); Woosley, Ryan J. (University of Miami); Young, Hillary S. (University of California, Santa Barbara); Micheli, Fiorenza (Stanford University); Mccauley, Douglas J. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1112519652,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
7,500,pub.1107730064,10.1007/s11356-018-3218-1,30341753,,Effects of road proximity on heavy metal concentrations in soils and common roadside plants in Southern California,Environmental Science and Pollution Research,,"Cadmium; California; Dust; Environmental Monitoring; Metals, Heavy; Motor Vehicles; Nickel; Plants; Soil; Soil Pollutants; Vehicle Emissions; Zinc",2018-12,2018,25,35,35257-35265,Closed,Article,"Khalid, Noreen; Hussain, Mumtaz; Young, Hillary S.; Boyce, Benjamin; Aqeel, Muhammad; Noman, Ali","Young, Hillary S.","Khalid, Noreen (University of California, Santa Barbara); Hussain, Mumtaz (University of Agriculture Faisalabad); Young, Hillary S. (University of California, Santa Barbara); Boyce, Benjamin (University of California, Santa Barbara); Aqeel, Muhammad (Lanzhou University); Noman, Ali (Government College University, Faisalabad)",5,5,,,,https://app.dimensions.ai/details/publication/pub.1107730064,0607 Plant Biology; 0503 Soil Sciences; 05 Environmental Sciences; 06 Biological Sciences,0607 Plant Biology,0503 Soil Sciences,05 Environmental Sciences,06 Biological Sciences,
8,500,pub.1103949915,10.1111/nyas.13848,29752729,,"Conservation lessons from large‐mammal manipulations in East African savannas: the KLEE, UHURU, and GLADE experiments",Annals of the New York Academy of Sciences,,"Africa, Eastern; Animals; Animals, Wild; Conservation of Natural Resources; Ecosystem; Grassland; Herbivory; Mammals; Symbiosis",2018-10,2018,1429,1,31-49,"All OA; Green, Published",Article,"Goheen, Jacob R.; Augustine, David J.; Veblen, Kari E.; Kimuyu, Duncan M.; Palmer, Todd M.; Porensky, Lauren M.; Pringle, Robert M.; Ratnam, Jayashree; Riginos, Corinna; Sankaran, Mahesh; Ford, Adam T.; Hassan, Abdikadir A.; Jakopak, Rhiannon; Kartzinel, Tyler R.; Kurukura, Samson; Louthan, Allison M.; Odadi, Wilfred O.; Otieno, Tobias O.; Wambua, Alois M.; Young, Hillary S.; Young, Truman P.",,"Goheen, Jacob R. (University of Wyoming; Mpala Research Center and Wildlife Foundation); Augustine, David J. (); Veblen, Kari E. (Utah State University); Kimuyu, Duncan M. (Utah State University; Mpala Research Center and Wildlife Foundation); Palmer, Todd M. (University of Florida; Mpala Research Center and Wildlife Foundation); Porensky, Lauren M. (); Pringle, Robert M. (Princeton University; Mpala Research Center and Wildlife Foundation); Ratnam, Jayashree (Tata Institute of Fundamental Research); Riginos, Corinna (The Nature Conservancy); Sankaran, Mahesh (Tata Institute of Fundamental Research; University of Leeds); Ford, Adam T. (University of British Columbia); Hassan, Abdikadir A. (Mpala Research Center and Wildlife Foundation); Jakopak, Rhiannon (University of Wyoming); Kartzinel, Tyler R. (Brown University); Kurukura, Samson (Mpala Research Center and Wildlife Foundation); Louthan, Allison M. (Duke University); Odadi, Wilfred O. (Egerton University; Mpala Research Center and Wildlife Foundation); Otieno, Tobias O. (); Wambua, Alois M. (Utah State University; Mpala Research Center and Wildlife Foundation); Young, Hillary S. (University of California, Santa Barbara); Young, Truman P. (University of California, Davis; Mpala Research Center and Wildlife Foundation)",7,7,,,http://eprints.whiterose.ac.uk/134361/1/Goheen_etal_2018_NYAS.pdf,https://app.dimensions.ai/details/publication/pub.1103949915,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
9,500,pub.1104252031,10.1016/j.tree.2018.05.001,29807838,,Ecological and Evolutionary Consequences of Parasite Avoidance,Trends in Ecology & Evolution,,"Animals; Behavior, Animal; Biological Evolution; Communicable Diseases; Disgust; Host-Pathogen Interactions; Humans; Parasites",2018-08,2018,33,Psychol. Sci. 24 2013,619-632,Closed,Article,"Buck, J.C.; Weinstein, S.B.; Young, H.S.","Buck, J.C.","Buck, J.C. (University of California, Santa Barbara; University of North Carolina Wilmington); Weinstein, S.B. (University of Utah; National Zoological Park); Young, H.S. (University of California, Santa Barbara)",17,17,,,,https://app.dimensions.ai/details/publication/pub.1104252031,0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,,
10,500,pub.1105639937,10.1371/journal.pone.0200743,30016347,PMC6049951,Invasive rat eradication strongly impacts plant recruitment on a tropical atoll,PLoS ONE,,Animals; Biodiversity; Cocos; Conservation of Natural Resources; Ecology; Ecosystem; Hawaii; Introduced Species; Islands; Pacific Ocean; Rats; Seedlings; Trees; Tropical Climate,2018-07-17,2018,13,7,e0200743,All OA; Gold,Article,"Wolf, Coral A.; Young, Hillary S.; Zilliacus, Kelly M.; Wegmann, Alexander S.; McKown, Matthew; Holmes, Nick D.; Tershy, Bernie R.; Dirzo, Rodolfo; Kropidlowski, Stefan; Croll, Donald A.",,"Wolf, Coral A. (University of California, Santa Cruz); Young, Hillary S. (University of California, Santa Barbara); Zilliacus, Kelly M. (University of California, Santa Cruz); Wegmann, Alexander S. (University of Hawaii at Manoa); McKown, Matthew (University of California, Santa Cruz); Holmes, Nick D. (); Tershy, Bernie R. (University of California, Santa Cruz); Dirzo, Rodolfo (Stanford University); Kropidlowski, Stefan (United States Fish and Wildlife Service); Croll, Donald A. (University of California, Santa Cruz)",5,5,,,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0200743&type=printable,https://app.dimensions.ai/details/publication/pub.1105639937,0602 Ecology; 0502 Environmental Science and Management; 0607 Plant Biology; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0607 Plant Biology,0501 Ecological Applications,05 Environmental Sciences
11,100,pub.1105764951,10.1002/ecs2.2301,,,Plasticity of foraging behaviors in response to diverse environmental conditions,Ecosphere,,,2018-07,2018,9,7,e02301,All OA; Gold,Article,"Gilmour, Morgan E.; Castillo‐Guerrero, José A.; Fleishman, Abram B.; Hernández‐Vázquez, Salvador; Young, Hillary S.; Shaffer, Scott A.",,"Gilmour, Morgan E. (University of California, Santa Cruz); Castillo‐Guerrero, José A. (); Fleishman, Abram B. (San Jose State University); Hernández‐Vázquez, Salvador (University of Guadalajara); Young, Hillary S. (University of California, Santa Barbara); Shaffer, Scott A. (San Jose State University)",0,0,,,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1002/ecs2.2301,https://app.dimensions.ai/details/publication/pub.1105764951,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
12,200,pub.1103854995,10.1098/rstb.2018.0210,29735744,PMC5941185,"Correction to ‘Migration in the Anthropocene: how collective navigation, environmental system and taxonomy shape the vulnerability of migratory species’",Philosophical Transactions of the Royal Society B Biological Sciences,,,2018-06-19,2018,373,1749,20180210,All OA; Gold,Article,"Hardesty-Moore, Molly; Deinet, Stefanie; Freeman, Robin; Titcomb, Georgia C; Dillon, Erin M; Stears, Keenan; Klope, Maggie; Bui, An; Orr, Devyn; Young, Hillary S; Kuile, Ana Miller-Ter; Hughey, Lacey F; McCauley, Douglas J",,"Hardesty-Moore, Molly (); Deinet, Stefanie (); Freeman, Robin (); Titcomb, Georgia C (); Dillon, Erin M (); Stears, Keenan (); Klope, Maggie (); Bui, An (); Orr, Devyn (); Young, Hillary S (); Kuile, Ana Miller-Ter (); Hughey, Lacey F (); McCauley, Douglas J ()",0,0,,,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2018.0210,https://app.dimensions.ai/details/publication/pub.1103854995,11 Medical and Health Sciences; 06 Biological Sciences,11 Medical and Health Sciences,06 Biological Sciences,,,
13,200,pub.1104297918,10.1016/j.rala.2018.05.001,,,Editor's Choice,Rangelands,,,2018-06,2018,40,3,95-97,Closed,Article,"Young, Truman P.; Porensky, Lauren M.; Riginos, Corinna; Veblen, Kari E.; Odadi, Wilfred O.; Kimuyu, Duncan M.; Charles, Grace K.; Young, Hillary S.",,"Young, Truman P. (); Porensky, Lauren M. (); Riginos, Corinna (); Veblen, Kari E. (); Odadi, Wilfred O. (); Kimuyu, Duncan M. (); Charles, Grace K. (); Young, Hillary S. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1104297918,,,,,,
14,500,pub.1101763987,10.1098/rstb.2017.0017,29581401,PMC5882986,"Migration in the Anthropocene: how collective navigation, environmental system and taxonomy shape the vulnerability of migratory species",Philosophical Transactions of the Royal Society B Biological Sciences,,Animal Migration; Animals; Birds; Environment; Fishes; Mammals; Phylogeny; Spatial Navigation,2018-05-19,2018,373,1746,20170017,All OA; Gold,Article,"Hardesty-Moore, Molly; Deinet, Stefanie; Freeman, Robin; Titcomb, Georgia C.; Dillon, Erin M.; Stears, Keenan; Klope, Maggie; Bui, An; Orr, Devyn; Young, Hillary S.; Kuile, Ana Miller-ter; Hughey, Lacey F.; McCauley, Douglas J.",,"Hardesty-Moore, Molly (University of California, Santa Barbara); Deinet, Stefanie (University of California, Santa Barbara); Freeman, Robin (University of California, Santa Barbara); Titcomb, Georgia C. (University of California, Santa Barbara); Dillon, Erin M. (University of California, Santa Barbara); Stears, Keenan (University of California, Santa Barbara); Klope, Maggie (University of California, Santa Barbara); Bui, An (University of California, Santa Barbara); Orr, Devyn (University of California, Santa Barbara); Young, Hillary S. (University of California, Santa Barbara); Kuile, Ana Miller-ter (University of California, Santa Barbara); Hughey, Lacey F. (University of California, Santa Barbara); McCauley, Douglas J. (University of California, Santa Barbara; Zoological Society of London)",10,10,,,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2017.0017,https://app.dimensions.ai/details/publication/pub.1101763987,0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,,
