,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Holly V Moeller. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,500,pub.1113811275,10.1038/s41467-019-09591-2,31036802,PMC6488668,Light-dependent grazing can drive formation and deepening of deep chlorophyll maxima,Nature Communications,,"Animals; Biomass; Chlorophyll; Models, Theoretical; Phytoplankton; Zooplankton",2019-12,2019,10,1,1978,All OA; Gold,Article,"Moeller, Holly V.; Laufkötter, Charlotte; Sweeney, Edward M.; Johnson, Matthew D.","Moeller, Holly V.","Moeller, Holly V. (University of California, Santa Barbara); Laufkötter, Charlotte (University of Bern; Princeton University); Sweeney, Edward M. (Sea Education Association; Santa Barbara Museum of Natural History); Johnson, Matthew D. (Woods Hole Oceanographic Institution)",1,1,,,https://www.nature.com/articles/s41467-019-09591-2.pdf,https://app.dimensions.ai/details/publication/pub.1113811275,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
2,200,pub.1110707694,10.3389/fmars.2018.00490,,,Editorial: Mixotrophy in Protists: From Model Systems to Mathematical Models,Frontiers in Marine Science,,,2018-12-18,2018,5,,490,All OA; Gold,Article,"Johnson, Matthew D.; Moeller, Holly V.",,"Johnson, Matthew D. (Woods Hole Oceanographic Institution); Moeller, Holly V. (University of California, Santa Barbara)",0,0,,,https://www.frontiersin.org/articles/10.3389/fmars.2018.00490/pdf,https://app.dimensions.ai/details/publication/pub.1110707694,,,,,,
3,500,pub.1107090972,10.1098/rspb.2018.1282,30232162,PMC6170811,Social tipping points in animal societies,Proceedings of The Royal Society B Biological Sciences,,"Animals; Behavior, Animal; Ecosystem; Social Behavior",2018-09-26,2018,285,1887,20181282,All OA; Gold,Article,"Pruitt, Jonathan N; Berdahl, Andrew; Riehl, Christina; Pinter-Wollman, Noa; Moeller, Holly V; Pringle, Elizabeth G; Aplin, Lucy M; Robinson, Elva J H; Grilli, Jacopo; Yeh, Pamela; Savage, Van M; Price, Michael H; Garland, Joshua; Gilby, Ian C; Crofoot, Margaret C; Doering, Grant N; Hobson, Elizabeth A",,"Pruitt, Jonathan N (University of California, Santa Barbara; McMaster University); Berdahl, Andrew (University of Washington; Santa Fe Institute); Riehl, Christina (Princeton University); Pinter-Wollman, Noa (University of California Los Angeles); Moeller, Holly V (University of California, Santa Barbara); Pringle, Elizabeth G (University of Nevada Reno); Aplin, Lucy M (University of Oxford; Max Planck Institute for Ornithology); Robinson, Elva J H (University of York); Grilli, Jacopo (Santa Fe Institute); Yeh, Pamela (University of California Los Angeles); Savage, Van M (University of California Los Angeles); Price, Michael H (Santa Fe Institute); Garland, Joshua (Santa Fe Institute); Gilby, Ian C (Arizona State University); Crofoot, Margaret C (University of California, Davis); Doering, Grant N (University of California, Santa Barbara; McMaster University); Hobson, Elizabeth A (Santa Fe Institute)",12,12,,,https://royalsocietypublishing.org/doi/pdf/10.1098/rspb.2018.1282,https://app.dimensions.ai/details/publication/pub.1107090972,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
4,500,pub.1105071591,10.1038/s41559-018-0592-5,29942021,,Social tipping points in animal societies in response to heat stress,Nature Ecology & Evolution,,"Animals; Female; Heat-Shock Response; Models, Theoretical; Social Behavior; Spiders",2018-08,2018,2,8,1298-1305,Closed,Article,"Doering, Grant Navid; Scharf, Inon; Moeller, Holly V.; Pruitt, Jonathan N.","Pruitt, Jonathan N.","Doering, Grant Navid (University of California, Santa Barbara); Scharf, Inon (Tel Aviv University); Moeller, Holly V. (University of California, Santa Barbara); Pruitt, Jonathan N. (University of California, Santa Barbara)",9,9,,,,https://app.dimensions.ai/details/publication/pub.1105071591,17 Psychology and Cognitive Sciences; 1701 Psychology,17 Psychology and Cognitive Sciences,1701 Psychology,,,
5,500,pub.1090691787,10.1111/jeu.12446,28710891,,Preferential Plastid Retention by the Acquired Phototroph Mesodinium chamaeleon,Journal of Eukaryotic Microbiology,,"Ciliophora; Cryptophyta; Photosynthesis; Phototrophic Processes; Phylogeny; Plastids; Stress, Physiological",2018-03,2018,65,2,148-158,All OA; Gold,Article,"Moeller, Holly V.; Johnson, Matthew D.",,"Moeller, Holly V. (Woods Hole Oceanographic Institution; University of California, Santa Barbara; University of British Columbia); Johnson, Matthew D. (Woods Hole Oceanographic Institution)",5,5,,,https://doi.org/10.1111/jeu.12446,https://app.dimensions.ai/details/publication/pub.1090691787,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
6,200,pub.1083412195,10.1073/pnas.1619247114,28154148,PMC5320990,Mesodinium rubrum: The symbiosis that wasn’t,Proceedings of the National Academy of Sciences,,Ciliophora; Symbiosis,2017-02-14,2017,114,7,e1040-e1042,All OA; Gold,Article,"Johnson, Matthew D.; Lasek-Nesselquist, Erica; Moeller, Holly V.; Altenburger, Andreas; Lundholm, Nina; Kim, Miran; Drumm, Kirstine; Moestrup, Øjvind; Hansen, Per Juel",,"Johnson, Matthew D. (); Lasek-Nesselquist, Erica (Wadsworth Center); Moeller, Holly V. (University of California, Santa Barbara); Altenburger, Andreas (University of Copenhagen); Lundholm, Nina (University of Copenhagen); Kim, Miran (University of Copenhagen); Drumm, Kirstine (University of Copenhagen); Moestrup, Øjvind (University of Copenhagen); Hansen, Per Juel (University of Copenhagen)",3,1,0.46,,https://www.pnas.org/content/pnas/114/7/E1040.full.pdf,https://app.dimensions.ai/details/publication/pub.1083412195,,,,,,
7,400,pub.1031746399,10.1002/ece3.2299,27551393,PMC4984514,Hierarchical neighbor effects on mycorrhizal community structure and function,Ecology and Evolution,,,2016-08,2016,6,15,5416-5430,All OA; Gold,Article,"Moeller, Holly V.; Dickie, Ian A.; Peltzer, Duane A.; Fukami, Tadashi",,"Moeller, Holly V. (Stanford University; University of California, Santa Barbara); Dickie, Ian A. (); Peltzer, Duane A. (Landcare Research); Fukami, Tadashi (Stanford University)",2,0,0.3,0.59,https://onlinelibrary.wiley.com/doi/pdf/10.1002/ece3.2299,https://app.dimensions.ai/details/publication/pub.1031746399,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0602 Ecology,06 Biological Sciences,,
8,400,pub.1037501284,10.7717/peerj.2270,27547573,PMC4974999,Competition-function tradeoffs in ectomycorrhizal fungi,PeerJ,,,2016-07-27,2016,4,,e2270,All OA; Gold,Article,"Moeller, Holly V.; Peay, Kabir G.",,"Moeller, Holly V. (Woods Hole Oceanographic Institution; University of California, Santa Barbara); Peay, Kabir G. (Stanford University)",7,5,0.46,1.99,https://peerj.com/articles/2270.pdf,https://app.dimensions.ai/details/publication/pub.1037501284,0607 Plant Biology; 0605 Microbiology; 06 Biological Sciences,0607 Plant Biology,0605 Microbiology,06 Biological Sciences,,
9,400,pub.1058867069,10.1086/685773,27105000,,Nonhierarchical Dispersal Promotes Stability and Resilience in a Tritrophic Metacommunity.,The American Naturalist,,"Animal Distribution; Animals; Ecosystem; Food Chain; Models, Biological; Population Dynamics",2016-05,2016,187,5,e116-28,"All OA; Green, Accepted & Submitted",Article,"Pedersen, Eric J; Marleau, Justin N; Granados, Monica; Moeller, Holly V; Guichard, Frédéric",,"Pedersen, Eric J (); Marleau, Justin N (); Granados, Monica (); Moeller, Holly V (); Guichard, Frédéric ()",6,3,0.5,1.56,http://research.library.mun.ca/13053/1/685773.pdf,https://app.dimensions.ai/details/publication/pub.1058867069,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
