,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is James E Frew. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,300,pub.1004606848,10.1145/2893181,29151602,PMC5687090,Why data citation is a computational problem,Communications of the ACM,,,2016-08-24,2016,59,9,50-57,All OA; Gold,Article,"Buneman, Peter; Davidson, Susan; Frew, James",,"Buneman, Peter (University of Edinburgh); Davidson, Susan (University of Pennsylvania); Frew, James (University of California, Santa Barbara)",20,12,0,,http://dl.acm.org/ft_gateway.cfm?id=2893181&type=pdf,https://app.dimensions.ai/details/publication/pub.1004606848,08 Information and Computing Sciences,08 Information and Computing Sciences,,,,
2,400,pub.1046979333,10.1021/acs.est.5b04465,26760055,,Investigating the Energy-Water Usage Efficiency of the Reuse of Treated Municipal Wastewater for Artificial Groundwater Recharge.,Environmental Science & Technology,,"California; Energy-Generating Resources; Groundwater; Waste Disposal, Fluid; Waste Water; Water Purification; Water Supply",2016-02-16,2016,50,4,2044-53,All OA; Gold,Article,"Fournier, Eric D; Keller, Arturo A; Geyer, Roland; Frew, James",,"Fournier, Eric D (University of California, Santa Barbara); Keller, Arturo A (University of California, Santa Barbara); Geyer, Roland (University of California, Santa Barbara); Frew, James (University of California, Santa Barbara)",6,4,0.3,1.42,https://doi.org/10.1021/acs.est.5b04465,https://app.dimensions.ai/details/publication/pub.1046979333,09 Engineering; 0907 Environmental Engineering,09 Engineering,0907 Environmental Engineering,,,
3,100,pub.1008467577,10.1145/2588555.2600092,,,Should we all be teaching intro to data science instead of intro to databases?,,Proceedings of the 2014 ACM SIGMOD international conference on Management of data - SIGMOD '14,,2014,2014,,,917-918,Closed,Proceeding,"Howe, Bill; Franklin, Michael J.; Freire, Juliana; Frew, James; Kraska, Tim; Ramakrishnan, Raghu",,"Howe, Bill (University of Washington); Franklin, Michael J. (University of California, Berkeley); Freire, Juliana (New York University); Frew, James (University of California, Santa Barbara); Kraska, Tim (Brown University); Ramakrishnan, Raghu (Microsoft (United States))",4,1,,1.73,,https://app.dimensions.ai/details/publication/pub.1008467577,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
4,100,pub.1019941889,10.1146/annurev-environ-042711-121244,,,Environmental Informatics,Annual Review of Environment and Resources,,,2012-11-21,2012,37,1,449-472,Closed,Article,"Frew, James E.; Dozier, Jeff",,"Frew, James E. (); Dozier, Jeff (University of California, Santa Barbara)",9,1,,3.86,,https://app.dimensions.ai/details/publication/pub.1019941889,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
5,100,pub.1002375327,10.1080/13658816.2011.629618,,,Volunteered geographic information production as a spatial process,International Journal of Geographical Information Science,,,2012-07,2012,26,7,1191-1212,Closed,Article,"Hardy, Darren; Frew, James; Goodchild, Michael F.",,"Hardy, Darren (); Frew, James (); Goodchild, Michael F. ()",37,8,,15.86,,https://app.dimensions.ai/details/publication/pub.1002375327,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
6,100,pub.1008796437,10.1145/2447481.2447483,,,EarthDB: scalable analysis of MODIS data using SciDB,,Proceedings of the 1st ACM SIGSPATIAL International Workshop on Analytics for Big Geospatial Data - BigSpatial '12,,2012,2012,,,11-19,Closed,Proceeding,"Planthaber, Gary; Stonebraker, Michael; Frew, James",,"Planthaber, Gary (Massachusetts Institute of Technology); Stonebraker, Michael (Massachusetts Institute of Technology); Frew, James (University of California, Santa Barbara)",34,11,,14.58,,https://app.dimensions.ai/details/publication/pub.1008796437,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
7,100,pub.1042140444,10.1007/978-3-642-22351-8_14,,,Provenance-Enabled Automatic Data Publishing,Lecture Notes in Computer Science,Scientific and Statistical Database Management,,2011,2011,6809,,244-252,Closed,Chapter,"Frew, James; Janée, Greg; Slaughter, Peter",,"Frew, James (University of California, Santa Barbara); Janée, Greg (University of California, Santa Barbara); Slaughter, Peter (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1042140444,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
8,100,pub.1050858208,10.1007/978-3-642-17819-1_4,,,Automatic Provenance Collection and Publishing in a Science Data Production Environment—Early Results,Lecture Notes in Computer Science,Provenance and Annotation of Data and Processes,,2010,2010,6378,,27-33,All OA; Gold,Chapter,"Frew, James; Janée, Greg; Slaughter, Peter",,"Frew, James (University of California, Santa Barbara); Janée, Greg (University of California, Santa Barbara); Slaughter, Peter (University of California, Santa Barbara)",4,0,,1.5,https://link.springer.com/content/pdf/10.1007%2F978-3-642-17819-1_4.pdf,https://app.dimensions.ai/details/publication/pub.1050858208,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
9,400,pub.1029805735,10.1098/rsta.2008.0187,19087938,,Computational provenance in hydrologic science: a snow mapping example,Philosophical Transactions of The Royal Society A Mathematical Physical and Engineering Sciences,,"Computer Simulation; Database Management Systems; Databases, Factual; Ecology; Information Dissemination; Information Storage and Retrieval; Internet; Models, Theoretical; Snow; Software; User-Computer Interface",2009-03-13,2009,367,1890,1021-1033,All OA; Gold,Article,"Dozier, Jeff; Frew, James",,"Dozier, Jeff (University of California, Santa Barbara); Frew, James (University of California, Santa Barbara)",15,0,0.03,5.18,http://rsta.royalsocietypublishing.org/content/367/1890/1021.full.pdf,https://app.dimensions.ai/details/publication/pub.1029805735,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
