,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Jeff Dozier. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1120469833,10.1029/2019wr024810,,,An Examination of Snow Albedo Estimates From MODIS and Their Impact on Snow Water Equivalent Reconstruction,Water Resources Research,,,2019-09,2019,55,9,7826-7842,Closed,Article,"Bair, Edward H.; Rittger, Karl; Skiles, S. McKenzie; Dozier, Jeff",,"Bair, Edward H. (University of California, Santa Barbara); Rittger, Karl (Institute of Arctic and Alpine Research); Skiles, S. McKenzie (University of Utah); Dozier, Jeff (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1120469833,09 Engineering; 14 Economics; 0905 Civil Engineering; 1402 Applied Economics; 0907 Environmental Engineering,09 Engineering,14 Economics,0905 Civil Engineering,1402 Applied Economics,0907 Environmental Engineering
2,100,pub.1120503792,10.1029/2019wr025350,,,Characterizing biases in mountain snow accumulation from global datasets,Water Resources Research,,,2019-08-24,2019,,,,Closed,Article,"Wrzesien, Melissa L.; Pavelsky, Tamlin M.; Durand, Michael T.; Dozier, Jeff; Lundquist, Jessica D.",,"Wrzesien, Melissa L. (University of North Carolina System); Pavelsky, Tamlin M. (University of North Carolina System); Durand, Michael T. (The Ohio State University); Dozier, Jeff (University of California, Santa Barbara); Lundquist, Jessica D. (University of Washington)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1120503792,09 Engineering; 14 Economics; 0905 Civil Engineering; 1402 Applied Economics; 0907 Environmental Engineering,09 Engineering,14 Economics,0905 Civil Engineering,1402 Applied Economics,0907 Environmental Engineering
3,100,pub.1120501910,10.1029/2019wr024914,,,Canopy Adjustment and Improved Cloud Detection for Remotely Sensed Snow Cover Mapping,Water Resources Research,,,2019-08-24,2019,,,,Closed,Article,"Rittger, Karl; Raleigh, Mark S.; Dozier, Jeff; Hill, Alice F.; Lutz, James A.; Painter, Thomas H.",,"Rittger, Karl (Institute of Arctic and Alpine Research); Raleigh, Mark S. (University of Colorado Boulder); Dozier, Jeff (University of California, Santa Barbara); Hill, Alice F. (University of Colorado Boulder); Lutz, James A. (Utah State University); Painter, Thomas H. (University of California Los Angeles)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1120501910,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
4,100,pub.1118066299,10.1029/2019wr024932,,,Cloud Masking for Landsat 8 and MODIS Terra Over Snow‐Covered Terrain: Error Analysis and Spectral Similarity Between Snow and Cloud,Water Resources Research,,,2019-07,2019,55,7,6169-6184,Closed,Article,"Stillinger, Timbo; Roberts, Dar A.; Collar, Natalie M.; Dozier, Jeff",,"Stillinger, Timbo (University of California, Santa Barbara); Roberts, Dar A. (University of California, Santa Barbara); Collar, Natalie M. (University of California, Santa Barbara; Colorado School of Mines); Dozier, Jeff (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1118066299,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
5,100,pub.1103782768,10.5194/tc-12-1579-2018,,,Using machine learning for real-time estimates of snow water equivalent in the watersheds of Afghanistan,The Cryosphere,,,2018-05-03,2018,12,5,1579-1594,All OA; Gold,Article,"Bair, Edward H.; Calfa, Andre Abreu; Rittger, Karl; Dozier, Jeff",,"Bair, Edward H. (University of California, Santa Barbara); Calfa, Andre Abreu (University of California, Santa Barbara); Rittger, Karl (University of Colorado Boulder); Dozier, Jeff (University of California, Santa Barbara)",8,8,,,https://www.the-cryosphere.net/12/1579/2018/tc-12-1579-2018.pdf,https://app.dimensions.ai/details/publication/pub.1103782768,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0405 Oceanography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0405 Oceanography,,
6,100,pub.1101559754,10.1016/j.rse.2018.03.001,,,Separating snow and forest temperatures with thermal infrared remote sensing,Remote Sensing of Environment,,,2018-05,2018,209,Nature 438 2005,764-779,Closed,Article,"Lundquist, Jessica D.; Chickadel, Chris; Cristea, Nicoleta; Currier, William Ryan; Henn, Brian; Keenan, Eric; Dozier, Jeff","Lundquist, Jessica D.","Lundquist, Jessica D. (University of Washington); Chickadel, Chris (University of Washington); Cristea, Nicoleta (University of Washington); Currier, William Ryan (University of Washington); Henn, Brian (University of Washington; University of California, San Diego); Keenan, Eric (University of Washington); Dozier, Jeff (University of California, Santa Barbara)",6,6,,,,https://app.dimensions.ai/details/publication/pub.1101559754,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
7,100,pub.1101151862,10.1109/tmtt.2018.2799866,,,A $K_{{u}}$ -Band CMOS FMCW Radar Transceiver for Snowpack Remote Sensing,IEEE Transactions on Microwave Theory and Techniques,,,2018-05,2018,66,5,2480-2494,Closed,Article,"Kim, Yanghyo; Reck, Theodore J.; Alonso-delPino, Maria; Painter, Thomas H.; Marshall, Hans-Peter; Bair, Edward H.; Dozier, Jeff; Chattopadhyay, Goutam; Liou, Kuo-Nan; Chang, Mau-Chung Frank; Tang, Adrian",,"Kim, Yanghyo (Jet Propulsion Lab; University of California Los Angeles); Reck, Theodore J. (Jet Propulsion Lab; The University of Texas at Austin); Alonso-delPino, Maria (Jet Propulsion Lab; Polytechnic University of Catalonia); Painter, Thomas H. (Jet Propulsion Lab); Marshall, Hans-Peter (Boise State University); Bair, Edward H. (University of California, Santa Barbara); Dozier, Jeff (University of California, Santa Barbara; University of Michigan); Chattopadhyay, Goutam (Jet Propulsion Lab); Liou, Kuo-Nan (University of California Los Angeles); Chang, Mau-Chung Frank (University of California Los Angeles); Tang, Adrian (University of California Los Angeles; Jet Propulsion Lab)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1101151862,09 Engineering; 0906 Electrical and Electronic Engineering,09 Engineering,0906 Electrical and Electronic Engineering,,,
8,100,pub.1101536416,10.5194/essd-10-549-2018,,,"Hourly mass and snow energy balance measurements from Mammoth Mountain, CA USA, 2011–2017",Earth System Science Data,,,2018-03-14,2018,10,1,549-563,All OA; Gold,Article,"Bair, Edward H.; Davis, Robert E.; Dozier, Jeff",,"Bair, Edward H. (University of California, Santa Barbara); Davis, Robert E. (Cold Regions Research and Engineering Laboratory); Dozier, Jeff (University of California, Santa Barbara)",6,6,,,https://www.earth-syst-sci-data.net/10/549/2018/essd-10-549-2018.pdf,https://app.dimensions.ai/details/publication/pub.1101536416,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
9,100,pub.1099649021,10.1002/2017gl075826,,,Variation in Rising Limb of Colorado River Snowmelt Runoff Hydrograph Controlled by Dust Radiative Forcing in Snow,Geophysical Research Letters,,,2018-01-28,2018,45,2,797-808,Closed,Article,"Painter, Thomas H.; Skiles, S. McKenzie; Deems, Jeffrey S.; Brandt, W. Tyler; Dozier, Jeff",,"Painter, Thomas H. (Jet Propulsion Lab); Skiles, S. McKenzie (University of Utah); Deems, Jeffrey S. (University of Colorado Boulder); Brandt, W. Tyler (University of California, Santa Barbara); Dozier, Jeff (University of California, Santa Barbara)",30,30,,,,https://app.dimensions.ai/details/publication/pub.1099649021,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
