,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Jenifer E Dugan. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,200,pub.1113457290,10.1525/9780520962170-024,,,TWENTY. Sandy Beaches,,Ecosystems of California,,2019-12-31,2019,,,389-408,Closed,Chapter,"Dugan, Jenifer E.; Hubbard, David M.",,"Dugan, Jenifer E. (); Hubbard, David M. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1113457290,,,,,,
2,100,pub.1117159408,10.1016/j.ecolind.2019.105457,,,No lines in the sand: Impacts of intense mechanized maintenance regimes on sandy beach ecosystems span the intertidal zone on urban coasts,Ecological Indicators,,,2019-11,2019,106,,105457,Closed,Article,"Schooler, Nicholas K.; Dugan, Jenifer E.; Hubbard, David M.","Schooler, Nicholas K.","Schooler, Nicholas K. (University of California, Santa Barbara); Dugan, Jenifer E. (University of California, Santa Barbara); Hubbard, David M. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1117159408,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
3,100,pub.1112970833,10.1016/j.ecss.2019.03.014,,,Wrack resource use by intertidal consumers on sandy beaches,Estuarine Coastal and Shelf Science,,,2019-05,2019,221,J. Exp. Mar. Biol. Ecol. 303 1 2004,66-71,Closed,Article,"Michaud, Kristen M.; Emery, Kyle A.; Dugan, Jenifer E.; Hubbard, David M.; Miller, Robert J.","Michaud, Kristen M.","Michaud, Kristen M. (University of California, Santa Barbara); Emery, Kyle A. (University of California, Santa Barbara); Dugan, Jenifer E. (University of California, Santa Barbara); Hubbard, David M. (University of California, Santa Barbara); Miller, Robert J. (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1112970833,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
4,100,pub.1111245257,10.1007/s12237-018-00495-w,,,Correction to: Generalizing Ecological Effects of Shoreline Armoring Across Soft Sediment Environments,Chesapeake Science,,,2019-05,2019,42,3,902-902,All OA; Gold,Article,"Dugan, J. E.; Emery, K. A.; Alber, M.; Alexander, C. R.; Byers, J. E.; Gehman, A. M.; McLenaghan, N.; Sojka, S. E.","Dugan, J. E.","Dugan, J. E. (University of California, Santa Barbara); Emery, K. A. (University of California, Santa Barbara; University of Virginia); Alber, M. (University of Georgia); Alexander, C. R. (Skidaway Institute of Oceanography); Byers, J. E. (University of Georgia); Gehman, A. M. (University of Georgia); McLenaghan, N. (University of Georgia); Sojka, S. E. (Randolph College)",0,0,,,https://link.springer.com/content/pdf/10.1007%2Fs12237-018-00495-w.pdf,https://app.dimensions.ai/details/publication/pub.1111245257,04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,04 Earth Sciences,05 Environmental Sciences,06 Biological Sciences,,
5,100,pub.1112016837,10.1016/j.ecss.2019.02.004,,,Contribution of macroalgal wrack consumers to dissolved inorganic nitrogen concentrations in intertidal pore waters of sandy beaches,Estuarine Coastal and Shelf Science,,,2019-04,2019,219,J. Geophys. Res. Biogeosci. 123 2018,363-371,Closed,Article,"Lowman, Heili E.; Emery, Kyle A.; Kubler-Dudgeon, Lila; Dugan, Jenifer E.; Melack, John M.","Lowman, Heili E.","Lowman, Heili E. (University of California, Santa Barbara); Emery, Kyle A. (University of California, Santa Barbara); Kubler-Dudgeon, Lila (University of California, Santa Barbara); Dugan, Jenifer E. (University of California, Santa Barbara); Melack, John M. (University of California, Santa Barbara)",3,3,,,,https://app.dimensions.ai/details/publication/pub.1112016837,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
6,100,pub.1090881028,10.1007/s12237-017-0254-x,,,Generalizing Ecological Effects of Shoreline Armoring Across Soft Sediment Environments,Chesapeake Science,,,2018-09,2018,41,Suppl 1,180-196,All OA; Gold,Article,"Dugan, J. E.; Emery, K. A.; Alber, M.; Alexander, C. R.; Byers, J. E.; Gehman, A. M.; McLenaghan, N.; Sojka, S. E.","Dugan, J. E.","Dugan, J. E. (University of California, Santa Barbara); Emery, K. A. (University of California, Santa Barbara; University of Virginia); Alber, M. (University of Georgia); Alexander, C. R. (Skidaway Institute of Oceanography); Byers, J. E. (University of Georgia); Gehman, A. M. (University of Georgia); McLenaghan, N. (University of Georgia); Sojka, S. E. (Randolph College)",8,8,,,https://link.springer.com/content/pdf/10.1007%2Fs12237-017-0254-x.pdf,https://app.dimensions.ai/details/publication/pub.1090881028,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
7,100,pub.1100620074,10.1111/1365-2664.13104,,,Anthropogenic disturbance facilitates a non‐native species on offshore oil platforms,Journal of Applied Ecology,,,2018-07,2018,55,4,1583-1593,Closed,Article,"Viola, Sloane M.; Page, Henry M.; Zaleski, Susan F.; Miller, Robert J.; Doheny, Brandon; Dugan, Jenifer E.; Schroeder, Donna M.; Schroeter, Stephen C.",,"Viola, Sloane M. (University of California, Santa Barbara); Page, Henry M. (University of California, Santa Barbara); Zaleski, Susan F. (); Miller, Robert J. (University of California, Santa Barbara); Doheny, Brandon (University of California, Santa Barbara); Dugan, Jenifer E. (University of California, Santa Barbara); Schroeder, Donna M. (); Schroeter, Stephen C. (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1100620074,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
8,100,pub.1104144294,10.1111/maec.12470,,,Citizen science monitoring of marine protected areas: Case studies and recommendations for integration into monitoring programs,Marine Ecology,,,2018-05,2018,39,,e12470,All OA; Gold,Article,"Freiwald, Jan; Meyer, Ryan; Caselle, Jennifer E.; Blanchette, Carol A.; Hovel, Kevin; Neilson, Doug; Dugan, Jenifer; Altstatt, Jessica; Nielsen, Karina; Bursek, Julie",,"Freiwald, Jan (Reef Check Foundation; University of California, Santa Cruz); Meyer, Ryan (University of California, Davis); Caselle, Jennifer E. (University of California, Santa Barbara); Blanchette, Carol A. (University of California, Santa Barbara); Hovel, Kevin (San Diego State University); Neilson, Doug (San Diego State University); Dugan, Jenifer (University of California, Santa Barbara); Altstatt, Jessica (University of California, Santa Barbara); Nielsen, Karina (San Francisco State University); Bursek, Julie ()",5,5,,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/maec.12470,https://app.dimensions.ai/details/publication/pub.1104144294,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
9,100,pub.1104143673,10.1111/maec.12453,,,Biogeographic patterns of communities across diverse marine ecosystems in southern California,Marine Ecology,,,2018-05,2018,39,,e12453,All OA; Gold,Article,"Claisse, Jeremy T.; Blanchette, Carol A.; Dugan, Jenifer E.; Williams, Jonathan P.; Freiwald, Jan; Pondella, Daniel J.; Schooler, Nicholas K.; Hubbard, David M.; Davis, Kathryn; Zahn, Laurel A.; Williams, Chelsea M.; Caselle, Jennifer E.",,"Claisse, Jeremy T. (California State Polytechnic University; Occidental College); Blanchette, Carol A. (University of California, Santa Barbara); Dugan, Jenifer E. (University of California, Santa Barbara); Williams, Jonathan P. (Occidental College); Freiwald, Jan (Reef Check Foundation; University of California, Santa Cruz); Pondella, Daniel J. (Occidental College); Schooler, Nicholas K. (University of California, Santa Barbara); Hubbard, David M. (University of California, Santa Barbara); Davis, Kathryn (University of California, Santa Barbara); Zahn, Laurel A. (Occidental College); Williams, Chelsea M. (California State Polytechnic University; Occidental College); Caselle, Jennifer E. (University of California, Santa Barbara)",3,3,,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/maec.12453,https://app.dimensions.ai/details/publication/pub.1104143673,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
