,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Jian Cheng Shi. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1121202247,10.1016/j.jqsrt.2019.106672,,,Estimation of shortwave solar radiation using the artificial neural network from Himawari-8 satellite imagery over China,Journal of Quantitative Spectroscopy and Radiative Transfer,,,2020-01,2020,240,,106672,Closed,Article,"Peng, Zhong; Letu, Husi; Wang, Tianxing; Shi, Chong; Zhao, Chuanfeng; Tana, Gegen; Zhao, Naizhuo; Dai, Tie; Tang, Ronglin; Shang, Huazhe; Shi, Jiancheng; Chen, Liangfu","Letu, Husi","Peng, Zhong (Institute of Remote Sensing and Digital Earth); Letu, Husi (Institute of Remote Sensing and Digital Earth); Wang, Tianxing (Institute of Remote Sensing and Digital Earth); Shi, Chong (Japan Aerospace Exploration Agency); Zhao, Chuanfeng (Beijing Normal University); Tana, Gegen (Beijing Normal University); Zhao, Naizhuo (Northeastern University); Dai, Tie (Institute of Atmospheric Physics); Tang, Ronglin (Institute of Geographic Sciences and Natural Resources Research); Shang, Huazhe (Institute of Remote Sensing and Digital Earth); Shi, Jiancheng (Institute of Remote Sensing and Digital Earth); Chen, Liangfu (Institute of Remote Sensing and Digital Earth)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1121202247,"0306 Physical Chemistry (incl. Structural); 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences; 03 Chemical Sciences; 04 Earth Sciences; 0401 Atmospheric Sciences",0306 Physical Chemistry (incl. Structural),"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,03 Chemical Sciences,04 Earth Sciences
2,100,pub.1121910095,10.3390/rs11202391,,,Snow-Covered Area Retrieval from Himawari–8 AHI Imagery of the Tibetan Plateau,Remote Sensing,,,2019-10-16,2019,11,20,2391,All OA; Gold,Article,"Wang, Gongxue; Jiang, Lingmei; Shi, Jiancheng; Liu, Xiaojing; Yang, Jianwei; Cui, Huizhen",,"Wang, Gongxue (); Jiang, Lingmei (); Shi, Jiancheng (); Liu, Xiaojing (); Yang, Jianwei (); Cui, Huizhen ()",0,0,,,http://dx.doi.org/10.3390/rs11202391,https://app.dimensions.ai/details/publication/pub.1121910095,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
3,100,pub.1113051372,10.1080/01431161.2019.1597307,,,A continuous global record of near-surface soil freeze/thaw status from AMSR-E and AMSR2 data,International Journal of Remote Sensing,,,2019-09-17,2019,40,18,1-24,Closed,Article,"Hu, Tongxi; Zhao, Tianjie; Zhao, Kaiguang; Shi, Jiancheng",,"Hu, Tongxi (The Ohio State University); Zhao, Tianjie (Institute of Remote Sensing and Digital Earth); Zhao, Kaiguang (The Ohio State University); Shi, Jiancheng (Institute of Remote Sensing and Digital Earth)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1113051372,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
4,100,pub.1120900558,10.3390/rs11182083,,,A Split Window Algorithm for Retrieving Land Surface Temperature from FY-3D MERSI-2 Data,Remote Sensing,,,2019-09-05,2019,11,18,2083,All OA; Gold,Article,"Wang, Han; Mao, Kebiao; Mu, Fengyun; Shi, Jiancheng; Yang, Jun; Li, Zhaoliang; Qin, Zhihao",,"Wang, Han (Institute of Agricultural Resources and Regional Planning); Mao, Kebiao (South China Normal University; State Key Laboratory of Remote Sensing Science); Mu, Fengyun (Chongqing Jiaotong University); Shi, Jiancheng (State Key Laboratory of Remote Sensing Science); Yang, Jun (China Meteorological Administration); Li, Zhaoliang (Institute of Agricultural Resources and Regional Planning); Qin, Zhihao (Institute of Agricultural Resources and Regional Planning)",0,0,,,http://dx.doi.org/10.3390/rs11182083,https://app.dimensions.ai/details/publication/pub.1120900558,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 02 Physical Sciences; 0203 Classical Physics; 04 Earth Sciences,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,02 Physical Sciences,0203 Classical Physics
5,100,pub.1120762440,10.1029/2019ea000754,,,New Methods for Deriving Clear‐Sky Surface Longwave Downward Radiation Based on Remotely Sensed Data and Ground Measurements,Earth and Space Science,,,2019-09,2019,,,,Closed,Article,"Zhou, W.; Shi, J.C.; Wang, T.X.; Peng, B.; Husi, L.; Yu, Y.C.; Zhao, R.",,"Zhou, W. (State Key Laboratory of Remote Sensing Science; University of Chinese Academy of Sciences); Shi, J.C. (State Key Laboratory of Remote Sensing Science); Wang, T.X. (State Key Laboratory of Remote Sensing Science); Peng, B. (University of Illinois at Urbana Champaign); Husi, L. (State Key Laboratory of Remote Sensing Science); Yu, Y.C. (State Key Laboratory of Remote Sensing Science; University of Chinese Academy of Sciences); Zhao, R. (State Key Laboratory of Remote Sensing Science; Jilin University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1120762440,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
6,100,pub.1117638818,10.1109/jstars.2019.2922780,,,An <italic>L</italic>-Band Brightness Temperature Disaggregation Method Using <italic>S</italic>-Band Radiometer Data for the Water Cycle Observation Mission (WCOM),IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,,,2019-09,2019,12,9,3184-3193,Closed,Article,"Yao, Panpan; Shi, Jiancheng; Zhao, Tianjie; Cosh, Michael H.; Bindlish, Rajat; Lu, Hui",,"Yao, Panpan (Tsinghua University); Shi, Jiancheng (); Zhao, Tianjie (); Cosh, Michael H. (Agricultural Research Service); Bindlish, Rajat (Goddard Space Flight Center); Lu, Hui (Tsinghua University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1117638818,09 Engineering; 0907 Environmental Engineering,09 Engineering,0907 Environmental Engineering,,,
7,100,pub.1101727250,10.1080/17538947.2018.1452300,,,Parameterization of the freeze/thaw discriminant function algorithm using dense in-situ observation network data,International Journal of Digital Earth,,,2019-08-03,2019,12,8,1-15,Closed,Article,"Wang, Pingkai; Zhao, Tianjie; Shi, Jiancheng; Hu, Tongxi; Roy, Alexandre; Qiu, Yubao; Lu, Hui",,"Wang, Pingkai (Institute of Remote Sensing and Digital Earth); Zhao, Tianjie (Institute of Remote Sensing and Digital Earth); Shi, Jiancheng (Institute of Remote Sensing and Digital Earth); Hu, Tongxi (Institute of Remote Sensing and Digital Earth); Roy, Alexandre (Université de Sherbrooke); Qiu, Yubao (Institute of Remote Sensing and Digital Earth); Lu, Hui (Tsinghua University)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1101727250,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
8,500,pub.1117853519,10.3390/s19132987,31284617,PMC6651167,Deep Learning Convolutional Neural Network for the Retrieval of Land Surface Temperature from AMSR2 Data in China,Sensors,,,2019-07-06,2019,19,13,2987,All OA; Gold,Article,"Tan, Jiancan; NourEldeen, Nusseiba; Mao, Kebiao; Shi, Jiancheng; Li, Zhaoliang; Xu, Tongren; Yuan, Zijin",,"Tan, Jiancan (Institute of Agricultural Resources and Regional Planning); NourEldeen, Nusseiba (Institute of Agricultural Resources and Regional Planning); Mao, Kebiao (Institute of Agricultural Resources and Regional Planning; Hunan Agricultural University; State Key Laboratory of Remote Sensing Science); Shi, Jiancheng (State Key Laboratory of Remote Sensing Science); Li, Zhaoliang (Institute of Agricultural Resources and Regional Planning); Xu, Tongren (State Key Laboratory of Remote Sensing Science); Yuan, Zijin (Institute of Agricultural Resources and Regional Planning)",1,1,,,https://www.mdpi.com/1424-8220/19/13/2987/pdf,https://app.dimensions.ai/details/publication/pub.1117853519,09 Engineering; 0906 Electrical and Electronic Engineering; 0301 Analytical Chemistry; 03 Chemical Sciences,09 Engineering,0906 Electrical and Electronic Engineering,0301 Analytical Chemistry,03 Chemical Sciences,
9,100,pub.1117369865,10.1029/2018jd029960,,,Detection and Removal of Clouds and Associated Shadows in Satellite Imagery Based on Simulated Radiance Fields,Journal of Geophysical Research Atmospheres,,,2019-07-04,2019,124,13,7207-7225,All OA; Gold,Article,"Wang, Tianxing; Shi, Jiancheng; Letu, Husi; Ma, Ya; Li, Xingcai; Zheng, Yaomin",,"Wang, Tianxing (Institute of Remote Sensing and Digital Earth); Shi, Jiancheng (Institute of Remote Sensing and Digital Earth); Letu, Husi (Institute of Remote Sensing and Digital Earth); Ma, Ya (Chinese Academy for Environmental Planning); Li, Xingcai (Ningxia University); Zheng, Yaomin (Institute of Remote Sensing and Digital Earth)",1,1,,,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2018JD029960,https://app.dimensions.ai/details/publication/pub.1117369865,08 Information and Computing Sciences; 09 Engineering; 0801 Artificial Intelligence and Image Processing; 0909 Geomatic Engineering,08 Information and Computing Sciences,09 Engineering,0801 Artificial Intelligence and Image Processing,0909 Geomatic Engineering,
10,100,pub.1116154136,10.1109/jstars.2019.2916061,,,MTE Features of Apollo Basin and Its Significance in Understanding the SPA Basin,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,,,2019-07,2019,12,7,2575-2583,Closed,Article,"Meng, Zhiguo; Wang, Yongzhi; Chen, Shengbo; Zheng, Yongchun; Shi, Jiancheng; Wang, Tianxing; Zhang, Yuanzhi; Ping, Jinsong; Hou, Lele",,"Meng, Zhiguo (Jilin University); Wang, Yongzhi (Jilin University); Chen, Shengbo (Jilin University); Zheng, Yongchun (National Astronomical Observatories); Shi, Jiancheng (Institute of Remote Sensing and Digital Earth); Wang, Tianxing (Institute of Remote Sensing and Digital Earth); Zhang, Yuanzhi (National Astronomical Observatories); Ping, Jinsong (National Astronomical Observatories); Hou, Lele (Jilin University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1116154136,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
11,100,pub.1112117543,10.1109/jstars.2019.2892361,,,Thermophysical Features of Shallow Lunar Crust Demonstrated by Typical Copernican Craters Using CE-2 CELMS Data,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,,,2019-07,2019,12,7,2565-2574,Closed,Article,"Meng, Zhiguo; Li, Xiangyue; Chen, Shengbo; Zheng, Yongchun; Shi, Jiancheng; Wang, Tianxing; Zhang, Yuanzhi; Ping, Jinsong; Lu, Yu",,"Meng, Zhiguo (Jilin University); Li, Xiangyue (Jilin University); Chen, Shengbo (Jilin University); Zheng, Yongchun (Chinese Academy of Sciences); Shi, Jiancheng (Institute of Remote Sensing and Digital Earth); Wang, Tianxing (Institute of Remote Sensing and Digital Earth); Zhang, Yuanzhi (Chinese Academy of Sciences); Ping, Jinsong (Chinese Academy of Sciences); Lu, Yu (Nanjing University)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1112117543,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
12,100,pub.1111429991,10.1007/s11430-018-9276-6,,,Relationship between sea surface salinity and ocean circulation and climate change,Science China Earth Sciences,,,2019-05,2019,62,5,771-782,Closed,Article,"Du, Yan; Zhang, Yuhong; Shi, Jiancheng","Du, Yan","Du, Yan (South China Sea Institute Of Oceanology; University of Chinese Academy of Sciences); Zhang, Yuhong (South China Sea Institute Of Oceanology); Shi, Jiancheng (Institute of Remote Sensing and Digital Earth)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1111429991,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0405 Oceanography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0405 Oceanography,,
13,100,pub.1113619712,10.3390/w11040818,,,Evaluation and Hydrological Application of TRMM and GPM Precipitation Products in a Tropical Monsoon Basin of Thailand,Water,,,2019-04-19,2019,11,4,818,All OA; Gold,Article,"Li, Rui; Shi, Jiancheng; Ji, Dabin; Zhao, Tianjie; Plermkamon, Vichian; Moukomla, Sitthisak; Kuntiyawichai, Kittiwet; Kruasilp, Jiratiwan",,"Li, Rui (State Key Laboratory of Remote Sensing Science); Shi, Jiancheng (State Key Laboratory of Remote Sensing Science); Ji, Dabin (State Key Laboratory of Remote Sensing Science); Zhao, Tianjie (State Key Laboratory of Remote Sensing Science); Plermkamon, Vichian (Khon Kaen University); Moukomla, Sitthisak (); Kuntiyawichai, Kittiwet (Khon Kaen University); Kruasilp, Jiratiwan ()",0,0,,,https://www.mdpi.com/2073-4441/11/4/818/pdf,https://app.dimensions.ai/details/publication/pub.1113619712,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,
14,200,pub.1112902185,10.1016/j.scib.2019.03.018,,,Precipitation differences cause contrast patterns of glacier-melt water supplied discharge of two glacier basins between northern and southern Third Pole,Science Bulletin,,,2019-04,2019,64,Nat Clim Change 2 2012,431-434,All OA; Gold,Article,"Yao, Ruzhen; Shi, Jiancheng","Yao, Ruzhen","Yao, Ruzhen (Chinese Academy of Sciences); Shi, Jiancheng (Chinese Academy of Sciences)",0,0,,,http://engine.scichina.com/doi/pdf/3C2CA45FD9044DE791C2278FB8DD45F7,https://app.dimensions.ai/details/publication/pub.1112902185,,,,,,
15,100,pub.1112706346,10.1029/2018jd028976,,,Recovering Land Surface Temperature Under Cloudy Skies Considering the Solar‐Cloud‐Satellite Geometry: Application to MODIS and Landsat‐8 Data,Journal of Geophysical Research Atmospheres,,,2019-03-27,2019,124,6,3401-3416,Closed,Article,"Wang, Tianxing; Shi, Jiancheng; Ma, Ya; Husi, Letu; Comyn‐Platt, Edward; Ji, Dabin; Zhao, Tianjie; Xiong, Chuan",,"Wang, Tianxing (State Key Laboratory of Remote Sensing Science); Shi, Jiancheng (State Key Laboratory of Remote Sensing Science); Ma, Ya (Chinese Academy for Environmental Planning); Husi, Letu (State Key Laboratory of Remote Sensing Science); Comyn‐Platt, Edward (Centre for Ecology and Hydrology); Ji, Dabin (State Key Laboratory of Remote Sensing Science); Zhao, Tianjie (State Key Laboratory of Remote Sensing Science); Xiong, Chuan (State Key Laboratory of Remote Sensing Science)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1112706346,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
16,100,pub.1113044037,10.3390/rs11060730,,,Microwave Vegetation Index from Multi-Angular Observations and Its Application in Vegetation Properties Retrieval: Theoretical Modelling,Remote Sensing,,,2019-03-26,2019,11,6,730,All OA; Gold,Article,"Talebiesfandarani, Somayeh; Zhao, Tianjie; Shi, Jiancheng; Ferrazzoli, Paolo; Wigneron, Jean-Pierre; Zamani, Mehdi; Pani, Peejush",,"Talebiesfandarani, Somayeh (University of Chinese Academy of Sciences; Institute of Remote Sensing and Digital Earth); Zhao, Tianjie (Institute of Remote Sensing and Digital Earth); Shi, Jiancheng (Institute of Remote Sensing and Digital Earth); Ferrazzoli, Paolo (University of Rome Tor Vergata); Wigneron, Jean-Pierre (); Zamani, Mehdi (University of Chinese Academy of Sciences; Institute of Remote Sensing and Digital Earth); Pani, Peejush (University of Chinese Academy of Sciences; Institute of Remote Sensing and Digital Earth)",1,1,,,https://www.mdpi.com/2072-4292/11/6/730/pdf,https://app.dimensions.ai/details/publication/pub.1113044037,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 02 Physical Sciences; 0203 Classical Physics; 04 Earth Sciences,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,02 Physical Sciences,0203 Classical Physics
17,100,pub.1110030754,10.1109/jstars.2018.2879666,,,Assessment of MODIS-Based Fractional Snow Cover Products Over the Tibetan Plateau,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,,,2019-02,2019,12,2,533-548,Closed,Article,"Hao, Shirui; Jiang, Lingmei; Shi, Jiancheng; Wang, Gongxue; Liu, Xiaojing",,"Hao, Shirui (State Key Laboratory of Remote Sensing Science; East China Normal University); Jiang, Lingmei (State Key Laboratory of Remote Sensing Science); Shi, Jiancheng (Institute of Remote Sensing and Digital Earth; Lanzhou University); Wang, Gongxue (State Key Laboratory of Remote Sensing Science; Henan University); Liu, Xiaojing (State Key Laboratory of Remote Sensing Science; Northeastern University)",4,4,,,,https://app.dimensions.ai/details/publication/pub.1110030754,08 Information and Computing Sciences; 09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 0801 Artificial Intelligence and Image Processing; 04 Earth Sciences,08 Information and Computing Sciences,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,0801 Artificial Intelligence and Image Processing
18,100,pub.1109976128,10.1109/jstars.2018.2878229,,,Clear-Sky Longwave Downward Radiation Estimation by Integrating MODIS Data and Ground-Based Measurements,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,,,2019-02,2019,12,2,450-459,Closed,Article,"Zhou, Wang; Shi, Jiancheng; Wang, Tianxing; Peng, Bin; Zhao, Rui; Yu, Yuechi",,"Zhou, Wang (State Key Laboratory of Remote Sensing Science; University of Chinese Academy of Sciences; Beijing Normal University); Shi, Jiancheng (State Key Laboratory of Remote Sensing Science); Wang, Tianxing (State Key Laboratory of Remote Sensing Science; Beijing Normal University); Peng, Bin (National Center for Supercomputing Applications; Nanjing University); Zhao, Rui (State Key Laboratory of Remote Sensing Science; Jilin University); Yu, Yuechi (State Key Laboratory of Remote Sensing Science; University of Chinese Academy of Sciences; Wuhan University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1109976128,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
19,100,pub.1105590445,10.1109/jstars.2018.2851965,,,"Evaluation of the Himawari-8 Shortwave Downward Radiation (SWDR) Product and its Comparison With the CERES-SYN, MERRA-2, and ERA-Interim Datasets",IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,,,2019-02,2019,12,2,519-532,Closed,Article,"Yu, Yuechi; Shi, Jiancheng; Wang, Tianxing; Letu, Husi; Yuan, Pengfei; Zhou, Wang; Hu, Lu",,"Yu, Yuechi (State Key Laboratory of Remote Sensing Science; University of Chinese Academy of Sciences; Wuhan University); Shi, Jiancheng (State Key Laboratory of Remote Sensing Science); Wang, Tianxing (State Key Laboratory of Remote Sensing Science; Beijing Normal University); Letu, Husi (State Key Laboratory of Remote Sensing Science; Inner Mongolia Normal University); Yuan, Pengfei (Wuhan University); Zhou, Wang (State Key Laboratory of Remote Sensing Science; University of Chinese Academy of Sciences; Beijing Normal University); Hu, Lu (State Key Laboratory of Remote Sensing Science; University of Chinese Academy of Sciences)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1105590445,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
20,100,pub.1111650516,10.3390/rs11030226,,,Mathematical Assessment of the Effects of Substituting the Band Radiative Transfer Equation (RTE) for the Spectral RTE in the Applications of Earth’s Surface Temperature Retrievals from Spaceborne Infrared Imageries,Remote Sensing,,,2019-01-22,2019,11,3,226,All OA; Gold,Article,"Liu, Chunguang; Shi, Jiancheng; Wang, Tianxing; Ram, Kirpa; Zhao, Tianjie",,"Liu, Chunguang (Institute of Remote Sensing and Digital Earth; University of Chinese Academy of Sciences); Shi, Jiancheng (Institute of Remote Sensing and Digital Earth); Wang, Tianxing (Institute of Remote Sensing and Digital Earth); Ram, Kirpa (Banaras Hindu University; Institute of Tibetan Plateau Research); Zhao, Tianjie (Institute of Remote Sensing and Digital Earth)",0,0,,,https://www.mdpi.com/2072-4292/11/3/226/pdf,https://app.dimensions.ai/details/publication/pub.1111650516,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 02 Physical Sciences; 0203 Classical Physics; 04 Earth Sciences,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,02 Physical Sciences,0203 Classical Physics
21,100,pub.1106382745,10.1002/joc.5826,,,Spatiotemporal distributions of cloud parameters and their response to meteorological factors over the Tibetan Plateau during 2003–2015 based on MODIS data,International Journal of Climatology,,,2019-01,2019,39,1,532-543,All OA; Gold,Article,"Bao, Shanhu; Letu, Husi; Zhao, Jun; Shang, Huazhe; Lei, Yonghui; Duan, Anmin; Chen, Bing; Bao, Yuhai; He, Jie; Wang, Tianxing; Ji, Dabin; Tana, Gegen; Shi, Jiancheng",,"Bao, Shanhu (Northwest Normal University; Inner Mongolia Normal University); Letu, Husi (); Zhao, Jun (Northwest Normal University); Shang, Huazhe (); Lei, Yonghui (); Duan, Anmin (Institute of Atmospheric Physics); Chen, Bing (Yunnan University); Bao, Yuhai (Inner Mongolia Normal University); He, Jie (); Wang, Tianxing (); Ji, Dabin (); Tana, Gegen (Beijing Normal University); Shi, Jiancheng ()",1,1,,,https://rmets.onlinelibrary.wiley.com/doi/pdf/10.1002/joc.5826,https://app.dimensions.ai/details/publication/pub.1106382745,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
