,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is John Michael Melack. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1113383600,10.1016/j.gloplacha.2019.04.001,,,Mountain lakes: Eyes on global environmental change,Global and Planetary Change,,,2019-07,2019,178,Limnol. Oceanogr. 54 2009,77-95,Closed,Article,"Moser, K.A.; Baron, J.S.; Brahney, J.; Oleksy, I.A.; Saros, J.E.; Hundey, E.J.; Sadro, S.A.; Kopáček, J.; Sommaruga, R.; Kainz, M.J.; Strecker, A.L.; Chandra, S.; Walters, D.M.; Preston, D.L.; Michelutti, N.; Lepori, F.; Spaulding, S.A.; Christianson, K.R.; Melack, J.M.; Smol, J.P.","Moser, K.A.","Moser, K.A. (Western University); Baron, J.S. (Colorado State University); Brahney, J. (Utah State University); Oleksy, I.A. (Colorado State University); Saros, J.E. (University of Maine); Hundey, E.J. (Western University); Sadro, S.A. (University of California, Davis); Kopáček, J. (Institute of Hydrobiology (ASCR)); Sommaruga, R. (); Kainz, M.J. (); Strecker, A.L. (Portland State University); Chandra, S. (University of Nevada Reno); Walters, D.M. (United States Geological Survey); Preston, D.L. (University of Wisconsin–Madison); Michelutti, N. (Queen's University); Lepori, F. (University of Applied Sciences and Arts of Southern Switzerland); Spaulding, S.A. (); Christianson, K.R. (Colorado State University); Melack, J.M. (University of California, Santa Barbara); Smol, J.P. (Queen's University)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1113383600,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
2,100,pub.1113824131,10.3390/rs11091014,,,Detecting Land Degradation in Eastern China Grasslands with Time Series Segmentation and Residual Trend analysis (TSS-RESTREND) and GIMMS NDVI3g Data,Remote Sensing,,,2019-04-29,2019,11,9,1014,All OA; Gold,Article,"Liu, Caixia; Melack, John; Tian, Ye; Huang, Huabing; Jiang, Jinxiong; Fu, Xiao; Zhang, Zhouai",,"Liu, Caixia (State Key Laboratory of Remote Sensing Science; University of California, Santa Barbara); Melack, John (University of California, Santa Barbara); Tian, Ye (State Key Laboratory of Remote Sensing Science); Huang, Huabing (State Key Laboratory of Remote Sensing Science); Jiang, Jinxiong (); Fu, Xiao (Research Center for Eco-Environmental Sciences); Zhang, Zhouai ()",2,2,,,https://www.mdpi.com/2072-4292/11/9/1014/pdf,https://app.dimensions.ai/details/publication/pub.1113824131,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 02 Physical Sciences; 0203 Classical Physics; 04 Earth Sciences,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,02 Physical Sciences,0203 Classical Physics
3,100,pub.1112850655,10.1029/2018wr023897,,,Seasonal and Interannual Patterns and Controls of Hydrological Fluxes in an Amazon Floodplain Lake With a Surface‐Subsurface Process Model,Water Resources Research,,,2019-04,2019,55,4,3056-3075,Closed,Article,"Ji, Xinye; Lesack, Lance F. W.; Melack, John M.; Wang, Shilong; Riley, William J.; Shen, Chaopeng",,"Ji, Xinye (Pennsylvania State University); Lesack, Lance F. W. (Simon Fraser University); Melack, John M. (University of California, Santa Barbara); Wang, Shilong (Pennsylvania State University); Riley, William J. (Lawrence Berkeley National Laboratory); Shen, Chaopeng (Pennsylvania State University)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1112850655,09 Engineering; 14 Economics; 0905 Civil Engineering; 1402 Applied Economics; 0907 Environmental Engineering,09 Engineering,14 Economics,0905 Civil Engineering,1402 Applied Economics,0907 Environmental Engineering
4,100,pub.1112016837,10.1016/j.ecss.2019.02.004,,,Contribution of macroalgal wrack consumers to dissolved inorganic nitrogen concentrations in intertidal pore waters of sandy beaches,Estuarine Coastal and Shelf Science,,,2019-04,2019,219,J. Geophys. Res. Biogeosci. 123 2018,363-371,Closed,Article,"Lowman, Heili E.; Emery, Kyle A.; Kubler-Dudgeon, Lila; Dugan, Jenifer E.; Melack, John M.","Lowman, Heili E.","Lowman, Heili E. (University of California, Santa Barbara); Emery, Kyle A. (University of California, Santa Barbara); Kubler-Dudgeon, Lila (University of California, Santa Barbara); Dugan, Jenifer E. (University of California, Santa Barbara); Melack, John M. (University of California, Santa Barbara)",3,3,,,,https://app.dimensions.ai/details/publication/pub.1112016837,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
5,100,pub.1112466782,10.1007/s10533-019-00554-9,,,Seasonal and spatial variability of CO2 in aquatic environments of the central lowland Amazon basin,Biogeochemistry,,,2019-03,2019,143,1,133-149,Closed,Article,"Amaral, João Henrique F.; Farjalla, Vinicius F.; Melack, John M.; Kasper, Daniele; Scofield, Vinicius; Barbosa, Pedro M.; Forsberg, Bruce R.","Amaral, João Henrique F.","Amaral, João Henrique F. (National Institute of Amazonian Research; University of California, Santa Barbara); Farjalla, Vinicius F. (Federal University of Rio de Janeiro); Melack, John M. (University of California, Santa Barbara); Kasper, Daniele (Federal University of Rio de Janeiro); Scofield, Vinicius (Federal University of Rio de Janeiro; Ministry of the Environment); Barbosa, Pedro M. (University of California, Santa Barbara; Federal University of Rio de Janeiro); Forsberg, Bruce R. (National Institute of Amazonian Research)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1112466782,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
6,100,pub.1111768250,10.1007/s10584-019-02371-3,,,Propagation of future climate conditions into hydrologic response from coastal southern California watersheds,Climatic Change,,,2019-03,2019,153,1-2,199-218,"All OA; Green, Accepted & Submitted",Article,"Feng, Dongmei; Beighley, Edward; Raoufi, Roozbeh; Melack, John; Zhao, Yuanhao; Iacobellis, Sam; Cayan, Daniel","Feng, Dongmei","Feng, Dongmei (Northeastern University); Beighley, Edward (Northeastern University); Raoufi, Roozbeh (Northeastern University); Melack, John (University of California, Santa Barbara); Zhao, Yuanhao (Northeastern University); Iacobellis, Sam (University of California, San Diego); Cayan, Daniel (University of California, San Diego)",4,4,,,http://link.springer.com/10.1007/s10584-019-02371-3,https://app.dimensions.ai/details/publication/pub.1111768250,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0401 Atmospheric Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0401 Atmospheric Sciences,,
7,100,pub.1110342408,10.1002/lol2.10099,,,Climate warming response of mountain lakes affected by variations in snow,Limnology and Oceanography Letters,,,2019-02,2019,4,1,9-17,All OA; Gold,Article,"Sadro, Steven; Melack, John M.; Sickman, James O.; Skeen, Kevin",,"Sadro, Steven (University of California, Davis); Melack, John M. (University of California, Santa Barbara); Sickman, James O. (University of California, Riverside); Skeen, Kevin (University of California, Riverside)",3,3,,,https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.1002/lol2.10099,https://app.dimensions.ai/details/publication/pub.1110342408,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
8,100,pub.1110029534,10.1016/j.jglr.2018.11.001,,,Stratification and mixing in large floodplain lakes along the lower Amazon River,Journal of Great Lakes Research,,,2019-02,2019,45,Remote Sens. Environ. 130 2013,61-72,All OA; Gold,Article,"Augusto-Silva, Pétala Bianchi; MacIntyre, Sally; de Moraes Rudorff, Conrado; Cortés, Alicia; Melack, John Michael","Augusto-Silva, Pétala Bianchi","Augusto-Silva, Pétala Bianchi (National Institute for Space Research); MacIntyre, Sally (University of California, Santa Barbara); de Moraes Rudorff, Conrado (); Cortés, Alicia (University of California, Santa Barbara); Melack, John Michael (University of California, Santa Barbara)",5,5,,,https://doi.org/10.1016/j.jglr.2018.11.001,https://app.dimensions.ai/details/publication/pub.1110029534,0915 Interdisciplinary Engineering; 09 Engineering; 0907 Environmental Engineering,0915 Interdisciplinary Engineering,09 Engineering,0907 Environmental Engineering,,
9,100,pub.1110635759,10.1002/lno.11092,,,Long‐term perspectives in aquatic research,Limnology and Oceanography,,,2018-12-14,2018,64,S1,s2-s10,All OA; Gold,Article,"Hampton, Stephanie E.; Scheuerell, Mark D.; Church, Matthew J.; Melack, John M.",,"Hampton, Stephanie E. (Washington State University); Scheuerell, Mark D. (Northwest Fisheries Science Center); Church, Matthew J. (); Melack, John M. (University of California, Santa Barbara)",1,1,,,https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.1002/lno.11092,https://app.dimensions.ai/details/publication/pub.1110635759,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
