,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Jonathan M Levine. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,500,pub.1117859700,10.1016/j.tree.2019.05.007,31300168,,The Invasion Criterion: A Common Currency for Ecological Research,Trends in Ecology & Evolution,,,2019-10,2019,34,10,925-935,Closed,Article,"Grainger, Tess Nahanni; Levine, Jonathan M.; Gilbert, Benjamin","Grainger, Tess Nahanni","Grainger, Tess Nahanni (Princeton University); Levine, Jonathan M. (Princeton University); Gilbert, Benjamin (University of Toronto)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1117859700,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
2,500,pub.1115924861,10.1111/ele.13280,31134744,,Winning and losing with microbes: how microbially mediated fitness differences influence plant diversity,Ecology Letters,,Biodiversity; Plants; Population Dynamics; Soil; Soil Microbiology,2019-05-27,2019,22,8,1178-1191,Closed,Article,"Kandlikar, Gaurav S.; Johnson, Christopher A.; Yan, Xinyi; Kraft, Nathan J. B.; Levine, Jonathan M.",,"Kandlikar, Gaurav S. (University of California Los Angeles); Johnson, Christopher A. (Swiss Federal Institute of Technology in Zurich); Yan, Xinyi (University of California Los Angeles); Kraft, Nathan J. B. (University of California Los Angeles); Levine, Jonathan M. (Swiss Federal Institute of Technology in Zurich; Princeton University)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1115924861,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0602 Ecology,06 Biological Sciences,,
3,500,pub.1112642247,10.1073/pnas.1820569116,30850526,PMC6442642,Earlier phenology of a nonnative plant increases impacts on native competitors,Proceedings of the National Academy of Sciences,,"Adaptation, Physiological; California; Climate; Ecosystem; Europe; Flowers; Introduced Species; Lettuce",2019-03-26,2019,116,13,201820569,Closed,Article,"Alexander, Jake M.; Levine, Jonathan M.",,"Alexander, Jake M. (Swiss Federal Institute of Technology in Zurich); Levine, Jonathan M. (Swiss Federal Institute of Technology in Zurich)",3,3,,,,https://app.dimensions.ai/details/publication/pub.1112642247,0602 Ecology; 0502 Environmental Science and Management; 0607 Plant Biology; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0607 Plant Biology,05 Environmental Sciences,06 Biological Sciences
4,500,pub.1112198291,10.1038/s41559-019-0797-2,30778190,,Ecosystem tipping points in an evolving world,Nature Ecology & Evolution,,"Biological Evolution; Climate Change; Conservation of Natural Resources; Ecosystem; Models, Biological",2019-03,2019,3,3,355-362,Closed,Article,"Dakos, Vasilis; Matthews, Blake; Hendry, Andrew P.; Levine, Jonathan; Loeuille, Nicolas; Norberg, Jon; Nosil, Patrik; Scheffer, Marten; De Meester, Luc","Dakos, Vasilis","Dakos, Vasilis (University of Montpellier); Matthews, Blake (Swiss Federal Institute of Aquatic Science and Technology); Hendry, Andrew P. (McGill University); Levine, Jonathan (Swiss Federal Institute of Technology in Zurich); Loeuille, Nicolas (); Norberg, Jon (Stockholm University); Nosil, Patrik (University of Sheffield); Scheffer, Marten (Wageningen University & Research); De Meester, Luc (KU Leuven)",4,4,,,,https://app.dimensions.ai/details/publication/pub.1112198291,0602 Ecology; 0502 Environmental Science and Management; 0603 Evolutionary Biology; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0603 Evolutionary Biology,0501 Ecological Applications,05 Environmental Sciences
5,500,pub.1111512186,10.1073/pnas.1816298116,30659157,PMC6369787,Effects of rapid evolution on species coexistence,Proceedings of the National Academy of Sciences,,"Algorithms; Analysis of Variance; Biodiversity; Biological Evolution; Models, Theoretical; Population Dynamics; Quantitative Trait, Heritable; Selection, Genetic",2019-02-05,2019,116,6,201816298,Closed,Article,"Hart, Simon P.; Turcotte, Martin M.; Levine, Jonathan M.",,"Hart, Simon P. (Swiss Federal Institute of Technology in Zurich); Turcotte, Martin M. (University of Pittsburgh); Levine, Jonathan M. (Swiss Federal Institute of Technology in Zurich)",9,9,,,,https://app.dimensions.ai/details/publication/pub.1111512186,0602 Ecology; 0502 Environmental Science and Management; 0603 Evolutionary Biology; 0604 Genetics; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0603 Evolutionary Biology,0604 Genetics,05 Environmental Sciences
6,100,pub.1105577818,10.1111/1365-2745.13045,,,Evolution during population spread affects plant performance in stressful environments,Journal of Ecology,,,2019-01,2019,107,1,396-406,Closed,Article,"Lustenhouwer, Nicky; Williams, Jennifer L.; Levine, Jonathan M.",,"Lustenhouwer, Nicky (Swiss Federal Institute of Technology in Zurich); Williams, Jennifer L. (University of British Columbia); Levine, Jonathan M. (Swiss Federal Institute of Technology in Zurich)",3,3,,,,https://app.dimensions.ai/details/publication/pub.1105577818,0604 Genetics; 0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0604 Genetics,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,
7,500,pub.1106679931,10.1111/ele.13108,30187645,,Species persistence under climate change: a geographical scale coexistence problem,Ecology Letters,,"Animals; Biodiversity; Climate Change; Ecosystem; Geography; Models, Biological; Population Dynamics",2018-11,2018,21,11,1589-1603,Closed,Article,"Usinowicz, Jacob; Levine, Jonathan M.",,"Usinowicz, Jacob (Swiss Federal Institute of Technology in Zurich); Levine, Jonathan M. (Swiss Federal Institute of Technology in Zurich)",4,4,,,,https://app.dimensions.ai/details/publication/pub.1106679931,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
8,100,pub.1107818982,10.1101/447227,,,Ecosystem tipping points in an evolving world,bioRxiv,,,2018-10-24,2018,,,447227,"All OA; Green, Published",Preprint,"Dakos, Vasilis; Matthews, Blake; Hendry, Andrew; Levine, Jonathan; Loeuille, Nicolas; Norberg, Jon; Nosil, Patrik; Scheffer, Marten; De Meester, Luc",,"Dakos, Vasilis (University of Montpellier); Matthews, Blake (Swiss Federal Institute of Aquatic Science and Technology); Hendry, Andrew (McGill University); Levine, Jonathan (Swiss Federal Institute of Technology in Zurich); Loeuille, Nicolas (Sorbonne University); Norberg, Jon (Stockholm University); Nosil, Patrik (); Scheffer, Marten (Wageningen University & Research); De Meester, Luc (KU Leuven)",1,1,,,https://www.biorxiv.org/content/biorxiv/early/2018/10/24/447227.full.pdf,https://app.dimensions.ai/details/publication/pub.1107818982,0602 Ecology; 0502 Environmental Science and Management; 0603 Evolutionary Biology; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0603 Evolutionary Biology,0501 Ecological Applications,05 Environmental Sciences
9,100,pub.1106161526,10.1111/1365-2745.13028,,,A competition–defence trade‐off both promotes and weakens coexistence in an annual plant community,Journal of Ecology,,,2018-09,2018,106,5,1806-1818,"All OA; Green, Accepted & Submitted",Article,"Petry, William K.; Kandlikar, Gaurav S.; Kraft, Nathan J. B.; Godoy, Oscar; Levine, Jonathan M.",,"Petry, William K. (Swiss Federal Institute of Technology in Zurich); Kandlikar, Gaurav S. (University of California Los Angeles); Kraft, Nathan J. B. (University of California Los Angeles); Godoy, Oscar (Institute of Natural Resources and Agrobiology of Seville); Levine, Jonathan M. (Swiss Federal Institute of Technology in Zurich)",2,2,,,https://zenodo.org/record/2528581/files/Petry%20JECOL%202018%20postprint.pdf,https://app.dimensions.ai/details/publication/pub.1106161526,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
