,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Joseph C Blankinship. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,500,pub.1107441753,10.1111/gcb.14471,30295387,,Quantifying the legacy of snowmelt timing on soil greenhouse gas emissions in a seasonally dry montane forest,Global Change Biology,,California; Carbon Dioxide; Ecosystem; Forests; Greenhouse Gases; Methane; Nitrous Oxide; Seasons; Snow; Soil,2018-12,2018,24,12,5933-5947,Closed,Article,"Blankinship, Joseph C.; McCorkle, Emma P.; Meadows, Matthew W.; Hart, Stephen C.",,"Blankinship, Joseph C. (University of California, Merced); McCorkle, Emma P. (University of California, Merced); Meadows, Matthew W. (University of California, Merced); Hart, Stephen C. (University of California, Merced)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1107441753,0605 Microbiology; 0503 Soil Sciences; 05 Environmental Sciences; 06 Biological Sciences,0605 Microbiology,0503 Soil Sciences,05 Environmental Sciences,06 Biological Sciences,
2,500,pub.1105852732,10.1002/ecy.2473,30047578,,Effects of altered dry season length and plant inputs on soluble soil carbon,Ecology,,Biomass; Carbon; Carbon Cycle; Seasons; Soil,2018-10,2018,99,10,2348-2362,Closed,Article,"Homyak, Peter M.; Blankinship, Joseph C.; Slessarev, Eric W.; Schaeffer, Sean M.; Manzoni, Stefano; Schimel, Joshua P.",,"Homyak, Peter M. (University of California, Riverside); Blankinship, Joseph C. (University of Arizona); Slessarev, Eric W. (University of California, Santa Barbara); Schaeffer, Sean M. (University of Tennessee at Knoxville); Manzoni, Stefano (Stockholm University); Schimel, Joshua P. (University of California, Santa Barbara)",5,5,,,,https://app.dimensions.ai/details/publication/pub.1105852732,0605 Microbiology; 0503 Soil Sciences; 05 Environmental Sciences; 06 Biological Sciences,0605 Microbiology,0503 Soil Sciences,05 Environmental Sciences,06 Biological Sciences,
3,100,pub.1105456812,10.1016/j.soilbio.2018.07.009,,,Environmental controls on extracellular polysaccharide accumulation in a California grassland soil,Soil Biology and Biochemistry,,,2018-10,2018,125,Soil and Tillage Research 39 1996,86-92,Closed,Article,"Marchus, Kenneth A.; Blankinship, Joseph C.; Schimel, Joshua P.","Schimel, Joshua P.","Marchus, Kenneth A. (University of California, Santa Barbara); Blankinship, Joseph C. (University of California, Santa Barbara); Schimel, Joshua P. (University of California, Santa Barbara)",3,3,,,,https://app.dimensions.ai/details/publication/pub.1105456812,0703 Crop and Pasture Production; 0605 Microbiology; 0503 Soil Sciences; 05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0703 Crop and Pasture Production,0605 Microbiology,0503 Soil Sciences,05 Environmental Sciences,06 Biological Sciences
4,100,pub.1105908108,10.1007/s10533-018-0478-2,,,"Improving understanding of soil organic matter dynamics by triangulating theories, measurements, and models",Biogeochemistry,,,2018-08,2018,140,1,1-13,Closed,Article,"Blankinship, Joseph C.; Berhe, Asmeret Asefaw; Crow, Susan E.; Druhan, Jennifer L.; Heckman, Katherine A.; Keiluweit, Marco; Lawrence, Corey R.; Marín-Spiotta, Erika; Plante, Alain F.; Rasmussen, Craig; Schädel, Christina; Schimel, Joshua P.; Sierra, Carlos A.; Thompson, Aaron; Wagai, Rota; Wieder, William R.","Blankinship, Joseph C.","Blankinship, Joseph C. (University of Arizona); Berhe, Asmeret Asefaw (University of California, Merced); Crow, Susan E. (University of Hawaii at Manoa); Druhan, Jennifer L. (University of Illinois at Urbana Champaign); Heckman, Katherine A. (US Forest Service); Keiluweit, Marco (University of Massachusetts Amherst); Lawrence, Corey R. (United States Geological Survey); Marín-Spiotta, Erika (University of Wisconsin–Madison); Plante, Alain F. (University of Pennsylvania); Rasmussen, Craig (University of Arizona); Schädel, Christina (Northern Arizona University); Schimel, Joshua P. (University of California, Santa Barbara); Sierra, Carlos A. (Max Planck Institute for Biogeochemistry); Thompson, Aaron (University of Georgia); Wagai, Rota (National Agriculture and Food Research Organization); Wieder, William R. (Institute of Arctic and Alpine Research; Climate and Global Dynamics Laboratory)",6,6,,,,https://app.dimensions.ai/details/publication/pub.1105908108,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
5,100,pub.1101197077,10.3390/soilsystems2010010,,,Biotic versus Abiotic Controls on Bioavailable Soil Organic Carbon,Soil Systems,,,2018-02-22,2018,2,1,10,All OA; Gold,Article,"Blankinship, Joseph C.; Schimel, Joshua P.",,"Blankinship, Joseph C. (University of Arizona); Schimel, Joshua P. ()",5,5,,,https://www.mdpi.com/2571-8789/2/1/10/pdf,https://app.dimensions.ai/details/publication/pub.1101197077,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
6,500,pub.1092086112,10.1111/gcb.13896,28981192,,"Networking our science to characterize the state, vulnerabilities, and management opportunities of soil organic matter",Global Change Biology,,"Agriculture; Carbon; Carbon Cycle; Carbon Sequestration; Climate; Climate Change; Databases, Factual; Ecosystem; International Cooperation; Models, Theoretical; Soil",2018-02,2018,24,2,e705-e718,All OA; Gold,Article,"Harden, Jennifer W.; Hugelius, Gustaf; Ahlström, Anders; Blankinship, Joseph C.; Bond‐Lamberty, Ben; Lawrence, Corey R.; Loisel, Julie; Malhotra, Avni; Jackson, Robert B.; Ogle, Stephen; Phillips, Claire; Ryals, Rebecca; Todd‐Brown, Katherine; Vargas, Rodrigo; Vergara, Sintana E.; Cotrufo, M. Francesca; Keiluweit, Marco; Heckman, Katherine A.; Crow, Susan E.; Silver, Whendee L.; DeLonge, Marcia; Nave, Lucas E.",,"Harden, Jennifer W. (Stanford University; United States Geological Survey); Hugelius, Gustaf (Stanford University; Stockholm University); Ahlström, Anders (Stanford University); Blankinship, Joseph C. (University of Arizona); Bond‐Lamberty, Ben (University of Maryland, College Park); Lawrence, Corey R. (United States Geological Survey); Loisel, Julie (Texas A&M University); Malhotra, Avni (Oak Ridge National Laboratory); Jackson, Robert B. (Stanford University); Ogle, Stephen (Colorado State University); Phillips, Claire (); Ryals, Rebecca (University of Hawaii at Manoa); Todd‐Brown, Katherine (Pacific Northwest National Laboratory); Vargas, Rodrigo (University of Delaware); Vergara, Sintana E. (University of California, Berkeley); Cotrufo, M. Francesca (Colorado State University); Keiluweit, Marco (University of Massachusetts Amherst); Heckman, Katherine A. (Northern Research Station); Crow, Susan E. (University of Hawaii at Manoa); Silver, Whendee L. (University of California, Berkeley); DeLonge, Marcia (); Nave, Lucas E. ()",22,22,,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/gcb.13896,https://app.dimensions.ai/details/publication/pub.1092086112,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
7,100,pub.1100808879,10.1007/s10533-018-0424-3,,,Beyond clay: towards an improved set of variables for predicting soil organic matter content,Biogeochemistry,,,2018-02,2018,137,3,297-306,Closed,Article,"Rasmussen, Craig; Heckman, Katherine; Wieder, William R.; Keiluweit, Marco; Lawrence, Corey R.; Berhe, Asmeret Asefaw; Blankinship, Joseph C.; Crow, Susan E.; Druhan, Jennifer L.; Hicks Pries, Caitlin E.; Marin-Spiotta, Erika; Plante, Alain F.; Schädel, Christina; Schimel, Joshua P.; Sierra, Carlos A.; Thompson, Aaron; Wagai, Rota","Rasmussen, Craig","Rasmussen, Craig (University of Arizona); Heckman, Katherine (US Forest Service); Wieder, William R. (University of Colorado Boulder); Keiluweit, Marco (University of Massachusetts Amherst); Lawrence, Corey R. (United States Geological Survey); Berhe, Asmeret Asefaw (University of California, Merced); Blankinship, Joseph C. (University of Arizona); Crow, Susan E. (University of Hawaii at Manoa); Druhan, Jennifer L. (University of Illinois at Urbana Champaign); Hicks Pries, Caitlin E. (Dartmouth College); Marin-Spiotta, Erika (University of Wisconsin–Madison); Plante, Alain F. (University of Pennsylvania); Schädel, Christina (Northern Arizona University); Schimel, Joshua P. (University of California, Santa Barbara); Sierra, Carlos A. (Max Planck Institute for Biogeochemistry); Thompson, Aaron (University of Georgia); Wagai, Rota (National Agriculture and Food Research Organization)",57,57,,,,https://app.dimensions.ai/details/publication/pub.1100808879,0503 Soil Sciences; 04 Earth Sciences; 05 Environmental Sciences; 0406 Physical Geography and Environmental Geoscience,0503 Soil Sciences,04 Earth Sciences,05 Environmental Sciences,0406 Physical Geography and Environmental Geoscience,
8,100,pub.1091900535,10.1016/j.soilbio.2017.09.005,,,Linking NO and N2O emission pulses with the mobilization of mineral and organic N upon rewetting dry soils,Soil Biology and Biochemistry,,,2017-12,2017,115,Soil Biology Biochemistry 41 2009,461-466,Closed,Article,"Leitner, Sonja; Homyak, Peter M.; Blankinship, Joseph C.; Eberwein, Jennifer; Jenerette, G. Darrel; Zechmeister-Boltenstern, Sophie; Schimel, Joshua P.","Leitner, Sonja","Leitner, Sonja (University of Natural Resources and Life Sciences; University of California, Santa Barbara); Homyak, Peter M. (University of California, Santa Barbara; University of California, Irvine); Blankinship, Joseph C. (University of California, Santa Barbara; University of Arizona); Eberwein, Jennifer (University of California, Riverside); Jenerette, G. Darrel (University of California, Riverside); Zechmeister-Boltenstern, Sophie (University of Natural Resources and Life Sciences); Schimel, Joshua P. (University of California, Santa Barbara)",12,12,,4.96,,https://app.dimensions.ai/details/publication/pub.1091900535,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
9,100,pub.1090357661,10.1016/j.soilbio.2017.06.023,,,Estimating decay dynamics for enzyme activities in soils from different ecosystems,Soil Biology and Biochemistry,,,2017-11,2017,114,Biogeochemistry 81 2006,5-11,Closed,Article,"Schimel, Joshua; Becerra, Caryl Ann; Blankinship, Joseph","Schimel, Joshua","Schimel, Joshua (University of California, Santa Barbara); Becerra, Caryl Ann (University of California, Santa Barbara); Blankinship, Joseph (University of California, Santa Barbara)",31,31,,12.81,,https://app.dimensions.ai/details/publication/pub.1090357661,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
