,"""About the data: Exported on Oct 31, 2019. Criteria: Researcher is Joseph P Mcfadden. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1116483076,10.1029/2018jd029576,,,Spatial Modeling of Local‐Scale Biogenic and Anthropogenic Carbon Dioxide Emissions in Helsinki,Journal of Geophysical Research Atmospheres,,,2019-08-02,2019,124,15,8363-8384,All OA; Gold,Article,"Järvi, Leena; Havu, Minttu; Ward, Helen C.; Bellucco, Veronica; McFadden, Joseph P.; Toivonen, Tuuli; Heikinheimo, Vuokko; Kolari, Pasi; Riikonen, Anu; Grimmond, C. Sue B.",,"Järvi, Leena (University of Helsinki); Havu, Minttu (University of Helsinki); Ward, Helen C. (University of Reading); Bellucco, Veronica (University of Sassari); McFadden, Joseph P. (University of California, Santa Barbara); Toivonen, Tuuli (University of Helsinki); Heikinheimo, Vuokko (University of Helsinki); Kolari, Pasi (University of Helsinki); Riikonen, Anu (University of Helsinki); Grimmond, C. Sue B. (University of Reading)",1,1,,,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2018JD029576,https://app.dimensions.ai/details/publication/pub.1116483076,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
2,100,pub.1111248600,10.1016/j.rse.2018.12.030,,,Using paired thermal and hyperspectral aerial imagery to quantify land surface temperature variability and assess crop stress within California orchards,Remote Sensing of Environment,,,2019-03,2019,222,Precis. Agric. 11 2010,215-231,Closed,Article,"Shivers, Sarah W.; Roberts, Dar A.; McFadden, Joseph P.","Shivers, Sarah W.","Shivers, Sarah W. (University of California, Santa Barbara); Roberts, Dar A. (University of California, Santa Barbara); McFadden, Joseph P. (University of California, Santa Barbara)",4,4,,,,https://app.dimensions.ai/details/publication/pub.1111248600,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0404 Geophysics
3,100,pub.1104596220,10.1016/j.jag.2018.05.021,,,Urban tree health assessment using airborne hyperspectral and LiDAR imagery,International Journal of Applied Earth Observation and Geoinformation,,,2018-12,2018,73,Remote Sens. Environ. 80 2002,26-38,Closed,Article,"Degerickx, J.; Roberts, D.A.; McFadden, J.P.; Hermy, M.; Somers, B.","Degerickx, J.","Degerickx, J. (KU Leuven); Roberts, D.A. (University of California, Santa Barbara); McFadden, J.P. (University of California, Santa Barbara); Hermy, M. (KU Leuven); Somers, B. (KU Leuven)",8,8,,,,https://app.dimensions.ai/details/publication/pub.1104596220,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,
4,100,pub.1104519362,10.1007/s11252-018-0769-3,,,Gross primary productivity of a large metropolitan region in midsummer using high spatial resolution satellite imagery,Urban Ecosystems,,,2018-10,2018,21,5,831-850,"All OA; Green, Accepted & Submitted",Article,"Miller, David L.; Roberts, Dar A.; Clarke, Keith C.; Lin, Yang; Menzer, Olaf; Peters, Emily B.; McFadden, Joseph P.","Miller, David L.","Miller, David L. (University of California, Santa Barbara); Roberts, Dar A. (University of California, Santa Barbara); Clarke, Keith C. (University of California, Santa Barbara); Lin, Yang (University of California, Berkeley); Menzer, Olaf (University of California, Santa Barbara); Peters, Emily B. (Minnesota Department of Natural Resources); McFadden, Joseph P. (University of California, Santa Barbara)",0,0,,,https://escholarship.org/content/qt4bf9299r/qt4bf9299r.pdf?t=phrmwn,https://app.dimensions.ai/details/publication/pub.1104519362,0501 Ecological Applications; 05 Environmental Sciences; 0602 Ecology; 06 Biological Sciences,0501 Ecological Applications,05 Environmental Sciences,0602 Ecology,06 Biological Sciences,
5,100,pub.1107292321,10.3390/rs10101556,,,Using Imaging Spectrometry to Study Changes in Crop Area in California’s Central Valley during Drought,Remote Sensing,,,2018-09-27,2018,10,10,1556,All OA; Gold,Article,"Shivers, Sarah W.; Roberts, Dar A.; McFadden, Joseph P.; Tague, Christina",,"Shivers, Sarah W. (University of California, Santa Barbara); Roberts, Dar A. (University of California, Santa Barbara); McFadden, Joseph P. (University of California, Santa Barbara); Tague, Christina (University of California, Santa Barbara)",2,2,,,https://www.mdpi.com/2072-4292/10/10/1556/pdf,https://app.dimensions.ai/details/publication/pub.1107292321,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 02 Physical Sciences; 0203 Classical Physics; 04 Earth Sciences,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,02 Physical Sciences,0203 Classical Physics
6,100,pub.1103954552,10.1016/j.rse.2018.04.051,,,Megacity-scale analysis of urban vegetation temperatures,Remote Sensing of Environment,,,2018-08,2018,213,Solar Energy Urban Environ. 70 2001,18-33,Closed,Article,"Wetherley, Erin B.; McFadden, Joseph P.; Roberts, Dar A.","Wetherley, Erin B.","Wetherley, Erin B. (University of California, Santa Barbara); McFadden, Joseph P. (University of California, Santa Barbara); Roberts, Dar A. (University of California, Santa Barbara)",6,6,,,,https://app.dimensions.ai/details/publication/pub.1103954552,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0404 Geophysics
7,100,pub.1099695932,10.5194/acp-17-14887-2017,,,Effects of vernal equinox solar eclipse on temperature and wind direction in Switzerland,Atmospheric Chemistry and Physics,,,2017-12-18,2017,17,24,14887-14904,All OA; Gold,Article,"Eugster, Werner; Emmel, Carmen; Wolf, Sebastian; Buchmann, Nina; McFadden, Joseph P.; Whiteman, Charles David",,"Eugster, Werner (Swiss Federal Institute of Technology in Zurich); Emmel, Carmen (Swiss Federal Institute of Technology in Zurich); Wolf, Sebastian (Swiss Federal Institute of Technology in Zurich); Buchmann, Nina (Swiss Federal Institute of Technology in Zurich); McFadden, Joseph P. (University of California, Santa Barbara); Whiteman, Charles David (University of Utah)",2,2,,0.74,https://www.atmos-chem-phys.net/17/14887/2017/acp-17-14887-2017.pdf,https://app.dimensions.ai/details/publication/pub.1099695932,0201 Astronomical and Space Sciences; 02 Physical Sciences; 04 Earth Sciences; 0401 Atmospheric Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,04 Earth Sciences,0401 Atmospheric Sciences,
8,500,pub.1090707265,10.1038/s41598-017-05733-y,28725047,PMC5517421,Warming effects on the urban hydrology in cold climate regions,Scientific Reports,,,2017-12,2017,7,1,5833,All OA; Gold,Article,"Järvi, L.; Grimmond, C. S. B.; McFadden, J. P.; Christen, A.; Strachan, I. B.; Taka, M.; Warsta, L.; Heimann, M.","Järvi, L.","Järvi, L. (University of Helsinki); Grimmond, C. S. B. (University of Reading); McFadden, J. P. (University of California, Santa Barbara); Christen, A. (University of British Columbia); Strachan, I. B. (McGill University); Taka, M. (University of Helsinki; Aalto University); Warsta, L. (Aalto University); Heimann, M. (University of Helsinki; Max Planck Institute of Biochemistry)",8,8,0,2.87,https://www.nature.com/articles/s41598-017-05733-y.pdf,https://app.dimensions.ai/details/publication/pub.1090707265,0601 Biochemistry and Cell Biology; 0299 Other Physical Sciences; 06 Biological Sciences; 02 Physical Sciences,0601 Biochemistry and Cell Biology,0299 Other Physical Sciences,06 Biological Sciences,02 Physical Sciences,
9,100,pub.1092114929,10.1016/j.atmosenv.2017.09.049,,,Statistical partitioning of a three-year time series of direct urban net CO2 flux measurements into biogenic and anthropogenic components,Atmospheric Environment,,,2017-12,2017,170,,319-333,Closed,Article,"Menzer, Olaf; McFadden, Joseph P.","Menzer, Olaf","Menzer, Olaf (University of California, Santa Barbara); McFadden, Joseph P. (University of California, Santa Barbara)",4,4,,1.76,,https://app.dimensions.ai/details/publication/pub.1092114929,09 Engineering; 0104 Statistics; 01 Mathematical Sciences; 04 Earth Sciences; 0401 Atmospheric Sciences; 0907 Environmental Engineering,09 Engineering,0104 Statistics,01 Mathematical Sciences,04 Earth Sciences,0401 Atmospheric Sciences
