,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Katerina Michaelides. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1111615350,10.5194/bg-16-369-2019,,,Soil nitrogen response to shrub encroachment in a degrading semi-arid grassland,Biogeosciences,,,2019-01-24,2019,16,2,369-381,All OA; Gold,Article,"Turpin-Jelfs, Thomas; Michaelides, Katerina; Biederman, Joel A.; Anesio, Alexandre M.",,"Turpin-Jelfs, Thomas (University of Bristol); Michaelides, Katerina (University of Bristol; University of California, Santa Barbara); Biederman, Joel A. (Agricultural Research Service); Anesio, Alexandre M. (University of Bristol; Aarhus University)",0,0,,,https://www.biogeosciences.net/16/369/2019/bg-16-369-2019.pdf,https://app.dimensions.ai/details/publication/pub.1111615350,0605 Microbiology; 0503 Soil Sciences; 05 Environmental Sciences; 06 Biological Sciences,0605 Microbiology,0503 Soil Sciences,05 Environmental Sciences,06 Biological Sciences,
2,100,pub.1111692084,10.1017/aog.2018.35,,,Distribution of soil nitrogen and nitrogenase activity in the forefield of a High Arctic receding glacier,Annals of Glaciology,,,2018-12,2018,59,77,87-94,All OA; Gold,Article,"Turpin-Jelfs, Thomas; Michaelides, Katerina; Blacker, Joshua J.; Benning, Liane G.; Williams, James M.; Anesio, Alexandre M.",,"Turpin-Jelfs, Thomas (University of Bristol); Michaelides, Katerina (University of Bristol; University of California, Santa Barbara); Blacker, Joshua J. (University of Leeds); Benning, Liane G. (University of Leeds; Helmholtz Centre Potsdam - GFZ German Research Centre for Geosciences; Free University of Berlin); Williams, James M. (University of Bristol); Anesio, Alexandre M. (University of Bristol; Aarhus University)",0,0,,,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/4A904693926D2CF05DE0F1F77AC36CEC/S0260305518000356a.pdf/div-class-title-distribution-of-soil-nitrogen-and-nitrogenase-activity-in-the-forefield-of-a-high-arctic-receding-glacier-div.pdf,https://app.dimensions.ai/details/publication/pub.1111692084,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0404 Geophysics; 0401 Atmospheric Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0404 Geophysics,0401 Atmospheric Sciences,
3,100,pub.1107892845,10.1029/2018jf004612,,,Unifying Particle‐Based and Continuum Models of Hillslope Evolution With a Probabilistic Scaling Technique,Journal of Geophysical Research Earth Surface,,,2018-12,2018,123,12,3124-3146,"All OA; Green, Published",Article,"Calvert, J.; Balázs, M.; Michaelides, K.",,"Calvert, J. (University of California, Berkeley); Balázs, M. (University of Bristol); Michaelides, K. (University of Bristol; University of California, Santa Barbara)",0,0,,,https://research-information.bristol.ac.uk/files/175131817/Full_text_PDF_accepted_author_manuscript_.pdf,https://app.dimensions.ai/details/publication/pub.1107892845,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
4,100,pub.1106908879,10.5194/gmd-11-3713-2018,,,"STORM 1.0: a simple, flexible, and parsimonious stochastic rainfall generator for simulating climate and climate change",Geoscientific Model Development Discussions,,,2018-09-11,2018,11,9,3713-3726,All OA; Gold,Article,"Singer, Michael Bliss; Michaelides, Katerina; Hobley, Daniel E. J.",,"Singer, Michael Bliss (Cardiff University; University of California, Santa Barbara); Michaelides, Katerina (University of Bristol; University of California, Santa Barbara); Hobley, Daniel E. J. (Cardiff University)",3,3,,,https://www.geosci-model-dev.net/11/3713/2018/gmd-11-3713-2018.pdf,https://app.dimensions.ai/details/publication/pub.1106908879,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
5,100,pub.1105778562,10.5194/bg-2018-331,,,Soil nitrogen response to shrub encroachment in a degrading semiarid grassland,Biogeosciences Discussions,,,2018-07-23,2018,,,1-22,All OA; Gold,Article,"Turpin-Jelfs, Thomas; Michaelides, Katerina; Biederman, Joel A.; Anesio, Alexandre M.",,"Turpin-Jelfs, Thomas (University of Bristol); Michaelides, Katerina (University of Bristol; University of California, Santa Barbara); Biederman, Joel A. (Agricultural Research Service); Anesio, Alexandre M. (University of Bristol)",1,1,,,https://research-information.bristol.ac.uk/files/187301593/bg_16_369_2019.pdf,https://app.dimensions.ai/details/publication/pub.1105778562,0601 Biochemistry and Cell Biology; 04 Earth Sciences; 0499 Other Earth Sciences; 06 Biological Sciences,0601 Biochemistry and Cell Biology,04 Earth Sciences,0499 Other Earth Sciences,06 Biological Sciences,
6,100,pub.1100191227,10.1002/esp.4340,,,Spatial and temporal analysis of hillslope–channel coupling and implications for the longitudinal profile in a dryland basin,Earth Surface Processes and Landforms,,,2018-06-30,2018,43,8,1608-1621,"All OA; Green, Published",Article,"Michaelides, Katerina; Hollings, Rory; Singer, Michael Bliss; Nichols, Mary H.; Nearing, Mark A.",,"Michaelides, Katerina (University of Bristol; University of California, Santa Barbara); Hollings, Rory (University of Bristol); Singer, Michael Bliss (Cardiff University; University of California, Santa Barbara); Nichols, Mary H. (Agricultural Research Service); Nearing, Mark A. (Agricultural Research Service)",3,3,,,https://research-information.bristol.ac.uk/files/153590837/Full_text_PDF_final_published_version_.pdf,https://app.dimensions.ai/details/publication/pub.1100191227,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
7,100,pub.1103986292,10.5194/gmd-2018-86,,,"STORM: A simple, flexible, and parsimonious stochastic rainfall generator for simulating climate and climate change",Geoscientific Model Development Discussions,,,2018-05-14,2018,,,1-25,All OA; Gold,Article,"Singer, Michael Bliss; Michaelides, Katerina; Hobley, Daniel E. J.",,"Singer, Michael Bliss (Cardiff University; University of California, Santa Barbara); Michaelides, Katerina (University of Bristol; University of California, Santa Barbara); Hobley, Daniel E. J. (Cardiff University)",1,1,,,http://orca.cf.ac.uk/114808/1/Singer_etal_2018.pdf,https://app.dimensions.ai/details/publication/pub.1103986292,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
8,100,pub.1084793769,10.1680/jensu.16.00081,,,Analysis of design choices for a slope stability scenario in the humid tropics,Proceedings of the Institution of Civil Engineers - Engineering Sustainability,,,2018-02,2018,171,1,1-16,All OA; Gold,Article,"Shepheard, Casey J; Vardanega, Paul J; Holcombe, Elizabeth A; Michaelides, Katerina",,"Shepheard, Casey J (University of Bristol); Vardanega, Paul J (University of Bristol); Holcombe, Elizabeth A (University of Bristol); Michaelides, Katerina (University of Bristol)",5,5,,,https://www.icevirtuallibrary.com/doi/pdf/10.1680/jensu.16.00081,https://app.dimensions.ai/details/publication/pub.1084793769,0905 Civil Engineering; 09 Engineering,0905 Civil Engineering,09 Engineering,,,
9,100,pub.1092171712,10.1088/1748-9326/aa8e50,,,Deciphering the expression of climate change within the Lower Colorado River basin by stochastic simulation of convective rainfall,Environmental Research Letters,,,2017-10-01,2017,12,10,104011,All OA; Gold,Article,"Singer, Michael Bliss; Michaelides, Katerina",,"Singer, Michael Bliss (); Michaelides, Katerina ()",7,7,,3.08,http://iopscience.iop.org/article/10.1088/1748-9326/aa8e50/pdf,https://app.dimensions.ai/details/publication/pub.1092171712,0406 Physical Geography and Environmental Geoscience; 0104 Statistics; 01 Mathematical Sciences; 04 Earth Sciences; 0401 Atmospheric Sciences,0406 Physical Geography and Environmental Geoscience,0104 Statistics,01 Mathematical Sciences,04 Earth Sciences,0401 Atmospheric Sciences
