,"""About the data: Exported on Nov 02, 2019. Criteria: Researcher is Kelly Krispin Caylor. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1114837298,10.1016/j.envsoft.2019.05.011,,,A High-Frequency Mobile Phone Data Collection Approach for Research in Social-Environmental Systems: Applications in Climate Variability and Food Security in Sub-Saharan Africa,Environmental Modelling & Software,,,2019-09,2019,119,,57-69,Closed,Article,"Giroux, Stacey A.; Kouper, Inna; Estes, Lyndon D.; Schumacher, Jacob; Waldman, Kurt; Greenshields, Joel T.; Dickinson, Stephanie L.; Caylor, Kelly K.; Evans, Tom P.","Giroux, Stacey A.","Giroux, Stacey A. (Indiana University Bloomington); Kouper, Inna (Indiana University Bloomington); Estes, Lyndon D. (Clark University); Schumacher, Jacob (Indiana University Bloomington); Waldman, Kurt (Indiana University Bloomington); Greenshields, Joel T. (Indiana University Bloomington); Dickinson, Stephanie L. (Indiana University Bloomington); Caylor, Kelly K. (University of California, Santa Barbara); Evans, Tom P. (University of Arizona)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1114837298,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
2,100,pub.1115221753,10.1088/1748-9326/ab2432,,,Variability in urban population distributions across Africa,Environmental Research Letters,,,2019-08-02,2019,14,8,085009,All OA; Gold,Article,"Tuholske, Cascade; Caylor, Kelly; Evans, Tom; Avery, Ryan",,"Tuholske, Cascade (); Caylor, Kelly (); Evans, Tom (University of Arizona); Avery, Ryan (University of California, Santa Barbara)",0,0,,,https://iopscience.iop.org/article/10.1088/1748-9326/ab2432/pdf,https://app.dimensions.ai/details/publication/pub.1115221753,16 Studies in Human Society; 1604 Human Geography,16 Studies in Human Society,1604 Human Geography,,,
3,100,pub.1111762187,10.1175/wcas-d-18-0050.1,,,Cognitive biases about climate variability in smallholder farming systems in Zambia Cognitive biases about climate variability in smallholder farming systems in Zambia,Weather Climate and Society,,,2019-04,2019,11,2,369-383,Closed,Article,"Waldman, Kurt B.; Vergopolan, Noemi; Attari, Shahzeen Z.; Sheffield, Justin; Estes, Lyndon D.; Caylor, Kelly K.; Evans, Tom P.",,"Waldman, Kurt B. (Indiana University Bloomington); Vergopolan, Noemi (Princeton University); Attari, Shahzeen Z. (Indiana University Bloomington); Sheffield, Justin (University of Southampton); Estes, Lyndon D. (Clark University); Caylor, Kelly K. (University of California, Santa Barbara); Evans, Tom P. (University of Arizona)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1111762187,1117 Public Health and Health Services; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 11 Medical and Health Sciences,1117 Public Health and Health Services,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,11 Medical and Health Sciences,
4,500,pub.1111578032,10.1038/sdata.2018.302,30667381,PMC6343514,A global database of water vapor isotopes measured with high temporal resolution infrared laser spectroscopy,Scientific Data,,,2019-03,2019,6,1,180302,All OA; Gold,Article,"Wei, Zhongwang; Lee, Xuhui; Aemisegger, Franziska; Benetti, Marion; Berkelhammer, Max; Casado, Mathieu; Caylor, Kelly; Christner, Emanuel; Dyroff, Christoph; García, Omaira; González, Yenny; Griffis, Timothy; Kurita, Naoyuki; Liang, Jie; Liang, Mao-Chang; Lin, Guanghui; Noone, David; Gribanov, Konstantin; Munksgaard, Niels C.; Schneider, Matthias; Ritter, François; Steen-Larsen, Hans Christian; Vallet-Coulomb, Christine; Wen, Xuefa; Wright, Jonathon S.; Xiao, Wei; Yoshimura, Kei","Wei, Zhongwang","Wei, Zhongwang (Yale University; University of Tokyo); Lee, Xuhui (Yale University; Nanjing University of Information Science and Technology); Aemisegger, Franziska (Swiss Federal Institute of Technology in Zurich); Benetti, Marion (University of Iceland); Berkelhammer, Max (University of Illinois at Chicago); Casado, Mathieu (); Caylor, Kelly (University of California, Santa Barbara); Christner, Emanuel (Karlsruhe Institute of Technology); Dyroff, Christoph (Aerodyne Research); García, Omaira (State Meteorological Agency); González, Yenny (State Meteorological Agency; Massachusetts Institute of Technology); Griffis, Timothy (University of Minnesota); Kurita, Naoyuki (Nagoya University); Liang, Jie (Tsinghua University); Liang, Mao-Chang (Academia Sinica); Lin, Guanghui (Tsinghua University); Noone, David (Oregon State University); Gribanov, Konstantin (Ural Federal University); Munksgaard, Niels C. (Charles Darwin University); Schneider, Matthias (Karlsruhe Institute of Technology); Ritter, François (); Steen-Larsen, Hans Christian (University of Bergen); Vallet-Coulomb, Christine (); Wen, Xuefa (Institute of Geographic Sciences and Natural Resources Research); Wright, Jonathon S. (Tsinghua University); Xiao, Wei (Nanjing University of Information Science and Technology); Yoshimura, Kei (University of Tokyo)",6,6,,,https://www.nature.com/articles/sdata2018302.pdf,https://app.dimensions.ai/details/publication/pub.1111578032,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
5,100,pub.1106040726,10.1016/j.geoderma.2018.07.042,,,Biophysical effects on soil crack morphology in a faunally active dryland vertisol,Geoderma,,,2019-01,2019,334,Water Resour. Res. 46 2 2010,134-145,Closed,Article,"DeCarlo, Keita F.; Caylor, Kelly K.","DeCarlo, Keita F.","DeCarlo, Keita F. (Princeton University); Caylor, Kelly K. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1106040726,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
6,100,pub.1105712283,10.1016/j.agrformet.2018.06.024,,,Comparing empirical and survey-based yield forecasts in a dryland agro-ecosystem,Agricultural and Forest Meteorology,,,2018-11,2018,262,Agric. Ecosyst. Environ. 115 1–4 2006,147-156,Closed,Article,"Zhao, Yi; Vergopolan, Noemi; Baylis, Kathy; Blekking, Jordan; Caylor, Kelly; Evans, Tom; Giroux, Stacey; Sheffield, Justin; Estes, Lyndon","Zhao, Yi","Zhao, Yi (Clark University); Vergopolan, Noemi (Princeton University); Baylis, Kathy (University of Illinois at Urbana Champaign); Blekking, Jordan (Indiana University Bloomington); Caylor, Kelly (University of California, Santa Barbara); Evans, Tom (University of Arizona); Giroux, Stacey (Indiana University Bloomington); Sheffield, Justin (University of Southampton); Estes, Lyndon (Clark University)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1105712283,04 Earth Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,04 Earth Sciences,06 Biological Sciences,07 Agricultural and Veterinary Sciences,,
7,100,pub.1104263397,10.1016/j.agrformet.2018.05.015,,,Dew deposition suppresses transpiration and carbon uptake in leaves,Agricultural and Forest Meteorology,,,2018-09,2018,259,J. Arid Environ. 65 4 2006,305-316,Closed,Article,"Gerlein-Safdi, Cynthia; Koohafkan, Michael C.; Chung, Michaella; Rockwell, Fulton E.; Thompson, Sally; Caylor, Kelly K.","Gerlein-Safdi, Cynthia","Gerlein-Safdi, Cynthia (Princeton University); Koohafkan, Michael C. (University of California, Davis; University of California, Berkeley); Chung, Michaella (University of California, Berkeley); Rockwell, Fulton E. (Harvard University); Thompson, Sally (University of California, Berkeley); Caylor, Kelly K. (Princeton University; University of California, Santa Barbara)",4,4,,,,https://app.dimensions.ai/details/publication/pub.1104263397,0607 Plant Biology; 0699 Other Biological Sciences; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0699 Other Biological Sciences,0602 Ecology,06 Biological Sciences,
8,500,pub.1105195730,10.1007/s00442-018-4199-y,29955985,,Dew-induced transpiration suppression impacts the water and isotope balances of Colocasia leaves,Oecologia,,Biological Transport; Colocasia; Oxygen Isotopes; Plant Leaves; Plant Transpiration; Water,2018-08,2018,187,4,1041-1051,Closed,Article,"Gerlein-Safdi, Cynthia; Gauthier, Paul P. G.; Caylor, Kelly K.","Gerlein-Safdi, Cynthia","Gerlein-Safdi, Cynthia (Princeton University); Gauthier, Paul P. G. (Princeton University); Caylor, Kelly K. (Princeton University; University of California, Santa Barbara)",4,4,,,,https://app.dimensions.ai/details/publication/pub.1105195730,0607 Plant Biology; 0699 Other Biological Sciences; 06 Biological Sciences,0607 Plant Biology,0699 Other Biological Sciences,06 Biological Sciences,,
9,500,pub.1101862072,10.1038/s41559-018-0524-4,29610472,,The spatial and temporal domains of modern ecology,Nature Ecology & Evolution,,Ecology; Spatial Analysis; Spatio-Temporal Analysis; Time Factors,2018-05,2018,2,5,819-826,Closed,Article,"Estes, Lyndon; Elsen, Paul R.; Treuer, Timothy; Ahmed, Labeeb; Caylor, Kelly; Chang, Jason; Choi, Jonathan J.; Ellis, Erle C.","Estes, Lyndon","Estes, Lyndon (Clark University; Princeton University); Elsen, Paul R. (University of California, Berkeley; Princeton University); Treuer, Timothy (Princeton University); Ahmed, Labeeb (); Caylor, Kelly (University of California, Santa Barbara); Chang, Jason (); Choi, Jonathan J. (Princeton University); Ellis, Erle C. ()",26,26,,,,https://app.dimensions.ai/details/publication/pub.1101862072,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
