,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Konstadinos G Goulias. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1112956885,10.1177/0361198119837501,,,Fragmentation in Daily Schedule of Activities using Activity Sequences,Transportation Research Record Journal of the Transportation Research Board,,,2019-04,2019,2673,4,844-854,Closed,Article,"McBride, Elizabeth Callahan; Davis, Adam Wilkinson; Goulias, Konstadinos G.",,"McBride, Elizabeth Callahan (University of California, Santa Barbara); Davis, Adam Wilkinson (University of California, Santa Barbara); Goulias, Konstadinos G. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1112956885,"09 Engineering; 12 Built Environment and Design; 15 Commerce, Management, Tourism and Services; 0905 Civil Engineering; 1507 Transportation and Freight Services; 1205 Urban and Regional Planning",09 Engineering,12 Built Environment and Design,"15 Commerce, Management, Tourism and Services",0905 Civil Engineering,1507 Transportation and Freight Services
2,100,pub.1110286819,10.1016/b978-0-12-812970-8.00009-9,,,Chapter 9 Statewide Comparison of Origin-Destination Matrices Between California Travel Model and Twitter,,"Mobility Patterns, Big Data and Transport Analytics",,2019,2019,,,201-228,Closed,Chapter,"Lee, Jae Hyun; Davis, Adam; McBride, Elizabeth; Goulias, Konstadinos G.",,"Lee, Jae Hyun (University of California, Santa Barbara); Davis, Adam (University of California, Santa Barbara); McBride, Elizabeth (University of California, Santa Barbara); Goulias, Konstadinos G. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1110286819,01 Mathematical Sciences; 0104 Statistics,01 Mathematical Sciences,0104 Statistics,,,
3,100,pub.1105169295,10.1007/978-3-319-89806-3_14,,,California Business Establishment Evolution and Transportation Provision,,The Practice of Spatial Analysis,,2019,2019,,,295-323,Closed,Chapter,"Davis, Adam W.; Lee, Jae Hyun; McBride, Elizabeth C.; Ravulaparthy, Srinath; Goulias, Konstadinos G.","Goulias, Konstadinos G.","Davis, Adam W. (University of California, Santa Barbara); Lee, Jae Hyun (University of California, Santa Barbara); McBride, Elizabeth C. (University of California, Santa Barbara); Ravulaparthy, Srinath (University of California, Santa Barbara); Goulias, Konstadinos G. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1105169295,"1503 Business and Management; 15 Commerce, Management, Tourism and Services",1503 Business and Management,"15 Commerce, Management, Tourism and Services",,,
4,100,pub.1107735290,10.1177/0361198118799168,,,A Spatial Latent Profile Analysis to Classify Land Uses for Population Synthesis Methods in Travel Demand Forecasting,Transportation Research Record Journal of the Transportation Research Board,,,2018-12,2018,2672,49,158-170,Closed,Article,"McBride, Elizabeth C.; Davis, Adam W.; Goulias, Konstadinos G.",,"McBride, Elizabeth C. (University of California, Santa Barbara); Davis, Adam W. (University of California, Santa Barbara); Goulias, Konstadinos G. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1107735290,"09 Engineering; 12 Built Environment and Design; 15 Commerce, Management, Tourism and Services; 0905 Civil Engineering; 1507 Transportation and Freight Services; 1205 Urban and Regional Planning",09 Engineering,12 Built Environment and Design,"15 Commerce, Management, Tourism and Services",0905 Civil Engineering,1507 Transportation and Freight Services
5,100,pub.1105590943,10.1177/0361198118787362,,,A Latent Class Pattern Recognition and Data Quality Assessment of Non-Commute Long-Distance Travel in California,Transportation Research Record Journal of the Transportation Research Board,,,2018-12,2018,2672,42,71-80,Closed,Article,"Davis, Adam W.; McBride, Elizabeth C.; Goulias, Konstadinos G.",,"Davis, Adam W. (University of California, Santa Barbara); McBride, Elizabeth C. (University of California, Santa Barbara); Goulias, Konstadinos G. (University of California, Santa Barbara)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1105590943,"09 Engineering; 12 Built Environment and Design; 15 Commerce, Management, Tourism and Services; 0905 Civil Engineering; 1507 Transportation and Freight Services; 1205 Urban and Regional Planning",09 Engineering,12 Built Environment and Design,"15 Commerce, Management, Tourism and Services",0905 Civil Engineering,1507 Transportation and Freight Services
6,100,pub.1104577257,10.1177/0361198118778926,,,Tour-Based Path Analysis of Long-Distance Non-Commute Travel Behavior in California,Transportation Research Record Journal of the Transportation Research Board,,,2018-12,2018,2672,49,1-11,Closed,Article,"Davis, Adam W.; McBride, Elizabeth C.; Janowicz, Krzysztof; Zhu, Rui; Goulias, Konstadinos G.",,"Davis, Adam W. (University of California, Santa Barbara); McBride, Elizabeth C. (University of California, Santa Barbara); Janowicz, Krzysztof (University of California, Santa Barbara); Zhu, Rui (University of California, Santa Barbara); Goulias, Konstadinos G. (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1104577257,"09 Engineering; 12 Built Environment and Design; 15 Commerce, Management, Tourism and Services; 0905 Civil Engineering; 1507 Transportation and Freight Services; 1205 Urban and Regional Planning",09 Engineering,12 Built Environment and Design,"15 Commerce, Management, Tourism and Services",0905 Civil Engineering,1507 Transportation and Freight Services
7,100,pub.1101019654,10.1016/j.tra.2018.01.029,,,"A decade of dynamics of residential location, car ownership, activity, travel and land use in the Seattle metropolitan region",Transportation Research Part A Policy and Practice,,,2018-08,2018,114,Transport. Lett. 4 2 2013,272-287,Closed,Article,"Lee, Jae Hyun; Goulias, Konstadinos G.","Lee, Jae Hyun","Lee, Jae Hyun (University of California, Santa Barbara); Goulias, Konstadinos G. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1101019654,"12 Built Environment and Design; 1507 Transportation and Freight Services; 1205 Urban and Regional Planning; 15 Commerce, Management, Tourism and Services",12 Built Environment and Design,1507 Transportation and Freight Services,1205 Urban and Regional Planning,"15 Commerce, Management, Tourism and Services",
8,100,pub.1083546074,10.1016/j.retrec.2017.01.003,,,Companionship and time investment in social fields at different life cycle stages: Implications for activity and travel modeling and simulation,Research in Transportation Economics,,,2018-08,2018,68,Environment and planning. B: Planning and Design 35 6 2008,18-28,Closed,Article,"Lee, Jae Hyun; Goulias, Konstadinos G.","Lee, Jae Hyun","Lee, Jae Hyun (University of California, Santa Barbara); Goulias, Konstadinos G. (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1083546074,"1499 Other Economics; 1507 Transportation and Freight Services; 14 Economics; 15 Commerce, Management, Tourism and Services",1499 Other Economics,1507 Transportation and Freight Services,14 Economics,"15 Commerce, Management, Tourism and Services",
9,200,pub.1103765411,10.4337/9781784717544.00010,,,Travel behavior models,,Handbook of Behavioral and Cognitive Geography,,2018,2018,,,56-73,Closed,Chapter,"Goulias, Konstadinos G.",,"Goulias, Konstadinos G. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1103765411,,,,,,
