,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Kristin D Morell. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,200,pub.1116050349,10.1111/1755-6724.13905,,,"North American Earth Science Megaproject Continuum, Part 3: New Canadian EON‐ROSE Program",Acta Geologica Sinica - English Edition,,,2019-05,2019,93,S1,12-13,All OA; Gold,Article,"Boggs, Katherine; Eaton, David; James, Thomas; Hyndman, Roy; Ulmi, Malaika; Audet, Pascal; Johnston, Ed; Sideris, Michael; Clowes, Ron; Elliott, Julie; Freymueller, Jeff; Kushner, Paul; Morell, Kristin; Schutt, Derek; Aster, Rick; Vernon, Frank; Hedlin, Michael; Groot‐Hedlin, Catherine; Donovan, Eric; Stull, Roland",,"Boggs, Katherine (Mount Royal University); Eaton, David (University of Calgary); James, Thomas (Geological Survey of Canada); Hyndman, Roy (Geological Survey of Canada); Ulmi, Malaika (Geological Survey of Canada); Audet, Pascal (University of Ottawa); Johnston, Ed (University of Calgary); Sideris, Michael (University of Calgary); Clowes, Ron (University of British Columbia); Elliott, Julie (Purdue University System); Freymueller, Jeff (University of Alaska Fairbanks); Kushner, Paul (University of Toronto); Morell, Kristin (University of California, Santa Barbara); Schutt, Derek (Colorado State University System); Aster, Rick (Colorado State University System); Vernon, Frank (University of California, San Diego); Hedlin, Michael (University of California, San Diego); Groot‐Hedlin, Catherine (University of California, San Diego); Donovan, Eric (University of Calgary); Stull, Roland (University of British Columbia)",0,0,,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/1755-6724.13905,https://app.dimensions.ai/details/publication/pub.1116050349,04 Earth Sciences,04 Earth Sciences,,,,
2,100,pub.1111152948,10.1130/g45473.1,,,Ongoing oroclinal bending in the Cascadia forearc and its relation to concave-outboard plate margin geometry,Geology,,,2019-02-01,2019,47,2,155-158,Closed,Article,"Finley, Theron; Morell, Kristin; Leonard, Lucinda; Regalla, Christine; Johnston, Stephen T.; Zhang, Wenbo",,"Finley, Theron (University of Victoria; University of Alberta); Morell, Kristin (University of Victoria; University of California System); Leonard, Lucinda (University of Victoria); Regalla, Christine (Boston University); Johnston, Stephen T. (University of Alberta); Zhang, Wenbo (University of Victoria; University of Alberta)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1111152948,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
3,200,pub.1116649761,10.1130/abs/2019cd-329308,,,GEOMETRY AND MECHANICS OF INHERITED FOREARC FAULTS ON VANCOUVER ISLAND,Abstracts with programs (Geological Society of America),,,2019,2019,,,,Closed,Proceeding,"Regalla, Christine; Morell, Kristin; Graham, Audrey; Lynch, Emerson M.; Harrichhausen, Nicolas; Leonard, Lucinda J.; Bennett, Scott E.K.; Terry, Carina; Fischi, Johanna",,"Regalla, Christine (); Morell, Kristin (); Graham, Audrey (); Lynch, Emerson M. (); Harrichhausen, Nicolas (); Leonard, Lucinda J. (); Bennett, Scott E.K. (); Terry, Carina (); Fischi, Johanna ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1116649761,,,,,,
4,200,pub.1116649714,10.1130/abs/2019cd-329175,,,"SCARPE DIEM: LATE QUATERNARY RUPTURES ON THE BEAUFORT RANGE FAULT, BRITISH COLUMBIA, CANADA",Abstracts with programs (Geological Society of America),,,2019,2019,,,,Closed,Proceeding,"Lynch, Emerson M.; Regalla, Christine; Morell, Kristin; Harrichhausen, Nicolas; Leonard, Lucinda J.",,"Lynch, Emerson M. (); Regalla, Christine (); Morell, Kristin (); Harrichhausen, Nicolas (); Leonard, Lucinda J. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1116649714,,,,,,
5,200,pub.1116649677,10.1130/abs/2019cd-329080,,,THE SPATIAL DISTRIBUTION AND LONGEVITY OF ONGOING PERMANENT FOREARC DEFORMATION SURROUNDING THE OLYMPIC MOUNTAINS,Abstracts with programs (Geological Society of America),,,2019,2019,,,,Closed,Proceeding,"Morell, Kristin; Finley, Theron; Leonard, Lucinda J.; Regalla, Christine",,"Morell, Kristin (); Finley, Theron (); Leonard, Lucinda J. (); Regalla, Christine ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1116649677,,,,,,
6,200,pub.1116649645,10.1130/abs/2019cd-328938,,,PALEOSEISMIC TRENCHING REVEALS SPATIALLY-VARIABLE HOLOCENE SLIP BEHAVIOR ON THE LEECH RIVER FAULT,Abstracts with programs (Geological Society of America),,,2019,2019,,,,Closed,Proceeding,"Harrichhausen, Nicolas; Morell, Kristin; Regalla, Christine; Bennett, Scott E.K.; Leonard, Lucinda J.; Lynch, Emerson M.",,"Harrichhausen, Nicolas (); Morell, Kristin (); Regalla, Christine (); Bennett, Scott E.K. (); Leonard, Lucinda J. (); Lynch, Emerson M. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1116649645,,,,,,
7,100,pub.1107440751,10.1029/2018gl078711,,,"Holocene Surface Rupture History of an Active Forearc Fault Redefines Seismic Hazard in Southwestern British Columbia, Canada",Geophysical Research Letters,,,2018-11-16,2018,45,21,"11,605-11,611",Closed,Article,"Morell, K. D.; Regalla, C.; Amos, C.; Bennett, S.; Leonard, L.; Graham, A.; Reedy, T.; Levson, V.; Telka, A.",,"Morell, K. D. (University of Victoria; University of California, Santa Barbara); Regalla, C. (Boston University); Amos, C. (Western Washington University); Bennett, S. (United States Geological Survey); Leonard, L. (University of Victoria); Graham, A. (University of Victoria); Reedy, T. (University of Nevada Reno); Levson, V. (University of Victoria); Telka, A. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1107440751,0403 Geology; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0404 Geophysics,0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0404 Geophysics,
8,100,pub.1105797988,10.12789/geocanj.2018.45.136,,,EON-ROSE and the Canadian Cordillera Array – Building Bridges to Span Earth System Science in Canada,Geoscience Canada,,,2018-07-12,2018,45,2,97-109,All OA; Gold,Article,"Boggs, Katherine J.E.; Aster, Rick C.; Audet, Pascal; Brunet, Gilbert; Clowes, Ron M.; De Groot-Hedlin, Catherine D.; Donovan, Eric; Eaton, David W.; Elliott, Julie; Freymueller, Jeffrey T.; Hedlin, Michael A.H.; Hyndman, Roy D.; James, Thomas S.; Kushner, Paul J.; Morell, Kristin D.; Rowe, Christie D.; Schutt, Derek L.; Sideris, Michael G.; Ulmi, Malaika; Vernon, Frank L.; West, Nicole",,"Boggs, Katherine J.E. (); Aster, Rick C. (); Audet, Pascal (); Brunet, Gilbert (); Clowes, Ron M. (); De Groot-Hedlin, Catherine D. (); Donovan, Eric (); Eaton, David W. (); Elliott, Julie (); Freymueller, Jeffrey T. (); Hedlin, Michael A.H. (); Hyndman, Roy D. (); James, Thomas S. (); Kushner, Paul J. (); Morell, Kristin D. (); Rowe, Christie D. (); Schutt, Derek L. (); Sideris, Michael G. (); Ulmi, Malaika (); Vernon, Frank L. (); West, Nicole ()",3,3,,,https://journals.lib.unb.ca/index.php/GC/article/download/26037/1882519203,https://app.dimensions.ai/details/publication/pub.1105797988,,,,,,
9,100,pub.1101499492,10.1002/2017jb015021,,,"Seismicity Relocation and Fault Structure Near the Leech River Fault Zone, Southern Vancouver Island",Journal of Geophysical Research Solid Earth,,,2018-04,2018,123,4,2841-2855,"All OA; Green, Published",Article,"Li, Ge; Liu, Yajing; Regalla, Christine; Morell, Kristin D.",,"Li, Ge (McGill University); Liu, Yajing (McGill University); Regalla, Christine (Boston University); Morell, Kristin D. (University of Victoria; University of California System)",4,4,,,https://open.bu.edu/bitstream/2144/26907/5/2017JB015021.pdf,https://app.dimensions.ai/details/publication/pub.1101499492,0404 Geophysics; 04 Earth Sciences; 0403 Geology,0404 Geophysics,04 Earth Sciences,0403 Geology,,
10,100,pub.1091773277,10.1016/j.tecto.2017.09.007,,,"Current strain accumulation in the hinterland of the northwest Himalaya constrained by landscape analyses, basin-wide denudation rates, and low temperature thermochronology",Tectonophysics,,,2017-11,2017,721,Tectonics 34 6 2015,70-89,Closed,Article,"Morell, Kristin D.; Sandiford, Mike; Kohn, Barry; Codilean, Alexandru; Fülöp, Réka-H.; Ahmad, Talat","Morell, Kristin D.","Morell, Kristin D. (University of Victoria); Sandiford, Mike (University of Melbourne); Kohn, Barry (University of Melbourne); Codilean, Alexandru (University of Wollongong); Fülöp, Réka-H. (University of Wollongong; Australian Nuclear Science and Technology Organisation); Ahmad, Talat (National Islamic University)",7,7,,2.69,,https://app.dimensions.ai/details/publication/pub.1091773277,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
11,200,pub.1083781873,10.1130/gsatg291a.1,,,"Quaternary Rupture of a Crustal Fault beneath Victoria, British Columbia, Canada",GSA Today,,,2017-03-01,2017,,,4-10,"All OA; Green, Accepted & Submitted",Article,"Morell, Kristin D.; Regalla, Christine; Leonard, Lucinda J.; Amos, Colin; Levson, Vic",,"Morell, Kristin D. (); Regalla, Christine (); Leonard, Lucinda J. (); Amos, Colin (); Levson, Vic ()",14,10,,5.3,https://open.bu.edu/bitstream/2144/26904/1/GSATG291A.1.pdf,https://app.dimensions.ai/details/publication/pub.1083781873,0403 Geology; 04 Earth Sciences; 0404 Geophysics; 0402 Geochemistry,0403 Geology,04 Earth Sciences,0404 Geophysics,0402 Geochemistry,
12,200,pub.1099587962,10.1130/abs/2017am-301683,,,"LIDAR DATA, GEOLOGIC MAPPING, AND PALEOSEISMIC TRENCHING REVEAL LATE QUATERNARY FAULT RUPTURES IN THE CASCADIA FOREARC OF SOUTHWESTERN BRITISH COLUMBIA",Abstracts with programs (Geological Society of America),,,2017,2017,,,,Closed,Proceeding,"Morell, Kristin; Regalla, Christine; Amos, Colin B.; Bennett, Scott E.K.; Graham, Audrey; Leonard, Lucinda J.; Lynch, Emerson; Harrichhausen, Nicolas",,"Morell, Kristin (); Regalla, Christine (); Amos, Colin B. (); Bennett, Scott E.K. (); Graham, Audrey (); Leonard, Lucinda J. (); Lynch, Emerson (); Harrichhausen, Nicolas ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1099587962,,,,,,
13,200,pub.1099587764,10.1130/abs/2017am-306272,,,"GEOMORPHIC EVIDENCE FOR RECENT RUPTURES ON THE BEAUFORT RANGE FAULT IN THE NORTHERN CASCADIA FOREARC OF BRITISH COLUMBIA, CANADA",Abstracts with programs (Geological Society of America),,,2017,2017,,,,Closed,Proceeding,"Lynch, Emerson M.; Regalla, Christine; Morell, Kristin; Harrichhausen, Nicolas",,"Lynch, Emerson M. (); Regalla, Christine (); Morell, Kristin (); Harrichhausen, Nicolas ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1099587764,,,,,,
14,100,pub.1022208512,10.1007/s10950-015-9545-5,,,Stalagmite growth perturbations from the Kumaun Himalaya as potential earthquake recorders,Journal of Seismology,,,2016-04,2016,20,2,579-594,Closed,Article,"Rajendran, C. P.; Sanwal, Jaishri; Morell, Kristin D.; Sandiford, Mike; Kotlia, B. S.; Hellstrom, John; Rajendran, Kusala","Sanwal, Jaishri","Rajendran, C. P. (Jawaharlal Nehru Centre for Advanced Scientific Research); Sanwal, Jaishri (Jawaharlal Nehru Centre for Advanced Scientific Research); Morell, Kristin D. (University of Melbourne; University of Victoria); Sandiford, Mike (University of Melbourne); Kotlia, B. S. (Kumaun University); Hellstrom, John (University of Melbourne); Rajendran, Kusala (Indian Institute of Science Bangalore)",9,4,,2.41,,https://app.dimensions.ai/details/publication/pub.1022208512,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
15,100,pub.1020475517,10.1002/2015tc003950,,,"Seamount, ridge, and transform subduction in southern Central America",Tectonics,,,2016-02,2016,35,2,357-385,All OA; Gold,Article,"Morell, Kristin D.",,"Morell, Kristin D. (University of Victoria)",15,6,,4.02,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2015TC003950,https://app.dimensions.ai/details/publication/pub.1020475517,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
