,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Krzysztof Janowicz. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1113488511,10.1007/978-3-030-14745-7_2,,,Relaxing Unanswerable Geographic Questions Using A Spatially Explicit Knowledge Graph Embedding Model,Lecture Notes in Geoinformation and Cartography,Geospatial Technologies for Local and Regional Development,,2020,2020,,,21-39,Closed,Chapter,"Mai, Gengchen; Yan, Bo; Janowicz, Krzysztof; Zhu, Rui","Mai, Gengchen","Mai, Gengchen (University of California, Santa Barbara); Yan, Bo (University of California, Santa Barbara); Janowicz, Krzysztof (University of California, Santa Barbara); Zhu, Rui (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1113488511,17 Psychology and Cognitive Sciences; 1701 Psychology,17 Psychology and Cognitive Sciences,1701 Psychology,,,
2,100,pub.1117489224,10.1111/tgis.12548,,,"Computing and querying strict, approximate, and metrically refined topological relations in linked geographic data",Transactions in GIS,,,2019-06,2019,23,3,601-619,Closed,Article,"Regalia, Blake; Janowicz, Krzysztof; McKenzie, Grant",,"Regalia, Blake (University of California, Santa Barbara); Janowicz, Krzysztof (University of California, Santa Barbara); McKenzie, Grant (McGill University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1117489224,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
3,100,pub.1117485921,10.1111/tgis.12550,,,Making direction a first‐class citizen of Tobler's first law of geography,Transactions in GIS,,,2019-06,2019,23,3,398-416,Closed,Article,"Zhu, Rui; Janowicz, Krzysztof; Mai, Gengchen",,"Zhu, Rui (University of California, Santa Barbara); Janowicz, Krzysztof (University of California, Santa Barbara); Mai, Gengchen (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1117485921,16 Studies in Human Society; 1604 Human Geography,16 Studies in Human Society,1604 Human Geography,,,
4,100,pub.1117051070,10.1111/tgis.12547,,,A spatially explicit reinforcement learning model for geographic knowledge graph summarization,Transactions in GIS,,,2019-06,2019,23,3,620-640,Closed,Article,"Yan, Bo; Janowicz, Krzysztof; Mai, Gengchen; Zhu, Rui",,"Yan, Bo (University of California, Santa Barbara); Janowicz, Krzysztof (University of California, Santa Barbara); Mai, Gengchen (University of California, Santa Barbara); Zhu, Rui (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1117051070,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
5,100,pub.1117051069,10.1111/tgis.12538,,,Deeply integrating Linked Data with Geographic Information Systems,Transactions in GIS,,,2019-06,2019,23,3,579-600,Closed,Article,"Mai, Gengchen; Janowicz, Krzysztof; Yan, Bo; Scheider, Simon",,"Mai, Gengchen (University of California, Santa Barbara); Janowicz, Krzysztof (University of California, Santa Barbara); Yan, Bo (University of California, Santa Barbara); Scheider, Simon (Utrecht University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1117051069,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing; 0806 Information Systems,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,0806 Information Systems,,
6,100,pub.1105485810,10.1016/j.websem.2018.06.003,,,"SOSA: A lightweight ontology for sensors, observations, samples, and actuators",Journal of Web Semantics,,,2019-05,2019,56,Trans. GIS 16 3 2012,1-10,"All OA; Green, Accepted & Submitted",Article,"Janowicz, Krzysztof; Haller, Armin; Cox, Simon J.D.; Le Phuoc, Danh; Lefrançois, Maxime","Haller, Armin","Janowicz, Krzysztof (University of California, Santa Barbara); Haller, Armin (Australian National University); Cox, Simon J.D. (Land and Water); Le Phuoc, Danh (Technical University of Berlin); Lefrançois, Maxime (Mines Saint-Etienne)",13,13,,,http://arxiv.org/pdf/1805.09979,https://app.dimensions.ai/details/publication/pub.1105485810,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
7,200,pub.1114206234,10.1145/3308560.3317072,,,The FAIR TRADE Framework for Assessing Decentralised Data Solutions,,Companion Proceedings of The 2019 World Wide Web Conference on - WWW '19,,2019,2019,,,823-839,All OA; Gold,Proceeding,"Acosta, Maribel; Vidal, Maria-Esther; Zaveri, Amrapali; Berners-Lee, Tim; Hannover), t; Dimou, Anastasia; Domingue, John; Ibá, Luis-Daniel; Janowicz, Krzysztof",,"Acosta, Maribel (Karlsruhe Institute of Technology); Vidal, Maria-Esther (); Zaveri, Amrapali (Maastricht University); Berners-Lee, Tim (); Hannover), t (); Dimou, Anastasia (Ghent University); Domingue, John (); Ibá, Luis-Daniel (); Janowicz, Krzysztof ()",0,0,,,http://dl.acm.org/ft_gateway.cfm?id=3317072&type=pdf,https://app.dimensions.ai/details/publication/pub.1114206234,,,,,,
8,100,pub.1110280002,10.1016/b978-0-12-812970-8.00003-8,,,Chapter 3 Using Semantic Signatures for Social Sensing in Urban Environments,,"Mobility Patterns, Big Data and Transport Analytics",,2019,2019,,,31-54,Closed,Chapter,"Janowicz, Krzysztof; McKenzie, Grant; Hu, Yingjie; Zhu, Rui; Gao, Song",,"Janowicz, Krzysztof (University of California, Santa Barbara); McKenzie, Grant (University of Maryland, College Park); Hu, Yingjie (University of Tennessee at Knoxville); Zhu, Rui (University of California, Santa Barbara); Gao, Song (University of Wisconsin System)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1110280002,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
9,200,pub.1110828508,10.3233/sw-180342,,,A closer look at the Semantic Web journal’s review process,Semantic Web,,,2018-12-28,2018,Preprint,Preprint,1-7,All OA; Gold,Article,"Shimizu, Cogan; Hitzler, Pascal; Janowicz, Krzysztof",,"Shimizu, Cogan (Wright State University); Hitzler, Pascal (Wright State University); Janowicz, Krzysztof (University of California, Santa Barbara)",0,0,,,https://content.iospress.com:443/download/semantic-web/sw180342?id=semantic-web%2Fsw180342,https://app.dimensions.ai/details/publication/pub.1110828508,08 Information and Computing Sciences,08 Information and Computing Sciences,,,,
10,100,pub.1106472589,10.3233/sw-180320,,,"The modular SSN ontology: A joint W3C and OGC standard specifying the semantics of sensors, observations, sampling, and actuation",Semantic Web,,,2018-12-28,2018,Preprint,Preprint,1-24,"All OA; Green, Published",Article,"Haller, Armin; Janowicz, Krzysztof; Cox, Simon J.D.; Lefrançois, Maxime; Taylor, Kerry; Le Phuoc, Danh; Lieberman, Joshua; García-Castro, Raúl; Atkinson, Rob; Stadler, Claus",,"Haller, Armin (Australian National University); Janowicz, Krzysztof (University of California, Santa Barbara); Cox, Simon J.D. (); Lefrançois, Maxime (Mines Saint-Etienne); Taylor, Kerry (Australian National University); Le Phuoc, Danh (); Lieberman, Joshua (Harvard University); García-Castro, Raúl (Technical University of Madrid); Atkinson, Rob (); Stadler, Claus ()",10,10,,,https://hal.archives-ouvertes.fr/hal-01885335/file/swj1878.pdf,https://app.dimensions.ai/details/publication/pub.1106472589,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
11,100,pub.1106112496,10.3233/sw-180305,,,"Best practices for publishing, retrieving, and using spatial data on the web",Semantic Web,,,2018-12-28,2018,Preprint,Preprint,1-20,"All OA; Green, Published",Article,"van den Brink, Linda; Barnaghi, Payam; Tandy, Jeremy; Atemezing, Ghislain; Atkinson, Rob; Cochrane, Byron; Fathy, Yasmin; García Castro, Raúl; Haller, Armin; Harth, Andreas; Janowicz, Krzysztof; Kolozali, Şefki; van Leeuwen, Bart; Lefrançois, Maxime; Lieberman, Josh; Perego, Andrea; Le-Phuoc, Danh; Roberts, Bill; Taylor, Kerry; Troncy, Raphäel",,"van den Brink, Linda (); Barnaghi, Payam (University of Surrey); Tandy, Jeremy (); Atemezing, Ghislain (Mondeca (France)); Atkinson, Rob (); Cochrane, Byron (); Fathy, Yasmin (University of Surrey); García Castro, Raúl (Technical University of Madrid); Haller, Armin (Australian National University); Harth, Andreas (Karlsruhe Institute of Technology); Janowicz, Krzysztof (University of California, Santa Barbara); Kolozali, Şefki (King's College London); van Leeuwen, Bart (); Lefrançois, Maxime (Mines Saint-Etienne); Lieberman, Josh (Harvard University); Perego, Andrea (Joint Research Centre); Le-Phuoc, Danh (Technical University of Berlin); Roberts, Bill (); Taylor, Kerry (Australian National University); Troncy, Raphäel (EURECOM)",3,3,,,https://hal.archives-ouvertes.fr/hal-01885342/file/swj1785.pdf,https://app.dimensions.ai/details/publication/pub.1106112496,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
12,100,pub.1104577257,10.1177/0361198118778926,,,Tour-Based Path Analysis of Long-Distance Non-Commute Travel Behavior in California,Transportation Research Record Journal of the Transportation Research Board,,,2018-12,2018,2672,49,1-11,Closed,Article,"Davis, Adam W.; McBride, Elizabeth C.; Janowicz, Krzysztof; Zhu, Rui; Goulias, Konstadinos G.",,"Davis, Adam W. (University of California, Santa Barbara); McBride, Elizabeth C. (University of California, Santa Barbara); Janowicz, Krzysztof (University of California, Santa Barbara); Zhu, Rui (University of California, Santa Barbara); Goulias, Konstadinos G. (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1104577257,"09 Engineering; 12 Built Environment and Design; 15 Commerce, Management, Tourism and Services; 0905 Civil Engineering; 1507 Transportation and Freight Services; 1205 Urban and Regional Planning",09 Engineering,12 Built Environment and Design,"15 Commerce, Management, Tourism and Services",0905 Civil Engineering,1507 Transportation and Freight Services
13,100,pub.1106275356,10.3233/sw-180322,,,On the prospects of blockchain and distributed ledger technologies for open science and academic publishing,Semantic Web,,,2018-08-27,2018,Preprint,Preprint,1-11,All OA; Gold,Article,"Janowicz, Krzysztof; Regalia, Blake; Hitzler, Pascal; Mai, Gengchen; Delbecque, Stephanie; Fröhlich, Maarten; Martinent, Patrick; Lazarus, Trevor",,"Janowicz, Krzysztof (University of California, Santa Barbara); Regalia, Blake (University of California, Santa Barbara); Hitzler, Pascal (Wright State University); Mai, Gengchen (University of California, Santa Barbara); Delbecque, Stephanie (); Fröhlich, Maarten (); Martinent, Patrick (); Lazarus, Trevor ()",3,3,,,https://content.iospress.com:443/download/semantic-web/sw322?id=semantic-web%2Fsw322,https://app.dimensions.ai/details/publication/pub.1106275356,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
14,100,pub.1104106098,10.1080/20964471.2018.1469291,,,The GeoLink knowledge graph,Big Earth Data,,,2018-04-03,2018,2,2,1-13,All OA; Gold,Article,"Cheatham, Michelle; Krisnadhi, Adila; Amini, Reihaneh; Hitzler, Pascal; Janowicz, Krzysztof; Shepherd, Adam; Narock, Tom; Jones, Matt; Ji, Peng",,"Cheatham, Michelle (Wright State University); Krisnadhi, Adila (University of Indonesia); Amini, Reihaneh (Wright State University); Hitzler, Pascal (Wright State University); Janowicz, Krzysztof (University of California, Santa Barbara); Shepherd, Adam (Woods Hole Oceanographic Institution); Narock, Tom (Notre Dame of Maryland University); Jones, Matt (University of California, Santa Barbara); Ji, Peng (Lamont-Doherty Earth Observatory)",3,3,,,https://www.tandfonline.com/doi/pdf/10.1080/20964471.2018.1469291?needAccess=true,https://app.dimensions.ai/details/publication/pub.1104106098,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
