,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Laura L Hess. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1099663512,10.1111/faf.12261,,,Fishery yields vary with land cover on the Amazon River floodplain,Fish and Fisheries,,,2018-05,2018,19,3,431-440,Closed,Article,"Castello, Leandro; Hess, Laura L; Thapa, Ram; McGrath, David G; Arantes, Caroline C; Renó, Vivian F; Isaac, Victoria J",,"Castello, Leandro (Virginia Tech); Hess, Laura L (University of California, Santa Barbara); Thapa, Ram (Virginia Tech); McGrath, David G (); Arantes, Caroline C (Texas A&M University); Renó, Vivian F (National Institute for Space Research); Isaac, Victoria J (Federal University of Para)",6,6,,,,https://app.dimensions.ai/details/publication/pub.1099663512,0704 Fisheries Sciences; 0602 Ecology; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0704 Fisheries Sciences,0602 Ecology,06 Biological Sciences,07 Agricultural and Veterinary Sciences,
2,100,pub.1090355885,10.1111/1365-2664.12967,,,Relationships between forest cover and fish diversity in the Amazon River floodplain,Journal of Applied Ecology,,,2018-01,2018,55,1,386-395,All OA; Gold,Article,"Arantes, Caroline C.; Winemiller, Kirk O.; Petrere, Miguel; Castello, Leandro; Hess, Laura L.; Freitas, Carlos E. C.",,"Arantes, Caroline C. (Texas A&M University); Winemiller, Kirk O. (Texas A&M University); Petrere, Miguel (Universidade Santa Cecília); Castello, Leandro (Virginia Tech); Hess, Laura L. (University of California, Santa Barbara); Freitas, Carlos E. C. (Federal University of Amazonas)",16,16,,,https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/1365-2664.12967,https://app.dimensions.ai/details/publication/pub.1090355885,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
3,100,pub.1104015926,10.1007/978-90-481-9659-3_317,,,Remote Sensing of Water in Wetlands: Inundation Patterns and Extent,,The Wetland Book,,2018,2018,,,1609-1617,"All OA; Green, Accepted & Submitted",Chapter,"Chapman, Bruce; Hess, Laura; Lucas, Richard","Chapman, Bruce","Chapman, Bruce (California Institute of Technology); Hess, Laura (University of California, Santa Barbara); Lucas, Richard (UNSW Sydney)",0,0,,,https://link.springer.com/content/pdf/10.1007%2F978-94-007-6172-8_317-1.pdf,https://app.dimensions.ai/details/publication/pub.1104015926,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
4,100,pub.1104015912,10.1007/978-90-481-9659-3_303,,,Remote Sensing of Wetland Types: Tropical Flooded Forests,,The Wetland Book,,2018,2018,,,1685-1690,Closed,Chapter,"Hess, Laura; Costa, Maycira; Evans, Teresa; Silva, Thiago S. F.; Chapman, Bruce; Milne, Tony","Hess, Laura","Hess, Laura (University of California, Santa Barbara); Costa, Maycira (University of Victoria); Evans, Teresa (University of Victoria); Silva, Thiago S. F. (Sao Paulo State University); Chapman, Bruce (California Institute of Technology); Milne, Tony (UNSW Sydney)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1104015912,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
5,100,pub.1084465417,10.5194/gmd-10-1233-2017,,,Modeling surface water dynamics in the Amazon Basin using MOSART-Inundation v1.0: impacts of geomorphological parameters and river flow representation,Geoscientific Model Development Discussions,,,2017-03-23,2017,10,3,1233-1259,All OA; Gold,Article,"Luo, Xiangyu; Li, Hong-Yi; Leung, L. Ruby; Tesfa, Teklu K.; Getirana, Augusto; Papa, Fabrice; Hess, Laura L.",,"Luo, Xiangyu (Pacific Northwest National Laboratory); Li, Hong-Yi (Pacific Northwest National Laboratory; Montana State University); Leung, L. Ruby (Pacific Northwest National Laboratory); Tesfa, Teklu K. (Pacific Northwest National Laboratory); Getirana, Augusto (Goddard Space Flight Center); Papa, Fabrice (University of Toulouse; Indian Institute of Science Bangalore); Hess, Laura L. (University of California, Santa Barbara)",8,5,,2.63,https://www.geosci-model-dev.net/10/1233/2017/gmd-10-1233-2017.pdf,https://app.dimensions.ai/details/publication/pub.1084465417,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
6,100,pub.1033520230,10.5194/essd-8-651-2016,,,An explicit GIS-based river basin framework for aquatic ecosystem conservation in the Amazon,Earth System Science Data,,,2016-11-23,2016,8,2,651-661,All OA; Gold,Article,"Venticinque, Eduardo; Forsberg, Bruce; Barthem, Ronaldo; Petry, Paulo; Hess, Laura; Mercado, Armando; Cañas, Carlos; Montoya, Mariana; Durigan, Carlos; Goulding, Michael",,"Venticinque, Eduardo (Federal University of Rio Grande do Norte); Forsberg, Bruce (National Institute of Amazonian Research); Barthem, Ronaldo (Museu Paraense Emílio Goeldi); Petry, Paulo (The Nature Conservancy); Hess, Laura (University of California, Santa Barbara); Mercado, Armando (); Cañas, Carlos (); Montoya, Mariana (); Durigan, Carlos (); Goulding, Michael (Wildlife Conservation Society)",14,14,,4.08,https://www.earth-syst-sci-data.net/8/651/2016/essd-8-651-2016.pdf,https://app.dimensions.ai/details/publication/pub.1033520230,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
7,100,pub.1025329158,10.5194/gmd-2016-210,,,Modeling surface water dynamics in the Amazon Basin using MOSART-Inundation-v1.0: Impacts of geomorphological parameters and river flow representation,Geoscientific Model Development Discussions,,,2016-08-10,2016,0,,1-42,All OA; Gold,Article,"Luo, Xiangyu; Li, Hong-Yi; Leung, L. Ruby; Tesfa, Teklu K.; Getirana, Augusto; Papa, Fabrice; Hess, Laura L.",,"Luo, Xiangyu (Pacific Northwest National Laboratory); Li, Hong-Yi (Pacific Northwest National Laboratory); Leung, L. Ruby (Pacific Northwest National Laboratory); Tesfa, Teklu K. (Pacific Northwest National Laboratory); Getirana, Augusto (Goddard Space Flight Center); Papa, Fabrice (University of Toulouse; Indian Institute of Science Bangalore); Hess, Laura L. (University of California, Santa Barbara)",0,0,,0,https://doi.org/10.5194/gmd-2016-210,https://app.dimensions.ai/details/publication/pub.1025329158,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
8,100,pub.1044790183,10.5194/essd-2016-17,,,An Explicit GIS-Based River Basin Framework for Aquatic Ecosystem Conservation in the Amazon,Earth System Science Data Discussions,,,2016-07-20,2016,0,,1-20,All OA; Gold,Article,"Venticinque, Eduardo; Forsberg, Bruce; Barthen, B. Ronaldo; Petry, Paulo; Hess, Laura; Mercado, Armando; Canãs, Carlos; Montoya, Mariana; Durigan, Carlos; Goulding, Michael",,"Venticinque, Eduardo (Federal University of Rio Grande do Norte); Forsberg, Bruce (National Institute of Amazonian Research); Barthen, B. Ronaldo (Museu Paraense Emílio Goeldi); Petry, Paulo (The Nature Conservancy); Hess, Laura (University of California, Santa Barbara); Mercado, Armando (); Canãs, Carlos (); Montoya, Mariana (); Durigan, Carlos (); Goulding, Michael (Wildlife Conservation Society)",1,1,,0.29,https://doi.org/10.5194/essd-2016-17,https://app.dimensions.ai/details/publication/pub.1044790183,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
9,200,pub.1114199264,10.1007/978-94-007-6172-8_303-2,,,Remote Sensing of Wetland Types: Tropical Flooded Forests,,The Wetland Book,,2016,2016,,,1-5,All OA; Gold,Chapter,"Hess, Laura; Costa, Maycira; Evans, Teresa; Silva, Thiago S. F.; Chapman, Bruce; Milne, Tony",,"Hess, Laura (); Costa, Maycira (); Evans, Teresa (); Silva, Thiago S. F. (); Chapman, Bruce (); Milne, Tony ()",0,0,,,https://link.springer.com/content/pdf/10.1007%2F978-94-007-6172-8_303-2.pdf,https://app.dimensions.ai/details/publication/pub.1114199264,,,,,,
