,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Libe Washburn. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1113811218,10.1029/2019jc015072,,,"Formation, Development, and Propagation of a Rare Coastal Coccolithophore Bloom",Journal of Geophysical Research Oceans,,,2019-05-22,2019,124,5,3298-3316,Closed,Article,"Matson, Paul G.; Washburn, Libe; Fields, Erik A.; Gotschalk, Chris; Ladd, Tanika M.; Siegel, David A.; Welch, Zoë S.; Iglesias‐Rodriguez, M. Debora",,"Matson, Paul G. (University of California, Santa Barbara; Bowling Green State University); Washburn, Libe (University of California, Santa Barbara); Fields, Erik A. (University of California, Santa Barbara); Gotschalk, Chris (University of California, Santa Barbara); Ladd, Tanika M. (University of California, Santa Barbara); Siegel, David A. (University of California, Santa Barbara); Welch, Zoë S. (University of California, Santa Barbara); Iglesias‐Rodriguez, M. Debora (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1113811218,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0404 Geophysics; 0405 Oceanography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0404 Geophysics,0405 Oceanography,
2,100,pub.1111105045,10.1175/jtech-d-18-0104.1,,,Uncertainty Estimates for SeaSonde HF Radar Ocean Current Observations Uncertainty Estimates for SeaSonde HF Radar Ocean Current Observations,Journal of Atmospheric and Oceanic Technology,,,2019-02,2019,36,2,231-247,Closed,Article,"Emery, Brian; Washburn, Libe",,"Emery, Brian (University of California, Santa Barbara); Washburn, Libe (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1111105045,0911 Maritime Engineering; 09 Engineering; 0405 Oceanography; 04 Earth Sciences; 0401 Atmospheric Sciences,0911 Maritime Engineering,09 Engineering,0405 Oceanography,04 Earth Sciences,0401 Atmospheric Sciences
3,500,pub.1101244831,10.1038/s41467-018-03249-1,29507321,PMC5838171,Marine spatial planning makes room for offshore aquaculture in crowded coastal waters,Nature Communications,,Aquaculture; Conservation of Natural Resources; Ecosystem; Geography; Seawater,2018-12,2018,9,1,945,All OA; Gold,Article,"Lester, S. E.; Stevens, J. M.; Gentry, R. R.; Kappel, C. V.; Bell, T. W.; Costello, C. J.; Gaines, S. D.; Kiefer, D. A.; Maue, C. C.; Rensel, J. E.; Simons, R. D.; Washburn, L.; White, C.","Lester, S. E.","Lester, S. E. (Florida State University); Stevens, J. M. (California Polytechnic State University); Gentry, R. R. (University of California, Santa Barbara); Kappel, C. V. (University of California, Santa Barbara); Bell, T. W. (University of California, Santa Barbara); Costello, C. J. (University of California, Santa Barbara); Gaines, S. D. (University of California, Santa Barbara); Kiefer, D. A. (University of Southern California); Maue, C. C. (Stanford University); Rensel, J. E. (); Simons, R. D. (University of California, Santa Barbara); Washburn, L. (University of California, Santa Barbara); White, C. (California Polytechnic State University)",16,16,,,https://www.nature.com/articles/s41467-018-03249-1.pdf,https://app.dimensions.ai/details/publication/pub.1101244831,0602 Ecology; 0405 Oceanography; 0704 Fisheries Sciences; 04 Earth Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0602 Ecology,0405 Oceanography,0704 Fisheries Sciences,04 Earth Sciences,06 Biological Sciences
4,100,pub.1106362151,10.3389/fmars.2018.00290,,,Critical Information Gaps Impeding Understanding of the Role of Larval Connectivity Among Coral Reef Islands in an Era of Global Change,Frontiers in Marine Science,,,2018-08-27,2018,5,,290,All OA; Gold,Article,"Edmunds, Peter J.; McIlroy, Shelby E.; Adjeroud, Mehdi; Ang, Put; Bergman, Jessica L.; Carpenter, Robert C.; Coffroth, Mary A.; Fujimura, Atsushi G.; Hench, James L.; Holbrook, Sally J.; Leichter, James J.; Muko, Soyoka; Nakajima, Yuichi; Nakamura, Masako; Paris, Claire B.; Schmitt, Russell J.; Sutthacheep, Makamas; Toonen, Robert J.; Sakai, Kazuhiko; Suzuki, Go; Washburn, Libe; Wyatt, Alex S. J.; Mitarai, Satoshi",,"Edmunds, Peter J. (California State University, Northridge); McIlroy, Shelby E. (University of Hong Kong); Adjeroud, Mehdi (University of Perpignan); Ang, Put (Chinese University of Hong Kong); Bergman, Jessica L. (California State University, Northridge); Carpenter, Robert C. (California State University, Northridge); Coffroth, Mary A. (University at Buffalo, State University of New York); Fujimura, Atsushi G. (University of Guam); Hench, James L. (Duke University); Holbrook, Sally J. (University of California, Santa Barbara); Leichter, James J. (University of California, San Diego); Muko, Soyoka (Nagasaki University); Nakajima, Yuichi (Okinawa Institute of Science and Technology); Nakamura, Masako (Tokai University); Paris, Claire B. (University of Miami); Schmitt, Russell J. (University of California, Santa Barbara); Sutthacheep, Makamas (Ramkhamhaeng University); Toonen, Robert J. (University of Hawaii at Manoa); Sakai, Kazuhiko (University of the Ryukyus); Suzuki, Go (); Washburn, Libe (University of California, Santa Barbara); Wyatt, Alex S. J. (University of Tokyo); Mitarai, Satoshi (Okinawa Institute of Science and Technology)",2,2,,,https://www.frontiersin.org/articles/10.3389/fmars.2018.00290/pdf,https://app.dimensions.ai/details/publication/pub.1106362151,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
5,100,pub.1100077134,10.1002/2017jc013324,,,Spatial and Temporal Patterns of Chlorophyll Concentration in the Southern California Bight,Journal of Geophysical Research Oceans,,,2018-01,2018,123,1,231-245,Closed,Article,"Nezlin, Nikolay P.; McLaughlin, Karen; Booth, J. Ashley T.; Cash, Curtis L.; Diehl, Dario W.; Davis, Kristen A.; Feit, Adriano; Goericke, Ralf; Gully, Joseph R.; Howard, Meredith D. A.; Johnson, Scott; Latker, Ami; Mengel, Michael J.; Robertson, George L.; Steele, Alex; Terriquez, Laura; Washburn, Libe; Weisberg, Stephen B.",,"Nezlin, Nikolay P. (Southern California Coastal Water Research Project); McLaughlin, Karen (Southern California Coastal Water Research Project); Booth, J. Ashley T. (); Cash, Curtis L. (); Diehl, Dario W. (Southern California Coastal Water Research Project); Davis, Kristen A. (University of California, Irvine); Feit, Adriano (); Goericke, Ralf (Scripps Institution of Oceanography); Gully, Joseph R. (); Howard, Meredith D. A. (Southern California Coastal Water Research Project); Johnson, Scott (); Latker, Ami (); Mengel, Michael J. (); Robertson, George L. (); Steele, Alex (); Terriquez, Laura (); Washburn, Libe (University of California, Santa Barbara); Weisberg, Stephen B. (Southern California Coastal Water Research Project)",4,4,,,,https://app.dimensions.ai/details/publication/pub.1100077134,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
6,500,pub.1085634151,10.1038/s41598-017-02777-y,28566727,PMC5451383,Persistent spatial structuring of coastal ocean acidification in the California Current System,Scientific Reports,,,2017-12,2017,7,1,2526,All OA; Gold,Article,"Chan, F.; Barth, J. A.; Blanchette, C. A.; Byrne, R. H.; Chavez, F.; Cheriton, O.; Feely, R. A.; Friederich, G.; Gaylord, B.; Gouhier, T.; Hacker, S.; Hill, T.; Hofmann, G.; McManus, M. A.; Menge, B. A.; Nielsen, K. J.; Russell, A.; Sanford, E.; Sevadjian, J.; Washburn, L.","Chan, F.","Chan, F. (Oregon State University); Barth, J. A. (Oregon State University); Blanchette, C. A. (University of California, Santa Barbara); Byrne, R. H. (University of South Florida); Chavez, F. (Monterey Bay Aquarium Research Institute); Cheriton, O. (); Feely, R. A. (Pacific Marine Environmental Laboratory); Friederich, G. (Monterey Bay Aquarium Research Institute); Gaylord, B. (University of California, Davis); Gouhier, T. (Northeastern University); Hacker, S. (Oregon State University); Hill, T. (University of California, Davis); Hofmann, G. (University of California, Santa Barbara); McManus, M. A. (University of Hawaii at Manoa); Menge, B. A. (Oregon State University); Nielsen, K. J. (San Francisco State University); Russell, A. (University of California, Davis); Sanford, E. (University of California, Davis); Sevadjian, J. (Monterey Bay Aquarium Research Institute); Washburn, L. (University of California, Santa Barbara)",35,34,3.09,13.63,https://www.nature.com/articles/s41598-017-02777-y.pdf,https://app.dimensions.ai/details/publication/pub.1085634151,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
7,100,pub.1091828844,10.1002/2017jc013199,,,"Effects of the Relaxation of Upwelling‐Favorable Winds on the Diurnal and Semidiurnal Water Temperature Fluctuations in the Santa Barbara Channel, California",Journal of Geophysical Research Oceans,,,2017-10,2017,122,10,7958-7977,Closed,Article,"Aristizábal, María F.; Fewings, Melanie R.; Washburn, Libe",,"Aristizábal, María F. (University of Connecticut; Goddard Institute for Space Studies); Fewings, Melanie R. (University of Connecticut); Washburn, Libe (University of California, Santa Barbara)",4,3,,1.4,,https://app.dimensions.ai/details/publication/pub.1091828844,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0404 Geophysics; 0405 Oceanography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0404 Geophysics,0405 Oceanography,
8,100,pub.1084239701,10.1175/jtech-d-16-0180.1,,,Measurement of Antenna Patterns for Oceanographic Radars Using Aerial Drones,Journal of Atmospheric and Oceanic Technology,,,2017-05,2017,34,5,971-981,Closed,Article,"Washburn, Libe; Romero, Eduardo; Johnson, Cyril; Emery, Brian; Gotschalk, Chris",,"Washburn, Libe (University of California, Santa Barbara); Romero, Eduardo (University of California, Santa Barbara); Johnson, Cyril (University of California, Santa Barbara); Emery, Brian (University of California, Santa Barbara); Gotschalk, Chris (University of California, Santa Barbara)",7,3,,2.17,,https://app.dimensions.ai/details/publication/pub.1084239701,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
9,100,pub.1084107035,10.1016/j.rsma.2017.02.008,,,An evaluation of ISFET sensors for coastal pH monitoring applications,Regional Studies in Marine Science,,,2017-04,2017,12,Oceanography 28 2015,11-18,Closed,Article,"McLaughlin, Karen; Dickson, Andrew; Weisberg, Stephen B.; Coale, Kenneth; Elrod, Virginia; Hunter, Craig; Johnson, Kenneth S.; Kram, Susan; Kudela, Raphael; Martz, Todd; Negrey, Kendra; Passow, Uta; Shaughnessy, Frank; Smith, Jennifer E.; Tadesse, Dawit; Washburn, Libe; Weis, Kyle R.","McLaughlin, Karen","McLaughlin, Karen (Southern California Coastal Water Research Project); Dickson, Andrew (Scripps Institution of Oceanography); Weisberg, Stephen B. (Southern California Coastal Water Research Project); Coale, Kenneth (California State University Los Angeles); Elrod, Virginia (Monterey Bay Aquarium Research Institute); Hunter, Craig (California State University Los Angeles); Johnson, Kenneth S. (Monterey Bay Aquarium Research Institute); Kram, Susan (Scripps Institution of Oceanography); Kudela, Raphael (University of California, Santa Cruz); Martz, Todd (Scripps Institution of Oceanography); Negrey, Kendra (University of California, Santa Cruz); Passow, Uta (University of California, Santa Barbara); Shaughnessy, Frank (Humboldt State University); Smith, Jennifer E. (Scripps Institution of Oceanography); Tadesse, Dawit (); Washburn, Libe (University of California, Santa Barbara); Weis, Kyle R. (Humboldt State University)",12,11,,3.73,,https://app.dimensions.ai/details/publication/pub.1084107035,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
