,"""About the data: Exported on Oct 31, 2019. Criteria: Researcher is María Débora Iglesias-Rodriguez. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,200,pub.1112645595,10.1142/q0220,,,The Future of Marine Life in a Changing Ocean,Series on the Science of Climate Change,,,2019-11,2019,02,,,Closed,Monograph,"Iglesias-Rodriguez, M Debora",,"Iglesias-Rodriguez, M Debora ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1112645595,,,,,,
2,100,pub.1120395239,10.1002/lno.11309,,,Molecular and biochemical basis for the loss of bioluminescence in the dinoflagellate Noctiluca scintillans along the west coast of the U.S.A.,Limnology and Oceanography,,,2019-08-19,2019,,,,Closed,Article,"Valiadi, Martha; Rond, Tristan; Amorim, Ana; Gittins, John R.; Gubili, Chrysoula; Moore, Bradley S.; Iglesias‐Rodriguez, Maria Debora; Latz, Michael I.",,"Valiadi, Martha (); Rond, Tristan (Scripps Institution of Oceanography); Amorim, Ana (University of Lisbon); Gittins, John R. (); Gubili, Chrysoula (National Agricultural Research Foundation); Moore, Bradley S. (Scripps Institution of Oceanography); Iglesias‐Rodriguez, Maria Debora (); Latz, Michael I. (Scripps Institution of Oceanography)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1120395239,0604 Genetics; 0601 Biochemistry and Cell Biology; 06 Biological Sciences,0604 Genetics,0601 Biochemistry and Cell Biology,06 Biological Sciences,,
3,100,pub.1113811218,10.1029/2019jc015072,,,"Formation, Development, and Propagation of a Rare Coastal Coccolithophore Bloom",Journal of Geophysical Research Oceans,,,2019-05-22,2019,124,5,3298-3316,Closed,Article,"Matson, Paul G.; Washburn, Libe; Fields, Erik A.; Gotschalk, Chris; Ladd, Tanika M.; Siegel, David A.; Welch, Zoë S.; Iglesias‐Rodriguez, M. Debora",,"Matson, Paul G. (University of California, Santa Barbara; Bowling Green State University); Washburn, Libe (University of California, Santa Barbara); Fields, Erik A. (University of California, Santa Barbara); Gotschalk, Chris (University of California, Santa Barbara); Ladd, Tanika M. (University of California, Santa Barbara); Siegel, David A. (University of California, Santa Barbara); Welch, Zoë S. (University of California, Santa Barbara); Iglesias‐Rodriguez, M. Debora (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1113811218,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0404 Geophysics; 0405 Oceanography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0404 Geophysics,0405 Oceanography,
4,100,pub.1109889290,10.1029/2018jc014302,,,Spatial and Temporal Variability of Coccolithophore Blooms in the Eastern Bering Sea,Journal of Geophysical Research Oceans,,,2018-12,2018,123,12,9119-9136,Closed,Article,"Ladd, C.; Eisner, L. B.; Salo, S. A.; Mordy, C. W.; Iglesias‐Rodriguez, M. D.",,"Ladd, C. (Pacific Marine Environmental Laboratory); Eisner, L. B. (Alaska Fisheries Science Center); Salo, S. A. (Pacific Marine Environmental Laboratory); Mordy, C. W. (Pacific Marine Environmental Laboratory; University of Washington); Iglesias‐Rodriguez, M. D. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1109889290,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
5,100,pub.1092329507,10.1016/j.pocean.2017.10.007,,,Coccolithophore growth and calcification in a changing ocean,Progress In Oceanography,,,2017-12,2017,159,Mar. Micropaleontol. 49 2003,276-295,Closed,Article,"Krumhardt, Kristen M.; Lovenduski, Nicole S.; Iglesias-Rodriguez, M. Debora; Kleypas, Joan A.","Krumhardt, Kristen M.","Krumhardt, Kristen M. (University of Colorado Boulder); Lovenduski, Nicole S. (University of Colorado Boulder); Iglesias-Rodriguez, M. Debora (University of California, Santa Barbara); Kleypas, Joan A. (National Center for Atmospheric Research)",17,17,,5.28,,https://app.dimensions.ai/details/publication/pub.1092329507,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
6,500,pub.1090915330,10.1371/journal.pone.0181713,28750008,PMC5531516,Physiological responses of coccolithophores to abrupt exposure of naturally low pH deep seawater,PLoS ONE,,"Adaptation, Physiological; Carbon Dioxide; Haptophyta; Hydrogen-Ion Concentration; Seawater",2017-07-27,2017,12,7,e0181713,All OA; Gold,Article,"Iglesias-Rodriguez, Maria Debora; Jones, Bethan M.; Blanco-Ameijeiras, Sonia; Greaves, Mervyn; Huete-Ortega, Maria; Lebrato, Mario",,"Iglesias-Rodriguez, Maria Debora (University of California, Santa Barbara); Jones, Bethan M. (Oregon State University); Blanco-Ameijeiras, Sonia (University of Geneva); Greaves, Mervyn (University of Cambridge); Huete-Ortega, Maria (University of Sheffield; University of Vigo); Lebrato, Mario (Kiel University; GEOMAR Helmholtz Centre for Ocean Research Kiel)",1,1,0,0.31,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0181713&type=printable,https://app.dimensions.ai/details/publication/pub.1090915330,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
7,400,pub.1007351896,10.1371/journal.pone.0162313,27584038,PMC5008731,Intraspecific Differences in Biogeochemical Responses to Thermal Change in the Coccolithophore Emiliania huxleyi,PLoS ONE,,"Carbon; Climate Change; Eukaryota; Nuclear Magnetic Resonance, Biomolecular; Species Specificity",2016-09-01,2016,11,9,e0162313,All OA; Gold,Article,"Matson, Paul G.; Ladd, Tanika M.; Halewood, Elisa R.; Sangodkar, Rahul P.; Chmelka, Bradley F.; Iglesias-Rodriguez, M. Debora",,"Matson, Paul G. (University of California, Santa Barbara); Ladd, Tanika M. (University of California, Santa Barbara); Halewood, Elisa R. (University of California, Santa Barbara); Sangodkar, Rahul P. (University of California, Santa Barbara); Chmelka, Bradley F. (University of California, Santa Barbara); Iglesias-Rodriguez, M. Debora (University of California, Santa Barbara)",10,6,0,2.59,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0162313&type=printable,https://app.dimensions.ai/details/publication/pub.1007351896,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
8,100,pub.1052082414,10.1002/2015gb005260,,,Benthic marine calcifiers coexist with CaCO3‐undersaturated seawater worldwide,Global Biogeochemical Cycles,,,2016-07,2016,30,7,1038-1053,All OA; Gold,Article,"Lebrato, M.; Andersson, A. J.; Ries, J. B.; Aronson, R. B.; Lamare, M. D.; Koeve, W.; Oschlies, A.; Iglesias‐Rodriguez, M. D.; Thatje, S.; Amsler, M.; Vos, S. C.; Jones, D. O. B.; Ruhl, H. A.; Gates, A. R.; McClintock, J. B.",,"Lebrato, M. (University of California, San Diego; Kiel University); Andersson, A. J. (University of California, San Diego); Ries, J. B. (Northeastern University); Aronson, R. B. (Florida Institute of Technology); Lamare, M. D. (University of Otago); Koeve, W. (GEOMAR Helmholtz Centre for Ocean Research Kiel); Oschlies, A. (GEOMAR Helmholtz Centre for Ocean Research Kiel); Iglesias‐Rodriguez, M. D. (); Thatje, S. (University of Southampton); Amsler, M. (University of Alabama at Birmingham); Vos, S. C. (Florida Institute of Technology); Jones, D. O. B. (National Oceanography Centre); Ruhl, H. A. (National Oceanography Centre); Gates, A. R. (National Oceanography Centre); McClintock, J. B. (University of Alabama at Birmingham)",13,10,,2.8,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2015GB005260,https://app.dimensions.ai/details/publication/pub.1052082414,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
9,200,pub.1088340073,10.21775/9781910190272.06,,,Bioluminescent Microalgae,,Microalgae: Current Research and Applications,,2016,2016,,,107-132,All OA; Gold,Chapter,"Valiadi, Martha; Marcinko, Charlotte L. J.; Loukas, Christos M.; Iglesias-Rodriguez, M. Débora",,"Valiadi, Martha (); Marcinko, Charlotte L. J. (); Loukas, Christos M. (); Iglesias-Rodriguez, M. Débora ()",2,1,,,https://www.caister.com/hsp/pdf/flyer/microalgae.pdf,https://app.dimensions.ai/details/publication/pub.1088340073,,,,,,
