,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Marion E Wittmann. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1112141649,10.1007/s10530-019-01929-7,,,Modeling potential impacts of three benthic invasive species on the Lake Erie food web,Biological Invasions,,,2019-05,2019,21,5,1697-1719,All OA; Gold,Article,"Zhang, Hongyan; Rutherford, Edward S.; Mason, Doran M.; Wittmann, Marion E.; Lodge, David M.; Zhu, Xinhua; Johnson, Timothy B.; Tucker, Andrew","Zhang, Hongyan","Zhang, Hongyan (University of Michigan); Rutherford, Edward S. (Great Lakes Environmental Research Laboratory); Mason, Doran M. (Great Lakes Environmental Research Laboratory); Wittmann, Marion E. (University of California, Santa Barbara); Lodge, David M. (Cornell University); Zhu, Xinhua (Fisheries and Oceans Canada); Johnson, Timothy B. (); Tucker, Andrew ()",0,0,,,https://link.springer.com/content/pdf/10.1007%2Fs10530-019-01929-7.pdf,https://app.dimensions.ai/details/publication/pub.1112141649,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
2,100,pub.1084026653,10.1007/s10750-017-3162-y,,,Passive transport of a benthic bivalve (Corbicula fluminea) in large lakes: implications for deepwater establishment of invasive species,Hydrobiologia,,,2017-08,2017,797,1,87-102,Closed,Article,"Forrest, A. L.; Andradóttir, H. Ó.; Mathis, T. J.; Wittmann, M. E.; Reuter, J. E.; Schladow, S. G.","Forrest, A. L.","Forrest, A. L. (University of California, Davis); Andradóttir, H. Ó. (University of Iceland); Mathis, T. J. (University of California, Davis); Wittmann, M. E. (University of California, Santa Barbara; University of California, Davis); Reuter, J. E. (University of California, Davis); Schladow, S. G. (University of California, Davis)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1084026653,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
3,100,pub.1090880337,10.1002/ecs2.1883,,,Suitability of Laurentian Great Lakes for invasive species based on global species distribution models and local habitat,Ecosphere,,,2017-07,2017,8,7,e01883,All OA; Gold,Article,"Kramer, Andrew M.; Annis, Gust; Wittmann, Marion E.; Chadderton, William L.; Rutherford, Edward S.; Lodge, David M.; Mason, Lacey; Beletsky, Dmitry; Riseng, Catherine; Drake, John M.",,"Kramer, Andrew M. (University of Georgia); Annis, Gust (The Nature Conservancy); Wittmann, Marion E. (University of Notre Dame; University of California, Santa Barbara); Chadderton, William L. (The Nature Conservancy); Rutherford, Edward S. (Great Lakes Environmental Research Laboratory); Lodge, David M. (Cornell University; University of Notre Dame); Mason, Lacey (University of Michigan); Beletsky, Dmitry (University of Michigan); Riseng, Catherine (University of Michigan); Drake, John M. (University of Georgia)",7,7,,2.92,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1002/ecs2.1883,https://app.dimensions.ai/details/publication/pub.1090880337,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
4,100,pub.1084088349,10.1016/j.jglr.2017.02.001,,,Predicting spread of aquatic invasive species by lake currents,Journal of Great Lakes Research,,,2017-06,2017,43,3,14-32,Closed,Article,"Beletsky, Dmitry; Beletsky, Raisa; Rutherford, Edward S.; Sieracki, Jennifer L.; Bossenbroek, Jonathan M.; Chadderton, W. Lindsay; Wittmann, Marion E.; Annis, Gust M.; Lodge, David M.","Beletsky, Dmitry","Beletsky, Dmitry (University of Michigan); Beletsky, Raisa (University of Michigan); Rutherford, Edward S. (Great Lakes Environmental Research Laboratory); Sieracki, Jennifer L. (University of Toledo); Bossenbroek, Jonathan M. (University of Toledo); Chadderton, W. Lindsay (The Nature Conservancy); Wittmann, Marion E. (University of Notre Dame); Annis, Gust M. (The Nature Conservancy); Lodge, David M. (University of Notre Dame)",5,3,,2.23,,https://app.dimensions.ai/details/publication/pub.1084088349,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
5,100,pub.1005846782,10.1016/j.jglr.2016.09.008,,,Refining species distribution model outputs using landscape-scale habitat data: Forecasting grass carp and Hydrilla establishment in the Great Lakes region,Journal of Great Lakes Research,,,2017-04,2017,43,2,298-307,Closed,Article,"Wittmann, Marion E.; Annis, Gust; Kramer, Andrew M.; Mason, Lacey; Riseng, Catherine; Rutherford, Edward S.; Chadderton, William L.; Beletsky, Dmitry; Drake, John M.; Lodge, David M.","Wittmann, Marion E.","Wittmann, Marion E. (University of Notre Dame; University of California, Santa Barbara); Annis, Gust (The Nature Conservancy); Kramer, Andrew M. (University of Georgia); Mason, Lacey (University of Michigan); Riseng, Catherine (University of Michigan); Rutherford, Edward S. (); Chadderton, William L. (The Nature Conservancy); Beletsky, Dmitry (University of Michigan); Drake, John M. (University of Georgia); Lodge, David M. (University of Notre Dame)",5,4,,2.23,,https://app.dimensions.ai/details/publication/pub.1005846782,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
6,100,pub.1006400126,10.1146/annurev-environ-110615-085532,,,Risk Analysis and Bioeconomics of Invasive Species to Inform Policy and Management,Annual Review of Environment and Resources,,,2016-11,2016,41,1,1-36,Closed,Article,"Lodge, David M.; Simonin, Paul W.; Burgiel, Stanley W.; Keller, Reuben P.; Bossenbroek, Jonathan M.; Jerde, Christopher L.; Kramer, Andrew M.; Rutherford, Edward S.; Barnes, Matthew A.; Wittmann, Marion E.; Chadderton, W. Lindsay; Apriesnig, Jenny L.; Beletsky, Dmitry; Cooke, Roger M.; Drake, John M.; Egan, Scott P.; Finnoff, David C.; Gantz, Crysta A.; Grey, Erin K.; Hoff, Michael H.; Howeth, Jennifer G.; Jensen, Richard A.; Larson, Eric R.; Mandrak, Nicholas E.; Mason, Doran M.; Martinez, Felix A.; Newcomb, Tammy J.; Rothlisberger, John D.; Tucker, Andrew J.; Warziniack, Travis W.; Zhang, Hongyan",,"Lodge, David M. (Cornell University; University of Notre Dame); Simonin, Paul W. (University of Notre Dame); Burgiel, Stanley W. (); Keller, Reuben P. (); Bossenbroek, Jonathan M. (University of Toledo); Jerde, Christopher L. (University of Nevada Reno); Kramer, Andrew M. (University of Georgia); Rutherford, Edward S. (Great Lakes Environmental Research Laboratory); Barnes, Matthew A. (Texas Tech University); Wittmann, Marion E. (University of Nevada Reno); Chadderton, W. Lindsay (The Nature Conservancy); Apriesnig, Jenny L. (Colorado State University); Beletsky, Dmitry (University of Michigan); Cooke, Roger M. (Resources For The Future); Drake, John M. (University of Georgia); Egan, Scott P. (Rice University); Finnoff, David C. (University of Wyoming); Gantz, Crysta A. (University of Notre Dame); Grey, Erin K. (Governors State University); Hoff, Michael H. (); Howeth, Jennifer G. (University of Alabama, Tuscaloosa); Jensen, Richard A. (University of Notre Dame); Larson, Eric R. (University of Illinois at Urbana Champaign); Mandrak, Nicholas E. (University of Toronto); Mason, Doran M. (Great Lakes Environmental Research Laboratory); Martinez, Felix A. (); Newcomb, Tammy J. (Michigan Department of Natural Resources); Rothlisberger, John D. (US Forest Service); Tucker, Andrew J. (The Nature Conservancy); Warziniack, Travis W. (Rocky Mountain Research Station); Zhang, Hongyan (University of Michigan)",46,38,,18.23,,https://app.dimensions.ai/details/publication/pub.1006400126,0602 Ecology; 14 Economics; 06 Biological Sciences; 1402 Applied Economics; 05 Environmental Sciences; 0502 Environmental Science and Management,0602 Ecology,14 Economics,06 Biological Sciences,1402 Applied Economics,05 Environmental Sciences
7,100,pub.1027076226,10.1080/23308249.2015.1115466,,,Tradeoffs among Ecosystem Services Associated with Global Tilapia Introductions,Reviews in Fisheries Science & Aquaculture,,,2016-04-02,2016,24,2,178-191,All OA; Gold,Article,"Deines, Andrew M.; Wittmann, Marion E.; Deines, Jillian M.; Lodge, David M.",,"Deines, Andrew M. (University of Notre Dame); Wittmann, Marion E. (); Deines, Jillian M. (); Lodge, David M. (University of Notre Dame)",21,16,,6.11,https://www.tandfonline.com/doi/pdf/10.1080/23308249.2015.1115466?needAccess=true,https://app.dimensions.ai/details/publication/pub.1027076226,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
8,400,pub.1040800153,10.1002/ece3.1898,26941933,PMC4761765,Confronting species distribution model predictions with species functional traits,Ecology and Evolution,,,2016-02,2016,6,4,873-879,All OA; Gold,Article,"Wittmann, Marion E.; Barnes, Matthew A.; Jerde, Christopher L.; Jones, Lisa A.; Lodge, David M.",,"Wittmann, Marion E. (University of Notre Dame; University of Nevada Reno); Barnes, Matthew A. (University of Notre Dame; Texas Tech University); Jerde, Christopher L. (University of Nevada Reno; University of Notre Dame); Jones, Lisa A. (); Lodge, David M. (University of Notre Dame)",14,7,0.52,3.63,https://onlinelibrary.wiley.com/doi/pdf/10.1002/ece3.1898,https://app.dimensions.ai/details/publication/pub.1040800153,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
9,100,pub.1042207955,10.1080/00028487.2015.1069211,,,Forecasting the Impacts of Silver and Bighead Carp on the Lake Erie Food Web,Transactions of the American Fisheries Society,,,2016-01-02,2016,145,1,136-162,All OA; Gold,Article,"Zhang, Hongyan; Rutherford, Edward S.; Mason, Doran M.; Breck, Jason T.; Wittmann, Marion E.; Cooke, Roger M.; Lodge, David M.; Rothlisberger, John D.; Zhu, Xinhua; Johnson, Timothy B.",,"Zhang, Hongyan (University of Michigan); Rutherford, Edward S. (Great Lakes Environmental Research Laboratory); Mason, Doran M. (Great Lakes Environmental Research Laboratory); Breck, Jason T. (University of Wisconsin–Madison); Wittmann, Marion E. (University of Notre Dame; University of Nevada Reno); Cooke, Roger M. (Resources For The Future; Delft University of Technology; University of Strathclyde); Lodge, David M. (University of Notre Dame); Rothlisberger, John D. (US Forest Service); Zhu, Xinhua (Fisheries and Oceans Canada); Johnson, Timothy B. (Ontario Ministry Of Natural Resources)",27,14,,8.84,https://afspubs.onlinelibrary.wiley.com/doi/pdf/10.1080/00028487.2015.1069211,https://app.dimensions.ai/details/publication/pub.1042207955,0704 Fisheries Sciences; 07 Agricultural and Veterinary Sciences,0704 Fisheries Sciences,07 Agricultural and Veterinary Sciences,,,
10,400,pub.1002789422,10.7717/peerj.845,25802813,PMC4369337,Estimating relative risk of within-lake aquatic plant invasion using combined measures of recreational boater movement and habitat suitability,PeerJ,,,2015-03-19,2015,3,,e845,All OA; Gold,Article,"Wittmann, Marion E.; Kendall, Bruce E.; Jerde, Christopher L.; Anderson, Lars W.J.",,"Wittmann, Marion E. (University of California, Santa Barbara; University of Notre Dame; University of Nevada Reno); Kendall, Bruce E. (University of California, Santa Barbara); Jerde, Christopher L. (University of Nevada Reno); Anderson, Lars W.J. ()",3,0,0.11,0.66,https://peerj.com/articles/845.pdf,https://app.dimensions.ai/details/publication/pub.1002789422,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
11,400,pub.1037425495,10.1111/cobi.12369,25132396,,Use of structured expert judgment to forecast invasions by bighead and silver carp in Lake Erie,Conservation Biology,,Animals; Carps; Conservation of Natural Resources; Fisheries; Fishes; Forecasting; Humans; Introduced Species; Lakes; Ontario; Population Dynamics; Recreation; Risk Assessment; United States,2015-02,2015,29,1,187-197,"All OA; Green, Published",Article,"Wittmann, Marion E.; Cooke, Roger M.; Rothlisberger, John D.; Rutherford, Edward S.; Zhang, Hongyan; Mason, Doran M.; Lodge, David M.",,"Wittmann, Marion E. (University of Notre Dame); Cooke, Roger M. (Resources For The Future; University of Strathclyde); Rothlisberger, John D. (US Forest Service); Rutherford, Edward S. (Great Lakes Environmental Research Laboratory); Zhang, Hongyan (University of Michigan); Mason, Doran M. (Great Lakes Environmental Research Laboratory); Lodge, David M. ()",20,11,0.4,4.38,https://deepblue.lib.umich.edu/bitstream/2027.42/110571/1/cobi12369.pdf,https://app.dimensions.ai/details/publication/pub.1037425495,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
12,200,pub.1071269344,10.3391/mbi.2015.6.4.01,,,"Implementing invasive species control: a case study of multi-jurisdictional coordination at Lake Tahoe, USA",Management of Biological Invasions,,,2015,2015,6,4,319-328,All OA; Gold,Article,"Wittmann, Marion; Chandra, Sudeep; Boyd, Kim; Jerde, Christopher",,"Wittmann, Marion (); Chandra, Sudeep (); Boyd, Kim (); Jerde, Christopher ()",3,1,,,http://www.reabic.net/journals/mbi/2015/4/MBI_2015_Wittmann_etal.pdf,https://app.dimensions.ai/details/publication/pub.1071269344,,,,,,
13,100,pub.1109354066,10.7287/peerj.preprints.730,,,Estimating relative risk of within-lake aquatic plant invasion using combined measures of recreational boater movement and habitat suitability,PeerJ Preprints,,,2014-12-19,2014,,,,"All OA; Green, Published",Preprint,"Wittmann, Marion E; Kendall, Bruce E; Jerde, Christopher L; Anderson, Lars W. J.",,"Wittmann, Marion E (University of Nevada Reno; University of Notre Dame; University of California, Santa Barbara); Kendall, Bruce E (University of California, Santa Barbara); Jerde, Christopher L (University of Nevada Reno); Anderson, Lars W. J. ()",0,0,,0,https://peerj.com/preprints/730v1.pdf,https://app.dimensions.ai/details/publication/pub.1109354066,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
