,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Mark A Brzezinski. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,500,pub.1118010758,10.1038/s41564-019-0502-x,31308524,,Silicon limitation facilitates virus infection and mortality of marine diatoms,Nature Microbiology,,,2019-11,2019,4,11,1790-1797,Closed,Article,"Kranzler, Chana F.; Krause, Jeffrey W.; Brzezinski, Mark A.; Edwards, Bethanie R.; Biggs, William P.; Maniscalco, Michael; McCrow, John P.; Van Mooy, Benjamin A. S.; Bidle, Kay D.; Allen, Andrew E.; Thamatrakoln, Kimberlee","Thamatrakoln, Kimberlee","Kranzler, Chana F. (Rutgers, The State University of New Jersey); Krause, Jeffrey W. (Dauphin Island Sea Lab; University of South Alabama); Brzezinski, Mark A. (University of California, Santa Barbara); Edwards, Bethanie R. (University of California, Berkeley); Biggs, William P. (Rutgers, The State University of New Jersey); Maniscalco, Michael (University of California, Santa Barbara); McCrow, John P. (J. Craig Venter Institute); Van Mooy, Benjamin A. S. (Woods Hole Oceanographic Institution); Bidle, Kay D. (Rutgers, The State University of New Jersey); Allen, Andrew E. (J. Craig Venter Institute; University of California, San Diego); Thamatrakoln, Kimberlee (Rutgers, The State University of New Jersey)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1118010758,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
2,500,pub.1110538246,10.1073/pnas.1805243115,30538208,PMC6310850,Different iron storage strategies among bloom-forming diatoms,Proceedings of the National Academy of Sciences,,Diatoms; Ecosystem; Ferritins; Iron; Phytoplankton,2018-12-26,2018,115,52,201805243,"All OA; Green, Accepted & Submitted",Article,"Lampe, Robert H.; Mann, Elizabeth L.; Cohen, Natalie R.; Till, Claire P.; Thamatrakoln, Kimberlee; Brzezinski, Mark A.; Bruland, Kenneth W.; Twining, Benjamin S.; Marchetti, Adrian",,"Lampe, Robert H. (University of North Carolina at Chapel Hill); Mann, Elizabeth L. (); Cohen, Natalie R. (University of North Carolina at Chapel Hill); Till, Claire P. (Humboldt State University); Thamatrakoln, Kimberlee (Rutgers, The State University of New Jersey); Brzezinski, Mark A. (University of California, Santa Barbara); Bruland, Kenneth W. (University of California, Santa Cruz); Twining, Benjamin S. (); Marchetti, Adrian (University of North Carolina at Chapel Hill)",4,4,,,http://darchive.mblwhoilibrary.org/bitstream/1912/10835/1/E12275.full.pdf,https://app.dimensions.ai/details/publication/pub.1110538246,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
3,500,pub.1107234115,10.1111/1462-2920.14431,30253028,PMC6242762,Diatom populations in an upwelling environment decrease silica content to avoid growth limitation,Environmental Microbiology,,Animals; California; Diatoms; Ecosystem; Kinetics; Seawater; Silicon; Silicon Dioxide,2018-11,2018,20,11,4184-4193,Closed,Article,"McNair, Heather M.; Brzezinski, Mark A.; Krause, Jeffrey W.",,"McNair, Heather M. (University of California, Santa Barbara); Brzezinski, Mark A. (University of California, Santa Barbara); Krause, Jeffrey W. (University of South Alabama)",5,5,,,,https://app.dimensions.ai/details/publication/pub.1107234115,0605 Microbiology; 06 Biological Sciences,0605 Microbiology,06 Biological Sciences,,,
4,100,pub.1106322447,10.1016/j.marchem.2018.08.004,,,The chemical form of silicon in marine Synechococcus,Marine Chemistry,,,2018-10,2018,206,Nat. Geosci. 5 12 2012,44-51,Closed,Article,"Ohnemus, Daniel C.; Krause, Jeffrey W.; Brzezinski, Mark A.; Collier, Jackie L.; Baines, Stephen B.; Twining, Benjamin S.","Ohnemus, Daniel C.","Ohnemus, Daniel C. (Bigelow Laboratory For Ocean Sciences); Krause, Jeffrey W. (Dauphin Island Sea Lab; University of South Alabama); Brzezinski, Mark A. (University of California, Santa Barbara); Collier, Jackie L. (Stony Brook University); Baines, Stephen B. (Stony Brook University); Twining, Benjamin S. (Bigelow Laboratory For Ocean Sciences)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1106322447,03 Chemical Sciences; 0399 Other Chemical Sciences,03 Chemical Sciences,0399 Other Chemical Sciences,,,
5,500,pub.1105812448,10.1111/1462-2920.14361,30043484,,Divergent gene expression among phytoplankton taxa in response to upwelling,Environmental Microbiology,,Biological Evolution; California; Diatoms; Ecosystem; Gene Expression; Phytoplankton,2018-08,2018,20,8,3069-3082,Closed,Article,"Lampe, Robert H.; Cohen, Natalie R.; Ellis, Kelsey A.; Bruland, Kenneth W.; Maldonado, Maria T.; Peterson, Tawnya D.; Till, Claire P.; Brzezinski, Mark A.; Bargu, Sibel; Thamatrakoln, Kimberlee; Kuzminov, Fedor I; Twining, Benjamin S.; Marchetti, Adrian",,"Lampe, Robert H. (University of North Carolina at Chapel Hill); Cohen, Natalie R. (University of North Carolina at Chapel Hill); Ellis, Kelsey A. (University of North Carolina at Chapel Hill); Bruland, Kenneth W. (University of California, Santa Cruz); Maldonado, Maria T. (University of British Columbia); Peterson, Tawnya D. (Oregon Health & Science University); Till, Claire P. (University of California, Santa Cruz; Humboldt State University); Brzezinski, Mark A. (University of California, Santa Barbara); Bargu, Sibel (Louisiana State University); Thamatrakoln, Kimberlee (Rutgers, The State University of New Jersey); Kuzminov, Fedor I (Rutgers, The State University of New Jersey); Twining, Benjamin S. (Bigelow Laboratory For Ocean Sciences); Marchetti, Adrian (University of North Carolina at Chapel Hill)",6,6,,,,https://app.dimensions.ai/details/publication/pub.1105812448,0607 Plant Biology; 0604 Genetics; 06 Biological Sciences,0607 Plant Biology,0604 Genetics,06 Biological Sciences,,
6,100,pub.1104432159,10.1002/lol2.10088,,,Urea as a source of nitrogen to giant kelp (Macrocystis pyrifera),Limnology and Oceanography Letters,,,2018-08,2018,3,4,365-373,All OA; Gold,Article,"Smith, Jason M.; Brzezinski, Mark A.; Melack, John M.; Miller, Robert J.; Reed, Daniel C.",,"Smith, Jason M. (University of California, Santa Barbara); Brzezinski, Mark A. (University of California, Santa Barbara); Melack, John M. (University of California, Santa Barbara); Miller, Robert J. (University of California, Santa Barbara); Reed, Daniel C. (University of California, Santa Barbara)",3,3,,,https://doi.org/10.1002/lol2.10088,https://app.dimensions.ai/details/publication/pub.1104432159,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
7,500,pub.1093088246,10.1002/lno.10754,29937577,PMC6007990,Taxon‐specific contributions to silica production in natural diatom assemblages,Limnology and Oceanography,,,2018-05,2018,63,3,1056-1075,"All OA; Green, Accepted & Submitted",Article,"McNair, Heather M.; Brzezinski, Mark A.; Till, Claire P.; Krause, Jeffrey W.",,"McNair, Heather M. (University of California, Santa Barbara); Brzezinski, Mark A. (University of California, Santa Barbara); Till, Claire P. (Humboldt State University); Krause, Jeffrey W. (University of California, Santa Barbara; Dauphin Island Sea Lab; University of South Alabama)",3,3,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6007990,https://app.dimensions.ai/details/publication/pub.1093088246,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
8,200,pub.1103157948,10.3389/fmars.2018.00115,,,Corrigendum: Diatom Transcriptional and Physiological Responses to Changes in Iron Bioavailability across Ocean Provinces,Frontiers in Marine Science,,,2018-04-05,2018,5,,115,All OA; Gold,Article,"Cohen, Natalie R.; Ellis, Kelsey A.; Lampe, Robert H.; McNair, Heather; Twining, Benjamin S.; Maldonado, Maria T.; Brzezinski, Mark A.; Kuzminov, Fedor I.; Thamatrakoln, Kimberlee; Till, Claire P.; Bruland, Kenneth W.; Sunda, William G.; Bargu, Sibel; Marchetti, Adrian",,"Cohen, Natalie R. (University of North Carolina at Chapel Hill); Ellis, Kelsey A. (University of North Carolina at Chapel Hill); Lampe, Robert H. (University of North Carolina at Chapel Hill); McNair, Heather (University of California, Santa Barbara); Twining, Benjamin S. (Bigelow Laboratory For Ocean Sciences); Maldonado, Maria T. (University of British Columbia); Brzezinski, Mark A. (University of California, Santa Barbara); Kuzminov, Fedor I. (Rutgers, The State University of New Jersey); Thamatrakoln, Kimberlee (Rutgers, The State University of New Jersey); Till, Claire P. (University of California, Santa Cruz; Humboldt State University); Bruland, Kenneth W. (University of California, Santa Cruz); Sunda, William G. (University of North Carolina at Chapel Hill); Bargu, Sibel (Louisiana State University); Marchetti, Adrian (University of North Carolina at Chapel Hill)",0,0,,,https://www.frontiersin.org/articles/10.3389/fmars.2018.00115/pdf,https://app.dimensions.ai/details/publication/pub.1103157948,,,,,,
9,100,pub.1091977772,10.1016/j.marchem.2017.09.007,,,Water mass analysis of the 2013 US GEOTRACES eastern Pacific zonal transect (GP16),Marine Chemistry,,,2018-04,2018,201,Deep-Sea Res. 42 1995,6-19,Closed,Article,"Peters, Brian D.; Jenkins, William J.; Swift, James H.; German, Christopher R.; Moffett, James W.; Cutter, Gregory A.; Brzezinski, Mark A.; Casciotti, Karen L.","Casciotti, Karen L.","Peters, Brian D. (Stanford University); Jenkins, William J. (Woods Hole Oceanographic Institution); Swift, James H. (Scripps Institution of Oceanography); German, Christopher R. (Woods Hole Oceanographic Institution); Moffett, James W. (University of Southern California); Cutter, Gregory A. (Old Dominion University); Brzezinski, Mark A. (University of California, Santa Barbara); Casciotti, Karen L. (Stanford University)",18,18,,,,https://app.dimensions.ai/details/publication/pub.1091977772,0405 Oceanography; 0402 Geochemistry; 0399 Other Chemical Sciences; 03 Chemical Sciences; 04 Earth Sciences,0405 Oceanography,0402 Geochemistry,0399 Other Chemical Sciences,03 Chemical Sciences,04 Earth Sciences
