,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Max A Moritz. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,500,pub.1117975900,10.1111/gcb.14732,31301168,,Do lakes feel the burn? Ecological consequences of increasing exposure of lakes to fire in the continental United States,Global Change Biology,,Ecology; Ecosystem; Florida; Lakes; United States; Wildfires,2019-09,2019,25,9,2841-2854,Closed,Article,"McCullough, Ian M.; Cheruvelil, Kendra Spence; Lapierre, Jean‐François; Lottig, Noah R.; Moritz, Max A.; Stachelek, Joseph; Soranno, Patricia A.",,"McCullough, Ian M. (Michigan State University); Cheruvelil, Kendra Spence (Michigan State University); Lapierre, Jean‐François (University of Montreal); Lottig, Noah R. (University of Wisconsin–Madison); Moritz, Max A. (University of California, Santa Barbara); Stachelek, Joseph (Michigan State University); Soranno, Patricia A. (Michigan State University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1117975900,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
2,100,pub.1113052392,10.1111/aec.12751,,,Emergent freeze and fire disturbance dynamics in temperate rainforests,Austral Ecology,,,2019-08,2019,44,5,812-826,Closed,Article,"Buma, Brian; Batllori, Enric; Bisbing, Sarah; Holz, Andres; Saunders, Sari C.; Bidlack, Allison L.; Creutzburg, Megan K.; DellaSala, Dominick A.; Gregovich, Dave; Hennon, Paul; Krapek, John; Moritz, Max A.; Zaret, Kyla",,"Buma, Brian (University of Colorado Denver); Batllori, Enric (Autonomous University of Barcelona); Bisbing, Sarah (University of Nevada Reno); Holz, Andres (Portland State University); Saunders, Sari C. (); Bidlack, Allison L. (University of Alaska Southeast); Creutzburg, Megan K. (Oregon State University); DellaSala, Dominick A. (); Gregovich, Dave (Alaska Department of Fish and Game); Hennon, Paul (US Forest Service); Krapek, John (); Moritz, Max A. (University of California, Santa Barbara); Zaret, Kyla (Portland State University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1113052392,05 Environmental Sciences; 06 Biological Sciences,05 Environmental Sciences,06 Biological Sciences,,,
3,100,pub.1117784088,10.3389/ffgc.2019.00036,,,Plant Accessible Water Storage Capacity and Tree-Scale Root Interactions Determine How Forest Density Reductions Alter Forest Water Use and Productivity,Frontiers in Forests and Global Change,,,2019-07-05,2019,2,,36,All OA; Gold,Article,"Tague, Christina L.; Moritz, Max A.",,"Tague, Christina L. (University of California, Santa Barbara); Moritz, Max A. (University of California, Santa Barbara)",0,0,,,https://www.frontiersin.org/articles/10.3389/ffgc.2019.00036/pdf,https://app.dimensions.ai/details/publication/pub.1117784088,0602 Ecology; 0501 Ecological Applications; 0705 Forestry Sciences; 0607 Plant Biology; 05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0602 Ecology,0501 Ecological Applications,0705 Forestry Sciences,0607 Plant Biology,05 Environmental Sciences
4,100,pub.1114960216,10.1111/csp2.50,,,Climate change likely to reshape vegetation in North America's largest protected areas,Conservation Science and Practice,,,2019-07,2019,1,7,,All OA; Gold,Article,"Holsinger, Lisa; Parks, Sean A.; Parisien, Marc‐André; Miller, Carol; Batllori, Enric; Moritz, Max A.",,"Holsinger, Lisa (); Parks, Sean A. (); Parisien, Marc‐André (); Miller, Carol (); Batllori, Enric (); Moritz, Max A. (University of California, Santa Barbara)",0,0,,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/csp2.50,https://app.dimensions.ai/details/publication/pub.1114960216,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
5,100,pub.1113647958,10.1088/1748-9326/ab1bc5,,,Contrasting human influences and macro-environmental factors on fire activity inside and outside protected areas of North America,Environmental Research Letters,,,2019-05-31,2019,14,6,064007,All OA; Gold,Article,"Mansuy, Nicolas; Miller, Carol; Parisien, Marc-André; Parks, Sean A; Batllori, Enric; Moritz, Max A",,"Mansuy, Nicolas (); Miller, Carol (US Forest Service); Parisien, Marc-André (Canadian Forest Service); Parks, Sean A (); Batllori, Enric (); Moritz, Max A (University of California, Davis; University of California, Santa Barbara)",0,0,,,https://iopscience.iop.org/article/10.1088/1748-9326/ab1bc5/pdf,https://app.dimensions.ai/details/publication/pub.1113647958,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
6,100,pub.1113948375,10.1002/wat2.1350,,,The changing water cycle: The eco‐hydrologic impacts of forest density reduction in Mediterranean (seasonally dry) regions,Wiley Interdisciplinary Reviews Water,,,2019-05-07,2019,6,4,e1350,Closed,Article,"Tague, Christina L.; Moritz, Max; Hanan, Erin",,"Tague, Christina L. (University of California, Santa Barbara); Moritz, Max (University of California, Santa Barbara); Hanan, Erin (University of Nevada Reno)",3,3,,,,https://app.dimensions.ai/details/publication/pub.1113948375,0602 Ecology; 0406 Physical Geography and Environmental Geoscience; 0705 Forestry Sciences; 0501 Ecological Applications; 04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0602 Ecology,0406 Physical Geography and Environmental Geoscience,0705 Forestry Sciences,0501 Ecological Applications,04 Earth Sciences
7,100,pub.1113284830,10.1016/j.gloenvcha.2019.03.007,,,The relative influence of climate and housing development on current and projected future fire patterns and structure loss across three California landscapes,Global Environmental Change,,,2019-05,2019,56,Proc. Natl. Acad. Sci. U. S. A. 113 42 2016,41-55,All OA; Gold,Article,"Syphard, Alexandra D.; Rustigian-Romsos, Heather; Mann, Michael; Conlisk, Erin; Moritz, Max A.; Ackerly, David","Syphard, Alexandra D.","Syphard, Alexandra D. (); Rustigian-Romsos, Heather (); Mann, Michael (); Conlisk, Erin (Point Blue Conservation Science); Moritz, Max A. (University of California Division of Agriculture and Natural Resources; University of California, Santa Barbara); Ackerly, David (University of California, Berkeley)",4,4,,,https://doi.org/10.1016/j.gloenvcha.2019.03.007,https://app.dimensions.ai/details/publication/pub.1113284830,0501 Ecological Applications; 05 Environmental Sciences,0501 Ecological Applications,05 Environmental Sciences,,,
8,100,pub.1110261794,10.1111/1365-2745.13115,,,Compound fire‐drought regimes promote ecosystem transitions in Mediterranean ecosystems,Journal of Ecology,,,2019-05,2019,107,3,1187-1198,"All OA; Green, Accepted & Submitted",Article,"Batllori, Enric; De Cáceres, Miquel; Brotons, Lluís; Ackerly, David D.; Moritz, Max A.; Lloret, Francisco",,"Batllori, Enric (); De Cáceres, Miquel (Centre Tecnològic Forestal de Catalunya); Brotons, Lluís (Centre Tecnològic Forestal de Catalunya; Spanish National Research Council); Ackerly, David D. (University of California, Berkeley); Moritz, Max A. (University of California, Santa Barbara); Lloret, Francisco (Autonomous University of Barcelona)",2,2,,,https://escholarship.org/content/qt9xd400vn/qt9xd400vn.pdf?t=pqw1r6,https://app.dimensions.ai/details/publication/pub.1110261794,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
9,100,pub.1104468771,10.1038/s41558-018-0208-8,,,The dangers of disaster-driven responses to climate change,Nature Climate Change,,,2018-08,2018,8,8,651-653,Closed,Article,"Anderson, Sarah E.; Bart, Ryan R.; Kennedy, Maureen C.; MacDonald, Andrew J.; Moritz, Max A.; Plantinga, Andrew J.; Tague, Christina L.; Wibbenmeyer, Matthew","Anderson, Sarah E.","Anderson, Sarah E. (University of California, Santa Barbara); Bart, Ryan R. (University of California, Santa Barbara; University of California, Merced); Kennedy, Maureen C. (University of Washington Tacoma); MacDonald, Andrew J. (University of California, Santa Barbara; Stanford University); Moritz, Max A. (University of California, Santa Barbara); Plantinga, Andrew J. (University of California, Santa Barbara); Tague, Christina L. (University of California, Santa Barbara); Wibbenmeyer, Matthew (University of California, Berkeley)",3,3,,,,https://app.dimensions.ai/details/publication/pub.1104468771,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management; 0401 Atmospheric Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,05 Environmental Sciences,0502 Environmental Science and Management,0401 Atmospheric Sciences
10,100,pub.1103609388,10.1002/wat2.1291,,,Rivers are social–ecological systems: Time to integrate human dimensions into riverscape ecology and management,Wiley Interdisciplinary Reviews Water,,,2018-07,2018,5,4,e1291,All OA; Gold,Article,"Dunham, Jason B.; Angermeier, Paul L.; Crausbay, Shelley D.; Cravens, Amanda E.; Gosnell, Hannah; McEvoy, Jamie; Moritz, Max A.; Raheem, Nejem; Sanford, Todd",,"Dunham, Jason B. (United States Geological Survey); Angermeier, Paul L. (); Crausbay, Shelley D. (University of California, Santa Barbara; Conservation Science Partners); Cravens, Amanda E. (United States Geological Survey); Gosnell, Hannah (Oregon State University); McEvoy, Jamie (Montana State University); Moritz, Max A. (University of California, Santa Barbara); Raheem, Nejem (Emerson College); Sanford, Todd ()",4,4,,,https://doi.org/10.1002/wat2.1291,https://app.dimensions.ai/details/publication/pub.1103609388,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
