,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Michael Bliss Singer. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,500,pub.1113404845,10.1016/j.scitotenv.2019.04.145,31022536,,"Isotopic evidence for mercury photoreduction and retention on particles in surface waters of Central California, USA",The Science of The Total Environment,,,2019-07,2019,674,,451-461,Closed,Article,"Washburn, Spencer J.; Blum, Joel D.; Donovan, Patrick M.; Singer, Michael Bliss","Washburn, Spencer J.","Washburn, Spencer J. (University of Michigan); Blum, Joel D. (University of Michigan); Donovan, Patrick M. (University of Michigan); Singer, Michael Bliss (Cardiff University; University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1113404845,04 Earth Sciences; 0402 Geochemistry,04 Earth Sciences,0402 Geochemistry,,,
2,100,pub.1110158838,10.1525/elementa.333,,,"Remains of the 19<sup>th</sup> Century: Deep storage of contaminated hydraulic mining sediment along the Lower Yuba River, California",Elementa: Science of the Anthropocene,,,2018-11-23,2018,6,1,70,All OA; Gold,Article,"Nakamura, Tyler K.; Singer, Michael Bliss; Gabet, Emmanuel J.",,"Nakamura, Tyler K. (San Jose State University); Singer, Michael Bliss (University of California, Santa Barbara); Gabet, Emmanuel J. (San Jose State University)",1,1,,,http://www.elementascience.org/articles/10.1525/elementa.333/galley/1472/download/,https://app.dimensions.ai/details/publication/pub.1110158838,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
3,100,pub.1106908879,10.5194/gmd-11-3713-2018,,,"STORM 1.0: a simple, flexible, and parsimonious stochastic rainfall generator for simulating climate and climate change",Geoscientific Model Development Discussions,,,2018-09-11,2018,11,9,3713-3726,All OA; Gold,Article,"Singer, Michael Bliss; Michaelides, Katerina; Hobley, Daniel E. J.",,"Singer, Michael Bliss (Cardiff University; University of California, Santa Barbara); Michaelides, Katerina (University of Bristol; University of California, Santa Barbara); Hobley, Daniel E. J. (Cardiff University)",3,3,,,https://www.geosci-model-dev.net/11/3713/2018/gmd-11-3713-2018.pdf,https://app.dimensions.ai/details/publication/pub.1106908879,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
4,100,pub.1105941467,10.1029/2018gl078976,,,"Effect of Flood Hydrograph Duration, Magnitude, and Shape on Bed Load Transport Dynamics",Geophysical Research Letters,,,2018-08-28,2018,45,16,8264-8271,"All OA; Green, Accepted & Submitted",Article,"Phillips, C. B.; Hill, K. M.; Paola, C.; Singer, M. B.; Jerolmack, D. J.",,"Phillips, C. B. (Northwestern University); Hill, K. M. (University of Minnesota); Paola, C. (University of Minnesota); Singer, M. B. (Cardiff University; University of California, Santa Barbara); Jerolmack, D. J. (University of Pennsylvania)",3,3,,,http://orca.cf.ac.uk/114620/1/Phillips_transientflows_GRL__manuscript.pdf,https://app.dimensions.ai/details/publication/pub.1105941467,0915 Interdisciplinary Engineering; 09 Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0915 Interdisciplinary Engineering,09 Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,
5,100,pub.1100191227,10.1002/esp.4340,,,Spatial and temporal analysis of hillslope–channel coupling and implications for the longitudinal profile in a dryland basin,Earth Surface Processes and Landforms,,,2018-06-30,2018,43,8,1608-1621,"All OA; Green, Published",Article,"Michaelides, Katerina; Hollings, Rory; Singer, Michael Bliss; Nichols, Mary H.; Nearing, Mark A.",,"Michaelides, Katerina (University of Bristol; University of California, Santa Barbara); Hollings, Rory (University of Bristol); Singer, Michael Bliss (Cardiff University; University of California, Santa Barbara); Nichols, Mary H. (Agricultural Research Service); Nearing, Mark A. (Agricultural Research Service)",3,3,,,https://research-information.bristol.ac.uk/files/153590837/Full_text_PDF_final_published_version_.pdf,https://app.dimensions.ai/details/publication/pub.1100191227,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
6,100,pub.1103986292,10.5194/gmd-2018-86,,,"STORM: A simple, flexible, and parsimonious stochastic rainfall generator for simulating climate and climate change",Geoscientific Model Development Discussions,,,2018-05-14,2018,,,1-25,All OA; Gold,Article,"Singer, Michael Bliss; Michaelides, Katerina; Hobley, Daniel E. J.",,"Singer, Michael Bliss (Cardiff University; University of California, Santa Barbara); Michaelides, Katerina (University of Bristol; University of California, Santa Barbara); Hobley, Daniel E. J. (Cardiff University)",1,1,,,http://orca.cf.ac.uk/114808/1/Singer_etal_2018.pdf,https://app.dimensions.ai/details/publication/pub.1103986292,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
7,100,pub.1100693108,10.1002/2017wr020827,,,Modeling Subsurface Hydrology in Floodplains,Water Resources Research,,,2018-03,2018,54,3,1428-1459,"All OA; Green, Published",Article,"Evans, Cristina M.; Dritschel, David G.; Singer, Michael B.",,"Evans, Cristina M. (University of St Andrews); Dritschel, David G. (University of St Andrews); Singer, Michael B. (Cardiff University; University of California, Santa Barbara)",2,2,,,https://research-repository.st-andrews.ac.uk/bitstream/10023/15939/1/Evans_2018_WRR_Floodplains_FinalPubVersion.pdf,https://app.dimensions.ai/details/publication/pub.1100693108,09 Engineering; 14 Economics; 0905 Civil Engineering; 1402 Applied Economics; 0907 Environmental Engineering,09 Engineering,14 Economics,0905 Civil Engineering,1402 Applied Economics,0907 Environmental Engineering
8,100,pub.1092171712,10.1088/1748-9326/aa8e50,,,Deciphering the expression of climate change within the Lower Colorado River basin by stochastic simulation of convective rainfall,Environmental Research Letters,,,2017-10-01,2017,12,10,104011,All OA; Gold,Article,"Singer, Michael Bliss; Michaelides, Katerina",,"Singer, Michael Bliss (); Michaelides, Katerina ()",7,7,,3.08,http://iopscience.iop.org/article/10.1088/1748-9326/aa8e50/pdf,https://app.dimensions.ai/details/publication/pub.1092171712,0406 Physical Geography and Environmental Geoscience; 0104 Statistics; 01 Mathematical Sciences; 04 Earth Sciences; 0401 Atmospheric Sciences,0406 Physical Geography and Environmental Geoscience,0104 Statistics,01 Mathematical Sciences,04 Earth Sciences,0401 Atmospheric Sciences
9,100,pub.1090684409,10.1016/b978-0-12-803835-2.00002-4,,,Chapter 2.1 Geomorphology and Sediment Regimes of Intermittent Rivers and Ephemeral Streams,,Intermittent Rivers and Ephemeral Streams,,2017,2017,,,21-49,Closed,Chapter,"Jaeger, Kristin L.; Sutfin, Nicholas A.; Tooth, Stephen; Michaelides, Katerina; Singer, Michael",,"Jaeger, Kristin L. (); Sutfin, Nicholas A. (Los Alamos National Laboratory); Tooth, Stephen (Aberystwyth University); Michaelides, Katerina (University of Bristol; University of California, Santa Barbara); Singer, Michael (University of California, Santa Barbara; Cardiff University)",7,7,,2.3,,https://app.dimensions.ai/details/publication/pub.1090684409,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
