,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Nicholas J Nidzieko. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1106287298,10.1007/s12237-018-0441-4,,,Observations of Variable Ammonia Oxidation and Nitrous Oxide Flux in a Eutrophic Estuary,Chesapeake Science,,,2019-01,2019,42,1,33-44,Closed,Article,"Laperriere, Sarah M.; Nidzieko, Nicholas J.; Fox, Rebecca J.; Fisher, Alexander W.; Santoro, Alyson E.","Santoro, Alyson E.","Laperriere, Sarah M. (University of Maryland Center For Environmental Sciences; University of California, Santa Barbara); Nidzieko, Nicholas J. (University of Maryland Center For Environmental Sciences; University of California, Santa Barbara); Fox, Rebecca J. (University of Maryland Center For Environmental Sciences; Washington College); Fisher, Alexander W. (University of Maryland Center For Environmental Sciences; University of California, Santa Barbara); Santoro, Alyson E. (University of Maryland Center For Environmental Sciences; University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1106287298,04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,04 Earth Sciences,05 Environmental Sciences,06 Biological Sciences,,
2,100,pub.1106577667,10.1029/2018gl078543,,,Turbulent Mixing in a Far‐Field Plume During the Transition to Upwelling Conditions: Microstructure Observations From an AUV,Geophysical Research Letters,,,2018-09-28,2018,45,18,9765-9773,"All OA; Green, Published",Article,"Fisher, Alexander W.; Nidzieko, Nicholas J.; Scully, Malcolm E.; Chant, Robert J.; Hunter, Elias J.; Mazzini, Piero L. F.",,"Fisher, Alexander W. (University of California, Santa Barbara); Nidzieko, Nicholas J. (University of California, Santa Barbara); Scully, Malcolm E. (); Chant, Robert J. (Rutgers, The State University of New Jersey); Hunter, Elias J. (Rutgers, The State University of New Jersey); Mazzini, Piero L. F. (San Francisco State University)",0,0,,,http://darchive.mblwhoilibrary.org/bitstream/1912/10791/1/Fisher_et_al-2018-Geophysical_Research_Letters.pdf,https://app.dimensions.ai/details/publication/pub.1106577667,09 Engineering; 0911 Maritime Engineering; 0405 Oceanography; 0915 Interdisciplinary Engineering; 04 Earth Sciences; 0907 Environmental Engineering,09 Engineering,0911 Maritime Engineering,0405 Oceanography,0915 Interdisciplinary Engineering,04 Earth Sciences
3,500,pub.1104532153,10.1073/pnas.1719963115,29891693,PMC6042108,Allometric scaling of estuarine ecosystem metabolism,Proceedings of the National Academy of Sciences,,Animals; Aquatic Organisms; Autotrophic Processes; Carbon Cycle; Ecosystem; Estuaries; Heterotrophic Processes; United States; Water; Water Movements,2018-06-26,2018,115,26,201719963,All OA; Gold,Article,"Nidzieko, Nicholas J.",,"Nidzieko, Nicholas J. (University of California, Santa Barbara)",0,0,,,https://www.pnas.org/content/pnas/115/26/6733.full.pdf,https://app.dimensions.ai/details/publication/pub.1104532153,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
4,100,pub.1043441140,10.1002/2016jc012466,,,Local diurnal wind‐driven variability and upwelling in a small coastal embayment,Journal of Geophysical Research Oceans,,,2017-02,2017,122,2,955-972,All OA; Gold,Article,"Walter, Ryan K.; Reid, Emma C.; Davis, Kristen A.; Armenta, Kevin J.; Merhoff, Kevin; Nidzieko, Nicholas J.",,"Walter, Ryan K. (California Polytechnic State University); Reid, Emma C. (University of California, Irvine); Davis, Kristen A. (University of California, Irvine); Armenta, Kevin J. (California Polytechnic State University); Merhoff, Kevin (California Polytechnic State University); Nidzieko, Nicholas J. (University of California, Santa Barbara)",11,9,,3.42,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2016JC012466,https://app.dimensions.ai/details/publication/pub.1043441140,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
5,100,pub.1038286165,10.1007/s12237-013-9765-2,,,Fortnightly Tidal Modulations Affect Net Community Production in a Mesotidal Estuary,Chesapeake Science,,,2014-03,2014,37,Suppl 1,91-110,All OA; Gold,Article,"Nidzieko, Nicholas J.; Needoba, Joseph A.; Monismith, Stephen G.; Johnson, Kenneth S.","Nidzieko, Nicholas J.","Nidzieko, Nicholas J. (University of Maryland Center For Environmental Sciences); Needoba, Joseph A. (Oregon Health & Science University); Monismith, Stephen G. (Stanford University); Johnson, Kenneth S. (Monterey Bay Aquarium Research Institute)",9,6,,,https://link.springer.com/content/pdf/10.1007%2Fs12237-013-9765-2.pdf,https://app.dimensions.ai/details/publication/pub.1038286165,04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,04 Earth Sciences,05 Environmental Sciences,06 Biological Sciences,,
6,100,pub.1035673924,10.1002/jgrf.20143,,,Inferring tidal wetland stability from channel sediment fluxes: Observations and a conceptual model,Journal of Geophysical Research Earth Surface,,,2013-12,2013,118,4,2045-2058,All OA; Gold,Article,"Ganju, Neil K.; Nidzieko, Nicholas J.; Kirwan, Matthew L.",,"Ganju, Neil K. (); Nidzieko, Nicholas J. (University of Maryland Center For Environmental Sciences); Kirwan, Matthew L. (William & Mary)",31,13,,4.56,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/jgrf.20143,https://app.dimensions.ai/details/publication/pub.1035673924,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
7,100,pub.1052641289,10.1002/2013gl056756,,,Inner shelf intrusions of offshore water in an upwelling system affect coastal connectivity,Geophysical Research Letters,,,2013-10-28,2013,40,20,5423-5428,All OA; Gold,Article,"Nidzieko, N. J.; Largier, J. L.",,"Nidzieko, N. J. (University of Maryland Center For Environmental Sciences); Largier, J. L. (University of California, Davis)",10,4,,1.21,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2013GL056756,https://app.dimensions.ai/details/publication/pub.1052641289,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
8,100,pub.1052726592,10.1016/j.csr.2012.02.004,,,Effects of estuarine and fluvial processes on sediment transport over deltaic tidal flats,Continental Shelf Research,,,2013-06,2013,60,,s40-s57,"All OA; Green, Accepted & Submitted",Article,"Ralston, David K.; Geyer, W. Rockwell; Traykovski, Peter A.; Nidzieko, Nicholas J.","Ralston, David K.","Ralston, David K. (Woods Hole Oceanographic Institution); Geyer, W. Rockwell (Woods Hole Oceanographic Institution); Traykovski, Peter A. (Woods Hole Oceanographic Institution); Nidzieko, Nicholas J. (Woods Hole Oceanographic Institution)",22,3,,,http://darchive.mblwhoilibrary.org/bitstream/1912/6178/1/RalstonEtal_CSR_Skagit_rev2_1.pdf,https://app.dimensions.ai/details/publication/pub.1052726592,04 Earth Sciences; 06 Biological Sciences,04 Earth Sciences,06 Biological Sciences,,,
9,100,pub.1019757408,10.1007/s12237-012-9548-1,,,"Contrasting Seasonal and Fortnightly Variations in the Circulation of a Seasonally Inverse Estuary, Elkhorn Slough, California",Chesapeake Science,,,2013-01,2013,36,1,1-17,Closed,Article,"Nidzieko, Nicholas J.; Monismith, Stephen G.","Nidzieko, Nicholas J.","Nidzieko, Nicholas J. (University of Maryland Center For Environmental Sciences); Monismith, Stephen G. (Stanford University)",15,4,,,,https://app.dimensions.ai/details/publication/pub.1019757408,04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,04 Earth Sciences,05 Environmental Sciences,06 Biological Sciences,,
