,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Phaedon C Kyriakidis. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1117626140,10.1117/12.2535588,,,"Dynamic geovisualization of population expected at points of interest over daily timescales: an application at Latsia, Nicosia, Cyprus",,Seventh International Conference on Remote Sensing and Geoinformation of the Environment (RSCy2019),,2019-06-27,2019,11174,,111740e-111740e-8,Closed,Proceeding,"Chrysoulidis, Savvas; Kyriakidis, Phaedon",,"Chrysoulidis, Savvas (Cyprus University of Technology); Kyriakidis, Phaedon (Cyprus University of Technology)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1117626140,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
2,100,pub.1117347560,10.1155/2019/7297593,,,A Geostatistical Approach to Spatial Quality Assessment of Coarse Spatial Resolution Remote Sensing Products,Journal of Sensors,,,2019-06-19,2019,2019,,1-14,All OA; Gold,Article,"Park, No-Wook; Kyriakidis, Phaedon C.",,"Park, No-Wook (Inha University); Kyriakidis, Phaedon C. (Cyprus University of Technology)",0,0,,,http://downloads.hindawi.com/journals/js/2019/7297593.pdf,https://app.dimensions.ai/details/publication/pub.1117347560,0303 Macromolecular and Materials Chemistry; 03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),0303 Macromolecular and Materials Chemistry,03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,
3,100,pub.1110287678,10.1007/978-3-319-89806-3_18,,,Correction to: Spatial Patterns of Accessibility Between Islands of the North and South Aegean Regions and Attica,,The Practice of Spatial Analysis,,2019,2019,,,e1-e1,All OA; Gold,Chapter,"Kavroudakis, Dimitris; Polydoropoulos, Ioakeim; Kyriakidis, Phaedon; Kizos, Thanassis","Kavroudakis, Dimitris","Kavroudakis, Dimitris (University of the Aegean); Polydoropoulos, Ioakeim (University of the Aegean); Kyriakidis, Phaedon (Cyprus University of Technology); Kizos, Thanassis (University of the Aegean)",0,0,,,https://link.springer.com/content/pdf/10.1007%2F978-3-319-89806-3_18.pdf,https://app.dimensions.ai/details/publication/pub.1110287678,16 Studies in Human Society; 1604 Human Geography,16 Studies in Human Society,1604 Human Geography,,,
4,100,pub.1105172415,10.1007/978-3-319-89806-3_5,,,Spatial Patterns of Accessibility Between Islands of the North and South Aegean Regions and Attica,,The Practice of Spatial Analysis,,2019,2019,,,85-115,Closed,Chapter,"Kavroudakis, Dimitris; Polydoropoulos, Ioakeim; Kyriakidis, Phaedon; Kizos, Thanassis","Kavroudakis, Dimitris","Kavroudakis, Dimitris (University of the Aegean); Polydoropoulos, Ioakeim (University of the Aegean); Kyriakidis, Phaedon (Cyprus University of Technology); Kizos, Thanassis (University of the Aegean)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1105172415,16 Studies in Human Society; 1604 Human Geography,16 Studies in Human Society,1604 Human Geography,,,
5,100,pub.1107765061,10.5194/adgeo-45-305-2018,,,A Human Centric Approach on the Analysis of the Smart City Concept: the case study of the Limassol city in Cyprus,Advances in Geosciences,,,2018-10-22,2018,45,,305-320,All OA; Gold,Article,"Alverti, Maroula N.; Themistocleous, Kyriakos; Kyriakidis, Phaedon C.; Hadjimitsis, Diofantos G.",,"Alverti, Maroula N. (Cyprus University of Technology); Themistocleous, Kyriakos (Cyprus University of Technology); Kyriakidis, Phaedon C. (Cyprus University of Technology); Hadjimitsis, Diofantos G. (Cyprus University of Technology)",1,1,,,https://doi.org/10.5194/adgeo-45-305-2018,https://app.dimensions.ai/details/publication/pub.1107765061,04 Earth Sciences,04 Earth Sciences,,,,
6,100,pub.1093077813,10.1080/13658816.2017.1406944,,,A meta-modeling approach for spatio-temporal uncertainty and sensitivity analysis: an application for a cellular automata-based Urban growth and land-use change model,International Journal of Geographical Information Science,,,2018-04-03,2018,32,4,1-26,"All OA; Green, Published",Article,"Şalap-Ayça, Seda; Jankowski, Piotr; Clarke, Keith C; Kyriakidis, Phaedon C; Nara, Atsushi",,"Şalap-Ayça, Seda (San Diego State University); Jankowski, Piotr (San Diego State University); Clarke, Keith C (University of California, Santa Barbara); Kyriakidis, Phaedon C (University of California, Santa Barbara); Nara, Atsushi (San Diego State University)",8,8,,,https://escholarship.org/content/qt2730d4fn/qt2730d4fn.pdf?t=p430ht,https://app.dimensions.ai/details/publication/pub.1093077813,08 Information and Computing Sciences; 09 Engineering; 0806 Information Systems; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,08 Information and Computing Sciences,09 Engineering,0806 Information Systems,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience
7,100,pub.1095858127,10.1007/s11004-017-9715-9,,,Conditional Latin Hypercube Simulation of (Log)Gaussian Random Fields,Mathematical Geosciences,,,2018-02,2018,50,2,127-146,Closed,Article,"Liodakis, Stelios; Kyriakidis, Phaedon; Gaganis, Petros","Liodakis, Stelios","Liodakis, Stelios (University of the Aegean); Kyriakidis, Phaedon (Cyprus University of Technology); Gaganis, Petros (University of the Aegean)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1095858127,01 Mathematical Sciences; 0104 Statistics,01 Mathematical Sciences,0104 Statistics,,,
8,200,pub.1110295508,10.18485/fb_ic4hs.2018.12,,,Personalised Security: A Step Towards Applied Human Security,,4th International Conference on Human Security,,2018,2018,,,107-116,All OA; Gold,Chapter,"Chrysoulidis, Savvas E.; Kyriakidis, Phaedon",,"Chrysoulidis, Savvas E. (); Kyriakidis, Phaedon ()",0,0,,,http://doi.fil.bg.ac.rs/pdf/eb_book/2018/fb_ic4hs/fb_ic4hs-2018-ch12.pdf,https://app.dimensions.ai/details/publication/pub.1110295508,,,,,,
9,500,pub.1054022087,10.1186/s12971-017-0114-2,28123354,PMC5248501,"Lung cancer and tobacco smoking in Crete, Greece: reflections from a population-based cancer registry from 1992 to 2013",Tobacco Induced Diseases,,,2017-12,2017,15,1,6,All OA; Gold,Article,"Sifaki-Pistolla, D.; Lionis, C.; Georgoulias, V.; Kyriakidis, P.; Koinis, F.; Aggelaki, S.; Tzanakis, N.","Sifaki-Pistolla, D.","Sifaki-Pistolla, D. (University of Crete); Lionis, C. (University of Crete); Georgoulias, V. (University of Crete); Kyriakidis, P. (Cyprus University of Technology); Koinis, F. (University of Crete); Aggelaki, S. (University of Crete); Tzanakis, N. (University of Crete)",4,2,0.55,2.22,http://www.tobaccoinduceddiseases.org/pdf-69714-7717?filename=Lung cancer and tobacco.pdf,https://app.dimensions.ai/details/publication/pub.1054022087,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
