,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Qing-Hua Ding. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1121833595,10.1029/2019gl084272,,,North Atlantic and Pacific quasi‐stationary parts of atmospheric rivers and their implications for East Asian monsoon onset,Geophysical Research Letters,,,2019-10-16,2019,,,,Closed,Article,"Lee, Hung‐I; Mitchell, Jonathan L.; Tripati, Aradhna; Lora, Juan M.; Chen, Gang; Ding, Qinghua",,"Lee, Hung‐I (University of California Los Angeles); Mitchell, Jonathan L. (University of California Los Angeles); Tripati, Aradhna (University of California Los Angeles); Lora, Juan M. (University of California Los Angeles; Yale University); Chen, Gang (University of California Los Angeles); Ding, Qinghua (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1121833595,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
2,100,pub.1117376221,10.1175/jcli-d-19-0088.1,,,Tropical and mid-latitude impact on seasonal polar predictability in the Community Earth System Model Tropical and mid-latitude impact on seasonal polar predictability in the Community Earth System Model,Journal of Climate,,,2019-09,2019,32,18,5997-6014,Closed,Article,"Blanchard-Wrigglesworth, Edward; Ding, Qinghua",,"Blanchard-Wrigglesworth, Edward (University of Washington); Ding, Qinghua (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1117376221,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
3,100,pub.1110231861,10.1175/jcli-d-17-0766.1,,,Skill of seasonal Arctic sea ice extent predictions using the North American multi-model ensemble Skill of seasonal Arctic sea ice extent predictions using the North American multi-model ensemble,Journal of Climate,,,2019-01,2019,32,2,623-638,Closed,Article,"Harnos, K. J.; L’Heureux, M.; Ding, Q.; Zhang, Q.",,"Harnos, K. J. (); L’Heureux, M. (); Ding, Q. (University of California, Santa Barbara); Zhang, Q. ()",1,1,,,,https://app.dimensions.ai/details/publication/pub.1110231861,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
4,100,pub.1107926157,10.1038/s41561-018-0256-8,,,Fingerprints of internal drivers of Arctic sea ice loss in observations and model simulations,Nature Geoscience,,,2019-01,2019,12,1,28-33,Closed,Article,"Ding, Qinghua; Schweiger, Axel; L’Heureux, Michelle; Steig, Eric J.; Battisti, David S.; Johnson, Nathaniel C.; Blanchard-Wrigglesworth, Eduardo; Po-Chedley, Stephen; Zhang, Qin; Harnos, Kirstin; Bushuk, Mitchell; Markle, Bradley; Baxter, Ian","Ding, Qinghua","Ding, Qinghua (University of California, Santa Barbara); Schweiger, Axel (University of Washington); L’Heureux, Michelle (); Steig, Eric J. (University of Washington); Battisti, David S. (University of Washington); Johnson, Nathaniel C. (Princeton University); Blanchard-Wrigglesworth, Eduardo (University of Washington); Po-Chedley, Stephen (Lawrence Livermore National Laboratory); Zhang, Qin (); Harnos, Kirstin (); Bushuk, Mitchell (Geophysical Fluid Dynamics Laboratory); Markle, Bradley (University of California, Santa Barbara); Baxter, Ian (University of California, Santa Barbara)",6,6,,,,https://app.dimensions.ai/details/publication/pub.1107926157,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0401 Atmospheric Sciences; 0405 Oceanography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0401 Atmospheric Sciences,0405 Oceanography,
5,100,pub.1086261561,10.1007/s00382-017-3774-y,,,A warming tropical central Pacific dries the lower stratosphere,Climate Dynamics,,,2018-04,2018,50,7-8,2813-2827,Closed,Article,"Ding, Qinghua; Fu, Qiang","Ding, Qinghua","Ding, Qinghua (University of California, Santa Barbara); Fu, Qiang (University of Washington)",6,5,,,,https://app.dimensions.ai/details/publication/pub.1086261561,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
6,100,pub.1092554874,10.1002/2017gl074854,,,Strong Relations Between ENSO and the Arctic Oscillation in the North American Multimodel Ensemble,Geophysical Research Letters,,,2017-11-28,2017,44,22,"11,654-11,662",Closed,Article,"L'Heureux, Michelle L.; Tippett, Michael K.; Kumar, Arun; Butler, Amy H.; Ciasto, Laura M.; Ding, Qinghua; Harnos, Kirstin J.; Johnson, Nathaniel C.",,"L'Heureux, Michelle L. (National Oceanic and Atmospheric Administration); Tippett, Michael K. (Columbia University; King Abdulaziz University); Kumar, Arun (National Oceanic and Atmospheric Administration); Butler, Amy H. (University of Colorado Boulder); Ciasto, Laura M. (National Oceanic and Atmospheric Administration); Ding, Qinghua (University of California, Santa Barbara); Harnos, Kirstin J. (National Oceanic and Atmospheric Administration); Johnson, Nathaniel C. (Geophysical Fluid Dynamics Laboratory; Princeton University)",10,10,,3.11,,https://app.dimensions.ai/details/publication/pub.1092554874,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
7,100,pub.1084128769,10.1038/nclimate3241,,,Influence of high-latitude atmospheric circulation changes on summertime Arctic sea ice,Nature Climate Change,,,2017-04,2017,7,4,289-295,Closed,Article,"Ding, Qinghua; Schweiger, Axel; L’Heureux, Michelle; Battisti, David S.; Po-Chedley, Stephen; Johnson, Nathaniel C.; Blanchard-Wrigglesworth, Eduardo; Harnos, Kirstin; Zhang, Qin; Eastman, Ryan; Steig, Eric J.","Ding, Qinghua","Ding, Qinghua (University of California, Santa Barbara; University of Washington); Schweiger, Axel (University of Washington); L’Heureux, Michelle (); Battisti, David S. (University of Washington); Po-Chedley, Stephen (University of Washington); Johnson, Nathaniel C. (Princeton University); Blanchard-Wrigglesworth, Eduardo (University of Washington); Harnos, Kirstin (); Zhang, Qin (); Eastman, Ryan (University of Washington); Steig, Eric J. (University of Washington)",102,92,,32.6,,https://app.dimensions.ai/details/publication/pub.1084128769,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0405 Oceanography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0405 Oceanography,,
8,100,pub.1028835749,10.1038/ngeo2848,,,Global atmospheric teleconnections during Dansgaard–Oeschger events,Nature Geoscience,,,2017-01,2017,10,1,36-40,Closed,Article,"Markle, Bradley R.; Steig, Eric J.; Buizert, Christo; Schoenemann, Spruce W.; Bitz, Cecilia M.; Fudge, T. J.; Pedro, Joel B.; Ding, Qinghua; Jones, Tyler R.; White, James W. C.; Sowers, Todd","Markle, Bradley R.","Markle, Bradley R. (University of Washington); Steig, Eric J. (University of Washington); Buizert, Christo (Oregon State University); Schoenemann, Spruce W. (University of Washington); Bitz, Cecilia M. (University of Washington); Fudge, T. J. (University of Washington); Pedro, Joel B. (University of Copenhagen); Ding, Qinghua (University of California, Santa Barbara); Jones, Tyler R. (Institute of Arctic and Alpine Research); White, James W. C. (Institute of Arctic and Alpine Research); Sowers, Todd (Pennsylvania State University)",44,37,,14.52,,https://app.dimensions.ai/details/publication/pub.1028835749,0405 Oceanography; 0406 Physical Geography and Environmental Geoscience; 0403 Geology; 04 Earth Sciences; 0401 Atmospheric Sciences,0405 Oceanography,0406 Physical Geography and Environmental Geoscience,0403 Geology,04 Earth Sciences,0401 Atmospheric Sciences
9,100,pub.1000232686,10.1002/2015jd024370,,,A modeling study of the response of Asian summertime climate to the largest geologic forcings of the past 50 Ma,Journal of Geophysical Research Atmospheres,,,2016-05-27,2016,121,10,5453-5470,All OA; Gold,Article,"Roe, Gerard H.; Ding, Qinghua; Battisti, David S.; Molnar, Peter; Clark, Marin K.; Garzione, Carmala N.",,"Roe, Gerard H. (University of Washington); Ding, Qinghua (University of Washington); Battisti, David S. (University of Washington); Molnar, Peter (University of Colorado Boulder); Clark, Marin K. (University of Michigan); Garzione, Carmala N. (University of Rochester)",19,14,,3.87,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2015JD024370,https://app.dimensions.ai/details/publication/pub.1000232686,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
10,100,pub.1025743450,10.1002/2015gl063861,,,Influence of West Antarctic Ice Sheet collapse on Antarctic surface climate,Geophysical Research Letters,,,2015-06-28,2015,42,12,4862-4868,All OA; Gold,Article,"Steig, Eric J.; Huybers, Kathleen; Singh, Hansi A.; Steiger, Nathan J.; Ding, Qinghua; Frierson, Dargan M. W.; Popp, Trevor; White, James W. C.",,"Steig, Eric J. (University of Washington); Huybers, Kathleen (Pacific Lutheran University); Singh, Hansi A. (University of Washington); Steiger, Nathan J. (University of Washington); Ding, Qinghua (University of Washington Applied Physics Laboratory); Frierson, Dargan M. W. (University of Washington); Popp, Trevor (University of Copenhagen); White, James W. C. (Institute of Arctic and Alpine Research)",21,9,,3.92,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2015GL063861,https://app.dimensions.ai/details/publication/pub.1025743450,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
11,100,pub.1015567462,10.1002/2014jd021960,,,Coherent pan‐Asian climatic and isotopic response to orbital forcing of tropical insolation,Journal of Geophysical Research Atmospheres,,,2014-11-16,2014,119,21,"11,997-12,020",All OA; Gold,Article,"Battisti, D. S.; Ding, Qinghua; Roe, G. H.",,"Battisti, D. S. (University of Washington); Ding, Qinghua (University of Washington); Roe, G. H. (University of Washington)",41,22,,6.12,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2014JD021960,https://app.dimensions.ai/details/publication/pub.1015567462,0403 Geology; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0401 Atmospheric Sciences,0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0401 Atmospheric Sciences,
12,100,pub.1034492496,10.1002/2014jd021770,,,"Triple water‐isotopologue record from WAIS Divide, Antarctica: Controls on glacial‐interglacial changes in 17Oexcess of precipitation",Journal of Geophysical Research Atmospheres,,,2014-07-27,2014,119,14,8741-8763,All OA; Gold,Article,"Schoenemann, Spruce W.; Steig, Eric J.; Ding, Qinghua; Markle, Bradley R.; Schauer, Andrew J.",,"Schoenemann, Spruce W. (University of Washington); Steig, Eric J. (University of Washington); Ding, Qinghua (University of Washington); Markle, Bradley R. (University of Washington); Schauer, Andrew J. (University of Washington)",32,16,,4.96,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2014JD021770,https://app.dimensions.ai/details/publication/pub.1034492496,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
