,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Robert Heilmayr. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1110713163,10.1016/j.gloenvcha.2018.11.003,,,Criteria for effective zero-deforestation commitments,Global Environmental Change,,,2019-01,2019,54,Glob. Environ. Change 35 2015,135-147,All OA; Gold,Article,"Garrett, R.D.; Levy, S.; Carlson, K.M.; Gardner, T.A.; Godar, J.; Clapp, J.; Dauvergne, P.; Heilmayr, R.; de Waroux, Y. le Polain; Ayre, B.; Barr, R.; Døvre, B.; Gibbs, H.K.; Hall, S.; Lake, S.; Milder, J.C.; Rausch, L.L.; Rivero, R.; Rueda, X.; Sarsfield, R.; Soares-Filho, B.; Villoria, N.","Garrett, R.D.","Garrett, R.D. (Boston University); Levy, S. (Boston University); Carlson, K.M. (University of Hawaii at Manoa); Gardner, T.A. (Stockholm Environment Institute); Godar, J. (Stockholm Environment Institute); Clapp, J. (University of Waterloo); Dauvergne, P. (University of British Columbia); Heilmayr, R. (University of California, Santa Barbara); de Waroux, Y. le Polain (McGill University); Ayre, B. (Global Canopy); Barr, R. (); Døvre, B. (Global Canopy); Gibbs, H.K. (University of Wisconsin–Madison); Hall, S. (National Wildlife Federation); Lake, S. (Global Canopy); Milder, J.C. (Rainforest Alliance; Cornell University); Rausch, L.L. (University of Wisconsin–Madison); Rivero, R. (University of Hawaii at Manoa); Rueda, X. (World Resources Institute); Sarsfield, R. (University of Los Andes); Soares-Filho, B. (Federal University of Minas Gerais); Villoria, N. (Kansas State University)",2,2,,,https://doi.org/10.1016/j.gloenvcha.2018.11.003,https://app.dimensions.ai/details/publication/pub.1110713163,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
2,500,pub.1107255850,10.1016/j.tree.2018.08.012,30268524,,Navigating Novelty and Risk in Resilience Management,Trends in Ecology & Evolution,,Biodiversity; Climate Change; Conservation of Natural Resources; Ecosystem; Humans,2018-11,2018,33,11,863-873,Closed,Article,"Dudney, Joan; Hobbs, Richard J.; Heilmayr, Robert; Battles, John J.; Suding, Katharine N.","Dudney, Joan","Dudney, Joan (University of California, Berkeley); Hobbs, Richard J. (University of Western Australia); Heilmayr, Robert (University of California, Santa Barbara); Battles, John J. (University of California, Berkeley); Suding, Katharine N. (University of Colorado Boulder; Institute of Arctic and Alpine Research)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1107255850,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
3,100,pub.1106998755,10.1146/annurev-environ-102017-025949,,,Inequality and the Biosphere,Annual Review of Environment and Resources,,,2018-10-17,2018,43,1,1-23,Closed,Article,"Hamann, Maike; Berry, Kevin; Chaigneau, Tomas; Curry, Tracie; Heilmayr, Robert; Henriksson, Patrik J.G.; Hentati-Sundberg, Jonas; Jina, Amir; Lindkvist, Emilie; Lopez-Maldonado, Yolanda; Nieminen, Emmi; Piaggio, Matías; Qiu, Jiangxiao; Rocha, Juan C.; Schill, Caroline; Shepon, Alon; Tilman, Andrew R.; van den Bijgaart, Inge; Wu, Tong",,"Hamann, Maike (Stellenbosch University; University of Minnesota); Berry, Kevin (University of Alaska Anchorage); Chaigneau, Tomas (University of Exeter); Curry, Tracie (University of Alaska System); Heilmayr, Robert (University of California, Santa Barbara); Henriksson, Patrik J.G. (Stockholm University; Royal Swedish Academy of Sciences; WorldFish); Hentati-Sundberg, Jonas (Swedish University of Agricultural Sciences); Jina, Amir (University of Chicago); Lindkvist, Emilie (Stockholm University); Lopez-Maldonado, Yolanda (Ludwig Maximilian University of Munich); Nieminen, Emmi (Finnish Environment Institute); Piaggio, Matías (Centro Agronomico Tropical De Investigacion Y Ensenanza Catie; University of the Republic); Qiu, Jiangxiao (University of Florida); Rocha, Juan C. (Stockholm University; Royal Swedish Academy of Sciences); Schill, Caroline (Stockholm University; Royal Swedish Academy of Sciences); Shepon, Alon (Weizmann Institute of Science); Tilman, Andrew R. (University of Pennsylvania); van den Bijgaart, Inge (University of Gothenburg); Wu, Tong (Arizona State University)",10,10,,,,https://app.dimensions.ai/details/publication/pub.1106998755,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
4,100,pub.1100592811,10.1038/s41558-017-0061-1,,,The role of supply-chain initiatives in reducing deforestation,Nature Climate Change,,,2018-02,2018,8,2,109-116,"All OA; Green, Published",Article,"Lambin, Eric F.; Gibbs, Holly K.; Heilmayr, Robert; Carlson, Kimberly M.; Fleck, Leonardo C.; Garrett, Rachael D.; le Polain de Waroux, Yann; McDermott, Constance L.; McLaughlin, David; Newton, Peter; Nolte, Christoph; Pacheco, Pablo; Rausch, Lisa L.; Streck, Charlotte; Thorlakson, Tannis; Walker, Nathalie F.","Lambin, Eric F.","Lambin, Eric F. (Stanford University; Catholic University of Louvain); Gibbs, Holly K. (University of Wisconsin–Madison); Heilmayr, Robert (University of California, Santa Barbara); Carlson, Kimberly M. (University of Hawaii at Manoa); Fleck, Leonardo C. (Gordon and Betty Moore Foundation); Garrett, Rachael D. (Boston University); le Polain de Waroux, Yann (McGill University); McDermott, Constance L. (University of Oxford); McLaughlin, David (World Wildlife Fund); Newton, Peter (University of Colorado Boulder); Nolte, Christoph (Boston University); Pacheco, Pablo (Center for International Forestry Research); Rausch, Lisa L. (University of Wisconsin–Madison); Streck, Charlotte (); Thorlakson, Tannis (Stanford University); Walker, Nathalie F. (National Wildlife Federation)",63,63,,,https://dial.uclouvain.be/downloader/downloader.php?pid=boreal:213852&datastream=PDF_01&disclaimer=2f2b3a3ed30441d84479135148fb29c5fa8b77bb6fbd1abb7d77a6e8ffd26c75,https://app.dimensions.ai/details/publication/pub.1100592811,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management; 0401 Atmospheric Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,05 Environmental Sciences,0502 Environmental Science and Management,0401 Atmospheric Sciences
5,500,pub.1099658612,10.1073/pnas.1704728114,29229857,PMC5776786,Effect of oil palm sustainability certification on deforestation and fire in Indonesia,Proceedings of the National Academy of Sciences,,Conservation of Natural Resources; Crop Production; Indonesia; Magnoliopsida; Palm Oil; Wildfires,2018-01-02,2018,115,1,121-126,All OA; Gold,Article,"Carlson, Kimberly M.; Heilmayr, Robert; Gibbs, Holly K.; Noojipady, Praveen; Burns, David N.; Morton, Douglas C.; Walker, Nathalie F.; Paoli, Gary D.; Kremen, Claire",,"Carlson, Kimberly M. (University of Hawaii at Manoa; University of Minnesota); Heilmayr, Robert (University of Hawaii at Manoa; University of California, Santa Barbara); Gibbs, Holly K. (University of Wisconsin–Madison); Noojipady, Praveen (Goddard Space Flight Center; University of Maryland, College Park); Burns, David N. (); Morton, Douglas C. (Goddard Space Flight Center); Walker, Nathalie F. (); Paoli, Gary D. (); Kremen, Claire (University of California, Berkeley)",46,46,,,https://www.pnas.org/content/pnas/115/1/121.full.pdf,https://app.dimensions.ai/details/publication/pub.1099658612,0705 Forestry Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management; 07 Agricultural and Veterinary Sciences,0705 Forestry Sciences,05 Environmental Sciences,0502 Environmental Science and Management,07 Agricultural and Veterinary Sciences,
6,100,pub.1027921004,10.1016/j.apgeog.2016.07.014,,,A plantation-dominated forest transition in Chile,Applied Geography,,,2016-10,2016,75,,71-82,Closed,Article,"Heilmayr, Robert; Echeverría, Cristian; Fuentes, Rodrigo; Lambin, Eric F.","Heilmayr, Robert","Heilmayr, Robert (University of California, Santa Barbara; University of Hawaii at Manoa); Echeverría, Cristian (University of Concepción); Fuentes, Rodrigo (University of Concepción); Lambin, Eric F. (Catholic University of Louvain; Stanford University)",33,26,,11.46,,https://app.dimensions.ai/details/publication/pub.1027921004,16 Studies in Human Society; 1604 Human Geography; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,16 Studies in Human Society,1604 Human Geography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,
7,200,pub.1049268311,10.1073/pnas.1606462113,27303028,PMC4922198,Reply to Levine-Schnur: Decisions to deforest illegally are influenced by fines and their perceived enforcement probability,Proceedings of the National Academy of Sciences,,Conservation of Natural Resources; Humans; Perception; Probability,2016-06-21,2016,113,25,e3469-e3469,All OA; Gold,Article,"le Polain de Waroux, Yann; Garrett, Rachael D; Heilmayr, Robert; Lambin, Eric F",,"le Polain de Waroux, Yann (); Garrett, Rachael D (Boston University); Heilmayr, Robert (University of Hawaii at Manoa); Lambin, Eric F ()",0,0,0,,https://www.pnas.org/content/pnas/113/25/E3469.full.pdf,https://app.dimensions.ai/details/publication/pub.1049268311,,,,,,
8,400,pub.1026786652,10.1073/pnas.1602646113,27035995,PMC4839429,Land-use policies and corporate investments in agriculture in the Gran Chaco and Chiquitano,Proceedings of the National Academy of Sciences,,Agriculture; Animals; Bolivia; Brazil; Cattle; Conservation of Natural Resources; Investments; Policy; Professional Corporations; Rainforest,2016-04-12,2016,113,15,4021-4026,All OA; Gold,Article,"le Polain de Waroux, Yann; Garrett, Rachael D.; Heilmayr, Robert; Lambin, Eric F.",,"le Polain de Waroux, Yann (Stanford University); Garrett, Rachael D. (Boston University); Heilmayr, Robert (); Lambin, Eric F. (Stanford University; Catholic University of Louvain)",47,32,0.76,38.43,http://www.pnas.org/content/113/15/4021.full.pdf,https://app.dimensions.ai/details/publication/pub.1026786652,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
9,400,pub.1013141010,10.1073/pnas.1600394113,26929349,PMC4801259,"Impacts of nonstate, market-driven governance on Chilean forests",Proceedings of the National Academy of Sciences,,Certification; Chile; Commerce; Conservation of Natural Resources; Environmental Policy; Forestry; Forests,2016-03-15,2016,113,11,2910-2915,All OA; Gold,Article,"Heilmayr, Robert; Lambin, Eric F.",,"Heilmayr, Robert (Stanford University); Lambin, Eric F. (Catholic University of Louvain; Stanford University)",42,31,0.33,13.76,https://www.pnas.org/content/pnas/113/11/2910.full.pdf,https://app.dimensions.ai/details/publication/pub.1013141010,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
