,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Roland A Knapp. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,500,pub.1110281215,10.1111/mec.14964,30506592,,Reduced skin bacterial diversity correlates with increased pathogen infection intensity in an endangered amphibian host,Molecular Ecology,,,2019-01,2019,28,1,127-140,All OA; Gold,Article,"Ellison, Silas; Knapp, Roland A.; Sparagon, Wesley; Swei, Andrea; Vredenburg, Vance T.",,"Ellison, Silas (San Francisco State University); Knapp, Roland A. (); Sparagon, Wesley (Whitman College); Swei, Andrea (San Francisco State University); Vredenburg, Vance T. (San Francisco State University; University of California, Berkeley)",1,1,,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/mec.14964,https://app.dimensions.ai/details/publication/pub.1110281215,0605 Microbiology; 06 Biological Sciences,0605 Microbiology,06 Biological Sciences,,,
2,100,pub.1110013761,10.1002/ecs2.2499,,,Disease and climate effects on individuals drive post‐reintroduction population dynamics of an endangered amphibian,Ecosphere,,,2018-11,2018,9,11,e02499,All OA; Gold,Article,"Joseph, Maxwell B.; Knapp, Roland A.",,"Joseph, Maxwell B. (University of Colorado Boulder); Knapp, Roland A. ()",3,3,,,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1002/ecs2.2499,https://app.dimensions.ai/details/publication/pub.1110013761,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
3,100,pub.1104260841,10.1101/332114,,,Disease and climate effects on individuals jointly drive post-reintroduction population dynamics of an endangered amphibian,bioRxiv,,,2018-05-27,2018,,,332114,"All OA; Green, Published",Preprint,"Joseph, Maxwell B; Knapp, Roland A",,"Joseph, Maxwell B (University of Colorado Boulder); Knapp, Roland A ()",1,1,,,https://www.biorxiv.org/content/biorxiv/early/2018/05/27/332114.full.pdf,https://app.dimensions.ai/details/publication/pub.1104260841,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
4,500,pub.1090898151,10.1111/ele.12814,28745026,,"Resistance, tolerance and environmental transmission dynamics determine host extinction risk in a load‐dependent amphibian disease",Ecology Letters,,Amphibians; Animals; Chytridiomycota; Environment; Mycoses; Risk,2017-09,2017,20,9,1169-1181,All OA; Gold,Article,"Wilber, Mark Q.; Knapp, Roland A.; Toothman, Mary; Briggs, Cheryl J.",,"Wilber, Mark Q. (University of California, Santa Barbara); Knapp, Roland A. (); Toothman, Mary (University of California, Santa Barbara); Briggs, Cheryl J. (University of California, Santa Barbara)",14,14,1.74,6.24,https://doi.org/10.1111/ele.12814,https://app.dimensions.ai/details/publication/pub.1090898151,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
5,100,pub.1031242991,10.1007/s10592-016-0923-5,,,Population genetic structure of the endangered Sierra Nevada yellow-legged frog (Rana sierrae) in Yosemite National Park based on multi-locus nuclear data from swab samples,Conservation Genetics,,,2017-08,2017,18,4,731-744,Closed,Article,"Poorten, Thomas J.; Knapp, Roland A.; Rosenblum, Erica Bree","Poorten, Thomas J.","Poorten, Thomas J. (University of California, Berkeley); Knapp, Roland A. (); Rosenblum, Erica Bree (University of California, Berkeley)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1031242991,06 Biological Sciences; 0604 Genetics; 05 Environmental Sciences; 0502 Environmental Science and Management,06 Biological Sciences,0604 Genetics,05 Environmental Sciences,0502 Environmental Science and Management,
6,500,pub.1086132906,10.1098/rspb.2017.0944,28637861,PMC5489737,Epidemic and endemic pathogen dynamics correspond to distinct host population microbiomes at a landscape scale,Proceedings of The Royal Society B Biological Sciences,,Animals; Bacteria; Chytridiomycota; Microbiota; Mycoses; Ranidae; Skin,2017-06-28,2017,284,1857,20170944,All OA; Gold,Article,"Jani, Andrea J.; Knapp, Roland A.; Briggs, Cheryl J.",,"Jani, Andrea J. (University of Hawaii at Manoa); Knapp, Roland A. (); Briggs, Cheryl J. (University of California, Santa Barbara)",19,19,3.69,6.29,https://royalsocietypublishing.org/doi/pdf/10.1098/rspb.2017.0944,https://app.dimensions.ai/details/publication/pub.1086132906,1108 Medical Microbiology; 11 Medical and Health Sciences; 0605 Microbiology; 06 Biological Sciences,1108 Medical Microbiology,11 Medical and Health Sciences,0605 Microbiology,06 Biological Sciences,
7,100,pub.1091915168,10.1101/141259,,,Thirty-five experimental fisheries reveal the mechanisms of selection,bioRxiv,,,2017-05-26,2017,,,141259,"All OA; Green, Published",Preprint,"Nussle, Sebastien; Hendry, Andrew P; Knapp, Roland; Bogan, Michael; Sturrock, Anna; Carlson, Stephanie",,"Nussle, Sebastien (University of California, Berkeley); Hendry, Andrew P (McGill University); Knapp, Roland (); Bogan, Michael (University of Arizona); Sturrock, Anna (University of California, Davis); Carlson, Stephanie (University of California, Berkeley)",1,1,,0.42,https://www.biorxiv.org/content/biorxiv/early/2017/05/26/141259.full.pdf,https://app.dimensions.ai/details/publication/pub.1091915168,0704 Fisheries Sciences; 0602 Ecology; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0704 Fisheries Sciences,0602 Ecology,06 Biological Sciences,07 Agricultural and Veterinary Sciences,
8,100,pub.1031370313,10.1139/cjfas-2015-0549,,,Variation in reciprocal subsidies between lakes and land: perspectives from the mountains of California1,Canadian Journal of Fisheries and Aquatic Sciences,,,2016-11,2016,73,11,1691-1701,All OA; Gold,Article,"Piovia-Scott, Jonah; Sadro, Steven; Knapp, Roland A.; Sickman, James; Pope, Karen L.; Chandra, Sudeep",,"Piovia-Scott, Jonah (Washington State University); Sadro, Steven (University of California, Davis); Knapp, Roland A. (); Sickman, James (University of California, Riverside); Pope, Karen L. (Pacific Southwest Research Station); Chandra, Sudeep (University of Nevada Reno)",5,3,,1.3,https://www.nrcresearchpress.com/doi/pdf/10.1139/cjfas-2015-0549,https://app.dimensions.ai/details/publication/pub.1031370313,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
9,400,pub.1020497554,10.1073/pnas.1600983113,27698128,PMC5081604,Large-scale recovery of an endangered amphibian despite ongoing exposure to multiple stressors,Proceedings of the National Academy of Sciences,,"Amphibians; Animals; California; Conservation of Natural Resources; Ecosystem; Endangered Species; Environmental Exposure; Factor Analysis, Statistical; Models, Statistical; Population Density; Ranidae; Spatial Analysis",2016-10-18,2016,113,42,11889-11894,"All OA; Green, Published",Article,"Knapp, Roland A.; Fellers, Gary M.; Kleeman, Patrick M.; Miller, David A. W.; Vredenburg, Vance T.; Rosenblum, Erica Bree; Briggs, Cheryl J.",,"Knapp, Roland A. (); Fellers, Gary M. (); Kleeman, Patrick M. (); Miller, David A. W. (Pennsylvania State University); Vredenburg, Vance T. (San Francisco State University); Rosenblum, Erica Bree (University of California, Berkeley); Briggs, Cheryl J. (University of California, Santa Barbara)",44,30,3.15,12.81,http://europepmc.org/articles/pmc5081604?pdf=render,https://app.dimensions.ai/details/publication/pub.1020497554,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
