,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Sally Macintyre. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,500,pub.1118019320,10.1016/j.scitotenv.2019.07.220,31377351,,Effects of climate change and episodic heat events on cyanobacteria in a eutrophic polymictic lake,The Science of The Total Environment,,,2019-11,2019,693,,133414,Closed,Article,"Bartosiewicz, Maciej; Przytulska, Anna; Deshpande, Bethany N.; Antoniades, Dermot; Cortes, Alicia; MacIntyre, Sally; Lehmann, Moritz F.; Laurion, Isabelle","Bartosiewicz, Maciej","Bartosiewicz, Maciej (National Institute of Scientific Research; University of Basel); Przytulska, Anna (University of Basel; Laval University); Deshpande, Bethany N. (Laval University); Antoniades, Dermot (Laval University); Cortes, Alicia (University of California, Santa Barbara); MacIntyre, Sally (University of California, Santa Barbara); Lehmann, Moritz F. (University of Basel); Laurion, Isabelle (National Institute of Scientific Research)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1118019320,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
2,100,pub.1120194496,10.1029/2019gl083948,,,Turbulence and Gas Transfer Velocities in Sheltered Flooded Forests of the Amazon Basin,Geophysical Research Letters,,,2019-08-28,2019,46,16,9628-9636,Closed,Article,"MacIntyre, Sally; Amaral, Joao H. Fernandes; Barbosa, Pedro M.; Cortés, Alicia; Forsberg, Bruce R.; Melack, John M.",,"MacIntyre, Sally (University of California, Santa Barbara); Amaral, Joao H. Fernandes (University of California, Santa Barbara; National Institute of Amazonian Research); Barbosa, Pedro M. (University of California, Santa Barbara); Cortés, Alicia (University of California, Santa Barbara); Forsberg, Bruce R. (National Institute of Amazonian Research); Melack, John M. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1120194496,0915 Interdisciplinary Engineering; 09 Engineering,0915 Interdisciplinary Engineering,09 Engineering,,,
3,100,pub.1120518297,10.5194/bg-2019-322,,,Drivers of diffusive lake CH4 emissions on daily to multi-year time scales,Biogeosciences Discussions,,,2019-08-23,2019,,,1-37,All OA; Gold,Article,"Jansen, Joachim; Thornton, Brett F.; Cortes, Alicia; Snöälv, Jo; Wik, Martin; MacIntyre, Sally; Crill, Patrick M.",,"Jansen, Joachim (Stockholm University; Bolin Centre for Climate Research); Thornton, Brett F. (Stockholm University; Bolin Centre for Climate Research); Cortes, Alicia (University of California, Santa Barbara); Snöälv, Jo (University of Exeter); Wik, Martin (Stockholm University; Bolin Centre for Climate Research); MacIntyre, Sally (University of California, Santa Barbara); Crill, Patrick M. (Stockholm University; Bolin Centre for Climate Research)",0,0,,,http://dx.doi.org/10.5194/bg-2019-322,https://app.dimensions.ai/details/publication/pub.1120518297,0601 Biochemistry and Cell Biology; 04 Earth Sciences; 0499 Other Earth Sciences; 06 Biological Sciences,0601 Biochemistry and Cell Biology,04 Earth Sciences,0499 Other Earth Sciences,06 Biological Sciences,
4,100,pub.1120437596,10.1002/lno.11296,,,Mixing processes in small arctic lakes during spring,Limnology and Oceanography,,,2019-08-21,2019,,,,Closed,Article,"Cortés, Alicia; MacIntyre, Sally",,"Cortés, Alicia (University of California, Santa Barbara); MacIntyre, Sally (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1120437596,04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,04 Earth Sciences,05 Environmental Sciences,06 Biological Sciences,,
5,100,pub.1117618858,10.1029/2019jg005094,,,Climate‐Sensitive Controls on Large Spring Emissions of CH4 and CO2 From Northern Lakes,Journal of Geophysical Research Biogeosciences,,,2019-07,2019,124,7,2379-2399,Closed,Article,"Jansen, J.; Thornton, B. F.; Jammet, M. M.; Wik, M.; Cortés, A.; Friborg, T.; MacIntyre, S.; Crill, P. M.",,"Jansen, J. (Stockholm University; Bolin Centre for Climate Research); Thornton, B. F. (Stockholm University; Bolin Centre for Climate Research); Jammet, M. M. (University of Copenhagen); Wik, M. (Stockholm University; Bolin Centre for Climate Research); Cortés, A. (University of California, Santa Barbara); Friborg, T. (University of Copenhagen); MacIntyre, S. (University of California, Santa Barbara); Crill, P. M. (Stockholm University; Bolin Centre for Climate Research)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1117618858,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
6,100,pub.1110029534,10.1016/j.jglr.2018.11.001,,,Stratification and mixing in large floodplain lakes along the lower Amazon River,Journal of Great Lakes Research,,,2019-02,2019,45,Remote Sens. Environ. 130 2013,61-72,All OA; Gold,Article,"Augusto-Silva, Pétala Bianchi; MacIntyre, Sally; de Moraes Rudorff, Conrado; Cortés, Alicia; Melack, John Michael","Augusto-Silva, Pétala Bianchi","Augusto-Silva, Pétala Bianchi (National Institute for Space Research); MacIntyre, Sally (University of California, Santa Barbara); de Moraes Rudorff, Conrado (); Cortés, Alicia (University of California, Santa Barbara); Melack, John Michael (University of California, Santa Barbara)",5,5,,,https://doi.org/10.1016/j.jglr.2018.11.001,https://app.dimensions.ai/details/publication/pub.1110029534,0915 Interdisciplinary Engineering; 09 Engineering; 0907 Environmental Engineering,0915 Interdisciplinary Engineering,09 Engineering,0907 Environmental Engineering,,
7,100,pub.1105468184,10.1016/j.jglr.2018.07.003,,,"Physicochemical gradients and water fluxes between Nyanza Gulf and main Lake Victoria, East Africa: Tracing dynamics of gulf-main lake interaction",Journal of Great Lakes Research,,,2018-12,2018,44,J. Great Lakes Res. 29 Supplement 2 2003,1252-1263,Closed,Article,"Gikuma-Njuru, P.; Hecky, R.E.; MacIntyre, S.; Guildford, S.J.","Gikuma-Njuru, P.","Gikuma-Njuru, P. (); Hecky, R.E. (University of Minnesota, Duluth); MacIntyre, S. (University of California, Santa Barbara); Guildford, S.J. (University of Minnesota, Duluth)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1105468184,09 Engineering; 0907 Environmental Engineering,09 Engineering,0907 Environmental Engineering,,,
8,100,pub.1105555684,10.1002/lno.10941,,,Turbulence in a small arctic pond,Limnology and Oceanography,,,2018-11,2018,63,6,2337-2358,All OA; Gold,Article,"MacIntyre, Sally; Crowe, Adam. T.; Cortés, Alicia; Arneborg, Lars",,"MacIntyre, Sally (University of California, Santa Barbara); Crowe, Adam. T. (University of California, Santa Barbara); Cortés, Alicia (University of California, Santa Barbara); Arneborg, Lars (Swedish Meteorological and Hydrological Institute)",5,5,,,https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.1002/lno.10941,https://app.dimensions.ai/details/publication/pub.1105555684,04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,04 Earth Sciences,05 Environmental Sciences,06 Biological Sciences,,
9,100,pub.1105267599,10.1029/2017jg004209,,,Effects of Wind and Buoyancy on Carbon Dioxide Distribution and Air‐Water Flux of a Stratified Temperate Lake,Journal of Geophysical Research Biogeosciences,,,2018-08,2018,123,8,2305-2322,Closed,Article,"Czikowsky, Matthew J.; MacIntyre, Sally; Tedford, Edmund W.; Vidal, Javier; Miller, Scott D.",,"Czikowsky, Matthew J. (University at Albany, State University of New York); MacIntyre, Sally (University of California, Santa Barbara); Tedford, Edmund W. (University of California, Santa Barbara); Vidal, Javier (University of California, Santa Barbara); Miller, Scott D. (University at Albany, State University of New York)",4,4,,,,https://app.dimensions.ai/details/publication/pub.1105267599,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
