,"""About the data: Exported on Oct 31, 2019. Criteria: Researcher is Stanley M Awramik. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,500,pub.1119751998,10.1089/ast.2018.1903,31335163,PMC6708275,Deciphering Biosignatures in Planetary Contexts,Astrobiology,,,2019-09-01,2019,19,9,1075-1102,All OA; Gold,Article,"Chan, Marjorie A.; Hinman, Nancy W.; Potter-McIntyre, Sally L.; Schubert, Keith E.; Gillams, Richard J.; Awramik, Stanley M.; Boston, Penelope J.; Bower, Dina M.; Marais, David J. Des; Farmer, Jack D.; Jia, Tony Z.; King, Penelope L.; Hazen, Robert M.; Léveillé, Richard J.; Papineau, Dominic; Rempfert, Kaitlin R.; Sánchez-Román, Mónica; Spear, John R.; Southam, Gordon; Stern, Jennifer C.; Cleaves, Henderson James",,"Chan, Marjorie A. (University of Utah); Hinman, Nancy W. (University of Montana); Potter-McIntyre, Sally L. (Southern Illinois University System); Schubert, Keith E. (Baylor University); Gillams, Richard J. (Tokyo Institute of Technology; University of Southampton); Awramik, Stanley M. (University of California, Santa Barbara); Boston, Penelope J. (Ames Research Center); Bower, Dina M. (University of Maryland, College Park; Goddard Space Flight Center); Marais, David J. Des (); Farmer, Jack D. (Arizona State University); Jia, Tony Z. (Tokyo Institute of Technology); King, Penelope L. (Australian National University); Hazen, Robert M. (Geophysical Laboratory); Léveillé, Richard J. (McGill University; John Abbott College); Papineau, Dominic (University College London; China University of Geosciences); Rempfert, Kaitlin R. (University of Colorado Boulder); Sánchez-Román, Mónica (VU University Amsterdam); Spear, John R. (Colorado School of Mines); Southam, Gordon (University of Queensland); Stern, Jennifer C. (Goddard Space Flight Center); Cleaves, Henderson James (Tokyo Institute of Technology; Institute for Advanced Study)",0,0,,,https://www.liebertpub.com/doi/pdf/10.1089/ast.2018.1903,https://app.dimensions.ai/details/publication/pub.1119751998,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
2,100,pub.1117327671,10.1111/iar.12310,,,"Fourier transform infrared microspectroscopic characterization of Neoproterozoic organic microfossils from the Fifteenmile Group in Yukon, Canada",Island Arc,,,2019-09,2019,28,5,,All OA; Gold,Article,"Igisu, Motoko; Komiya, Tsuyoshi; Awramik, Stanley M.; Ikemoto, Yuka; Geng, Yechuan; Uehara, Hiroki; Takai, Ken",,"Igisu, Motoko (Japan Agency for Marine-Earth Science and Technology); Komiya, Tsuyoshi (University of Tokyo); Awramik, Stanley M. (University of California, Santa Barbara); Ikemoto, Yuka (Japan Synchrotron Radiation Research Institute); Geng, Yechuan (University of Tokyo); Uehara, Hiroki (University of Tokyo); Takai, Ken (Japan Agency for Marine-Earth Science and Technology)",0,0,,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/iar.12310,https://app.dimensions.ai/details/publication/pub.1117327671,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
3,100,pub.1109827404,10.1016/j.precamres.2018.11.009,,,"Neoarchean (2.7 Ga) lacustrine stromatolite deposits in the Hartbeesfontein Basin, Ventersdorp Supergroup, South Africa: Implications for oxygen oases",Precambrian Research,,,2019-01,2019,320,Precambrian Res. 214–215 2012,291-302,Closed,Article,"Wilmeth, D.T.; Corsetti, F.A.; Beukes, N.J.; Awramik, S.M.; Petryshyn, V.; Spear, J.R.; Celestian, A.J.","Wilmeth, D.T.","Wilmeth, D.T. (Paris Diderot University); Corsetti, F.A. (University of Southern California); Beukes, N.J. (University of Johannesburg); Awramik, S.M. (University of California, Santa Barbara); Petryshyn, V. (University of Southern California); Spear, J.R. (Colorado School of Mines); Celestian, A.J. (University of Southern California; Natural History Museum of Los Angeles County)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1109827404,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
4,100,pub.1104521780,10.3390/geosciences8060212,,,"Living Dendrolitic Microbial Mats in Hamelin Pool, Shark Bay, Western Australia",Geosciences,,,2018-06-11,2018,8,6,212,All OA; Gold,Article,"Suosaari, Erica P.; Awramik, Stanley M.; Reid, R. Pamela; Stolz, John F.; Grey, Kathleen",,"Suosaari, Erica P. (National Museum of Natural History; Bush Heritage Australia); Awramik, Stanley M. (University of California, Santa Barbara); Reid, R. Pamela (University of Miami); Stolz, John F. (Duquesne University); Grey, Kathleen (Geological Survey of Western Australia)",2,2,,,https://doi.org/10.3390/geosciences8060212,https://app.dimensions.ai/details/publication/pub.1104521780,0605 Microbiology; 06 Biological Sciences,0605 Microbiology,06 Biological Sciences,,,
5,200,pub.1110406782,10.1130/abs/2018am-318717,,,EVIDENCE FOR RAPID RATES OF OXYGENIC PHOTOSYNTHESIS WITHIN NEOARCHEAN STROMATOLITES,Abstracts with programs (Geological Society of America),,,2018,2018,,,,Closed,Proceeding,"Wilmeth, Dylan T.; Corsetti, Frank A.; Berelson, William M.; Beukes, Nicolas J.; Awramik, Stanley M.; Petryshyn, Victoria A.; Spear, John R.; Celestian, Aaron J.",,"Wilmeth, Dylan T. (); Corsetti, Frank A. (); Berelson, William M. (); Beukes, Nicolas J. (); Awramik, Stanley M. (); Petryshyn, Victoria A. (); Spear, John R. (); Celestian, Aaron J. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1110406782,,,,,,
6,100,pub.1084121079,10.1017/jpa.2016.163,,,"Silicified microbiota from the Paleoproterozoic Dahongyu Formation, Tianjin, China",Journal of Paleontology,,,2017-05,2017,91,3,369-392,All OA; Gold,Article,"Shi, Min; Feng, Qing-Lai; Khan, Maliha Zareen; Awramik, Stanley; Zhu, Shi-Xing",,"Shi, Min (China University of Geosciences); Feng, Qing-Lai (China University of Geosciences); Khan, Maliha Zareen (China University of Geosciences); Awramik, Stanley (University of California, Santa Barbara); Zhu, Shi-Xing (China University of Geosciences)",5,4,,1.5,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/C79F522F65EB84BF5DD9C9EFEB6E25F8/S0022336016001633a.pdf/div-class-title-silicified-microbiota-from-the-paleoproterozoic-dahongyu-formation-tianjin-china-div.pdf,https://app.dimensions.ai/details/publication/pub.1084121079,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
7,200,pub.1099585793,10.1130/abs/2017am-298533,,,GAS PRODUCTION WITHIN ARCHEAN STROMATOLITES: EVIDENCE FOR ANCIENT MICROBIAL METABOLISMS,Abstracts with programs (Geological Society of America),,,2017,2017,,,,Closed,Proceeding,"Wilmeth, Dylan T.; Corsetti, Frank A.; Berelson, William M.; Beukes, Nicolas J.; Awramik, Stanley M.; Petryshyn, Victoria A.",,"Wilmeth, Dylan T. (); Corsetti, Frank A. (); Berelson, William M. (); Beukes, Nicolas J. (); Awramik, Stanley M. (); Petryshyn, Victoria A. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1099585793,,,,,,
8,200,pub.1108096758,10.1130/abs/2016am-287120,,,"LACUSTRINE PALEOENVIRONMENTAL CONTROLS ON LAYERING VARIATIONS WITHIN GIANT STROMATOLITES OF THE EOCENE GREEN RIVER FORMATION, SAND WASH BASIN, COLORADO",Abstracts with programs (Geological Society of America),,,2016,2016,,,,Closed,Proceeding,"Cupertino, Daniel F.; Awramik, Stanley M.; Buchheim, H. Paul; Biaggi, Roberto E.; Vanden Berg, Michael D.",,"Cupertino, Daniel F. (); Awramik, Stanley M. (); Buchheim, H. Paul (); Biaggi, Roberto E. (); Vanden Berg, Michael D. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1108096758,,,,,,
9,200,pub.1108095100,10.1130/abs/2016am-284058,,,MICROBIALITE AND ASSOCIATED FACIES IN THE EOCENE GREEN RIVER FORMATION: COMPARISON WITH SOUTH ATLANTIC APTIAN PRE-SALT LACUSTRINE SYSTEMS,Abstracts with programs (Geological Society of America),,,2016,2016,,,,Closed,Proceeding,"Buchheim, H. Paul; Awramik, Stanley M.",,"Buchheim, H. Paul (); Awramik, Stanley M. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1108095100,,,,,,
