,"""About the data: Exported on Oct 31, 2019. Criteria: Researcher is Stephane Maritorena. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,500,pub.1100234358,10.1016/j.pocean.2018.01.001,30573929,PMC6296493,An overview of approaches and challenges for retrieving marine inherent optical properties from ocean color remote sensing,Progress In Oceanography,,,2018-01,2018,160,arXiv 1603 2016,186-212,All OA; Gold,Article,"Werdell, P. Jeremy; McKinna, Lachlan I.W.; Boss, Emmanuel; Ackleson, Steven G.; Craig, Susanne E.; Gregg, Watson W.; Lee, Zhongping; Maritorena, Stéphane; Roesler, Collin S.; Rousseaux, Cécile S.; Stramski, Dariusz; Sullivan, James M.; Twardowski, Michael S.; Tzortziou, Maria; Zhang, Xiaodong","Werdell, P. Jeremy","Werdell, P. Jeremy (Goddard Space Flight Center); McKinna, Lachlan I.W. (Goddard Space Flight Center); Boss, Emmanuel (University of Maine); Ackleson, Steven G. (United States Naval Research Laboratory); Craig, Susanne E. (Goddard Space Flight Center; Universities Space Research Association); Gregg, Watson W. (); Lee, Zhongping (University of Massachusetts Boston); Maritorena, Stéphane (University of California, Santa Barbara); Roesler, Collin S. (Bowdoin College); Rousseaux, Cécile S. (Universities Space Research Association); Stramski, Dariusz (Scripps Institution of Oceanography); Sullivan, James M. (Harbor Branch Oceanographic Institute); Twardowski, Michael S. (Harbor Branch Oceanographic Institute); Tzortziou, Maria (City College of New York; Goddard Space Flight Center); Zhang, Xiaodong (University of North Dakota)",43,43,,,https://doi.org/10.1016/j.pocean.2018.01.001,https://app.dimensions.ai/details/publication/pub.1100234358,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
2,100,pub.1091102460,10.1016/j.rse.2017.07.030,,,Airborne mapping of benthic reflectance spectra with Bayesian linear mixtures,Remote Sensing of Environment,,,2017-10,2017,200,,18-30,Closed,Article,"Thompson, David R.; Hochberg, Eric J.; Asner, Gregory P.; Green, Robert O.; Knapp, David E.; Gao, Bo-Cai; Garcia, Rodrigo; Gierach, Michelle; Lee, Zhongping; Maritorena, Stephane; Fick, Ronald","Thompson, David R.","Thompson, David R. (Jet Propulsion Lab); Hochberg, Eric J. (Bermuda Institute of Ocean Sciences); Asner, Gregory P. (Department of Plant Biology); Green, Robert O. (Jet Propulsion Lab); Knapp, David E. (Department of Plant Biology); Gao, Bo-Cai (United States Naval Research Laboratory); Garcia, Rodrigo (University of Massachusetts System); Gierach, Michelle (Jet Propulsion Lab); Lee, Zhongping (University of Massachusetts System); Maritorena, Stephane (University of California, Santa Barbara); Fick, Ronald (University of Florida)",10,9,,3.94,,https://app.dimensions.ai/details/publication/pub.1091102460,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0404 Geophysics
3,100,pub.1006066735,10.1002/2016jc012152,,,Satellite assessment of particulate matter and phytoplankton variations in the Santa Barbara Channel and its surrounding waters: Role of surface waves,Journal of Geophysical Research Oceans,,,2017-01,2017,122,1,355-371,All OA; Gold,Article,"Freitas, Fernanda Henderikx; Siegel, David A.; Maritorena, Stéphane; Fields, Erik",,"Freitas, Fernanda Henderikx (University of California, Santa Barbara); Siegel, David A. (University of California, Santa Barbara); Maritorena, Stéphane (University of California, Santa Barbara); Fields, Erik (University of California, Santa Barbara)",4,4,,1.24,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2016JC012152,https://app.dimensions.ai/details/publication/pub.1006066735,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
4,100,pub.1035212075,10.1002/2015gb005276,,,Annual cycles of phytoplankton biomass in the subarctic Atlantic and Pacific Ocean,Global Biogeochemical Cycles,,,2016-02,2016,30,2,175-190,Closed,Article,"Westberry, Toby K.; Schultz, Patrick; Behrenfeld, Michael J.; Dunne, John P.; Hiscock, Michael R.; Maritorena, Stephane; Sarmiento, Jorge L.; Siegel, David A.",,"Westberry, Toby K. (Oregon State University); Schultz, Patrick (Princeton University); Behrenfeld, Michael J. (Oregon State University); Dunne, John P. (Geophysical Fluid Dynamics Laboratory); Hiscock, Michael R. (Princeton University); Maritorena, Stephane (University of California, Santa Barbara); Sarmiento, Jorge L. (Princeton University); Siegel, David A. (University of California, Santa Barbara)",24,20,,5.18,,https://app.dimensions.ai/details/publication/pub.1035212075,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
5,100,pub.1008650153,10.5194/essd-7-319-2015,,,CoastColour Round Robin data sets: a database to evaluate the performance of algorithms for the retrieval of water quality parameters in coastal waters,Earth System Science Data,,,2015-11-20,2015,7,2,319-348,All OA; Gold,Article,"Nechad, B.; Ruddick, K.; Schroeder, T.; Oubelkheir, K.; Blondeau-Patissier, D.; Cherukuru, N.; Brando, V.; Dekker, A.; Clementson, L.; Banks, A. C.; Maritorena, S.; Werdell, P. J.; Sá, C.; Brotas, V.; de Frutos, I. Caballero; Ahn, Y.-H.; Salama, S.; Tilstone, G.; Martinez-Vicente, V.; Foley, D.; McKibben, M.; Nahorniak, J.; Peterson, T.; Siliò-Calzada, A.; Röttgers, R.; Lee, Z.; Peters, M.; Brockmann, C.",,"Nechad, B. (Royal Belgian Institute of Natural Sciences); Ruddick, K. (Royal Belgian Institute of Natural Sciences); Schroeder, T. (Commonwealth Scientific and Industrial Research Organisation); Oubelkheir, K. (Commonwealth Scientific and Industrial Research Organisation); Blondeau-Patissier, D. (Charles Darwin University); Cherukuru, N. (Commonwealth Scientific and Industrial Research Organisation); Brando, V. (Commonwealth Scientific and Industrial Research Organisation); Dekker, A. (Commonwealth Scientific and Industrial Research Organisation); Clementson, L. (Commonwealth Scientific and Industrial Research Organisation); Banks, A. C. (Hellenic Centre for Marine Research; Joint Research Centre); Maritorena, S. (University of California, Santa Barbara); Werdell, P. J. (Goddard Space Flight Center); Sá, C. (University of Lisbon); Brotas, V. (University of Lisbon); de Frutos, I. Caballero (); Ahn, Y.-H. (Korea Institute of Ocean Science and Technology); Salama, S. (University of Twente); Tilstone, G. (Plymouth Marine Laboratory); Martinez-Vicente, V. (Plymouth Marine Laboratory); Foley, D. (); McKibben, M. (Oregon State University); Nahorniak, J. (Oregon State University); Peterson, T. (Oregon Health & Science University); Siliò-Calzada, A. (University of Cantabria); Röttgers, R. (Helmholtz-Zentrum Geesthacht Centre for Materials and Coastal Research); Lee, Z. (University of Massachusetts Boston); Peters, M. (Brockmann Consult (Germany)); Brockmann, C. (Brockmann Consult (Germany))",18,11,,2.85,https://www.earth-syst-sci-data.net/7/319/2015/essd-7-319-2015.pdf,https://app.dimensions.ai/details/publication/pub.1008650153,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
6,100,pub.1039359427,10.1016/j.rse.2013.09.016,,,The Ocean Colour Climate Change Initiative: III. A round-robin comparison on in-water bio-optical algorithms,Remote Sensing of Environment,,,2015-06,2015,162,Deep Sea Research I 56 2009,271-294,"All OA; Green, Accepted & Submitted",Article,"Brewin, Robert J.W.; Sathyendranath, Shubha; Müller, Dagmar; Brockmann, Carsten; Deschamps, Pierre-Yves; Devred, Emmanuel; Doerffer, Roland; Fomferra, Norman; Franz, Bryan; Grant, Mike; Groom, Steve; Horseman, Andrew; Hu, Chuanmin; Krasemann, Hajo; Lee, ZhongPing; Maritorena, Stéphane; Mélin, Frédéric; Peters, Marco; Platt, Trevor; Regner, Peter; Smyth, Tim; Steinmetz, Francois; Swinton, John; Werdell, Jeremy; White, George N.","Brewin, Robert J.W.","Brewin, Robert J.W. (Plymouth Marine Laboratory); Sathyendranath, Shubha (Plymouth Marine Laboratory); Müller, Dagmar (Helmholtz-Zentrum Geesthacht Centre for Materials and Coastal Research); Brockmann, Carsten (Brockmann Consult (Germany)); Deschamps, Pierre-Yves (); Devred, Emmanuel (Laval University); Doerffer, Roland (Helmholtz-Zentrum Geesthacht Centre for Materials and Coastal Research); Fomferra, Norman (Brockmann Consult (Germany)); Franz, Bryan (Goddard Space Flight Center); Grant, Mike (Plymouth Marine Laboratory); Groom, Steve (Plymouth Marine Laboratory); Horseman, Andrew (Plymouth Marine Laboratory); Hu, Chuanmin (University of South Florida); Krasemann, Hajo (Helmholtz-Zentrum Geesthacht Centre for Materials and Coastal Research); Lee, ZhongPing (University of Massachusetts Boston); Maritorena, Stéphane (University of California, Santa Barbara); Mélin, Frédéric (Joint Research Centre); Peters, Marco (Brockmann Consult (Germany)); Platt, Trevor (Plymouth Marine Laboratory); Regner, Peter (Italian Space Agency); Smyth, Tim (Plymouth Marine Laboratory); Steinmetz, Francois (); Swinton, John (Finmeccanica (United Kingdom)); Werdell, Jeremy (Goddard Space Flight Center); White, George N. (Bedford Institute of Oceanography)",78,34,,12.36,http://www.hzg.de/imperia/md/content/gkss/zentrale_einrichtungen/bibliothek/journals/2013/brewin_31136.pdf,https://app.dimensions.ai/details/publication/pub.1039359427,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
7,100,pub.1013022133,10.5194/essdd-8-173-2015,,,CoastColour Round Robin datasets: a database to evaluate the performance of algorithms for the retrieval of water quality parameters in coastal waters,Earth System Science Data Discussions,,,2015-02-25,2015,8,1,173-258,All OA; Gold,Article,"Nechad, B.; Ruddick, K.; Schroeder, T.; Oubelkheir, K.; Blondeau-Patissier, D.; Cherukuru, N.; Brando, V.; Dekker, A.; Clementson, L.; Banks, A. C.; Maritorena, S.; Werdell, J.; Sá, C.; Brotas, V.; de Frutos, I. Caballero; Ahn, Y.-H.; Salama, S.; Tilstone, G.; Martinez-Vicente, V.; Foley, D.; McKibben, M.; Nahorniak, J.; Peterson, T.; Siliò-Calzada, A.; Röttgers, R.; Lee, Z.; Peters, M.; Brockmann, C.",,"Nechad, B. (Royal Belgian Institute of Natural Sciences); Ruddick, K. (Royal Belgian Institute of Natural Sciences); Schroeder, T. (Commonwealth Scientific and Industrial Research Organisation); Oubelkheir, K. (Commonwealth Scientific and Industrial Research Organisation); Blondeau-Patissier, D. (Charles Darwin University); Cherukuru, N. (Commonwealth Scientific and Industrial Research Organisation); Brando, V. (Commonwealth Scientific and Industrial Research Organisation); Dekker, A. (Commonwealth Scientific and Industrial Research Organisation); Clementson, L. (Commonwealth Scientific and Industrial Research Organisation); Banks, A. C. (Hellenic Centre for Marine Research; Joint Research Centre); Maritorena, S. (University of California, Santa Barbara); Werdell, J. (Goddard Space Flight Center); Sá, C. (University of Lisbon); Brotas, V. (University of Lisbon); de Frutos, I. Caballero (); Ahn, Y.-H. (); Salama, S. (); Tilstone, G. (Plymouth Marine Laboratory); Martinez-Vicente, V. (Plymouth Marine Laboratory); Foley, D. (National Oceanic and Atmospheric Administration); McKibben, M. (Oregon State University); Nahorniak, J. (Oregon State University); Peterson, T. (Oregon Health & Science University); Siliò-Calzada, A. (University of Cantabria); Röttgers, R. (Helmholtz-Zentrum Geesthacht Centre for Materials and Coastal Research); Lee, Z. (University of Massachusetts Boston); Peters, M. (Brockmann Consult (Germany)); Brockmann, C. (Brockmann Consult (Germany))",2,0,,0.4,https://doi.org/10.5194/essdd-8-173-2015,https://app.dimensions.ai/details/publication/pub.1013022133,09 Engineering; 0909 Geomatic Engineering; 04 Earth Sciences; 0405 Oceanography,09 Engineering,0909 Geomatic Engineering,04 Earth Sciences,0405 Oceanography,
8,400,pub.1010472497,10.1146/annurev-marine-010213-135135,24015899,,Shedding Light on the Sea: André Morel's Legacy to Optical Oceanography,Annual Review of Marine Science,,"History, 20th Century; History, 21st Century; Oceanography; Oceans and Seas; Satellite Imagery; Seawater",2014-01-03,2014,6,1,1-21,"All OA; Green, Published",Article,"Antoine, David; Babin, Marcel; Berthon, Jean-François; Bricaud, Annick; Gentili, Bernard; Loisel, Hubert; Maritorena, Stéphane; Stramski, Dariusz",,"Antoine, David (French National Centre for Scientific Research); Babin, Marcel (French National Centre for Scientific Research; Laval University); Berthon, Jean-François (Joint Research Centre); Bricaud, Annick (French National Centre for Scientific Research); Gentili, Bernard (French National Centre for Scientific Research); Loisel, Hubert (); Maritorena, Stéphane (University of California, Santa Barbara); Stramski, Dariusz (University of California, San Diego)",14,7,0.17,5.97,http://www.annualreviews.org/doi/pdf/10.1146/annurev-marine-010213-135135,https://app.dimensions.ai/details/publication/pub.1010472497,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
9,100,pub.1035761148,10.1016/j.rse.2013.03.025,,,Regional to global assessments of phytoplankton dynamics from the SeaWiFS mission,Remote Sensing of Environment,,,2013-08,2013,135,Deep-Sea Research Part I 52 2005,77-91,All OA; Gold,Article,"Siegel, D.A.; Behrenfeld, M.J.; Maritorena, S.; McClain, C.R.; Antoine, D.; Bailey, S.W.; Bontempi, P.S.; Boss, E.S.; Dierssen, H.M.; Doney, S.C.; Eplee, R.E.; Evans, R.H.; Feldman, G.C.; Fields, E.; Franz, B.A.; Kuring, N.A.; Mengelt, C.; Nelson, N.B.; Patt, F.S.; Robinson, W.D.; Sarmiento, J.L.; Swan, C.M.; Werdell, P.J.; Westberry, T.K.; Wilding, J.G.; Yoder, J.A.","Siegel, D.A.","Siegel, D.A. (University of California, Santa Barbara); Behrenfeld, M.J. (Oregon State University); Maritorena, S. (University of California, Santa Barbara); McClain, C.R. (Goddard Space Flight Center); Antoine, D. (); Bailey, S.W. (Goddard Space Flight Center); Bontempi, P.S. (National Aeronautics and Space Administration); Boss, E.S. (University of Maine); Dierssen, H.M. (University of Connecticut); Doney, S.C. (Woods Hole Oceanographic Institution); Eplee, R.E. (Goddard Space Flight Center); Evans, R.H. (University of Miami); Feldman, G.C. (Goddard Space Flight Center); Fields, E. (University of California, Santa Barbara); Franz, B.A. (Goddard Space Flight Center); Kuring, N.A. (Goddard Space Flight Center); Mengelt, C. (National Academies of Sciences, Engineering, and Medicine); Nelson, N.B. (University of California, Santa Barbara); Patt, F.S. (Goddard Space Flight Center); Robinson, W.D. (Goddard Space Flight Center); Sarmiento, J.L. (Princeton University); Swan, C.M. (University of California, Santa Barbara); Werdell, P.J. (Goddard Space Flight Center); Westberry, T.K. (Oregon State University); Wilding, J.G. (Goddard Space Flight Center); Yoder, J.A. (Woods Hole Oceanographic Institution)",136,49,,16.51,https://doi.org/10.1016/j.rse.2013.03.025,https://app.dimensions.ai/details/publication/pub.1035761148,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
