,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Steven D Gaines. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,500,pub.1115975933,10.1038/s41598-019-44406-w,31142773,PMC6541654,Designing MPAs for food security in open-access fisheries,Scientific Reports,,,2019-12,2019,9,1,8033,All OA; Gold,Article,"Cabral, Reniel B.; Halpern, Benjamin S.; Lester, Sarah E.; White, Crow; Gaines, Steven D.; Costello, Christopher","Cabral, Reniel B.","Cabral, Reniel B. (University of California, Santa Barbara); Halpern, Benjamin S. (University of California, Santa Barbara); Lester, Sarah E. (Florida State University); White, Crow (California Polytechnic State University); Gaines, Steven D. (University of California, Santa Barbara); Costello, Christopher (University of California, Santa Barbara)",2,2,,,https://www.nature.com/articles/s41598-019-44406-w.pdf,https://app.dimensions.ai/details/publication/pub.1115975933,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
2,500,pub.1121925417,10.1002/eap.2022,31628874,,Cooperation as a solution to shared resources in territorial use rights in fisheries,Ecological Applications,,,2019-10-19,2019,,,,Closed,Article,"Aceves‐Bueno, Eréndira; Miller, Steve J.; Cornejo‐Donoso, Jorge; Gaines, Steven D.",,"Aceves‐Bueno, Eréndira (Duke University; University of California, Santa Barbara); Miller, Steve J. (University of Minnesota); Cornejo‐Donoso, Jorge (Instituto de Fomento Pesquero); Gaines, Steven D. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1121925417,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
3,100,pub.1121826129,10.1101/804831,,,Realistic fisheries management reforms could mitigate the impacts of climate change in most countries,bioRxiv,,,2019-10-14,2019,,,804831,"All OA; Green, Accepted & Submitted",Preprint,"Free, Christopher M; Mangin, Tracey; Ojea, Elena; Molinos, Jorge García; Costello, Christopher; Gaines, Steven D",,"Free, Christopher M (University of California, Santa Barbara); Mangin, Tracey (University of California, Santa Barbara); Ojea, Elena (University of Vigo); Molinos, Jorge García (Hokkaido University); Costello, Christopher (University of California, Santa Barbara); Gaines, Steven D (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1121826129,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
4,500,pub.1121456090,10.1371/journal.pone.0222317,31577835,PMC6774473,Fisheries governance in the face of climate change: Assessment of policy reform implications for Mexican fisheries,PLoS ONE,,,2019-10-02,2019,14,10,e0222317,All OA; Gold,Article,"Cisneros-Mata, Miguel Angel; Mangin, Tracey; Bone, Jennifer; Rodriguez, Laura; Smith, Sarah Lindley; Gaines, Steven D.",,"Cisneros-Mata, Miguel Angel (); Mangin, Tracey (University of California, Santa Barbara); Bone, Jennifer (University of California, Santa Barbara); Rodriguez, Laura (); Smith, Sarah Lindley (Environmental Defense Fund); Gaines, Steven D. (University of California, Santa Barbara)",0,0,,,http://dx.doi.org/10.1371/journal.pone.0222317,https://app.dimensions.ai/details/publication/pub.1121456090,0602 Ecology; 0704 Fisheries Sciences; 06 Biological Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management; 07 Agricultural and Veterinary Sciences,0602 Ecology,0704 Fisheries Sciences,06 Biological Sciences,05 Environmental Sciences,0502 Environmental Science and Management
5,100,pub.1117693941,10.1002/fee.2075,,,Underestimating the benefits of marine protected areas for the replenishment of fished populations,Frontiers in Ecology and the Environment,,,2019-09,2019,17,7,407-413,Closed,Article,"Marshall, Dustin J; Gaines, Steven; Warner, Robert; Barneche, Diego R; Bode, Michael",,"Marshall, Dustin J (Monash University); Gaines, Steven (University of California, Santa Barbara); Warner, Robert (University of California, Santa Barbara); Barneche, Diego R (Monash University; University of Sydney); Bode, Michael (Monash University; Queensland University of Technology)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1117693941,0602 Ecology; 0502 Environmental Science and Management; 0704 Fisheries Sciences; 0604 Genetics; 05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0602 Ecology,0502 Environmental Science and Management,0704 Fisheries Sciences,0604 Genetics,05 Environmental Sciences
6,100,pub.1113649851,10.1139/cjfas-2018-0283,,,Optimal harvest responses to environmental forecasts depend on resource knowledge and how it can be used,Canadian Journal of Fisheries and Aquatic Sciences,,,2019-09,2019,76,9,1495-1502,Closed,Article,"Miller, Steve; Rassweiler, Andrew; Dee, Laura; Kleisner, Kristin M.; Mangin, Tracey; Oliveros-Ramos, Ricardo; Tam, Jorge; Chavez, Francisco P.; Ñiquen, Miguel; Lester, Sarah E.; Burden, Merrick; Gaines, Steven; Costello, Christopher",,"Miller, Steve (University of Minnesota); Rassweiler, Andrew (Florida State University); Dee, Laura (University of Minnesota); Kleisner, Kristin M. (Environmental Defense Fund); Mangin, Tracey (University of California, Santa Barbara); Oliveros-Ramos, Ricardo (Instituto del Mar del Peru); Tam, Jorge (Instituto del Mar del Peru); Chavez, Francisco P. (Monterey Bay Aquarium Research Institute); Ñiquen, Miguel (Instituto del Mar del Peru); Lester, Sarah E. (Florida State University); Burden, Merrick (Environmental Defense Fund); Gaines, Steven (University of California, Santa Barbara); Costello, Christopher (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1113649851,0602 Ecology; 0704 Fisheries Sciences; 0608 Zoology; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0602 Ecology,0704 Fisheries Sciences,0608 Zoology,06 Biological Sciences,07 Agricultural and Veterinary Sciences
7,500,pub.1106274488,10.1111/cobi.13208,30132990,,Design trade‐offs in rights‐based management of small‐scale fisheries,Conservation Biology,,,2019-04,2019,33,2,361-368,Closed,Article,"Viana, Daniel F.; Gelcich, Stefan; Aceves‐Bueno, Erendira; Twohey, Becky; Gaines, Steven D.",,"Viana, Daniel F. (University of California, Santa Barbara); Gelcich, Stefan (Pontifical Catholic University of Chile); Aceves‐Bueno, Erendira (University of California, Santa Barbara); Twohey, Becky (University of California, Santa Barbara); Gaines, Steven D. (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1106274488,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
8,100,pub.1107499294,10.1111/conl.12610,,,Leveraging satellite technology to create true shark sanctuaries,Conservation Letters,,,2019-03,2019,12,2,e12610,All OA; Gold,Article,"Bradley, Darcy; Mayorga, Juan; McCauley, Douglas J.; Cabral, Reniel B.; Douglas, Patric; Gaines, Steven D.",,"Bradley, Darcy (University of California, Santa Barbara); Mayorga, Juan (University of California, Santa Barbara; National Geographic Society); McCauley, Douglas J. (University of California, Santa Barbara); Cabral, Reniel B. (University of California, Santa Barbara); Douglas, Patric (); Gaines, Steven D. (University of California, Santa Barbara)",3,3,,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/conl.12610,https://app.dimensions.ai/details/publication/pub.1107499294,0704 Fisheries Sciences; 07 Agricultural and Veterinary Sciences,0704 Fisheries Sciences,07 Agricultural and Veterinary Sciences,,,
9,500,pub.1101244831,10.1038/s41467-018-03249-1,29507321,PMC5838171,Marine spatial planning makes room for offshore aquaculture in crowded coastal waters,Nature Communications,,Aquaculture; Conservation of Natural Resources; Ecosystem; Geography; Seawater,2018-12,2018,9,1,945,All OA; Gold,Article,"Lester, S. E.; Stevens, J. M.; Gentry, R. R.; Kappel, C. V.; Bell, T. W.; Costello, C. J.; Gaines, S. D.; Kiefer, D. A.; Maue, C. C.; Rensel, J. E.; Simons, R. D.; Washburn, L.; White, C.","Lester, S. E.","Lester, S. E. (Florida State University); Stevens, J. M. (California Polytechnic State University); Gentry, R. R. (University of California, Santa Barbara); Kappel, C. V. (University of California, Santa Barbara); Bell, T. W. (University of California, Santa Barbara); Costello, C. J. (University of California, Santa Barbara); Gaines, S. D. (University of California, Santa Barbara); Kiefer, D. A. (University of Southern California); Maue, C. C. (Stanford University); Rensel, J. E. (); Simons, R. D. (University of California, Santa Barbara); Washburn, L. (University of California, Santa Barbara); White, C. (California Polytechnic State University)",16,16,,,https://www.nature.com/articles/s41467-018-03249-1.pdf,https://app.dimensions.ai/details/publication/pub.1101244831,0602 Ecology; 0405 Oceanography; 0704 Fisheries Sciences; 04 Earth Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0602 Ecology,0405 Oceanography,0704 Fisheries Sciences,04 Earth Sciences,06 Biological Sciences
